word,shape,onset,vowel,coda
haks,CVCC,h,a,ks
hask,CVCC,h,a,sk
haft,CVCC,h,a,ft
halb,CVCC,h,a,lb
halt,CVCC,h,a,lt
halz,CVCC,h,a,lz
halc,CVCC,h,a,lc
harv,CVCC,h,a,rv
homp,CVCC,h,o,mp
hoqk,CVCC,h,o,qk
hodz,CVCC,h,o,dz
hops,CVCC,h,o,ps
hosp,CVCC,h,o,sp
hork,CVCC,h,o,rk
hund,CVCC,h,u,nd
hugz,CVCC,h,u,gz
husk,CVCC,h,u,sk
huft,CVCC,h,u,ft
hurb,CVCC,h,u,rb
hurt,CVCC,h,u,rt
hurs,CVCC,h,u,rs
hurf,CVCC,h,u,rf
sist,CVCC,s,i,st
sent,CVCC,s,e,nt
saqk,CVCC,s,a,qk
sasp,CVCC,s,a,sp
sals,CVCC,s,a,ls
sarg,CVCC,s,a,rg
soft,CVCC,s,o,ft
solv,CVCC,s,o,lv
sort,CVCC,s,o,rt
sump,CVCC,s,u,mp
sund,CVCC,s,u,nd
sugz,CVCC,s,u,gz
suts,CVCC,s,u,ts
sust,CVCC,s,u,st
sulk,CVCC,s,u,lk
smip,CCVC,sm,i,p
smij,CCVC,sm,i,j
smed,CCVC,sm,e,d
smes,CCVC,sm,e,s
smef,CCVC,sm,e,f
smaq,CCVC,sm,a,q
smax,CCVC,sm,a,x
smal,CCVC,sm,a,l
smug,CCVC,sm,u,g
smuC,CCVC,sm,u,C
snin,CCVC,sn,i,n
snig,CCVC,sn,i,g
snag,CCVC,sn,a,g
snap,CCVC,sn,a,p
snaC,CCVC,sn,a,C
snof,CCVC,sn,o,f
snum,CCVC,sn,u,m
snub,CCVC,sn,u,b
snut,CCVC,sn,u,t
snus,CCVC,sn,u,s
snux,CCVC,sn,u,x
snur,CCVC,sn,u,r
spiq,CCVC,sp,i,q
spik,CCVC,sp,i,k
spiz,CCVC,sp,i,z
spiv,CCVC,sp,i,v
spep,CCVC,sp,e,p
spad,CCVC,sp,a,d
spag,CCVC,sp,a,g
spar,CCVC,sp,a,r
spop,CCVC,sp,o,p
spos,CCVC,sp,o,s
spof,CCVC,sp,o,f
spox,CCVC,sp,o,x
spud,CCVC,sp,u,d
spug,CCVC,sp,u,g
spuC,CCVC,sp,u,C
spul,CCVC,sp,u,l
stid,CCVC,st,i,d
stij,CCVC,st,i,j
stic,CCVC,st,i,c
staC,CCVC,st,a,C
ston,CCVC,st,o,n
skin,CCVC,sk,i,n
skib,CCVC,sk,i,b
skit,CCVC,sk,i,t
skiz,CCVC,sk,i,z
skif,CCVC,sk,i,f
skix,CCVC,sk,i,x
skeg,CCVC,sk,e,g
skam,CCVC,sk,a,m
skab,CCVC,sk,a,b
skat,CCVC,sk,a,t
skaz,CCVC,sk,a,z
skav,CCVC,sk,a,v
skaj,CCVC,sk,a,j
skac,CCVC,sk,a,c
skog,CCVC,sk,o,g
skol,CCVC,sk,o,l
skum,CCVC,sk,u,m
skud,CCVC,sk,u,d
skup,CCVC,sk,u,p
skus,CCVC,sk,u,s
skuf,CCVC,sk,u,f
skux,CCVC,sk,u,x
skuC,CCVC,sk,u,C
slin,CCVC,sl,i,n
slid,CCVC,sl,i,d
slip,CCVC,sl,i,p
slik,CCVC,sl,i,k
sliv,CCVC,sl,i,v
slij,CCVC,sl,i,j
slic,CCVC,sl,i,c
slez,CCVC,sl,e,z
slaq,CCVC,sl,a,q
slab,CCVC,sl,a,b
slag,CCVC,sl,a,g
slat,CCVC,sl,a,t
slav,CCVC,sl,a,v
slaj,CCVC,sl,a,j
slar,CCVC,sl,a,r
slos,CCVC,sl,o,s
sluq,CCVC,sl,u,q
slub,CCVC,sl,u,b
slug,CCVC,sl,u,g
slut,CCVC,sl,u,t
sluf,CCVC,sl,u,f
slux,CCVC,sl,u,x
sluC,CCVC,sl,u,C
slul,CCVC,sl,u,l
ziqk,CVCC,z,i,qk
zigz,CVCC,z,i,gz
zits,CVCC,z,i,ts
zisk,CVCC,z,i,sk
zebz,CVCC,z,e,bz
zeft,CVCC,z,e,ft
zats,CVCC,z,a,ts
zaks,CVCC,z,a,ks
zask,CVCC,z,a,sk
zalb,CVCC,z,a,lb
zobz,CVCC,z,o,bz
zuqk,CVCC,z,u,qk
zusk,CVCC,z,u,sk
zulb,CVCC,z,u,lb
zuls,CVCC,z,u,ls
find,CVCC,f,i,nd
fibz,CVCC,f,i,bz
fits,CVCC,f,i,ts
fisp,CVCC,f,i,sp
fant,CVCC,f,a,nt
fast,CVCC,f,a,st
falc,CVCC,f,a,lc
farv,CVCC,f,a,rv
folk,CVCC,f,o,lk
folz,CVCC,f,o,lz
funt,CVCC,f,u,nt
fuqk,CVCC,f,u,qk
fudz,CVCC,f,u,dz
fups,CVCC,f,u,ps
fusp,CVCC,f,u,sp
fuft,CVCC,f,u,ft
fulc,CVCC,f,u,lc
flid,CCVC,fl,i,d
fliz,CCVC,fl,i,z
flap,CCVC,fl,a,p
flav,CCVC,fl,a,v
flok,CCVC,fl,o,k
flor,CCVC,fl,o,r
flub,CCVC,fl,u,b
flut,CCVC,fl,u,t
friq,CCVC,fr,i,q
frip,CCVC,fr,i,p
frix,CCVC,fr,i,x
fraq,CCVC,fr,a,q
frac,CCVC,fr,a,c
vimp,CVCC,v,i,mp
viqk,CVCC,v,i,qk
visk,CVCC,v,i,sk
vegz,CVCC,v,e,gz
veft,CVCC,v,e,ft
vaqk,CVCC,v,a,qk
vabz,CVCC,v,a,bz
vats,CVCC,v,a,ts
vask,CVCC,v,a,sk
vold,CVCC,v,o,ld
volp,CVCC,v,o,lp
vugz,CVCC,v,u,gz
vusk,CVCC,v,u,sk
vulv,CVCC,v,u,lv
vrif,CCVC,vr,i,f
vreg,CCVC,vr,e,g
vrad,CCVC,vr,a,d
vraz,CCVC,vr,a,z
vroj,CCVC,vr,o,j
vrun,CCVC,vr,u,n
vruz,CCVC,vr,u,z
vruv,CCVC,vr,u,v
vruc,CCVC,vr,u,c
xint,CVCC,x,i,nt
xiqk,CVCC,x,i,qk
xist,CVCC,x,i,st
xeps,CVCC,x,e,ps
xeft,CVCC,x,e,ft
xant,CVCC,x,a,nt
xast,CVCC,x,a,st
xarf,CVCC,x,a,rf
xorg,CVCC,x,o,rg
xump,CVCC,x,u,mp
xund,CVCC,x,u,nd
xuqk,CVCC,x,u,qk
xubz,CVCC,x,u,bz
xuts,CVCC,x,u,ts
xuks,CVCC,x,u,ks
xust,CVCC,x,u,st
xuft,CVCC,x,u,ft
xulz,CVCC,x,u,lz
xulf,CVCC,x,u,lf
jidz,CVCC,j,i,dz
jiks,CVCC,j,i,ks
jesk,CVCC,j,e,sk
jaqk,CVCC,j,a,qk
jadz,CVCC,j,a,dz
jaks,CVCC,j,a,ks
jalz,CVCC,j,a,lz
jolt,CVCC,j,o,lt
jorb,CVCC,j,o,rb
jusk,CVCC,j,u,sk
cisk,CVCC,c,i,sk
cegz,CVCC,c,e,gz
cadz,CVCC,c,a,dz
cask,CVCC,c,a,sk
calb,CVCC,c,a,lb
cusk,CVCC,c,u,sk
curb,CVCC,c,u,rb
Cisp,CVCC,C,i,sp
Cend,CVCC,C,e,nd
Calk,CVCC,C,a,lk
Carf,CVCC,C,a,rf
Cont,CVCC,C,o,nt
Cosp,CVCC,C,o,sp
Coft,CVCC,C,o,ft
Cuts,CVCC,C,u,ts
Culk,CVCC,C,u,lk
lind,CVCC,l,i,nd
liqk,CVCC,l,i,qk
liks,CVCC,l,i,ks
lesk,CVCC,l,e,sk
land,CVCC,l,a,nd
laqk,CVCC,l,a,qk
lagz,CVCC,l,a,gz
lunt,CVCC,l,u,nt
luqk,CVCC,l,u,qk
lubz,CVCC,l,u,bz
lugz,CVCC,l,u,gz
luts,CVCC,l,u,ts
lusk,CVCC,l,u,sk
luft,CVCC,l,u,ft
lult,CVCC,l,u,lt
ridz,CVCC,r,i,dz
rips,CVCC,r,i,ps
risp,CVCC,r,i,sp
remp,CVCC,r,e,mp
reft,CVCC,r,e,ft
radz,CVCC,r,a,dz
raps,CVCC,r,a,ps
rals,CVCC,r,a,ls
rarg,CVCC,r,a,rg
rart,CVCC,r,a,rt
rarv,CVCC,r,a,rv
rosp,CVCC,r,o,sp
rorb,CVCC,r,o,rb
rulk,CVCC,r,u,lk
ruls,CVCC,r,u,ls
rurf,CVCC,r,u,rf
