id,state
Cddj-mqbt,live
cddn-hrwv,live
Cdml-jjtg,live
cdrt-lhrd,live
Cdtc-gCtk,live
Cdtq-npmh,dropped
Cdtx-tpmC,live
CfCr-ftsk,live
Cfnl-wgqC,live
cfrv-mlyh,live
cfvy-plsp,live
cgCy-mdCh,dropped
Cgdd-xvwy,live
Cgdr-cgzf,dropped
cgzq-hqqz,live
Chcb-mmlt,dropped
chdl-dpws,live
Chdr-jvCx,live
chnj-pcqt,live
Chwb-bsst,live
Cjbg-ywjw,live
cjCd-CvbC,live
cjcm-wfsd,dropped
Cjyx-nrrl,dropped
ckbv-sydc,dropped
ckcg-zxln,live
Ckgb-krqn,live
ckhb-kwwp,live
CkmC-wqkj,live
Ckmq-bgyy,live
cktf-fwvr,live
Ckvt-Cbmj,live
Ckww-stjC,dropped
ckxj-wtll,live
Clcj-qjjj,live
Clhh-ffbk,live
clsd-kjjl,live
cmcC-xlwx,live
cmjj-mdgd,dropped
cmmz-dzpq,live
cmvq-Ccxg,live
Cnbp-vwxC,live
cnch-mttn,live
cnkr-qccC,live
Cnsg-bpql,live
Cntp-tcgC,live
cpbw-ncqj,live
cpcc-ghbz,live
cpCs-nxCl,dropped
cpqy-zfws,live
cprk-Cgsd,live
Cpsk-yxnc,live
Cpwm-kllj,live
Cpzp-hzsd,live
Cpzz-vcmj,live
Cqbc-rvrz,live
Cqch-lwfv,live
Cqhb-fbbs,live
Cqng-fjmd,live
Cqps-mbvn,live
CqtC-rbdt,live
Crfz-lzlm,live
crhf-qsbh,live
crmd-nkvp,live
Crrr-fmsp,live
Crrv-dpxz,live
Crvy-rcbz,dropped
Crzc-pCbw,live
CsCb-jxxh,live
csCk-fkyp,dropped
cslx-dwdf,live
Csqh-tmxh,dropped
csrw-jqbn,dropped
Cstz-thjd,live
Csvy-nvph,live
csxv-pyvm,live
ctby-hzdb,live
Ctqc-jzxd,live
Ctvp-yhbd,live
ctwd-svbw,live
cvhC-fqpt,live
cvpc-wgts,live
Cvsm-hpgj,live
Cvvs-kgvf,dropped
Cvyp-kshc,dropped
cvzp-mdfq,live
Cwbp-tszg,live
cwcd-dqxh,live
cwdj-mmgb,dropped
Cwlf-xswh,live
CxCb-xrfd,dropped
cxfq-ggwp,live
Cxgz-wqlz,live
cxjm-hClC,live
Cxjr-nzvf,live
Cxkz-gsvf,dropped
cxml-shgr,live
Cxtg-qldf,live
cxyd-xCgq,live
cymb-dzlm,live
cysh-mpkt,live
Cyvb-pxnz,live
Cyxl-jtqv,live
Cyxm-Cnsd,live
czjf-xhhp,live
czkC-snyp,live
Cznp-Ckmb,live
dbcC-nnnx,live
dbcf-qClm,live
dbCj-zhxw,live
dbzf-dbkh,live
dbzz-jqhd,live
dCbw-mtjC,live
dCgw-cqcv,live
dCrg-tvsp,live
dCsw-Crrk,live
dcxf-rqyk,live
dCxg-Chjv,live
ddrz-bpCm,live
ddwk-qsfv,live
ddzl-mvfz,live
dfkq-npjq,live
dglt-CtjC,live
dgyp-Cftq,dropped
dhbf-cdyb,live
dhfj-Cwlz,dropped
dhvm-pcnn,dropped
dkks-sClr,live
dkkv-yCvl,live
dklx-xwbd,live
dkmC-ynsn,dropped
dlgC-kCCy,live
dlmz-hqjr,live
dlwz-pflx,dropped
dmmd-wvgc,live
dmnv-plnl,dropped
dmsl-lncr,live
dnlf-wmts,live
dnvc-ctlj,live
dnzx-mhpv,live
dpdc-yqtv,live
dppC-cvcw,live
dpvg-sskm,live
dqmc-vlCc,live
drdj-tcvj,dropped
drfv-hzpf,live
drhh-rkcc,live
drzr-yCbp,live
dsfp-yxnj,live
dsrv-ggzs,live
dtmc-wnby,live
dtrd-wcxr,live
dtrg-dnjf,live
dtsp-rwpl,live
dvCs-mcvj,live
dvgb-vhgs,live
dvkf-vqyd,live
dvnt-jhzb,live
dvyg-zkcn,dropped
dwcq-Cxtd,live
dwrw-hrdp,live
dyCh-cplC,live
dyct-ghzl,live
dyth-dmnq,dropped
dyvz-vpxf,live
dzdp-wxgr,live
dzqf-rgqj,dropped
dzxs-xgjl,live
fbCn-lCty,live
fbfs-cybh,live
fcfv-pfwk,live
fCfy-fynj,live
fClp-qvsw,live
fClr-nvkg,live
fCmc-wjlv,live
fcqx-crcw,dropped
fcxz-jhgj,live
fdjz-rfrz,dropped
ffwd-mvzq,dropped
fglv-fzzk,live
fgvn-nbyr,live
fgxt-dfbg,live
fhcq-rkvs,live
fhfv-rfst,live
fhmt-rCcr,dropped
fhnf-Chnm,dropped
fhyf-wpvp,live
fjct-lbvm,dropped
fjtd-kgnm,live
fjyg-hkbr,live
fknx-pghf,dropped
fkpb-bylz,live
fkvh-xdsm,live
flbk-yzkp,live
flcs-lnqf,live
flfn-lrff,live
flpf-qpmq,live
flyb-qlcf,live
fmdd-jtfm,live
fmjt-tbqc,live
fmnx-yxng,live
fmry-qcgs,live
fnts-dkvy,live
fpCp-mkpr,live
fpdl-ffyv,live
fpqz-jClh,live
fpwq-mygv,live
fpxd-mrrg,live
fqcj-lsdf,live
fqdC-xchw,live
fqpn-pvjz,live
fqtw-wfpv,live
fqwj-nggk,live
fqxn-szkd,live
frjj-rxvz,dropped
fsbb-tfmf,live
fsbb-vfgq,dropped
fsCw-jmht,live
fsjC-jdls,live
fsvr-vlwx,dropped
fswC-vhzd,live
fsyz-gfkl,live
ftlk-qvcC,live
ftvg-hqjq,live
fvbm-wvjm,live
fvvl-fpCk,live
fwrt-ypzh,live
fwzc-qcvm,live
fxCC-ybcy,live
fxcd-pwff,live
fxjt-txkw,live
fxvn-zpfl,live
fyfl-wklc,live
fynj-qstc,live
fyqy-vgvb,live
fywh-kmCl,live
fzdc-kfsp,live
fzvk-zbpg,dropped
fzvl-qjcb,live
gbjC-zxff,live
gbky-bsdk,live
gblC-wctw,live
gbmy-dkrt,live
gccb-bjgy,live
gCCx-zmjr,live
gcgq-htmc,live
gClr-hcdn,dropped
gcqn-pyvs,live
gdcc-hszx,live
gddx-yvgv,live
gdpn-cCdf,live
gdqd-yslk,live
gfmw-yzpz,live
gfqy-zzxn,live
gfxv-vdqt,live
gfyr-mjCf,dropped
gggn-qkzg,live
ggpr-mzbx,live
ggtz-Cxgm,live
ghhh-nkgy,live
ghjw-vbcz,live
gjtb-nwzs,live
gjvg-qksx,live
gkng-vlnr,dropped
glCx-fxsC,live
glft-pxbn,live
glxv-nhtx,live
gmgw-wpwx,dropped
gmtb-ympx,live
gnlr-Ckrj,dropped
gnmj-Cwlb,live
gnyj-khwc,live
gppk-gCtC,live
gpvx-fcwx,dropped
gpwb-jpcC,live
gqCn-hswl,live
gqym-bjsd,live
grbv-myrw,live
grCc-qynp,live
grhc-kCkb,dropped
grlh-npyk,live
grwl-ggcj,live
grwn-vbhp,live
grzw-xvkt,dropped
gsgw-tyrl,live
gsgz-ncfq,live
gslz-kxmk,dropped
gsqc-xhfk,live
gsxr-wddp,live
gtdx-gtww,live
gtmk-xpnl,live
gvyh-mksh,live
gxvd-qkdb,live
gyCs-dqgc,live
gyfC-ftnk,live
gymq-zykp,live
gynz-bykq,live
gyqz-rlvl,live
gysd-xkqf,live
gzhm-fcbg,live
gzjv-mCzm,live
hbbx-lcck,live
hbvr-tsqm,dropped
hbwc-Cszb,live
hbxn-qwnx,live
hCnv-rrwy,live
hCvw-znmy,live
hcxx-slxC,live
hcyf-dxCw,live
hCyx-hlvh,live
hdlk-wcjz,live
hfbm-sdyn,live
hfqj-bkxw,live
hgcf-gqvb,live
hgrq-glnj,live
hhwx-hwqm,dropped
hhzs-mnwx,live
hjcz-zfwj,dropped
hjmy-ccfy,live
hjpy-pCdl,live
hkzq-gttf,live
hlkl-vynp,live
hmkw-brbC,live
hmqd-qxsx,dropped
hmyf-llwn,live
hngh-pCjq,live
hnhg-Cspt,live
hnld-tngy,dropped
hnph-gkss,live
hntk-qzkC,live
hnvp-hmkv,dropped
hnwr-vCkn,live
hpng-nmdh,live
hpyr-bkqb,live
hqpf-zlqn,dropped
hrby-lmgq,live
hrjq-grCg,live
hrnn-lnvh,live
hrwc-hnlf,live
hsbq-bhzl,dropped
hsfd-Cttp,live
hspk-nrmw,dropped
htcz-ntfg,live
hwmn-ynCb,live
hwnC-djdj,dropped
hxgk-hpsr,dropped
hxkk-xpzf,live
hxph-hklC,dropped
hxrC-yqpm,live
hxvr-mrdc,live
hxzd-frjx,live
hyrx-wbyC,live
hzcd-jbdm,live
hzgs-ztzz,live
hzkC-CCjn,dropped
hzkj-gxxt,live
hzng-knlv,live
hzps-zqzd,dropped
hzrn-hltf,dropped
hzsw-tzwj,live
hzvx-Cfhb,live
jbfr-tnps,live
jbjr-kfwC,live
jbps-vCbj,live
jbwd-dtcm,live
jCcl-tczx,dropped
jcfl-sxhn,live
jcjn-kzyr,live
jCnh-dwjb,live
jcnp-nhtt,live
jCvs-nxsn,dropped
jCzw-wCkk,dropped
jdgy-mtql,live
jdkf-Cwdt,live
jdph-gsCj,live
jdvx-xxbt,live
jdzd-yzCq,live
jffb-yjfl,live
jflt-syCs,live
jfpx-msmd,live
jggd-qjqh,live
jghz-trpl,live
jgls-jpll,live
jhgn-mnpn,live
jhjg-rncv,live
jhlt-ybgf,dropped
jhpl-tgby,live
jjbt-Cvjb,live
jjbz-vpvb,live
jjCC-pCqs,live
jjcg-gpth,live
jjmw-dssC,dropped
jjvg-syrz,live
jkCk-ycmt,live
jkvq-qrkl,live
jldr-ynqp,live
jlfq-htfm,live
jljx-mCng,live
jllg-nhbn,live
jlrt-zstx,live
jltx-cdgf,dropped
jlyk-wmfr,live
jmjs-fhvh,live
jmkl-Cbnb,live
jmkn-gnyy,dropped
jmnb-pycm,live
jngj-tlsd,live
jnmf-tkmr,live
jnyr-nzny,live
jphy-tnCf,live
jpng-kCds,live
jpyr-zcjw,live
jqpx-hgvr,live
jqsr-mqvh,live
jqyC-ntCx,live
jrCp-vyyk,live
jrnf-nblv,live
jrqq-zjsz,live
jrvh-dwln,live
jsdj-CfCk,live
jsgy-wggq,live
jsnv-vbtf,live
jswm-nyrn,live
jsyy-qgwm,live
jtxw-ppxz,live
jtyt-mbpx,live
jvbw-csgy,live
jvhx-qgnc,dropped
jvlt-qpbC,live
jvsr-zmxs,live
jvwg-rfdz,live
jvyc-vgcC,live
jwdp-nrkh,live
jwdx-tzxs,live
jwmn-llrt,live
jwzf-dbbd,live
jxbk-lzgn,live
jymy-CCxs,live
jzbg-djrr,live
jzgm-llck,dropped
jzps-hdkw,dropped
kcdc-vczC,live
kcft-gpyx,live
kcfz-fqbz,live
kckz-bdwd,live
kclm-zkzw,live
kCzk-wlbm,live
kfbx-gbzj,live
kfdc-drrs,live
kfqx-lpcr,live
kfrk-tvgC,dropped
kfsm-qnpj,live
kftw-shcx,dropped
kgCv-kdws,live
khpq-xnch,live
kjfv-mbyh,live
kjsm-lhyx,live
kjvf-rlvf,live
kjzC-jyyv,live
kkqd-Csvw,live
klhc-dvdm,live
klkc-kqwb,live
kllc-xqqw,live
klpb-xyqj,live
klqC-bqrk,dropped
klqC-nlqb,live
klzm-pxxk,live
kmCz-hxbv,dropped
kmfd-tCvw,live
kmgm-lwlp,dropped
kptC-cktn,live
kpyr-nspk,live
kqcf-dydd,live
kqcn-znvb,live
kqjf-kcbv,live
kqnh-rtzj,live
kqxt-clfz,live
krCm-kgxy,dropped
krgm-bkwx,dropped
krny-xtjm,live
kszb-mqnr,live
ktfb-pwqk,live
kvhd-dqnn,dropped
kvzf-tbzy,dropped
kwfb-hfqm,live
kwlq-hnfq,live
kwtg-kgqw,live
kwws-cldp,live
kwxj-zdfw,live
kxnd-rndk,live
kxrz-fkzw,live
kxtg-zxxh,dropped
kymC-ymng,live
kyrp-zbqt,live
kytC-Cwsd,live
kywv-cfmh,live
kyyg-yksp,live
kzfz-dznw,live
lbrr-xcfx,live
lbtt-hdCr,live
lCdf-ymgC,live
lCgn-lmgc,live
lCjc-vspl,live
lcjm-jwlw,live
lCyf-hsdm,dropped
lCzh-qmCx,live
ldwd-qslp,live
ldzm-pwhx,live
ldzy-wCcf,live
lfjj-npww,live
lfsl-nllh,live
lfxn-jpCp,live
lglw-bdjk,dropped
lhbk-tgCx,live
lhfc-wjjt,live
lhjC-qlmc,live
ljxh-zspv,live
ljyv-tbfk,live
llkh-mqdy,live
llxs-fnjp,live
llxs-gsqc,live
lnfj-yflq,live
lntx-smvt,live
lpdx-mbnh,live
lpqg-zwns,live
lqbj-xzdy,live
lqbk-srhs,live
lqhb-htrb,live
lqjf-ycgr,live
lqmy-ddhk,live
lqsd-mlbl,live
lrbx-dbkc,live
lsfg-fzCr,live
lsym-xlns,dropped
lthp-pnfp,live
ltqd-cjmm,live
lttt-lztC,dropped
ltxv-tcqj,live
lvfx-gvgz,live
lvlz-zjpk,live
lvzv-kyzm,live
lwcc-tmCs,live
lwfj-lbCp,live
lwnx-fnts,live
lwtC-rfvy,live
lxrp-rxwg,live
lxwv-rlhj,live
lxzl-brmk,live
lymn-fmyn,live
lysr-hltz,live
lznj-lvky,live
lzzr-mvhC,dropped
mblm-dnyn,live
mbnr-wyrv,dropped
mbzt-dgjl,live
mcCC-mgvl,live
mCfc-thvt,dropped
mChq-xCsj,live
mCld-pnlq,live
mCnh-dCtC,live
mCxk-gpxx,live
mfgt-kCnC,live
mfmp-pkvn,live
mfvt-bqnt,live
mfxd-qyxj,live
mfyx-hvrl,live
mgkc-scfy,live
mgym-kzqn,live
mhfw-qprp,live
mhhb-rwpj,live
mhkx-xzvy,live
mhpr-bswx,live
mhsp-wCvc,live
mhww-nztn,live
mhyr-Cwzq,live
mhzr-kcnc,live
mkck-wzsf,live
mkcl-tskd,live
mkgp-gCkx,live
mkvC-kprp,live
mkzd-fzjg,live
mkzj-wzCn,live
mkzl-zdCz,live
mlby-bCyk,live
mldg-pmww,live
mlnr-fhkn,dropped
mlpw-wqjf,live
mmcC-vvjc,dropped
mmnd-whyb,live
mmvb-nzck,live
mnbn-zhjh,live
mnbz-qfhx,live
mnCp-thgf,live
mncy-lpkt,live
mngl-cdvx,live
mnlb-yqzv,live
mnlr-tCtq,live
mpjl-srhz,live
mplt-vbvC,live
mplw-vqtj,live
mpxt-qsqC,live
mqdq-wspC,live
mqnr-rdfd,live
mqww-lrjC,dropped
mrgl-mCmc,live
msdp-nzxg,live
msfg-vrqq,live
msgw-tpsj,live
mshd-pdcq,live
mtmc-dgqd,live
mtns-vlrn,live
mtqC-jvql,live
mtrt-smgw,live
mvgy-hnxx,live
mvmw-kbfz,live
mvxz-sldb,live
mwfl-dtqv,live
mwhv-kztn,live
mwrd-lhgy,live
mwxw-wfjp,dropped
mwys-kyml,live
mxqg-qmpw,live
mxvr-rkjm,live
mxzc-jxhh,live
mxzw-gClt,live
mycs-Cqfn,dropped
myCy-qhxj,dropped
mygr-zhtz,live
mykg-jdvk,dropped
myqg-msqz,live
mywC-byjj,dropped
mzcx-zlvm,live
mzgl-pwvq,live
mzrb-lxzm,live
mzyr-kCvv,live
mzyv-hdjn,live
mzzh-czlq,live
nbbm-fsnw,dropped
nbch-jzlm,live
nbqn-wzyk,live
nbqq-Cbdr,live
nbsx-dbpg,live
nbvw-sxsc,live
ncbn-nttl,live
ncCb-CCzx,live
ncfj-sbCf,live
ncjs-wfgk,live
ncrl-sfkr,dropped
nCsh-pxkx,live
nCtg-vqCw,live
nCzy-pxdk,live
ndxf-jmlt,live
nfbx-wxyy,live
nfCc-qCmr,live
nfjk-fbpm,live
ngfk-rjrb,dropped
ngsl-wtqq,live
nhCm-lhcs,live
nhdj-mptg,live
nhjh-tnzs,live
nhwx-yhmn,live
njnk-ypnk,live
njpc-ybCf,live
njpj-trfq,live
njvs-fxpq,live
njyx-vfnd,live
nkfl-mmcs,live
nkgx-xhvj,live
nkwk-bdfh,live
nlmd-ygjd,live
nltv-ysqz,live
nmgm-xrjx,live
nmgs-pnqd,live
nmjk-zcCn,dropped
nnjb-ldfk,live
nnnl-jkyv,dropped
nnsy-nrtn,live
nnzg-xbpf,live
nprw-lvjk,live
npsx-hhrs,dropped
npxC-mdfd,dropped
nqks-frCd,dropped
nrCn-hxvc,live
nrll-tpbd,live
nrtj-sjym,live
nrvg-ynhl,live
nscc-whwf,live
ntjx-sllj,live
ntpp-mlzb,live
ntwv-qjcr,dropped
nvbx-shws,dropped
nvdj-ygtc,live
nvnt-jCxk,live
nvpz-bttz,live
nwyr-fcht,dropped
nxjd-tbpc,live
nxlk-ypkw,live
nybs-yjct,live
nymy-rxkf,live
nyqg-bvqk,live
nytC-tsfw,live
nyxs-rkzd,live
nzdf-Cclx,live
nzgb-zfgs,live
nzjm-tvkw,live
nzjx-tdfz,live
nzsl-lykl,live
nzwj-wxwn,live
nzxp-bmvj,live
pbbc-vwsb,live
pbdh-pthh,live
pCcn-mvnw,dropped
pCcp-ttls,live
pckr-bhbx,live
pCqw-pkCr,live
pCwn-wcgw,live
pCxs-wkpp,live
pczs-pbyp,live
pdfg-klhs,live
pdmf-nmqk,live
pdmp-zpCy,dropped
pdwr-kyyj,live
pdzv-mjxn,live
pffc-lkpb,live
pfjw-sqqt,live
pflv-cckd,dropped
pfwc-pxpr,dropped
pgbr-sczm,live
pgvb-ddsg,live
pgzy-qwyz,live
phCc-wnyr,live
phsk-Cbjp,live
phzz-lCnq,dropped
pjdm-vlqC,live
pjjx-dhlk,live
pjny-cfyh,live
pjrw-gzjm,live
pjtq-kyxf,live
pjzm-wftr,live
pkmm-kllj,live
pkng-xsty,live
pllm-ztkx,live
pltn-zCwr,live
pmcn-cCdb,live
pmlh-wlzt,live
pmtf-gxyw,live
pmwk-mzrp,live
pnCw-rgCC,live
pnlg-hlly,live
pnyt-rrqx,live
pqrd-qnvg,live
pqwp-Cbvd,live
prfn-kvvd,live
prmC-dCrq,live
psct-grzt,live
psCv-msfy,live
psgk-hlyy,live
pssy-vbzm,live
ptsv-xmpq,live
pttp-Cvql,live
pvCq-hjcy,live
pvjk-xfkw,live
pvvp-lzrs,dropped
pvwt-mpyx,live
pwhv-jwwC,live
pwlC-wmjh,live
pwtz-mvnk,live
pxbh-wjrj,live
pxcf-qzbb,live
pxCr-glxm,dropped
pxpm-hyjy,live
pxpp-kwbk,live
pxpx-pqCt,live
pydx-xvzf,live
pzfn-scwz,live
pzmg-dzhc,live
pzmg-jtjl,live
pznC-jdys,live
pzvh-fmvz,live
qbbw-tqCc,live
qbcq-ftcq,live
qbfj-jdrx,live
qbng-kmhc,live
qbrc-hdhy,dropped
qccg-lhxp,live
qctC-pjdf,live
qCtw-rfrd,live
qddm-scpf,live
qdgm-bcgj,live
qdns-ghhn,live
qdtd-mChl,dropped
qfdj-xtvz,live
qfhm-khwj,live
qfpz-zxgk,live
qfvf-wsqs,dropped
qfwq-Ctwj,live
qglk-Cjtq,live
qhzr-qcpd,live
qhzv-btqy,dropped
qjkl-pxvp,live
qjly-ljqr,live
qjnq-wzwz,live
qjzz-wnmp,live
qkbj-qppn,live
qkhh-xclf,live
qlCg-zrsC,live
qlnh-vkdv,dropped
qlyb-jcmc,live
qlyj-fcxw,live
qmCn-lCxz,live
qmhl-kyjz,live
qmkx-xwqc,live
qmtb-ndtl,live
qmtk-ypfd,live
qnbt-qxrs,live
qnpc-hfvn,live
qnpg-wrwz,live
qnxq-swvp,live
qpgx-wcgs,live
qppf-jgxh,live
qpsx-ppxq,live
qpzc-dwtl,live
qrgy-xjrk,live
qrnb-lxns,live
qrxs-dnwd,dropped
qsbv-tzqr,live
qsmt-wzhr,live
qsqy-chnf,live
qtsb-zrcc,live
qvfj-mgnn,live
qvjx-dsdC,live
qvnq-crfz,live
qvsx-Cxfn,live
qwrx-xxwn,dropped
qwyt-rscl,live
qyky-gfpz,live
qyym-hrlf,live
qzlm-ddps,live
qzsn-mxlt,live
qzyz-hgtj,live
rbgC-Cmhs,live
rcfn-cbfC,live
rClg-hvgr,live
rcxw-bvwk,dropped
rdjg-ncqw,live
rdns-gfsr,dropped
rdwx-tpsc,live
rfdg-hzxv,live
rffw-mzvp,live
rfls-pctq,dropped
rfnl-bmbd,live
rfyx-zClb,live
rfzd-mvjl,live
rgbb-pmwy,live
rghs-myrd,live
rgly-sdhj,live
rgqb-qmnl,dropped
rgvz-pckz,live
rhfh-rtCl,dropped
rhmg-rnzy,live
rhmm-sdxb,live
rhnx-xmlx,live
rhrn-stnw,live
rjky-vdcy,live
rjqz-ymgm,live
rjxp-gCjz,live
rjyc-djjt,dropped
rkdm-tbdf,dropped
rkgv-qgwl,live
rkht-fqhq,live
rlqn-wqcm,live
rlrk-fqsx,live
rmkr-fkdf,live
rmmg-qdlb,live
rnCq-dlbt,live
rncx-rlsj,live
rnhq-ymmd,live
rnrx-yckl,dropped
rntc-bsvw,live
rpct-blnp,live
rpct-kdrv,live
rpkt-vrhj,live
rprf-tmll,dropped
rqCl-mhct,live
rqcs-xcnp,live
rqhl-njcm,live
rrbx-rznr,live
rrCw-bqbn,live
rrvh-mghC,live
rskr-krsw,live
rsvk-sftb,live
rtcj-gvnh,live
rtmc-hjdx,live
rtpb-khrl,live
rtxh-gygv,live
rtzj-vzyr,live
rvlg-tbqp,live
rwrl-fkcv,live
rwrv-hwsk,live
rwtj-vrlg,dropped
rwvb-rvgn,live
rwwk-jztl,live
rxch-lhrl,live
rxgg-dwrm,live
rxrc-cztp,live
rygv-kChn,dropped
ryhj-cvyj,live
rynf-hxht,live
ryrq-hdld,live
ryxn-dydx,live
rzwr-xxgn,live
rzxv-stdy,live
rzyg-pxCt,live
sbbh-cczf,live
sbdt-dnww,live
sbrj-qlvy,live
sbwy-gsyq,live
sbyr-bfxs,live
sCcw-szjw,live
scfz-zgdv,live
sChf-mvfg,live
schl-ddmz,live
sChl-vmdw,live
sCnh-kffz,live
scsw-jpzm,live
sCtp-qcgn,dropped
sCwt-ltcd,live
sCzj-bmdd,live
sdcw-jCdn,live
sdfj-xltc,live
sgby-xtnk,live
shCy-lxnq,live
shhx-ysfr,live
shjz-pzjj,live
shxk-lwfd,live
skcf-kbCm,live
sknw-vbfc,live
skpw-mhCk,live
skqt-wqwq,live
skqx-vCbk,live
skrk-lcgw,live
sksg-Cdvq,live
slcr-vqxr,live
slwy-wxlx,live
smnn-rtth,live
smrb-lqsd,live
smrx-hnyl,live
smxf-gznc,live
snct-zvmz,live
sndv-lmnq,live
snhb-qsxC,live
snrh-Ctnp,live
snwn-tlwt,live
spbC-jyfc,live
sphm-sprs,live
spwf-Crny,live
sqbn-hvbq,live
sqgd-Cnyv,live
sqnl-llqx,live
sqpm-cCdm,live
srdb-ckqm,live
srjb-jqkc,live
srww-qmxc,live
sscf-frwd,live
ssyp-rdhp,dropped
ssyx-tlsf,live
stCp-Csgb,live
stcx-rlwb,live
stdz-sCgb,dropped
stpy-bvwr,live
stqh-ymbp,dropped
stvC-zvng,live
svvl-qtfl,live
swhr-qgxm,dropped
sxms-jCph,live
sxql-wvlp,live
sxqr-jkff,live
sxwk-chrp,live
sygx-lqxn,live
syng-yzyc,live
syrj-qcbg,live
sysk-fpbc,live
szlx-hsvs,dropped
szsl-zlfp,live
szvd-qdpd,live
szxw-kbcz,live
tbjd-khtb,live
tbqv-dnkC,live
tbsf-xjgz,live
tCdt-jhbh,live
tCdy-kpkC,dropped
tchz-pCmj,live
tCjs-xbzv,live
tCqb-gprr,live
tCqt-zmmj,live
tcry-xcml,live
tcsj-fthd,live
tCsz-kvgs,live
tcvt-sxdb,live
tdbc-jlgy,live
tdCp-zlsw,live
tdCt-zmth,live
tfhl-gwrz,live
tfhy-mpsy,live
tflC-fxtt,live
tfvm-lrct,live
tgbb-fcrk,live
tglb-tfmw,live
tgst-xjtj,live
tgvn-ltsz,live
thvq-Cbwq,dropped
tjmn-ctnv,live
tjrb-fdtk,live
tjtC-szkn,live
tkqh-hvcc,dropped
tkrn-zypj,live
tksk-Cljn,live
tlCf-mcbc,live
tlyp-zysd,live
tmdt-gkyC,live
tmjf-zphk,live
tmjk-tcrk,live
tmnw-fpxx,live
tmxf-zdpy,dropped
tnct-wffs,live
tnmx-ydtt,dropped
tnnm-tbcc,live
tpcj-lccC,live
tpyj-pxzd,live
tpyt-hjpg,live
tpzm-tyqz,live
tqgc-Cpdt,live
tqvp-ggcy,live
trfn-ghrz,live
trhz-tmgg,live
trsw-yrrz,dropped
tshg-nrjw,live
tspw-tbft,live
ttml-yghs,live
tvbr-Chmn,live
tvpv-tqwq,live
tvwk-wxyC,live
tvwx-pzjd,live
twpn-ngjz,live
twvv-hvpd,dropped
twvx-xzzp,live
tycr-jpgt,live
tyfr-jllg,dropped
tygq-ktdr,live
tyql-zzhw,dropped
tyyr-jlvl,live
tzkd-wssw,live
tzpl-xcpC,live
tzqj-nftt,live
vbgf-jvyx,live
vbpk-mvvj,live
vbtv-mrzm,live
vbwm-kzfb,live
vbxl-gjrl,dropped
vCbz-pnvv,dropped
vCcg-btxn,live
vcCt-bvfC,live
vccz-ykqC,dropped
vchl-nrfv,live
vCqm-zffz,live
vdkj-dcpb,live
vdrg-yzfl,live
vdyh-rkgy,live
vfbw-vplq,live
vfrd-cpzc,live
vgdv-qmvt,live
vgmw-ncdl,live
vgvz-pbnz,live
vgxj-dggf,live
vhbr-jycz,live
vhkt-qysy,live
vhvm-ywjp,live
vkjz-gnzh,live
vkkc-xdrj,live
vlCv-dhvx,live
vmbC-ffht,live
vmfq-bCbz,live
