id,word,meaning,author,made,why
qdns-ghhn,tiz,ellipse,you,2026-09-15,in base.csv when the variant system was built
kgCv-kdws,tiv,conscious,you,2026-09-15,in base.csv when the variant system was built
ftlk-qvcC,tix,tingle,you,2026-09-15,in base.csv when the variant system was built
xtbl-tjsm,tic,fourteen,you,2026-09-15,in base.csv when the variant system was built
xhhb-jcsk,ten,tan (color),you,2026-09-15,in base.csv when the variant system was built
cbkf-rCmz,teq,like (as if),you,2026-09-15,in base.csv when the variant system was built
xkdh-plzc,ted,up,you,2026-09-15,in base.csv when the variant system was built
mhyr-Cwzq,tet,signal,you,2026-09-15,in base.csv when the variant system was built
cnkr-qccC,tek,take,you,2026-09-15,in base.csv when the variant system was built
Cvsm-hpgj,tef,left,you,2026-09-15,in base.csv when the variant system was built
dtrg-dnjf,tam,meditate,you,2026-09-15,in base.csv when the variant system was built
nymy-rxkf,taq,tongue,you,2026-09-15,in base.csv when the variant system was built
mwhv-kztn,tad,tail,you,2026-09-15,in base.csv when the variant system was built
fpCp-mkpr,tab,stable,you,2026-09-15,in base.csv when the variant system was built
rdwx-tpsc,tat,sibling,you,2026-09-15,in base.csv when the variant system was built
hxrC-yqpm,tak,talk,you,2026-09-15,in base.csv when the variant system was built
zkft-grth,tas,test,you,2026-09-15,in base.csv when the variant system was built
hrjq-grCg,taf,good,you,2026-09-15,in base.csv when the variant system was built
rrvh-mghC,taj,down (to be cool with something),you,2026-09-15,in base.csv when the variant system was built
ydzb-nhkg,taC,blue,you,2026-09-15,in base.csv when the variant system was built
wbcs-jnvp,tac,set (get),you,2026-09-15,in base.csv when the variant system was built
syrj-qcbg,tar,tire (sleep),you,2026-09-15,in base.csv when the variant system was built
ymxC-lfnq,tal,tell,you,2026-09-15,in base.csv when the variant system was built
ddzl-mvfz,tom,atom,you,2026-09-15,in base.csv when the variant system was built
ndxf-jmlt,ton,agent (one who does x),you,2026-09-15,in base.csv when the variant system was built
qvnq-crfz,tod,term,you,2026-09-15,in base.csv when the variant system was built
jzbg-djrr,tok,structure,you,2026-09-15,in base.csv when the variant system was built
mxqg-qmpw,tos,task,you,2026-09-15,in base.csv when the variant system was built
mkcl-tskd,toz,position (cardinal),you,2026-09-15,in base.csv when the variant system was built
znfv-xmtb,tox,text,you,2026-09-15,in base.csv when the variant system was built
zmdb-khcy,tor,before,you,2026-09-15,in base.csv when the variant system was built
tmjf-zphk,tuq,type,you,2026-09-15,in base.csv when the variant system was built
qsmt-wzhr,tub,tube,you,2026-09-15,in base.csv when the variant system was built
mfyx-hvrl,tup,impure,you,2026-09-15,in base.csv when the variant system was built
sgby-xtnk,tuz,because,you,2026-09-15,in base.csv when the variant system was built
fgvn-nbyr,tuv,input (computing),you,2026-09-15,in base.csv when the variant system was built
Cbpt-nmfp,tux,intuition,you,2026-09-15,in base.csv when the variant system was built
klqC-nlqb,tuc,emotion,you,2026-09-15,in base.csv when the variant system was built
fkvh-xdsm,tur,turf,you,2026-09-15,in base.csv when the variant system was built
wyyh-mymc,tul,tool,you,2026-09-15,in base.csv when the variant system was built
fxvn-zpfl,kim,climb,you,2026-09-15,in base.csv when the variant system was built
cCqs-bhCy,kiq,action,you,2026-09-15,in base.csv when the variant system was built
mzyr-kCvv,kid,could,you,2026-09-15,in base.csv when the variant system was built
hfqj-bkxw,kip,tune,you,2026-09-15,in base.csv when the variant system was built
kqxt-clfz,kik,kick,you,2026-09-15,in base.csv when the variant system was built
fnts-dkvy,kis,bottom,you,2026-09-15,in base.csv when the variant system was built
kcft-gpyx,kiz,if,you,2026-09-15,in base.csv when the variant system was built
CqtC-rbdt,kiv,intent,you,2026-09-15,in base.csv when the variant system was built
pkng-xsty,kix,process,you,2026-09-15,in base.csv when the variant system was built
pydx-xvzf,ken,communicate,you,2026-09-15,in base.csv when the variant system was built
bmnx-lvxw,keg,front,you,2026-09-15,in base.csv when the variant system was built
jwzf-dbbd,kep,clone,you,2026-09-15,in base.csv when the variant system was built
wytq-yzcy,ket,but,you,2026-09-15,in base.csv when the variant system was built
wcbx-dmsf,kek,agree,you,2026-09-15,in base.csv when the variant system was built
gzhm-fcbg,kes,case (situation),you,2026-09-15,in base.csv when the variant system was built
zyrs-CCmv,kam,calm,you,2026-09-15,in base.csv when the variant system was built
vhkt-qysy,kan,aggregate,you,2026-09-15,in base.csv when the variant system was built
xsjr-kntz,kaq,object,you,2026-09-15,in base.csv when the variant system was built
qfdj-xtvz,kab,receive,you,2026-09-15,in base.csv when the variant system was built
xsts-Cgxt,kat,focus,you,2026-09-15,in base.csv when the variant system was built
mxzc-jxhh,kaz,cause,you,2026-09-15,in base.csv when the variant system was built
fmnx-yxng,kaf,cough,you,2026-09-15,in base.csv when the variant system was built
cxyd-xCgq,kax,perfect,you,2026-09-15,in base.csv when the variant system was built
hbwc-Cszb,kar,call,you,2026-09-15,in base.csv when the variant system was built
pxpp-kwbk,kal,time,you,2026-09-15,in base.csv when the variant system was built
rgvz-pckz,kom,five,you,2026-09-15,in base.csv when the variant system was built
dzxs-xgjl,kon,and,you,2026-09-15,in base.csv when the variant system was built
ktfb-pwqk,kod,code,you,2026-09-15,in base.csv when the variant system was built
hpng-nmdh,kop,scope,you,2026-09-15,in base.csv when the variant system was built
qhzr-qcpd,kok,disagree,you,2026-09-15,in base.csv when the variant system was built
tCsz-kvgs,koz,z-axis,you,2026-09-15,in base.csv when the variant system was built
vdyh-rkgy,kov,cover,you,2026-09-15,in base.csv when the variant system was built
rClg-hvgr,kof,default,you,2026-09-15,in base.csv when the variant system was built
ykhq-mkhf,kox,cell (biology),you,2026-09-15,in base.csv when the variant system was built
qmCn-lCxz,koj,violet,you,2026-09-15,in base.csv when the variant system was built
pmtf-gxyw,kol,all,you,2026-09-15,in base.csv when the variant system was built
whyp-mhdn,kum,back area,you,2026-09-15,in base.csv when the variant system was built
Cckr-qzxv,kuq,manner,you,2026-09-15,in base.csv when the variant system was built
gsxr-wddp,kud,miss (didn't touch),you,2026-09-15,in base.csv when the variant system was built
pjtq-kyxf,kub,cube,you,2026-09-15,in base.csv when the variant system was built
xhmz-ntps,kup,tone,you,2026-09-15,in base.csv when the variant system was built
rncx-rlsj,kus,constant,you,2026-09-15,in base.csv when the variant system was built
jphy-tnCf,kuv,divide,you,2026-09-15,in base.csv when the variant system was built
dbzz-jqhd,kuf,clue,you,2026-09-15,in base.csv when the variant system was built
xkjy-fhps,kur,down,you,2026-09-15,in base.csv when the variant system was built
gbmy-dkrt,kul,cool (interjection),you,2026-09-15,in base.csv when the variant system was built
vqCm-tjmf,him,nothing,you,2026-09-15,in base.csv when the variant system was built
hngh-pCjq,hin,hi,you,2026-09-15,in base.csv when the variant system was built
gfxv-vdqt,hid,not hidden,you,2026-09-15,in base.csv when the variant system was built
nvdj-ygtc,hip,group,you,2026-09-15,in base.csv when the variant system was built
pzmg-dzhc,hit,heat,you,2026-09-15,in base.csv when the variant system was built
rhmm-sdxb,hik,hike,you,2026-09-15,in base.csv when the variant system was built
Cyxm-Cnsd,his,snake,you,2026-09-15,in base.csv when the variant system was built
hrby-lmgq,hix,peach (color),you,2026-09-15,in base.csv when the variant system was built
ntpp-mlzb,hem,hey,you,2026-09-15,in base.csv when the variant system was built
tcsj-fthd,heq,hang,you,2026-09-15,in base.csv when the variant system was built
zxyq-zwhb,hek,hour,you,2026-09-15,in base.csv when the variant system was built
gqCn-hswl,hez,every,you,2026-09-15,in base.csv when the variant system was built
zzkj-qrhv,ham,hmm,you,2026-09-15,in base.csv when the variant system was built
wvmr-drvk,han,zero,you,2026-09-15,in base.csv when the variant system was built
jtyt-mbpx,had,head,you,2026-09-15,in base.csv when the variant system was built
wqld-mjhd,hap,event,you,2026-09-15,in base.csv when the variant system was built
tvwx-pzjd,hat,at,you,2026-09-15,in base.csv when the variant system was built
jxbk-lzgn,hak,hack (work),you,2026-09-15,in base.csv when the variant system was built
flfn-lrff,has,hyper,you,2026-09-15,in base.csv when the variant system was built
jcfl-sxhn,haz,have,you,2026-09-15,in base.csv when the variant system was built
rbgC-Cmhs,har,era,you,2026-09-15,in base.csv when the variant system was built
kcfz-fqbz,hal,how,you,2026-09-15,in base.csv when the variant system was built
cbfq-wjvz,hom,home,you,2026-09-15,in base.csv when the variant system was built
mpxt-qsqC,hoq,hold,you,2026-09-15,in base.csv when the variant system was built
mnbn-zhjh,hod,period of x (-hood),you,2026-09-15,in base.csv when the variant system was built
klkc-kqwb,hop,hope,you,2026-09-15,in base.csv when the variant system was built
yndr-lklh,hok,okay,you,2026-09-15,in base.csv when the variant system was built
ytpm-cqly,hoz,cardinal number,you,2026-09-15,in base.csv when the variant system was built
scfz-zgdv,hov,floating point,you,2026-09-15,in base.csv when the variant system was built
xqsy-hrqr,hol,whole,you,2026-09-15,in base.csv when the variant system was built
slwy-wxlx,hum,urge,you,2026-09-15,in base.csv when the variant system was built
nnzg-xbpf,hun,illusion,you,2026-09-15,in base.csv when the variant system was built
jpyr-zcjw,huq,uh,you,2026-09-15,in base.csv when the variant system was built
cysh-mpkt,hud,hide,you,2026-09-15,in base.csv when the variant system was built
sksg-Cdvq,hub,x-axis,you,2026-09-15,in base.csv when the variant system was built
rmmg-qdlb,hut,heed,you,2026-09-15,in base.csv when the variant system was built
smnn-rtth,huk,hook,you,2026-09-15,in base.csv when the variant system was built
pCxs-wkpp,huz,duration,you,2026-09-15,in base.csv when the variant system was built
jjcg-gpth,huv,handle,you,2026-09-15,in base.csv when the variant system was built
Cdtx-tpmC,sig,front,you,2026-09-15,in base.csv when the variant system was built
kjzC-jyyv,sid,seed,you,2026-09-15,in base.csv when the variant system was built
fswC-vhzd,sip,asleep,you,2026-09-15,in base.csv when the variant system was built
vnrk-xvsv,sit,medium,you,2026-09-15,in base.csv when the variant system was built
myqg-msqz,sik,seek,you,2026-09-15,in base.csv when the variant system was built
hCvw-znmy,siz,peace,you,2026-09-15,in base.csv when the variant system was built
pxcf-qzbb,siv,perceive,you,2026-09-15,in base.csv when the variant system was built
lfxn-jpCp,sif,purple,you,2026-09-15,in base.csv when the variant system was built
rsvk-sftb,six,all encompasing thing,you,2026-09-15,in base.csv when the variant system was built
sknw-vbfc,siC,hush,you,2026-09-15,in base.csv when the variant system was built
lpdx-mbnh,sem,same (sym-),you,2026-09-15,in base.csv when the variant system was built
gyfC-ftnk,sep,swipe,you,2026-09-15,in base.csv when the variant system was built
hcxx-slxC,sek,percept,you,2026-09-15,in base.csv when the variant system was built
lcjm-jwlw,sez,sir,you,2026-09-15,in base.csv when the variant system was built
qpgx-wcgs,sev,save,you,2026-09-15,in base.csv when the variant system was built
pwlC-wmjh,sef,continue,you,2026-09-15,in base.csv when the variant system was built
mtrt-smgw,seC,etc.,you,2026-09-15,in base.csv when the variant system was built
xjgs-nnhk,sam,sound,you,2026-09-15,in base.csv when the variant system was built
xryj-rxdk,san,sun,you,2026-09-15,in base.csv when the variant system was built
tCqt-zmmj,saq,song,you,2026-09-15,in base.csv when the variant system was built
tzqj-nftt,sag,beyond (extra- or hyper-),you,2026-09-15,in base.csv when the variant system was built
chnj-pcqt,sab,describe,you,2026-09-15,in base.csv when the variant system was built
nzsl-lykl,sap,present (now),you,2026-09-15,in base.csv when the variant system was built
