term,meaning,fate,became
lorg,log (diary),removed,
maks,maximum,removed,
marC,quite,removed,
marn,muon,removed,
mars,mass,removed,
marx,mesh (inter-),removed,
mask,mask,removed,
matx,symmetry,removed,
minz,means,removed,
mirt,meter,removed,
mold,mold (shape),removed,
molz,mow (grass),removed,
mord,manifold,removed,
morf,morph,removed,
morv,maybe,removed,
most,most (-est) (large-collection-partition-focus),removed,
mutx,much (large-lot-focus),removed,
nalz,analyse,removed,
namp,magnet,removed,
nand,nand,removed,
nanz,noise,removed,
nart,neutron,removed,
natz,glory,removed,
nork,nor,removed,
norm,normal (math),removed,
nors,having some aspects of (-ish),removed,
norx,nourish,removed,
nust,embed,removed,
pand,upon,removed,
paqk,punk,removed,
pard,pod,removed,
park,park (car),removed,
parn,purr,removed,
parp,perpendicular,removed,
patx,patch,removed,
pent,paint,removed,
pest,paste,removed,
pirs,role/as,removed,
pitx,pitch (sound),removed,
plak,pluck,removed,
plas,compassion,removed,
plax,accomplish,removed,
pleg,plague,removed,
plek,their,removed,
plen,plane (geometry),removed,
plep,plop,removed,
plet,plate,removed,
plin,discipline,removed,
pliz,please,removed,
plod,implode,removed,
plon,pion,removed,
plud,pound (measure),removed,
plup,poop,removed,
podj,purge,removed,
porf,puff,removed,
pork,per,removed,
port,important,removed,
post,post (content),removed,
potx,pi,removed,
prab,probable,removed,
pram,primordial,removed,
prat,apart,removed,
praz,prize,removed,
pres,pressure,removed,
prex,precious,removed,
prik,opaque,removed,
prim,prime (primative),removed,
prot,proton,removed,
proz,for/purpose,removed,
pruk,pick,removed,
raft,raft,removed,
rant,rant,removed,
ranz,ram,removed,
rask,reminiscent of (-esque),removed,
rast,rest (remainder),removed,
reqk,rank,removed,
retx,rate (change),removed,
rilz,reel,removed,
riqk,rhyme,removed,
risk,risk,removed,
ritx,ring (math),removed,
rond,gnaw,removed,
rutz,race (event),removed,
sals,celsius,removed,
samp,sentence (text),removed,
sark,discern,removed,
sarl,swirl,removed,
sart,certain,removed,
sarz,feature,removed,
satx,such,removed,
sedj,sage (person),removed,
sent,saint,removed,
senz,essence,removed,
sfir,sphere,removed,
sinc,synthetic,removed,
siqk,sink (down),removed,
sitx,second (time),removed,
skap,skip,removed,
skar,square,removed,
skax,squash,removed,
skep,scape (scenery),removed,
skil,skill,removed,
skim,minimum,removed,
skoq,cease,removed,
skor,score,removed,
skum,scheme,removed,
skun,skew,removed,
skup,scoop,removed,
skur,scare,removed,
skut,difficult,removed,
skuz,excuse,removed,
slad,slide,removed,
slap,slop,removed,
slas,faint (light),removed,
slax,slash,removed,
slet,slight,removed,
sliC,therefore,removed,
slid,swing,removed,
slim,submit,removed,
slog,slug,removed,
slop,slope,removed,
slup,swoop,removed,
slur,my,removed,
smax,smash,removed,
smek,smack,removed,
smil,smell,removed,
smin,meson,removed,
snap,snap,removed,
snar,snare (drum),removed,
snif,sniff,removed,
snik,sneak,removed,
sold,solid,removed,
solp,swap,removed,
sorg,recent,removed,
spak,spike,removed,
span,spine,removed,
spas,spice,removed,
spit,spit,removed,
spok,spoke (wheel),removed,
sriz,series,removed,
stab,stab,removed,
staf,stuff,removed,
stal,stall,removed,
stat,stat,removed,
sten,stain,removed,
stet,status,removed,
stev,stay,removed,
stil,still (motion),removed,
stim,steam,removed,
stoj,storage,removed,
stok,stomach,removed,
stom,install,removed,
stud,sad,removed,
stup,stupid,removed,
sutx,set (math),removed,
svas,sigh,removed,
svur,very,removed,
tamp,temperature,removed,
taqk,toy,removed,
tard,towards,removed,
tarp,topology,removed,
tirn,tour,removed,
toks,easy,removed,
torp,interpolate,removed,
totx,attach,removed,
trak,track (path),removed,
trap,trap,removed,
traq,triangle,removed,
tras,torus,removed,
trat,tight,removed,
tres,trace,removed,
tret,trait,removed,
trij,treasure,removed,
trik,trick,removed,
trin,neutrino,removed,
tris,interest,removed,
trom,spectrum,removed,
txak,check,removed,
txap,chip,removed,
txes,chase,removed,
txet,shit,removed,
txin,teen,removed,
txir,cheer,removed,
txor,saturate,removed,
txot,loose,removed,
txul,actual,removed,
txun,sneeze,removed,
valv,evolve,removed,
vark,syllable,removed,
varm,vomit,removed,
vast,vast,removed,
vist,visit,removed,
vlam,its,removed,
volt,volt,removed,
volz,violent,removed,
vorb,ever,removed,
vord,avoid,removed,
vork,electron,removed,
vraj,average,removed,
vram,insight,removed,
vret,settle,removed,
vurf,verify,removed,
vutx,entity,removed,
wald,wild,removed,
wand,wind (coil),removed,
warx,worship,removed,
wird,weird,removed,
worc,worth,removed,
wups,whoops,removed,
xant,ancient,removed,
xark,society,removed,
xarz,opposite (anti),removed,
xift,shift,removed,
ximz,happy,removed,
xlav,calculate,removed,
xlik,shriek,removed,
xort,sure,removed,
yard,yard (measurement),removed,
yild,yield,removed,
yorm,uniform (consistent),removed,
yorn,yearn,removed,
yust,used to,removed,
zalb,fermion,removed,
zalv,dissolve,removed,
zarn,alien,removed,
zist,resist,removed,
zolt,column,removed,
