tree,certainty,words,rock,moon,english
muka,held,1,mug,mug,(past particle)
muka,held,1,mug,wug,emanate
muka,held,1,muj,moj,emerge
muka,held,1,muj,muj,message
muka,held,1,muk,mok,align
muka,held,1,muk,muk,earth (dirt)
muka,held,1,mux,mox,immutable
muka,held,1,mux,wux,system
muna,held,1,mun,moq,about/encompass
muna,held,1,mun,mun,gut sense
muna,held,1,mun,muq,mmm
muna,held,1,mun,wun,woo
mupa,held,1,mup,mop,twelve
mupa,held,1,muv,muv,move
muta,held,1,mud,mod,mode
muta,held,1,mud,mol,high
muta,held,1,mud,mor,the model of the action (e.g. the transform)
muta,held,1,mud,mud,mood
muta,held,1,mud,mul,unreal
muta,held,1,mud,wol,wow
muta,held,1,mud,wor,forceful (like hard hit)
muta,held,1,mus,muc,mouth
muta,held,1,mus,mus,mercy
muta,held,1,mut,mot,mountain
muta,held,1,mut,mut,mutate
muta,held,1,mut,wut,what
muta,held,1,muz,moz,hash
muta,held,1,muz,muz,pain
muta,held,1,muz,woz,problem
naka,held,1,nak,nak,knock
nama,held,1,nam,nam,name
napa,held,1,nav,nav,center
nata,held,1,nad,nal,neutral
nata,held,1,nad,nar,person
nata,held,1,nas,nas,nest
nata,held,1,naz,naz,as
nika,held,1,nik,nek,neck
nika,held,1,nik,nik,pink
nika,held,1,nix,nix,listen
nipa,held,1,nif,nif,a (isolated-element-focus)
nipa,held,1,nip,nep,nature
nipa,held,1,niv,nev,off
nita,held,1,nid,ned,static
nita,held,1,nid,nid,need
nita,held,1,nid,nir,nerd
nita,held,1,nis,nes,nice
nita,held,1,nit,net,knit
nita,held,1,niz,niz,nest (structure)
nuka,held,1,nuj,nuj,hell
nuka,held,1,nux,nox,notion
numa,held,1,num,num,know
nupa,held,1,nub,nub,separate
nupa,held,1,nup,nop,no
nupa,held,1,nuv,nuv,empty
nuta,held,1,nud,nol,toward
nuta,held,1,nud,nul,forget
nuta,held,1,nus,nuc,long
nuta,held,1,nut,not,note
nuta,held,1,nuz,noz,nose
nuta,held,1,nuz,nuz,distribute
paka,held,1,bag,bag,insect
paka,held,1,bak,bak,send
paka,held,1,bax,bax,bird
paka,held,1,fak,fak,fuck
paka,held,1,pak,pak,package
paka,held,1,vak,vak,multiply
paka,held,1,vax,vax,it
pama,held,1,bam,bam,create
pama,held,1,fam,fam,family
pama,held,1,pam,pam,pray
pana,held,1,ban,ban,together/bind
pana,held,1,ban,baq,be
pana,held,1,fan,fan,find
pana,held,1,pan,pan,yes
pana,held,1,pan,paq,response
pana,held,1,van,van,having the nature of (-ivity)
papu,held,1,vab,vab,vibe
pata,held,1,bad,bad,tangent (math)
pata,held,1,bad,bar,bear (carry)
pata,held,1,bat,bat,beauty
pata,held,1,baz,baC,by
pata,held,1,faz,faz,green
pata,held,1,pad,par,depart/from
pata,held,1,pas,pac,path
pata,held,1,pas,pas,space
pata,held,1,pat,pat,dimension
pata,held,1,vad,val,value
pata,held,1,vad,var,variable
pata,held,1,vas,vas,aspect
pata,held,1,vat,vat,body
pika,held,1,big,big,go
pika,held,1,fik,fek,fake
pika,held,1,fix,fix,belief
pika,held,1,pik,pik,master
pika,held,1,vig,vig,start
pika,held,1,vik,vek,filter
pika,held,1,vix,vex,reveal
pika,held,1,vix,vix,preserve
pima,held,1,bim,bim,target
pima,held,1,fim,fim,female
pima,held,1,pim,pem,they (communicating-agent-external-reference-focus)
pima,held,1,pim,pim,permeate
pima,held,1,vim,vim,way/style
pina,held,1,bin,beq,bang
pina,held,1,bin,biq,being
pina,held,1,pin,peq,pay
pina,held,1,pin,piq,request
pina,held,1,vin,vin,fill (-full)
pina,held,1,vin,viq,everything
pipa,held,1,vib,veb,byte
pipa,held,1,vip,vip,six
pita,held,1,bid,bed,bite
pita,held,1,bid,bid,ignorant
pita,held,1,bid,bil,limit/restrict
pita,held,1,bis,bes,base
pita,held,1,bit,bet,under
pita,held,1,bit,bit,beat
pita,held,1,biz,biz,intense
pita,held,1,fid,fid,next
pita,held,1,fid,fid,food
pita,held,1,fid,fil,feel
pita,held,1,fis,fes,face
pita,held,1,fit,fet,eight
pita,held,1,pit,pit,pure
pita,held,1,vid,ved,study or science of (-ology)
pita,held,1,vid,vid,veer
pita,held,1,vid,vil,manifest
pita,held,1,vid,vir,remote (far)
pita,held,1,vis,ves,vessel
pita,held,1,vis,vic,bit
pita,held,1,vis,vis,see
pita,held,1,vit,vit,information
puka,held,1,bug,bug,cosine
puka,held,1,bux,bux,bundle (matter condensing)
puka,held,1,fug,fug,figure (it out)
puka,held,1,fuj,fuj,refuge
puka,held,1,fuk,fok,halt
puka,held,1,vug,vog,black
puma,held,1,bum,bum,boom
puma,held,1,pum,pom,different
puma,held,1,pum,pum,time (count)
puna,held,1,fun,fon,device
puna,held,1,fun,fun,within (endo-)
puna,held,1,fun,fun,would
puna,held,1,fun,fun,wind (air)
puna,held,1,fun,fuq,function
puna,held,1,vun,von,sin
puna,held,1,vun,vun,on
puna,held,1,vun,vuq,data
puna,held,1,vun,vuq,foundation
pupa,held,1,buv,bov,debug
pupa,held,1,fup,fup,borrow
puta,held,1,bud,bor,condition (case)
puta,held,1,bud,bud,awake
puta,held,1,bud,bul,blue
puta,held,1,bus,bos,possessive plural
puta,held,1,but,bot,boat
puta,held,1,but,but,unstable
puta,held,1,buz,boz,private
puta,held,1,buz,buz,bosom
puta,held,1,fud,for,fire
puta,held,1,fud,ful,fuel
puta,held,1,fud,fur,fail
puta,held,1,fus,fos,else
puta,held,1,fus,fus,discontinuous
puta,held,1,fut,fot,right (direction)
puta,held,1,fut,fut,bad
puta,held,1,fuz,fuz,fusion
puta,held,1,pud,pod,free
puta,held,1,pud,por,poor
puta,held,1,pud,pul,pull
puta,held,1,put,pot,honorific (address)
puta,held,1,vud,vod,void
puta,held,1,vud,vul,via
puta,held,1,vus,vuc,catch
puta,held,1,vus,vus,flex
puta,held,1,vut,vot,vote
puta,held,1,vuz,voz,voice
taka,held,1,dag,dag,dog
taka,held,1,dag,lag,organ (body)
taka,held,1,daj,raj,range
taka,held,1,dak,dak,physical
taka,held,1,dak,lak,like
taka,held,1,dak,rak,rock
taka,held,1,dax,lax,add
taka,held,1,sag,sag,beyond (extra- or hyper-)
taka,held,1,saj,saj,etc
taka,held,1,sak,cak,thank
taka,held,1,sax,sax,wash
taka,held,1,taj,taj,down (to be cool with something)
taka,held,1,tak,tak,talk
taka,held,1,zak,zak,effect
tama,held,1,dam,dam,morality
tama,held,1,dam,lam,real
tama,held,1,dam,ram,dark
tama,held,1,sam,cam,then
tama,held,1,sam,sam,sound
tama,held,1,tam,tam,meditate
tana,held,1,dan,dan,the
tana,held,1,dan,lan,land
tana,held,1,dan,laq,object feature type
tana,held,1,dan,ran,frog
tana,held,1,dan,raq,wrong
tana,held,1,san,san,sun
tana,held,1,san,saq,song
tana,held,1,tan,taq,tongue
tana,held,1,zan,Can,than/compare
tana,held,1,zan,zan,one
tana,held,1,zan,zaq,presence
tapa,held,1,dab,rab,ride
tapa,held,1,daf,daf,previous
tapa,held,1,daf,laf,four
tapa,held,1,daf,raf,reference
tapa,held,1,dap,rap,wrap
tapa,held,1,dav,dav,divine
tapa,held,1,dav,lav,love
tapa,held,1,dav,rav,particle
tapa,held,1,sab,sab,describe
tapa,held,1,sap,sap,present (now)
tapa,held,1,sav,sav,silver
tapa,held,1,tab,tab,stable
tapa,held,1,taf,taf,good
tapa,held,1,zab,zab,public
tapa,held,1,zaf,zaf,equal (iso-)
tapa,held,1,zap,zap,zap
tapa,held,1,zav,zav,lie
tatu,held,1,das,dac,death
tatu,held,1,das,das,understand
tatu,held,1,das,ras,in
tatu,held,1,daz,laz,very much of (-some)
tatu,held,1,daz,raC,rhythm
tatu,held,1,daz,raz,resonate
tatu,held,1,sad,cad,life
tatu,held,1,sad,sal,like (similar)
tatu,held,1,sad,sar,surf
tatu,held,1,sat,cat,mud
tatu,held,1,sat,sat,sight
tatu,held,1,tas,tac,set (get)
tatu,held,1,tas,tas,test
tatu,held,1,zad,Car,there (abstract reference)
tatu,held,1,zad,Car,other
tatu,held,1,zad,zar,vowel
tika,held,1,dig,dig,sine
tika,held,1,dig,lig,square root
tika,held,1,dig,reg,edit
tika,held,1,dij,dej,orange
tika,held,1,dij,lij,orient
tika,held,1,dik,lek,collect
tika,held,1,dik,lik,link
tika,held,1,dik,rik,up
tika,held,1,dix,rex,array
tika,held,1,sig,sig,front
tika,held,1,sik,sek,percept
tika,held,1,sik,sik,seek
tika,held,1,six,six,all encompasing thing
tika,held,1,tik,tek,take
tika,held,1,tix,tix,tingle
tika,held,1,zig,zig,gain
tima,held,1,dim,dim,you
tima,held,1,dim,lem,low
tima,held,1,sim,sem,same (sym-)
tima,held,1,tim,tim,team
tima,held,1,zim,zem,plasma (matter)
tima,held,1,zim,zim,pleasure
tina,held,1,din,lin,learn
tina,held,1,din,liq,simulate
tina,held,1,din,ren,rain
tina,held,1,din,rin,run
tina,held,1,sin,ciq,thing (hatchling)
tina,held,1,tin,ten,tan (color)
tina,held,1,tin,teq,like (as if)
tina,held,1,tin,tin,between
tina,held,1,tin,tiq,mental experience
tina,held,1,zin,zin,decision
tina,held,1,zin,ziq,zing
tipa,held,1,dib,dib,connect
tipa,held,1,dib,rib,ribbit
tipa,held,1,dif,dif,define
tipa,held,1,dif,lif,leaf
tipa,held,1,dif,ref,success
tipa,held,1,dif,rif,close (near)
tipa,held,1,dip,dip,tree
tipa,held,1,dip,lep,push
tipa,held,1,dip,lip,chain
tipa,held,1,dip,rip,rich
tipa,held,1,div,div,drive
tipa,held,1,div,riv,to/arrive
tipa,held,1,sif,sef,continue
tipa,held,1,sif,sif,purple
tipa,held,1,sip,sep,swipe
tipa,held,1,sip,sip,asleep
tipa,held,1,siv,sev,save
tipa,held,1,siv,siv,perceive
tipa,held,1,tif,tef,left
tipa,held,1,tip,tip,step
tipa,held,1,tiv,tiv,conscious
tipa,held,1,zip,zip,graph
tipa,held,1,ziv,Cev,without
tita,held,1,dis,dis,number
tita,held,1,dis,les,air
tita,held,1,dis,ric,straight
tita,held,1,dis,ris,express
tita,held,1,diz,dez,dynamic
tita,held,1,diz,leC,point
tita,held,1,diz,reC,progress
tita,held,1,diz,riC,algorithm
tita,held,1,diz,riz,rise
tita,held,1,sid,sid,seed
tita,held,1,sid,sil,more (-er)
tita,held,1,sit,cit,get
tita,held,1,sit,sit,medium
tita,held,1,tis,tic,fourteen
tita,held,1,tiz,tiz,ellipse
tita,held,1,zid,zil,perspective
tita,held,1,zid,zir,pertaining to x (pleasantry)
tita,held,1,zit,zet,olive (color)
tuka,held,1,dug,dug,drink
tuka,held,1,dug,log,permute
tuka,held,1,dug,log,bet (gamble)
tuka,held,1,dug,log,murmur
tuka,held,1,dug,log,glimmer
tuka,held,1,dug,rog,thirteen
tuka,held,1,dug,rug,this
tuka,held,1,duj,luj,logic
tuka,held,1,duk,duk,minute
tuka,held,1,duk,lok,place (space location)
tuka,held,1,duk,luk,look
tuka,held,1,duk,ruk,location
tuka,held,1,dux,dux,condition (general state)
tuka,held,1,dux,lox,string (computing)
tuka,held,1,sug,sog,reason
tuka,held,1,suk,cok,spec
tuka,held,1,suk,cuk,eleven
tuka,held,1,suk,sok,around/surround
tuka,held,1,suk,suk,top
tuka,held,1,sux,cux,key
tuka,held,1,tuk,tok,structure
tuka,held,1,tux,tox,text
tuka,held,1,tux,tux,intuition
tuka,held,1,zug,Cog,though/regard
tuka,held,1,zuk,zok,try
tuka,held,1,zuk,zuk,where
tuka,held,1,zux,zox,sense
tuma,held,1,dum,dom,state
tuma,held,1,dum,dum,negative
tuma,held,1,dum,lom,plural (many)
tuma,held,1,dum,lum,branch
tuma,held,1,dum,rum,realm
tuma,held,1,sum,som,drug
tuma,held,1,tum,tom,atom
tuma,held,1,zum,zom,so/great
tuma,held,1,zum,zum,zoom
tuna,held,1,dun,dun,join (to one)
tuna,held,1,dun,lon,loan
tuna,held,1,dun,lun,moon
tuna,held,1,dun,luq,question
tuna,held,1,dun,ron,environment
tuna,held,1,dun,run,glyph
tuna,held,1,tun,ton,agent (one who does x)
tuna,held,1,tun,tuq,type
tuna,held,1,zun,Con,transition
tuna,held,1,zun,zon,zone
tupa,held,1,dub,dob,two
tupa,held,1,dub,dub,aware
tupa,held,1,dub,lob,error
tupa,held,1,dub,rub,logarithm
tupa,held,1,duf,luf,far (large-distance-focus)
tupa,held,1,dup,lup,loop
tupa,held,1,dup,rup,right (time)
tupa,held,1,duv,rov,copper
tupa,held,1,duv,ruv,local
tupa,held,1,sub,cub,torture
tupa,held,1,sub,sub,I
tupa,held,1,suf,sof,each
tupa,held,1,suf,suf,self (auto-)
tupa,held,1,sup,sop,so/transition
tupa,held,1,sup,sup,above (super)/hover
tupa,held,1,suv,cov,brown
tupa,held,1,suv,cuv,field (ether)
tupa,held,1,suv,suv,observe
tupa,held,1,tub,tub,tube
tupa,held,1,tup,tup,impure
tupa,held,1,tuv,tuv,input (computing)
tupa,held,1,zub,zub,absorb
tuta,held,1,dus,dus,reduce
tuta,held,1,dus,los,less of (-less) empty
tuta,held,1,dus,ros,force
tuta,held,1,duz,doz,here
tuta,held,1,duz,duz,do
tuta,held,1,duz,roz,rose
tuta,held,1,duz,ruz,consonant
tuta,held,1,sud,sod,mystery
tuta,held,1,sud,sol,soul
tuta,held,1,sud,sor,file (computer)
tuta,held,1,sud,sul,still (time)
tuta,held,1,sud,sur,assert
tuta,held,1,sud,sur,out
tuta,held,1,sut,sut,store
tuta,held,1,tus,tos,task
tuta,held,1,tus,tuc,emotion
tuta,held,1,tuz,toz,position (cardinal)
tuta,held,1,tuz,tuz,because
tuta,held,1,zud,zul,animal
tuta,held,1,zud,zur,fall
tuta,held,1,zut,zut,identity
kaku kika,held,2,kax.kix,kaxkix,babble
kaku maka,held,2,gax.max,gaxax,scout
kaku maka,held,2,kax.mak,haxak,launch of new product
kaku mata,held,2,kax.mad,kaxad,suspicion
kaku mata,held,2,kax.mad,haxmad,extermination
kaku mata,held,2,xag.mat,xagat,shrug
kaku mika,held,2,gax.mik,gaxek,gash
kaku mina,held,2,kax.min,haxin,lean
kaku mina,held,2,kax.min,kaxiq,cash
kaku mina,held,2,xag.min,xagin,shag
kaku mipa,held,2,kax.miv,haxiv,reply
kaku mita,held,2,jak.mit,jaket,jacket
kaku mita,held,2,kax.mid,haxir,molt
kaku mita,held,2,kax.mit,haxmit,omit
kaku mita,held,2,xak.mid,yakid,designate
kaku mita,held,2,xak.mid,yakir,darling
kaku mita,held,2,xak.mit,xakit,salmon
kaku muka,held,2,gax.mux,gaxox,probe
kaku muna,held,2,kax.mun,kaxon,quash
kaku muna,held,2,kax.mun,kaxun,caution
kaku muta,held,2,kaj.mud,hajur,aperture
kaku muta,held,2,kaj.mud,kajul,cashew
kaku muta,held,2,kax.mud,haxor,usher
kaku nima,held,2,xak.nim,xakim,rehabilitate
kaku paka,held,2,kax.pak,haxpak,influence
kaku pata,held,2,kax.pad,haxpal,humiliation
kama kama,held,2,gam.gam,gag,child
kama kama,held,2,kam.kam,hak,hack (work)
kama kama,held,2,kam.kam,hakam,establish
kama kama,held,2,xam.jam,yaj,measure
kama kama,held,2,xam.xam,xax,eternal
kama kana,held,2,kam.kan,hakan,icon
kama kapa,held,2,kam.kab,hakab,obstacle
kama kapa,held,2,kam.kav,hakav,heel
kama kapa,held,2,xam.xav,yaxav,sit
kama kata,held,2,kam.kad,hakar,recognition
kama kata,held,2,kam.kad,kakal,quell
kama kata,held,2,kam.kaz,hakaC,captivate
kama kata,held,2,xam.xas,yaxas,worthy
kama kika,held,2,kam.gix,hagix,serve
kama kipa,held,2,kam.kif,hakif,enforcement
kama kita,held,2,kam.git,haget,await
kama kita,held,2,kam.kid,hakir,acquaint
kama kita,held,2,kam.kit,hakit,acquit
kama kita,held,2,kam.kit,kakit,oyster
kama kuma,held,2,kam.kum,hakom,accompany
kama kuna,held,2,kam.kun,hakun,meadow
kama kuta,held,2,gam.gud,gagor,gag
kama kuta,held,2,kam.gud,hagol,haggle
kama kuta,held,2,kam.kud,kakol,cackle
kama kuta,held,2,kam.kud,kakor,basin
kama kuta,held,2,kam.kuz,kakuz,cuckoo
kama nata,held,2,gam.nad,gamal,camel
kama nata,held,2,kam.nad,kamar,gamble
kama nata,held,2,kam.nat,kamat,flour
kama nika,held,2,kam.nik,hamik,pelt
kama nika,held,2,kam.nix,kamix,commission
kama nima,held,2,kam.nim,hamem,stun
kama nita,held,2,kam.nis,hamis,melt
kama nita,held,2,kam.nit,kamet,comet
kama nita,held,2,kam.niz,hamez,amaze
kama nuta,held,2,gam.nud,gamor,gum
kama nuta,held,2,kam.nus,hamos,ferret
kama nuta,held,2,kam.nus,hamus,hummus
kama nuta,held,2,kam.nut,hamot,hum
kama nuta,held,2,kam.nut,kamut,commute
kama nuta,held,2,kam.nuz,hamuz,amuse
kama paka,held,2,kam.bax,hambax,ambush
kama paka,held,2,kam.pak,kampak,compact
kama pama,held,2,kam.pam,hamp,ampere (electric current)
kama pama,held,2,kam.pam,kamp,camp
kama pana,held,2,kam.ban,kamban,combine
kama pana,held,2,kam.pan,hampan,hump
kama pana,held,2,xam.ban,xaman,shaman
kama pata,held,2,kam.bas,hambas,emboss
kama pata,held,2,kam.bat,kambat,combat
kama pata,held,2,kam.pad,kampal,compile
kama pata,held,2,kam.pas,kampas,compass
kama pina,held,2,xam.pin,xampen,champagne
kama pita,held,2,gam.bid,gambir,serious
kama pita,held,2,kam.pid,hampid,impede
kama pita,held,2,kam.pid,kampir,compare
kama pita,held,2,kam.pit,kampit,compete
kama puna,held,2,kam.bun,hamon,crowd/mob
kama puna,held,2,kam.bun,kamon,common
kama puta,held,2,kam.pud,hampor,hamper
kama puta,held,2,kam.put,kamput,computer
kama puta,held,2,kam.puz,kampoz,compose
kama puta,held,2,xam.bud,xambol,shamble
kama tana,held,2,kam.dan,kamran,camera
kama tana,held,2,kam.san,kamsan,thief
kama tina,held,2,kam.din,kamdin,comedy
kama tina,held,2,kam.tin,kamtiq,committee
kana kana,held,2,kan.xan,hanxaq,serene
kana kata,held,2,gan.gad,gaqgal,ad
kana kika,held,2,kan.gij,haqgej,engage
kana kima,held,2,kan.xim,hanxim,resuscitate
kana kipa,held,2,xan.xip,yanxip,maneuver
kana kita,held,2,kan.kid,haqkid,honk
kana kita,held,2,kan.kit,hanket,antiquate
kana kita,held,2,kan.kit,hankit,impose
kana kita,held,2,kan.xit,hanxet,initiate
kana kuma,held,2,kan.kum,hankom,honeycomb
kana kuna,held,2,xan.xun,yanxun,perpetuate
kana kupa,held,2,xan.xuf,yanxuf,owl
kana kuta,held,2,kan.jud,kanjur,conjure
kana kuta,held,2,kan.kud,hankod,encode
kana kuta,held,2,kan.kud,kankur,concur
kana kuta,held,2,kan.xud,hanxur,insure
kana kuta,held,2,xan.kut,yaqkut,infancy
kana maka,held,2,kan.mak,hanak,giant
kana maka,held,2,kan.mak,kaqak,goose
kana mana,held,2,gan.man,ganan,reckon
kana mana,held,2,kan.man,hanan,onion
kana mana,held,2,kan.man,kanan,canyon
kana mapa,held,2,gan.mav,ganav,steal
kana mika,held,2,kan.mik,hanmik,diminish
kana mina,held,2,kan.min,kaniq,cunning
kana mipa,held,2,xan.mip,xanip,shine
kana mita,held,2,gan.mis,ganis,gneiss
kana mita,held,2,kan.mit,hanit,initialize
kana muka,held,2,kan.muk,hanuk,dedicate
kana muka,held,2,xan.muk,yanuk,smog
kana muna,held,2,kan.mun,hanon,park (vehicle)
kana muna,held,2,xan.mun,yanmon,inundate
kana mupa,held,2,kan.mup,kanop,canopy
kana muta,held,2,gan.mud,ganol,gown
kana muta,held,2,kan.mud,hanod,annoy
kana muta,held,2,kan.mud,hanol,annul
kana muta,held,2,kan.mut,kanot,connotation
kana pana,held,2,kan.fan,kanfan,confine
kana pana,held,2,xan.fan,xaqfaq,counterpart
kana pata,held,2,kan.bad,hanbal,enable
kana pata,held,2,kan.fad,kanfad,confide
kana pata,held,2,kan.fat,kanfat,attitude
kana pata,held,2,kan.pas,hanpas,encompass
kana pata,held,2,kan.vas,kanvas,canvas
kana pika,held,2,kan.fig,kanfig,configure
kana pika,held,2,kan.vik,kanvik,convict
kana pina,held,2,kan.vin,kanven,convey
kana pina,held,2,kan.vin,kanvin,convene
kana pita,held,2,kan.vit,hanvit,envy
kana pupa,held,2,kan.vup,hanvop,envelope
kana puta,held,2,kan.fud,kanfur,confer
kana puta,held,2,kan.fuz,hanfuz,infuse
kana taka,held,2,kan.dag,handag,hound
