tune,english
xonzub,mintaka (star)
biyuzd,mira (star)
mofust,mirach (star)
kemzoz,miram (star)
dafkaf,mirfak (star)
cewoqk,mirzam (star)
detxos,misam (star)
foqkub,mizar (star)
cegzuq,mothallah (star)
doceft,muliphein (star)
kamzug,muphrid (star)
dinzuq,muscida (star)
vetxev,musica (star)
nigzaq,naos (star)
gispij,nashira (star)
pomzod,nekkar (star)
wulpir,nembus (star)
Carpub,nihal (star)
wuzdab,nunki (star)
rolzaq,nusakan (star)
bicesp,ogma (star)
gugaj,peacock (star)
yuxomz,phact (star)
vercas,phecda (star)
xloruj,pherkad (star)
birgub,pipirima (star)
tirzup,pleione (star)
fuCum,polaris australis (star)
harkem,polaris (star)
wisort,polis (star)
prodan,pollux (star)
sirbuk,porrima (star)
dugzab,praecipua (star)
nomdam,prima hyadum (star)
horCej,procyon (star)
kaCox,propus (star)
kuskob,proxima centauri (star)
paqkiq,ran (star)
pospus,rasalas (star)
valtub,rasalgethi (star)
Cadarf,rasalhague (star)
vludaz,rastaban (star)
wargub,regulus (star)
rijas,revati (star)
garCup,rigel (star)
yaqkoc,rigil kentaurus (star)
xondig,rotanev (star)
xexerz,ruchbah (star)
sumeC,rukbat (star)
murtud,sabik (star)
wasex,saclateni (star)
glubeC,sadachbia (star)
gregom,sadalbari (star)
gegomd,sadalmelik (star)
vindof,sadalsuud (star)
rawarg,sadr (star)
srefuc,saiph (star)
fiwefk,salm (star)
fradib,sargas (star)
didjoj,sarin (star)
terdiv,sceptrum (star)
pumdup,scheat (star)
flufor,schedar (star)
xiyig,secunda hyadum (star)
zargej,segin (star)
kartak,seginus (star)
yaxusk,sham (star)
zazdek,shaula (star)
Culard,sheliak (star)
ninamz,sheratan (star)
yirzuz,sirius (star)
muspof,situla (star)
vargox,skat (star)
truxib,spica (star)
yumzuq,sualocin (star)
sarpus,subra (star)
kufkep,suhail (star)
yarCar,sulafat (star)
ravak,syrma (star)
vezdop,tabit (star)
yalpok,taiyangshou (star)
birguc,taiyi (star)
curdax,talitha (star)
hefomd,tania australis (star)
blizaz,tania borealis (star)
vorCet,tarazed (star)
xeqkip,taygeta (star)
Corpod,tegmine (star)
Cezurz,tejat (star)
xligeq,terebellum (star)
blirob,theemin (star)
fodjav,thuban (star)
morosk,tiaki (star)
vekaft,tianguan (star)
runzav,tianyi (star)
xayirz,titawin (star)
faskig,tonatiuh (star)
nejamd,torcular (star)
laftat,tureis (star)
xlovex,unukalhai (star)
mufkak,unurgunite (star)
dercom,vega (star)
defkik,veritate (star)
simziq,vindemiatrix (star)
vrikoC,wasat (star)
hendig,wazn (star)
dirgec,wezen (star)
dirdab,xamidimura (star)
caskig,xuange (star)
hondul,yed posterior (star)
cifkis,yed prior (star)
liskiC,yildun (star)
boltom,zaniah (star)
xikan,zaurak (star)
vifkuk,zavijava (star)
bemdax,zhang (star)
korkut,zibal (star)
kubuk,zosma (star)
xlunad,zubenelgenubi (star)
Cobomz,zubenelhakrabi (star)
pustob,zubeneschamali (star)
bamond,larawag (star)
lurkac,ginan (star)
bajarb,wurren (star)
cerpik,andromeda (stellar constellation)
Cicof,antlia (stellar constellation)
duspeb,apus (stellar constellation)
biCazd,aquarius (stellar constellation)
vlekes,aquila (stellar constellation)
hordas,ara (stellar constellation)
vespis,aries (stellar constellation)
wurtif,auriga (stellar constellation)
kihog,boötes (stellar constellation)
Carind,caelum (stellar constellation)
nurges,camelopardalis (stellar constellation)
yomdox,cancer (stellar constellation)
roqkeg,canes venatici (stellar constellation)
vurket,canis major (stellar constellation)
vugaqk,canis minor (stellar constellation)
hegzaf,capricornus (stellar constellation)
yarteC,carina (stellar constellation)
zemoz,cassiopeia (stellar constellation)
Cirkaj,centaurus (stellar constellation)
maspif,cepheus (stellar constellation)
girCen,cetus (stellar constellation)
busas,chamaeleon (stellar constellation)
tamzif,circinus (stellar constellation)
lagzor,columba (stellar constellation)
kirkof,coma berenices (stellar constellation)
nifask,corona australis (stellar constellation)
calted,corona borealis (stellar constellation)
rezdex,corvus (stellar constellation)
yebiv,crater (stellar constellation)
tamziz,crux (stellar constellation)
kuqumd,cygnus (stellar constellation)
drifal,delphinus (stellar constellation)
vozul,dorado (stellar constellation)
krufox,draco (stellar constellation)
zalzog,equuleus (stellar constellation)
kemzax,eridanus (stellar constellation)
biderb,fornax (stellar constellation)
purpol,gemini (stellar constellation)
Cadirp,grus (stellar constellation)
nalpuz,hercules (stellar constellation)
pigzol,horologium (stellar constellation)
zargex,hydra (stellar constellation)
mohedj,hydrus (stellar constellation)
cebesk,indus (stellar constellation)
cultam,lacerta (stellar constellation)
xlezoz,leo (stellar constellation)
ludjev,leo minor (stellar constellation)
yokoft,lepus (stellar constellation)
faltur,libra (stellar constellation)
sludal,lupus (stellar constellation)
zospez,lynx (stellar constellation)
ludjor,lyra (stellar constellation)
lobomd,mensa (stellar constellation)
varcem,microscopium (stellar constellation)
porbeg,monoceros (stellar constellation)
dolpur,musca (stellar constellation)
sreded,norma (stellar constellation)
zustix,octans (stellar constellation)
fridij,ophiuchus (stellar constellation)
drofeC,orion (stellar constellation)
muskij,pavo (stellar constellation)
dehib,pegasus (stellar constellation)
frufeb,perseus (stellar constellation)
xizdab,phoenix (stellar constellation)
lordot,pictor (stellar constellation)
biqkox,pisces (stellar constellation)
yezolp,piscis austrinus (stellar constellation)
mahaqk,puppis (stellar constellation)
xurCip,pyxis (stellar constellation)
vlogef,reticulum (stellar constellation)
zerCiC,sagitta (stellar constellation)
lanin,sagittarius (stellar constellation)
roCorp,scorpius (stellar constellation)
koskot,sculptor (stellar constellation)
tedjib,scutum (stellar constellation)
tuskec,serpens (stellar constellation)
nerbin,sextans (stellar constellation)
ditxan,taurus (stellar constellation)
hunund,telescopium (stellar constellation)
giCag,triangulum (stellar constellation)
tafkox,triangulum australe (stellar constellation)
yodjut,tucana (stellar constellation)
maherp,ursa major (stellar constellation)
kexers,ursa minor (stellar constellation)
softoc,vela (stellar constellation)
cisaC,virgo (stellar constellation)
gedurt,volans (stellar constellation)
tobip,vulpecula (stellar constellation)
