tune word,english word
rol,rotate
rom,direction
ciq,c consonant
Coz,C consonant
jan,j consonant
ron,
ros,irregular
rov,under
roz,bloom
ruf,
rul,rule
rum,space
run,write
rup,
ruz,
sab,kill
sak,maximum
sal,three
saq,universe
sas,amazement
sed,certainty
seg,aspect
sek,except
sem,same (self)
sen,integer
sev,save
sid,seed
sik,seek
sim,be
sin,after
dom,area
sip,suf,x stuff (pleasantry)fer
siq,wonder
sis,understanding
sit,align
siv,get
six,give
siz,size
sok,soak
sol,energy
som,liquid/juice
son,float (number)
sor,regular
sot,hold
kov,cycle
soz,
sud,abnormal
suk,unique
sum,sort
sun,soon
sup,above (super)
sus,
supomoro,upper
tad,night
tak,source
tal,
tam,assumption
tan,before
tap,subtract
taq,false
tas,release
tat,child
tax,undo
taz,below
tek,take
tem,steady
ten,ratio
tep,check
teq,
tes,y axis
tet,test
tev,relation
tez,chaos
tif,quality
tig,id
tik,word
tim,organization
tiq,true
tir,status
tit,parent
tix,authority
tiz,lack of power
tod,in
tuz,
tol,minimal
tom,boundlessness
ton,bit
tor,pain
tos,release
tot,allow
toz,side
tub,over
tuk,continue
tul,tool
tulawa,carpenter
tum,container
tun,chime
tut,sibling
vak,female
val,odd (number)
vam,hate
van,
vep,immutable
vet,
vid,bliss
vim,exceed (super)
vin,
vip,dynamic
vir,interval
vis,set
vol,similar/like
von,exist
vot,vote
vul,result
vum,stay
vun,variable
wak,traverse
wal,barrier
wan,handle
wap,ten
wed,path
wek,wake
wem,discrete
wet,wait
wev,wave
wol,mesh
wop,random
wul,
wum,important
wun,system
wux,
xak,craft
xom,import
xap,skip
xaq,object
xat,unity
xax,thing
xed,color
xer,share
xek,
xik,follower
xib,verify
xim,experience
xin,machine
xip,map (change one thing into another)
xiq,action
xis,receive
xit,surface/skin
xif,tween
xix,shift
xiz,choice
xok,change
xol,
xam,x oriented
xor,xor (logic)
xon,task/work to be done
xul,push
xum,live
xun,work
xoq,feature
xut,state
xuz,absent
yam,the state of being x
yan,reach
yap,all
yet,
yid,yield
yin,every
yip,
yuli,act
yuliha,acted
yuliwa,actor
yulo,actual
yuloyo,actually
yun,continous
zak,effect
zaq,answer
zat,catch
zen,one
zet,order
zig,equal
yog,practice of focusing on x (-ism)
zin,environment
ziq,question
zir,pertaining to
zit,power
zok,repeat
zol,quality of being
zon,position
zop,solution
zum,speed
zut,separate
zux,present
bam,create
xiv,destroy
vix,preserve
bud,enlightenment
puk,one who promotes
sur,respect
fur,thing to apply x action to
hix,x ish
nes,creative-ness
suf,x oriented stuff (pleasantry)
yod,yotta
zet,zetta
hex,exa
pet,peta
ter,tera
gig,giga
meg,mega
kil,kilo
hek,hecto
dek,deka
des,deci
sed,centi
mil,mili
mik,micro
num,nano
pim,pico
fem,femto
hat,atto
zup,zepto
yap,yocto
wuq,any
yuq,
zaq,
ziq,
gar,
van,has
wetiwa,waiter
wetiho,waiting
dosoyo,twice
dosi,double
dosiyo,doubly

tiqa,truth
tiqafola,truthful
tiqayo,truthy
tiqoyo,truly
tiqo,true
maviho,loving
mavikano,lovable

sido,seedy
noti,note (action)

bamikano,creatable
bami,create
bamiha,created
bamiho,creating
bama,creation
bamayoga,creationism
bamawa,creationist
bamawaya,creationists
bamaya,creations
baminado,creative
baminadoyo,creatively
baminada,creativeness (state of being creative)
bamivana,creativity (result of being creative)
bamivanaya,creativities
bamiwa,creator
bamiwaya,creators

dosayo,second
doso,secondary

zopa,solution
zopi,solve

fapiha,connnected
fapihayo,connnectedly
