word,shape,onset,vowel,coda
peC,CVC,p,e,C
pec,CVC,p,e,c
pam,CVC,p,a,m
pan,CVC,p,a,n
paq,CVC,p,a,q
pag,CVC,p,a,g
pad,CVC,p,a,d
pab,CVC,p,a,b
pap,CVC,p,a,p
pat,CVC,p,a,t
pak,CVC,p,a,k
pas,CVC,p,a,s
paz,CVC,p,a,z
pav,CVC,p,a,v
paf,CVC,p,a,f
pax,CVC,p,a,x
paj,CVC,p,a,j
paC,CVC,p,a,C
pac,CVC,p,a,c
par,CVC,p,a,r
pal,CVC,p,a,l
pom,CVC,p,o,m
pon,CVC,p,o,n
poq,CVC,p,o,q
pog,CVC,p,o,g
pod,CVC,p,o,d
pob,CVC,p,o,b
pop,CVC,p,o,p
pot,CVC,p,o,t
pok,CVC,p,o,k
pos,CVC,p,o,s
poz,CVC,p,o,z
pov,CVC,p,o,v
pof,CVC,p,o,f
pox,CVC,p,o,x
poj,CVC,p,o,j
poC,CVC,p,o,C
poc,CVC,p,o,c
por,CVC,p,o,r
pol,CVC,p,o,l
pum,CVC,p,u,m
pun,CVC,p,u,n
puq,CVC,p,u,q
pug,CVC,p,u,g
pud,CVC,p,u,d
pub,CVC,p,u,b
pup,CVC,p,u,p
puk,CVC,p,u,k
pus,CVC,p,u,s
puz,CVC,p,u,z
puv,CVC,p,u,v
puf,CVC,p,u,f
pux,CVC,p,u,x
puj,CVC,p,u,j
puC,CVC,p,u,C
puc,CVC,p,u,c
pur,CVC,p,u,r
pul,CVC,p,u,l
tim,CVC,t,i,m
tin,CVC,t,i,n
tiq,CVC,t,i,q
tig,CVC,t,i,g
tid,CVC,t,i,d
tib,CVC,t,i,b
tip,CVC,t,i,p
tit,CVC,t,i,t
tik,CVC,t,i,k
tis,CVC,t,i,s
tiz,CVC,t,i,z
tiv,CVC,t,i,v
tif,CVC,t,i,f
tix,CVC,t,i,x
tij,CVC,t,i,j
tiC,CVC,t,i,C
tic,CVC,t,i,c
tem,CVC,t,e,m
ten,CVC,t,e,n
teq,CVC,t,e,q
teg,CVC,t,e,g
ted,CVC,t,e,d
teb,CVC,t,e,b
tep,CVC,t,e,p
tet,CVC,t,e,t
tek,CVC,t,e,k
tes,CVC,t,e,s
tez,CVC,t,e,z
tev,CVC,t,e,v
tef,CVC,t,e,f
tex,CVC,t,e,x
tej,CVC,t,e,j
teC,CVC,t,e,C
tec,CVC,t,e,c
tam,CVC,t,a,m
tan,CVC,t,a,n
taq,CVC,t,a,q
tag,CVC,t,a,g
tad,CVC,t,a,d
tab,CVC,t,a,b
tap,CVC,t,a,p
tat,CVC,t,a,t
tak,CVC,t,a,k
tas,CVC,t,a,s
taz,CVC,t,a,z
tav,CVC,t,a,v
taf,CVC,t,a,f
tax,CVC,t,a,x
taj,CVC,t,a,j
taC,CVC,t,a,C
tac,CVC,t,a,c
tar,CVC,t,a,r
tal,CVC,t,a,l
tom,CVC,t,o,m
ton,CVC,t,o,n
toq,CVC,t,o,q
tog,CVC,t,o,g
tod,CVC,t,o,d
tob,CVC,t,o,b
top,CVC,t,o,p
tot,CVC,t,o,t
tok,CVC,t,o,k
tos,CVC,t,o,s
toz,CVC,t,o,z
tov,CVC,t,o,v
tof,CVC,t,o,f
tox,CVC,t,o,x
toj,CVC,t,o,j
toC,CVC,t,o,C
toc,CVC,t,o,c
tor,CVC,t,o,r
tol,CVC,t,o,l
tum,CVC,t,u,m
tun,CVC,t,u,n
tuq,CVC,t,u,q
tug,CVC,t,u,g
tud,CVC,t,u,d
tub,CVC,t,u,b
tup,CVC,t,u,p
tut,CVC,t,u,t
tuk,CVC,t,u,k
tus,CVC,t,u,s
tuz,CVC,t,u,z
tuv,CVC,t,u,v
tuf,CVC,t,u,f
tux,CVC,t,u,x
tuj,CVC,t,u,j
tuC,CVC,t,u,C
tuc,CVC,t,u,c
tur,CVC,t,u,r
tul,CVC,t,u,l
kim,CVC,k,i,m
kin,CVC,k,i,n
kiq,CVC,k,i,q
kig,CVC,k,i,g
kid,CVC,k,i,d
kib,CVC,k,i,b
kip,CVC,k,i,p
kit,CVC,k,i,t
kik,CVC,k,i,k
kis,CVC,k,i,s
kiz,CVC,k,i,z
kiv,CVC,k,i,v
kif,CVC,k,i,f
kix,CVC,k,i,x
kij,CVC,k,i,j
kiC,CVC,k,i,C
kic,CVC,k,i,c
kem,CVC,k,e,m
ken,CVC,k,e,n
keq,CVC,k,e,q
keg,CVC,k,e,g
ked,CVC,k,e,d
keb,CVC,k,e,b
kep,CVC,k,e,p
ket,CVC,k,e,t
kek,CVC,k,e,k
kes,CVC,k,e,s
kez,CVC,k,e,z
kev,CVC,k,e,v
kef,CVC,k,e,f
kex,CVC,k,e,x
kej,CVC,k,e,j
keC,CVC,k,e,C
kec,CVC,k,e,c
kam,CVC,k,a,m
kan,CVC,k,a,n
kaq,CVC,k,a,q
kag,CVC,k,a,g
kad,CVC,k,a,d
kab,CVC,k,a,b
kap,CVC,k,a,p
kat,CVC,k,a,t
kak,CVC,k,a,k
kas,CVC,k,a,s
kaz,CVC,k,a,z
kav,CVC,k,a,v
kaf,CVC,k,a,f
kax,CVC,k,a,x
kaj,CVC,k,a,j
kaC,CVC,k,a,C
kac,CVC,k,a,c
kar,CVC,k,a,r
kal,CVC,k,a,l
kom,CVC,k,o,m
kon,CVC,k,o,n
koq,CVC,k,o,q
kog,CVC,k,o,g
kod,CVC,k,o,d
kob,CVC,k,o,b
kop,CVC,k,o,p
kot,CVC,k,o,t
kok,CVC,k,o,k
kos,CVC,k,o,s
koz,CVC,k,o,z
kov,CVC,k,o,v
kof,CVC,k,o,f
kox,CVC,k,o,x
koj,CVC,k,o,j
koC,CVC,k,o,C
koc,CVC,k,o,c
kor,CVC,k,o,r
kol,CVC,k,o,l
kum,CVC,k,u,m
kun,CVC,k,u,n
kuq,CVC,k,u,q
kug,CVC,k,u,g
kud,CVC,k,u,d
kub,CVC,k,u,b
kup,CVC,k,u,p
kut,CVC,k,u,t
kus,CVC,k,u,s
kuz,CVC,k,u,z
kuv,CVC,k,u,v
kuf,CVC,k,u,f
kux,CVC,k,u,x
kuj,CVC,k,u,j
kuC,CVC,k,u,C
kuc,CVC,k,u,c
kur,CVC,k,u,r
kul,CVC,k,u,l
him,CVC,h,i,m
hin,CVC,h,i,n
hiq,CVC,h,i,q
hig,CVC,h,i,g
hid,CVC,h,i,d
hib,CVC,h,i,b
hip,CVC,h,i,p
hit,CVC,h,i,t
hik,CVC,h,i,k
his,CVC,h,i,s
hiz,CVC,h,i,z
hiv,CVC,h,i,v
hif,CVC,h,i,f
hix,CVC,h,i,x
hij,CVC,h,i,j
hiC,CVC,h,i,C
hic,CVC,h,i,c
hem,CVC,h,e,m
hen,CVC,h,e,n
heq,CVC,h,e,q
heg,CVC,h,e,g
hed,CVC,h,e,d
heb,CVC,h,e,b
hep,CVC,h,e,p
het,CVC,h,e,t
hek,CVC,h,e,k
hes,CVC,h,e,s
hez,CVC,h,e,z
hev,CVC,h,e,v
hef,CVC,h,e,f
hex,CVC,h,e,x
hej,CVC,h,e,j
heC,CVC,h,e,C
hec,CVC,h,e,c
ham,CVC,h,a,m
han,CVC,h,a,n
haq,CVC,h,a,q
hag,CVC,h,a,g
had,CVC,h,a,d
hab,CVC,h,a,b
hap,CVC,h,a,p
hat,CVC,h,a,t
hak,CVC,h,a,k
has,CVC,h,a,s
haz,CVC,h,a,z
hav,CVC,h,a,v
haf,CVC,h,a,f
hax,CVC,h,a,x
haj,CVC,h,a,j
haC,CVC,h,a,C
hac,CVC,h,a,c
har,CVC,h,a,r
hal,CVC,h,a,l
hom,CVC,h,o,m
hon,CVC,h,o,n
hoq,CVC,h,o,q
hog,CVC,h,o,g
hod,CVC,h,o,d
hob,CVC,h,o,b
hop,CVC,h,o,p
hot,CVC,h,o,t
hok,CVC,h,o,k
hos,CVC,h,o,s
hoz,CVC,h,o,z
hov,CVC,h,o,v
hof,CVC,h,o,f
hox,CVC,h,o,x
hoj,CVC,h,o,j
hoC,CVC,h,o,C
hoc,CVC,h,o,c
hor,CVC,h,o,r
hol,CVC,h,o,l
hum,CVC,h,u,m
hun,CVC,h,u,n
huq,CVC,h,u,q
hug,CVC,h,u,g
hud,CVC,h,u,d
hub,CVC,h,u,b
hup,CVC,h,u,p
hut,CVC,h,u,t
huk,CVC,h,u,k
hus,CVC,h,u,s
huz,CVC,h,u,z
huv,CVC,h,u,v
huf,CVC,h,u,f
hux,CVC,h,u,x
huj,CVC,h,u,j
huC,CVC,h,u,C
huc,CVC,h,u,c
hur,CVC,h,u,r
hul,CVC,h,u,l
sim,CVC,s,i,m
sin,CVC,s,i,n
siq,CVC,s,i,q
sig,CVC,s,i,g
sid,CVC,s,i,d
sib,CVC,s,i,b
sip,CVC,s,i,p
sit,CVC,s,i,t
sik,CVC,s,i,k
sis,CVC,s,i,s
siz,CVC,s,i,z
siv,CVC,s,i,v
sif,CVC,s,i,f
six,CVC,s,i,x
sij,CVC,s,i,j
siC,CVC,s,i,C
sic,CVC,s,i,c
sem,CVC,s,e,m
sen,CVC,s,e,n
seq,CVC,s,e,q
seg,CVC,s,e,g
sed,CVC,s,e,d
seb,CVC,s,e,b
sep,CVC,s,e,p
set,CVC,s,e,t
sek,CVC,s,e,k
ses,CVC,s,e,s
sez,CVC,s,e,z
sev,CVC,s,e,v
sef,CVC,s,e,f
sex,CVC,s,e,x
sej,CVC,s,e,j
seC,CVC,s,e,C
sec,CVC,s,e,c
sam,CVC,s,a,m
san,CVC,s,a,n
saq,CVC,s,a,q
sag,CVC,s,a,g
sad,CVC,s,a,d
sab,CVC,s,a,b
sap,CVC,s,a,p
sat,CVC,s,a,t
sak,CVC,s,a,k
sas,CVC,s,a,s
saz,CVC,s,a,z
sav,CVC,s,a,v
saf,CVC,s,a,f
sax,CVC,s,a,x
saj,CVC,s,a,j
saC,CVC,s,a,C
sac,CVC,s,a,c
sar,CVC,s,a,r
sal,CVC,s,a,l
som,CVC,s,o,m
son,CVC,s,o,n
soq,CVC,s,o,q
sog,CVC,s,o,g
sod,CVC,s,o,d
sob,CVC,s,o,b
sop,CVC,s,o,p
sot,CVC,s,o,t
sok,CVC,s,o,k
sos,CVC,s,o,s
soz,CVC,s,o,z
sov,CVC,s,o,v
sof,CVC,s,o,f
sox,CVC,s,o,x
soj,CVC,s,o,j
soC,CVC,s,o,C
soc,CVC,s,o,c
sor,CVC,s,o,r
sol,CVC,s,o,l
sum,CVC,s,u,m
sun,CVC,s,u,n
suq,CVC,s,u,q
sug,CVC,s,u,g
sud,CVC,s,u,d
sub,CVC,s,u,b
sup,CVC,s,u,p
sut,CVC,s,u,t
suk,CVC,s,u,k
sus,CVC,s,u,s
suz,CVC,s,u,z
suv,CVC,s,u,v
suf,CVC,s,u,f
sux,CVC,s,u,x
suj,CVC,s,u,j
suC,CVC,s,u,C
suc,CVC,s,u,c
sur,CVC,s,u,r
sul,CVC,s,u,l
zim,CVC,z,i,m
zin,CVC,z,i,n
ziq,CVC,z,i,q
zig,CVC,z,i,g
zid,CVC,z,i,d
zib,CVC,z,i,b
zip,CVC,z,i,p
zit,CVC,z,i,t
zik,CVC,z,i,k
zis,CVC,z,i,s
ziz,CVC,z,i,z
ziv,CVC,z,i,v
zif,CVC,z,i,f
zix,CVC,z,i,x
zij,CVC,z,i,j
ziC,CVC,z,i,C
zic,CVC,z,i,c
zem,CVC,z,e,m
zen,CVC,z,e,n
zeq,CVC,z,e,q
zeg,CVC,z,e,g
zed,CVC,z,e,d
zeb,CVC,z,e,b
zep,CVC,z,e,p
zet,CVC,z,e,t
zek,CVC,z,e,k
zes,CVC,z,e,s
zez,CVC,z,e,z
zev,CVC,z,e,v
zef,CVC,z,e,f
zex,CVC,z,e,x
zej,CVC,z,e,j
zeC,CVC,z,e,C
zec,CVC,z,e,c
zam,CVC,z,a,m
zan,CVC,z,a,n
zaq,CVC,z,a,q
zag,CVC,z,a,g
zad,CVC,z,a,d
zab,CVC,z,a,b
zap,CVC,z,a,p
zat,CVC,z,a,t
zak,CVC,z,a,k
zas,CVC,z,a,s
zaz,CVC,z,a,z
zav,CVC,z,a,v
zaf,CVC,z,a,f
zax,CVC,z,a,x
zaj,CVC,z,a,j
zaC,CVC,z,a,C
zac,CVC,z,a,c
zar,CVC,z,a,r
zal,CVC,z,a,l
zom,CVC,z,o,m
zon,CVC,z,o,n
zoq,CVC,z,o,q
zog,CVC,z,o,g
zod,CVC,z,o,d
zob,CVC,z,o,b
zop,CVC,z,o,p
zot,CVC,z,o,t
zok,CVC,z,o,k
zos,CVC,z,o,s
zoz,CVC,z,o,z
zov,CVC,z,o,v
zof,CVC,z,o,f
zox,CVC,z,o,x
zoj,CVC,z,o,j
zoC,CVC,z,o,C
zoc,CVC,z,o,c
zor,CVC,z,o,r
zol,CVC,z,o,l
zum,CVC,z,u,m
zun,CVC,z,u,n
zuq,CVC,z,u,q
zug,CVC,z,u,g
zud,CVC,z,u,d
zub,CVC,z,u,b
zup,CVC,z,u,p
zut,CVC,z,u,t
zuk,CVC,z,u,k
zus,CVC,z,u,s
zuz,CVC,z,u,z
zuv,CVC,z,u,v
zuf,CVC,z,u,f
zux,CVC,z,u,x
zuj,CVC,z,u,j
zuC,CVC,z,u,C
zuc,CVC,z,u,c
zur,CVC,z,u,r
zul,CVC,z,u,l
vim,CVC,v,i,m
vin,CVC,v,i,n
viq,CVC,v,i,q
vig,CVC,v,i,g
vid,CVC,v,i,d
vib,CVC,v,i,b
vip,CVC,v,i,p
vit,CVC,v,i,t
vik,CVC,v,i,k
vis,CVC,v,i,s
viz,CVC,v,i,z
viv,CVC,v,i,v
vif,CVC,v,i,f
vix,CVC,v,i,x
vij,CVC,v,i,j
viC,CVC,v,i,C
vic,CVC,v,i,c
vem,CVC,v,e,m
ven,CVC,v,e,n
veq,CVC,v,e,q
veg,CVC,v,e,g
ved,CVC,v,e,d
veb,CVC,v,e,b
vep,CVC,v,e,p
vet,CVC,v,e,t
vek,CVC,v,e,k
ves,CVC,v,e,s
vez,CVC,v,e,z
vev,CVC,v,e,v
vef,CVC,v,e,f
vex,CVC,v,e,x
vej,CVC,v,e,j
veC,CVC,v,e,C
vec,CVC,v,e,c
vam,CVC,v,a,m
van,CVC,v,a,n
vaq,CVC,v,a,q
vag,CVC,v,a,g
vad,CVC,v,a,d
vab,CVC,v,a,b
vap,CVC,v,a,p
vat,CVC,v,a,t
vak,CVC,v,a,k
vas,CVC,v,a,s
vaz,CVC,v,a,z
vav,CVC,v,a,v
vaf,CVC,v,a,f
vax,CVC,v,a,x
vaj,CVC,v,a,j
vaC,CVC,v,a,C
vac,CVC,v,a,c
var,CVC,v,a,r
val,CVC,v,a,l
vom,CVC,v,o,m
von,CVC,v,o,n
voq,CVC,v,o,q
vog,CVC,v,o,g
vod,CVC,v,o,d
vob,CVC,v,o,b
vop,CVC,v,o,p
vot,CVC,v,o,t
vok,CVC,v,o,k
vos,CVC,v,o,s
voz,CVC,v,o,z
vov,CVC,v,o,v
vof,CVC,v,o,f
vox,CVC,v,o,x
voj,CVC,v,o,j
voC,CVC,v,o,C
voc,CVC,v,o,c
vor,CVC,v,o,r
vol,CVC,v,o,l
vum,CVC,v,u,m
vun,CVC,v,u,n
vuq,CVC,v,u,q
vug,CVC,v,u,g
vud,CVC,v,u,d
vub,CVC,v,u,b
