term,meaning
faqxaq,aroma
fadjat,fudge
fadjal,radish (vegetable)
fabrik,fabric
fatzot,compensate
faksoC,fax
fastet,facilitate
faslam,bean (vegetable)
faxpix,rummage
faltor,falter
falkan,falcon
falsit,fallacy
falsan,file (sand)
falfil,fulfil
farmiq,farm (activity)
farbix,refurbish
farpir,twitch
farkis,squirm
farsim,publish
fonten,fountain
fostat,foist
foxdol,foreshadow
folnam,foil
folsur,fill out
folfil,fulfill
folras,fill in
formik,ant
formag,former
format,format
formal,formal
forgiv,forgive
forgok,forgo
fordal,ford
forkov,fork
forsiC,foresee
forCor,further
forCun,makeup
fumget,fumigate
furnis,furnace
furnaq,fern
vinkak,lemming
vidjan,young
vikram,pace
visret,vociferate
ventaz,vent
vental,eventual
venret,venerate
vektar,vector (math)
vestan,vest (let sit)
vampir,vampire
vantaj,advantage
vagron,vine
vapret,evaporate
vatzir,reinforce
vatlaz,revitalize
vaksin,vaccine
vakrin,crooked
vastav,genuine
valnas,venus
valdet,validate
valbal,confuse
valtir,volunteer
valtov,vault
varnix,varnish
vardik,verdict
vardat,elevate
varxon,variation
volgar,vulgar
voldor,folder
volkan,volcano
vorbal,verbal
vortak,vortex
vortaz,advertise
vorjan,version
vorxol,virtual
vucrik,catch up
vulpes,fox
zimzum,contraction
zindaq,oscillate
zigzag,zigzag
zidjek,direct (immediate)
zidjul,sentience
ziprat,zip
zikxur,philosophy
zenton,monotone
zenxip,authentic
zeqdul,scramble
zeqzit,politics
zeqzik,integrity
zeqzam,flounder
zetzol,pucker
zestok,zest
zampol,example
zamrar,fright
zanzim,transpose
zanzeq,war
zanlan,exhibit
zanret,exonerate
zaqkan,scene
zaqlip,funeral
zadjim,acrobat
zakgal,lousy
zaklan,beard
zasbet,exacerbate
zalzek,marsh (land)
zalret,exhilarate
zondak,crucial
zonsur,zone out
zonlaq,weight
janrat,degenerate
jaktor,chat
jasten,joust
jontif,contiguous
jontal,gentle
jonxar,scatter
joqkil,daffodil
junral,general
juptas,jupiter
xikdam,chic
xikvan,level
xistok,schist
xivral,shrivel
xambol,shamble
xampen,champagne
xanlaq,hearty
xaqdal,anticipate
xaqfaq,counterpart
xaqzaq,twiddle
xagrir,envoy
xadrig,upgrade
xaprat,shop
xatxuk,sag
xakzir,restore
xakran,wheel
xaskur,ask out
xalxam,lily
xalren,villain
xopsak,dashing
xolgoq,handmade
xoldal,receipt
xolxip,punctual
xolrik,show up
xuntat,shun
xunlan,drill (training)
xunrax,shoe
xudjan,trim
xubtuk,slump
xutxik,shame
xutxuq,export
xulrul,debilitate
cimrak,theme
cintan,thin
cistut,institute
cislas,unless
centor,short
ceksaz,excise
cespaz,espouse
camput,impute
canmex,enmesh
candor,thunder
canlez,analyze
cadruq,thud
capmaz,optimize
catmet,automate
catmaz,itemize
catxar,chair
carkat,bargain
carkav,archive
covkam,overcome
covluk,overlook
cornam,thorn
cortin,authority
cugram,gap
cukbat,hollow
wimpur,whimper
windol,window
wintar,winter
wiqkis,wink
widjet,widget
wipraz,cry
witnes,witness
wikzaq,disguise
wispur,whisper
wiskac,whisk
wicral,withdraw
wildur,bewilder
wenzoq,sedate
wenxun,meek
wenrol,tender
wedjim,wage
wedjip,critical
wedjar,wager
wedjun,hypocrite
wedrag,wade
webrat,web
westit,waste
weskar,whisker
wandor,wonder
wantin,teen
wanzeq,intact
waqgoq,staff
waqgul,stubborn
waqpal,trump
wadjiz,wedge
wadrun,wad
waksan,wax
wakxaq,extrovert
waCsul,bay
waltal,coat
warbol,warble
warpot,warp
wartiq,warranty
warkus,oak
woCran,whether
wolban,buddy
wornuc,warn
wundun,wound
wutxam,lunch
wutxuk,vapid
wurlig,whirl
limpat,smear
linmar,courtesy
lintaf,lynch
linset,stingy
linsek,miserly
linfat,lean (fat)
linzol,drip
linxik,temporary
liqkax,relinquish
liqsul,nimble
liqloq,exquisite
liglug,ridicule
lidrop,lid
libret,liberate
libran,library
litget,litigate
litzan,clown
litxab,little
litral,literal
likdet,liquidate
likxaq,mangle
lispus,lisp
liftap,lift
leqgix,languish
levtat,levitate
leCsur,point out
lamnet,laminate
lambor,lumber
lampoq,lump
lanmeq,league
landur,launder
laqkit,lanky
laqfek,lavish
laqxiq,virtuous
lagron,lug
ladjip,garbage
ladjil,litter
labtor,lab
labret,elaborate
lapsin,lapse
lapsiq,lapse
lapres,lap (race)
latniq,lightning
latxam,latch
laksen,diagonal
laksex,relaxation
laklod,lock
lastor,luster
lavrat,lava
laxliv,lush
laltuk,corny
lalxik,old-fashioned
largan,layer
lartas,let in
lartaj,let down
lotxuq,protrude
lokmat,warfare
lorgas,log in
lorkit,lurk
lumbat,harass
lunkom,profile
lunsiq,lunacy
ludjun,lunge
ludrap,lewd
lubrik,lube
lupsum,bolt
lutrin,otter
lutrak,loot
lukmat,look forward to
lukrik,look up
lukret,look after
lusdet,elucidate
rimzat,rim
rinxiq,ductile
riqgov,wring
riqkol,wrinkle
ridjan,region
ridjos,rejoice
ridjum,frank
ridrak,redirect
ribrak,rib
riplab,republic
ripriv,reprieve
ripraz,reap
riprom,rip
ritxam,reach
ritxas,righteous
ritrak,retract
rikxam,reaction
riklan,recline
riklus,recluse
rikrut,recruit
ristik,restrict
riftor,rift
riflon,reef
rifren,refrain
rifrax,refresh
rifruf,flutter
renmin,citizen
renmen,folk
rendan,grace
rendur,render
renzen,earnest
reqgal,wrangle
reglar,regular
redjan,radian (measurement)
retxiq,enthusiasm
reknaz,recognize
rekzit,prerequisite
rezrak,resurrect
rambol,ramble
rambus,rhombus
ramped,romp
randin,rind
randam,random
ransak,ransack
ranzaq,grime
raqgol,ring (shape)
radket,eradicate
raptor,raptor
rapket,replicate
rapxar,rupture
raprik,wrap up
rattus,rattus
ratfan,ratify
ratzid,flicker
ratxap,rite
ratrik,rhetoric
raknid,arachnid
rakxik,guard
raspod,rasp
raston,rust
razdun,residue
raxnal,rational
ralget,relegate
roblan,robe
rotras,rote
rumnet,ruminate
rugrat,rug
rutxiq,route
rutrac,root
rukmin,radiant
rufran,roof
yiqban,strain (force)
yiqful,cope
yiqral,linger
yeqkoC,yank
yedjan,nocturnal
yetzir,instinct
yanmon,inundate
yanzoq,severe
yanxip,maneuver
yanxun,perpetuate
yanxuf,owl
yanlin,stern
yaqkut,infancy
yatzig,represent
yatxat,sustain
yaCnak,dwindle
yalpic,yelp
yarnet,yarn
yoldan,merit
yolxiq,tangible
yolxur,outstanding
yornas,uranus
yundoq,campaign
yugman,even
yudjip,estimate
yuklid,euclidean
yuvlan,uvula
yuzrik,use up
yulkal,pleasant
yurnat,urinate
