term,meaning
disak,dissect
disaf,decipher
difen,deify
difes,deface
difak,defy
difor,defer
difur,differ
divan,echo
divak,glue
divar,devour
divot,devote
divus,diverse
dizar,desire
dijan,indecision
dijor,relative
dixaq,boy/girl friend
dilem,dilemma
dilen,delay
dilan,dill
dilak,delectable
dilun,discuss
dilud,delude
dilut,illuminate
dilur,accommodate
direk,directory
dirad,deride
dirat,direct
dirak,direct (focus)
denim,responsible
debol,dabble
debor,dab
dekal,palm
devan,hobby
deziq,daisy
dezak,daze
damap,dam
danin,donation
daniq,dine
danam,dawn
dagim,sample
dagix,emphasis
dadan,bold
dadol,avenue
dabit,debit
dabiv,dub
dabak,adhere
dapok,shiver
dakan,duck (below)
dasik,dice
dasak,stress
dasuk,skid
dafit,defeat
dafuz,diffuse
dazin,dizzy
daziz,disease
dazal,dazzle
daxin,fertilize
daxen,university
dalin,dally
dalik,approximate
dalif,leak
dalir,delirious
dalet,dilate
dalam,pity
dalag,dialogue
dalap,weapon
dalat,suck
dalak,grate
dalun,road
dalut,dilute
daluc,cuckold
dareC,dash
darat,mote
darut,dire
donet,donate
doqak,animate
dopan,dope
dotiq,doting
dotan,dote
dokan,portrait
doven,dove (bird)
dozaf,doze
dojam,marijuana
doxam,fertile
doles,adolescent
doriq,during
dumun,doom
dupik,dupe
dukan,suffer
duxiq,inert
duliv,dew
duliz,duly
bimon,bemoan
binit,bean
binan,benign
binat,violate
bidat,stoke
bidaz,bedazzle
bidal,beetle
bidon,fiction
bibun,bib
bitan,beet
bitor,bitter
bituk,accent
bikic,bequeath
bikam,become
bikar,bicker
bihev,behave
biset,beset
bisal,match (competition)
bival,bevel
bizar,bizarre
bicuv,behoove
bilam,brake
bilaq,belong
bilat,ability
bilar,beware
bilon,bill (money)
biloq,billow
biriv,bereave
biret,berate
biran,inevitable
birur,inquiry
begin,begin
began,pessimistic
bedoq,wiggle
bedul,battle
beben,babe
betan,bat (hit with stick)
betor,bet
bekin,bake
bekan,beckon
bezik,cup
bejan,beige
belit,belittle
belan,bail
beloq,bellow
bamap,stage
banic,beneath
banan,banana
bagon,bag
badan,bide
badax,bud (flower)
babol,bubble
babun,baboon
bapas,bypass
batik,watermelon
batol,bottle
bator,batter
batum,fellow
batul,birch (tree)
bakir,senior (rank)
bakan,pecan
bakak,hatch (egg)
bakal,bike
bakar,inspect
bakop,balk
bakol,buckle
basir,well-seeing
basac,quest
basal,own
bason,bustle
bafol,baffle
bavan,dwell
baxir,herald
baxal,ripe
baliq,bully
balix,embellish
balat,tile
balaz,bawl
balon,bile
balut,bout
bariq,berry
baran,barren
barak,bless
baraj,barrage
baral,barrel
barun,baryon
bodan,bode
bovin,bovinae
bovor,buffer
bolaq,bow (arrow)
borig,screw (bolt)
bugiq,bug (bother)
bukad,buck
bulin,buoy
pimoz,pea (vegetable)
pinar,pin
pinut,peanut
pinus,pine (tree)
pigum,scaffolding
pigur,lag
pipin,pee
pipar,peep
pitul,twist
pisin,piss
pisek,interval
pizin,pie
pizen,rash
pilat,blame
pilac,peel
pirad,period
piroz,pack
pedir,herd
petal,petal (flower)
petol,toll
petor,patter
pekiq,peck
pesod,fan (person)
pamen,coach
pamon,bell
pamol,pummel
panin,pearl
panit,delight
panis,penis
panix,punish
panan,companion
panaq,paw
panak,pine
panas,torch
panot,torment
panol,panel
pagov,seduce
padat,topple
padot,simmer
padol,puddle
pabol,pebble
papan,vicious
papap,pop
papat,pipe
patix,hammer
patat,soar
patas,pout
patof,envelop
patox,pot
pator,encircle
pakim,drift
pakid,official
pakit,pocket
pakil,confiscate
paket,packet
pakav,prevent
pakal,digest
pakof,overtake
pakor,displace
pasaj,passage
pasal,idol
pasar,sparrow
pasor,ban
pasur,prowl
pavit,distort
paziq,pause
pajot,pit
paxip,posh
paxar,confirm
pacar,prefer
palix,polish
palan,pollen
palaq,nifty
palat,pilot
palaf,tame
palon,hostile
palor,power
parag,poppy
parab,parable
parat,pirate
parav,involve
parax,perish
parom,pile
podal,ramp
poket,poke
pozar,pose
poxam,potion
polip,poll
polis,police
polem,poem
polar,polar
porit,pour
poraq,pore
pumag,pumice
pusat,pus
pufan,poof
pulan,pool
timiq,teem
timad,timid
tinat,twin
tidas,tedious
tipun,case (law)
tikal,tickle
tikol,tweak
tizor,tease
tilat,twilight
tiriq,tea
tirat,deteriorate
tiraf,prey
tiraz,tear (cry)
tiron,noob
tirok,slam
tegak,dare
tepur,taper
tetar,tatter
tekes,ceremony
tekan,standard
tesan,fig
tesal,tessellation
tefir,stitch
teCur,tether
telom,abyss
telun,rail (track)
taman,price
tamar,date (fruit)
tanit,tiny
tanal,tunnel
tanub,fir (tree)
tagid,corporation
tagen,fry
tagal,toggle
taguv,comment
tabic,gazelle
tabil,spice (action)
tapik,topic
tapem,coordinate (action)
tatir,develop
tatol,tattle
tator,totter
tatul,tattoo
takin,correct
takit,aim
takir,investigate
taket,tact
takan,tack
takon,octopus
takol,tackle
tasim,delineate
tasit,tacit
tasik,lake
tasaj,toss
tasal,tassel
tavut,tuck
taCar,apologize
talin,tally
taliC,spell (charm)
talaq,talent
talon,towel
talor,tire (car)
taluk,chin
taret,tolerate
tarad,cod (fish)
taror,terror
tonar,tow
total,total
tofif,tap
tolat,toilet
tugak,ivory
tudoq,nudge
tusik,plover (bird)
tufan,tuff (rock)
kinam,lamentation
kinat,louse
kigak,beaver
kiden,equidae
kidak,gun
kidum,promotion
kibol,quibble
kipan,ghast
kipod,hedgehog
kikab,maple (tree)
kikar,plaza
kikuq,finch (bird)
kisak,kiss
kifal,crease
kival,isolation
kivar,quiver (shake)
kijon,cajole
kixar,knot
kixut,decorate
kilat,keel
kilar,cucumber
kiluv,obligate
kenan,canidae
kenat,kin
kenos,rape
kebit,evil
kepal,capable
ketor,cater
kekep,harsh
kevur,grave
kejan,occasion
kelak,kayak
kelas,chaos
kamix,commission
kamet,comet
kamat,flour
kamar,gamble
kamon,common
kamut,commute
kaniq,cunning
kanan,canyon
kanop,canopy
kanot,connotation
kaqak,goose
kadid,helmet
kadat,succumb
kadal,cuddle
kadom,precede
kadol,coddle
kabol,cobble
kapot,skim
kapor,concave
katif,shoulder
katar,ooze
katoq,cut
kator,cruel
kakit,oyster
kakak,quack
kakal,quell
kakol,cackle
kakor,basin
kakuz,cuckoo
kasan,instant
kasat,allot
kafif,subordinate
kafam,however
kafaf,extenuate
kafar,close oneself off
kavid,liver
kavik,wolverine
kavat,caveat
kavak,dust
kavon,cavern
kavod,honor/respect
kazit,facade
kazis,piece
kazar,return at regular intervals
kajul,cashew
kaxiq,cash
kaxad,suspicion
kaxon,quash
kaxun,caution
kacir,viscous
kacac,furniture
kaCif,projectile
kaCal,disposition
kalig,colleague
kalit,leporidae (hare)
kalif,successor
kalil,scarcity
kalad,collide
kalaz,equalize
kalal,scour
kalox,dominate
kalor,cower
kalud,collude
kaluk,trout
karin,carry
karik,query
karix,shark
karir,career
kares,caress
karan,car
karom,heal
koman,coma
kopal,compel
kotan,quota
kotas,quote
koken,coke
kovem,cove
kovat,covet
kozin,cozy
kolet,collate
koles,coalesce
kolab,collaborate
kolav,rack
kolot,coyote
korig,ore
korag,core
koral,coral
korod,corrode
korol,quarrel
kumat,pear
kugak,swan
kubox,conquer
kupun,coal
kutun,cottonwood (tree)
kukan,cock (action
kukat,infamy
kusol,console (help)
kuzam,lavender (vegetable)
kujan,recursion
kuxon,cushion
kulam,coulomb
kulos,meticulous
kulor,peculiar
kuras,curious
kurun,cabbage
himex,emission
himat,emit
himux,ammunition
hinak,enact
hinuf,enough
higar,eager
higot,ego
higoz,vanish
hidan,hidden
hidot,idiot
hibit,inhibit
hibax,bash
hibuk,hug
hipan,hip
hipul,impel
hitak,thrust
hituk,bisect
hikep,equip
hikan,squid
hikal,hall
hisul,eliminate
hifuz,effusion
hivik,heave
hivad,slave
hivok,evoke
hivux,rustle
hizet,impersonate
hizak,exact
hizun,equilibrium
hizut,ease
hicar,aether
hiCal,whip
hiCor,either
hilat,elite
hilak,elect
hilud,elude
hiluk,partition
hiluf,replace
hilul,desecrate
hiram,flounder (fish)
hirav,sword
hirod,erode
hirum,emergency
hirut,hire
hemaq,hem
hemun,confidence
henas,anus
hegat,egg
hedip,eddy
hepin,hippie
hetaq,hate
hekir,characteristic
hesin,hasten
heviz,aves (birds)
hevor,behavior
helet,determine
helat,hail (acclaim)
hamik,pelt
hamis,melt
hamem,stun
hamez,amaze
hamon,crowd/mob
hamot,hum
hamos,ferret
hamus,hummus
hamuz,amuse
hanit,initialize
hanan,onion
hanak,giant
hanon,park (vehicle)
hanod,annoy
hanol,annul
hanuk,dedicate
hagix,serve
haget,await
hagol,haggle
hadit,audit
hadij,ideology
hadic,news
hadep,adept
hadap,adapt
hadas,myrtle
hadax,lens
hadal,idle
hadof,repel
habil,sabotage
habet,habituate
habad,abide
habak,embrace
habav,cherish
habaC,applaud
habal,rope
habol,hobble
habor,abhor
habus,abuse
hapiq,hype
hapiz,appease
hapil,appeal
hapan,happen
hapal,appall
hapot,overlap
hapoz,oppose
hatit,pry
hatik,transfer
hatif,advocate
hatiz,squirt
hatiC,festival
haten,attain
hatak,attack
hatar,attire
hatom,automatic
haton,hot
hatot,tilt
hakit,acquit
hakik,engraving
hakif,enforcement
hakir,acquaint
hakam,establish
hakan,icon
hakab,obstacle
hakav,heel
hakaC,captivate
hakar,recognition
hakom,accompany
hakun,meadow
hasin,essay
hasig,recall
hasid,piety
hasis,assist
haseq,assay
hases,assess
hasam,placement
hasad,aside
hasap,convect
hasom,awe
hasof,expose
hasol,hustle
hasum,assume
hafid,conserve
hafik,derive
hafif,congruence (geometry)
hafil,encourage
hafan,often
hafat,curb
hafak,production
hafas,fuss
hafaf,huff
havid,avid
havit,hive
havik,walrus
havis,oblation
havak,havoc
havas,obvious
havot,constitute
hazif,frown
hazot,rave
hajur,aperture
haxin,lean
haxiv,reply
haxir,molt
haxak,launch of new product
haxor,usher
hacid,acid
hacor,author
haCik,proficient
haCir,cautious
haCan,announce
halin,cushy
halig,mock
halit,haul
halif,suit (clothing)
halen,highway
haleg,dial
halez,always
halak,law
halav,milk
halal,permissible
halon,alone
halun,hyena
halud,allude
haluf,option
halur,allure
haris,iris
hariv,expand
haram,forbidden/taboo
haran,heron
harad,arid
harat,till
haras,grip
harax,dull
harac,cultivate
haral,convert
harar,mull
haron,arrow
harok,squeak
haroz,arouse
honiq,hoe
honas,onus
honot,swindle
hoqat,owe
hogal,ogle
hogor,hoard
hodik,ode
hodar,odor
hoben,obey
hopan,opine
hopal,opal
hopok,perky
hotat,scallop
hokek,length
hokur,occur
hosil,tent
hovis,oversee
hovan,debt
hozir,hose
holiq,howl
holid,holy
holan,hull
hores,heresy
humad,humid
hunik,sea urchin
hunak,harpoon
hubob,hub
hutak,seam
hutom,hut
hutut,hoot
hurin,hurry
hurot,heir
simaq,seem
simun,indicate
sinet,insinuate
sinor,senior
sidik,astringent
sidas,insidious
sibuk,complication
sipan,sip
sipar,sweep
sipun,deck
sipur,tale
sitir,slack
sitar,city
sikad,cicada
sikuv,refusal
sisim,fraction
sisen,easy-going
sisak,sex
sisuk,conflict
sivam,service
sivar,hypothesis
sizan,season (period)
sizal,sizzle
sizol,fringe
sixet,satiate
siCig,seethe
siCan,page
siliq,ceiling
silit,silhouette
silek,torn
sileC,seal
silan,seal (connect)
silab,garment
silak,select
silut,nightmare
siren,axle
siral,cereal
siroz,sear
sirup,syrup
sirut,rent
seman,partial (semi-)
senir,sane
senat,senate
sedar,cedar
seban,say
setiq,setting
setas,cetacea
setar,satire
sekut,execute
sesis,sass
seval,civil
sevor,savor
samon,summon
samor,summer
sanov,swallow (bird)
saget,segregate
sadir,tidy
sadan,sudden
sadal,saddle
sabit,swab
sabir,patient
sabam,polite
sabat,mackerel
sabon,soap
sapak,supplier
sapar,barber
sapoz,suppose
sapud,meal
satam,sincere
satol,subtle
sakin,blade
sakik,psychic
saket,socket
sakon,sack
sakoj,psychology
sakul,succulent
sasib,associate
sasaC,hone
safix,sufficient
safar,sapphire
savan,savanna
sazan,size
salin,silly
salig,swell
salet,insulate
saloq,swallow
salos,cellulose
sariq,sorry
sarit,tape
saras,potent
sonam,soy
sodak,soda
sokur,soak
soxal,social
solan,swollen
soran,sour
sunit,neat
sunan,blank
sugam,convenient
sudon,somewhat (pseudo-)
sutas,soot
susad,suicide
suzuk,bass (fish)
suxav,dear
suCiq,sooth
suCal,weld
suliq,sew
finam,phenomenon
final,final
fidiq,feed
fidas,fetus
fidal,fiddle
fibal,feeble
fitor,feat
fisiz,feces
fizab,feasible
fizaz,fizz
fizal,fizzle
fixet,officiate
filet,affilliate
filan,felidae
femas,famous
fenak,feign
feqat,fang
fediq,wun
fedan,fade
fevor,favor
fecat,faith
feloq,tax
felur,failure
fanit,fan (machine)
fanis,fun
fanov,fawn (over)
fatot,tempt
fakam,surge
fasit,facet
faset,faucet
fasan,fasten
fasad,corrupt
faziz,fuzz
faxir,compromise
faxon,fashion (style)
faCom,fathom
faliq,folly
falek,bland
farig,ferry
farad,farad (measurement)
folet,exfoliate
forin,foreign
forid,foe
forek,euphoric
foran,prompt (speed)
fulep,soothe
furet,infuriate
furoq,furrow
vimal,transparent
vigor,vigor
vipak,fact
vitog,veto
vikat,dread
vivad,vivid
vivar,viverridae
viCak,supplement
venip,vane
venas,vein
venuk,venue
vegin,vague
vepaq,interface (computing)
vepor,vapor
vetig,vet
vekex,vacation
veliq,veil
vanir,veneer
vanal,vinyl
vatar,descent
vakiq,vie
vaket,evacuate
vasan,breadth
vasad,vice
vasox,stir
vasum,wealth
vavex,vivacious
vazir,disperse
vazor,visor
valim,valley
valid,valid
valit,domesticate
valeb,available
valet,evaluate
valax,embarrass
valol,vial
valum,volume (math)
varin,vary
varit,ward (off)
varik,greet
varam,circumference
varat,variety
vogun,vogue
vokad,avocado
vosas,versus
volaC,misery
vorex,voracious
vorak,bee
vuxim,genitals
vulol,mingle
zinuk,dash (spurt)
zital,stance
zikap,affinity
zikuk,flare
zisum,pollute
zifat,tar
zivon,style
zizut,haste
zixal,least
zilam,xylem
ziret,factorial (math)
ziram,movement (political/etc.)
ziraz,catalyze
zirok,consume
zevak,sacrifice
zamin,examine
zamar,prune (fruit)
zanan,delve
zanak,abandon
zapam,fury
zatin,anxiety
zatik,exotic
zatad,march (foot)
zakar,masculine
zakut,privilege
zakuf,erect
zasot,recognise
zavit,angle
zaxam,slink
zalot,grill
zaran,tragedy
zarat,sow
zotet,eavesdrop
zofin,cipher
zumom,plot
zupon,conceal
zuzal,book
zulaq,earn
jidar,jitter
jirar,swear
jetaj,throw away
jeton,token
jabir,legging
jabar,math
jaket,jacket
javal,swathe
jazur,gossip
jalim,jelly
jalus,jealous
jaret,jar
joval,jovial
junip,juniper (tree)
judix,judicious
julam,reality
ximak,shim
ximor,shimmer
ximun,oil
xinip,sheen
xinaq,shank/shin (leg)
xigur,launch
xidaq,appropriate (behavior)
xipur,improve
xitan,urine
xivav,chip (like computing)
xixam,student
xixuk,sparse
xicam,sheath
xilek,deem
xireq,shear
xirut,cohesion (physics)
xedar,shed
xepol,shape
xekan,shake
xeviz,shave
xelan,shale
xaman,shaman
xanip,shine
xagin,shag
xagat,shrug
xadiq,shoddy
xadik,pair
xadon,shadow
xadur,shudder
xabic,cling
xabat,rest
xator,shutter
xakim,rehabilitate
xakit,salmon
xasal,kid
xaviv,flash
xavas,fame
xavol,shovel
xaliv,inspire
xalaq,jot
xalav,phase
xalom,welfare
xarab,wine
xofar,horn (instrument)
xoviq,shove
xoval,spade (shovel)
xoxaq,hurt
xoxon,sell
xuman,fat
xubor,shatter
xupiq,horizontal
xusak,fling
xufol,shuffle
xufun,fix
xulof,extract
cinap,inept
citar,theater
ciket,equate
cikam,rely
cisal,thistle
cilet,elate
ciram,theorem
cetak,pathetic
cefur,stench
camil,drunk
cagan,thug
cagaf,culture (society)
cagur,naughty
catik,apathy
catun,atone
cakal,heckle
casal,assail
caval,avow
caram,revolution (society)
caraq,plenty
caraz,arise
codal,dye
cotaq,rush
covit,overheat
corat,revolution
Camim,obnoxious
Cakar,mention
Calil,dispicable
wimul,whim
winim,ween
winaf,wean
winar,win
widor,weed
wipik,weep
witin,witty
wital,whittle
wifan,iff
wizal,weasel
wixak,scarf
wiCar,wither
wilon,willow
wenak,wane
wedal,tang
webar,weber (measurement)
wekim,wake
wevac,waive
wevar,waver
weCar,weather
weliq,wail
welig,weigh
wanak,whine
wanal,stoop
wanun,dusk
wagin,wag
wadal,waddle
wabol,wobble
wapaz,wipe
wakar,revere
wasaf,depict
wasol,whistle
wazim,sock (foot)
waxin,sardine
waCan,shore
walid,bring forth
walet,wallet
walan,wall
waloq,wallow
wariq,whir
wonuk,snail
woriq,worry
woraq,wary
wugan,extraneous
limeq,leeway
lipar,leap
litar,liter (measurement)
likan,liken
lisiq,lease
lisem,bread
lisat,elicit
livik,evict
lived,evade
livet,alleviate
lijur,leisure
lixaq,ideal
lilaq,might
lirin,leer
lebal,label/characterization
lebor,labor
lepor,leporidae
letar,late
lesiq,lace
leson,lesson
lezin,lazy
lamid,tutor
laman,lamb
lanoq,blush
lagar,log
ladin,laud
ladid,delicious
labin,lobby
labot,fan (action)
latif,entertain
latas,lattice
latus,lettuce
lakok,client
lasit,hit (popular)
lasak,flock
lavan,satellite
lazim,due
lazan,almond
lazup,candle
laCir,lather
laCad,stack
laCor,leather
larot,pregnant
larus,gull
lonak,lone
lonal,loyal
loban,boss
lotar,loiter
loket,locate
lokan,open space
loCig,loathe
loCud,loath
lored,already
lumet,loom
luman,lumen (measurement)
luqan,lung
lusiv,elusive
lusad,lucid
lusul,halogen
luxiq,popular
lulek,reed (plant)
luran,lure
rimen,remain
rimaz,revise
rimot,remote (distance)
rimuv,remove
rineg,renege
rinos,rhinoceros
rinul,renew
riqoq,artificial
rigiv,clod of earth
rigan,rig
rigal,wriggle
ridim,redeem
ridaq,rid
ridol,riddle
ridun,redo
ribit,interest (banking)
ribac,intermediate
ribar,rebar
ribon,rule (control)
ribuk,rebuke
ripas,fault
ripar,repair
ripol,ripple
riput,repute
ritar,retire
rikap,recap
rikar,require
rikol,recoil
rikup,recoup
rikuz,concentration
rikur,recur
risid,recede
risis,sliver
risat,reset
risax,purchase
risux,asset
rifan,refine
rifom,reform
rifut,refute
rifuz,refuse
rivat,rivet
rivav,revive
rivok,revoke
rivun,review
rizod,reside
rizum,resume
rijon,origin
rixet,net
rixum,record
rixut,permission
riCak,sway
rilik,calendar
rilis,release
rilen,relay
rilet,relate
rilot,riot
ririk,rear
remit,remit
reniq,rein
renix,ray
renan,wren (bird)
regin,reign
regan,rag
redin,ready
redid,raid
redet,radiate
redak,irradiate
rebal,rebel
repub,republican
reput,reputation
retiq,rate
rekiv,ingredient
rekac,wreck
resit,race
resov,street
revil,rival
reven,revenue
revav,lot (amount)
reziq,raise
rezal,wrestle
rezor,razor (tool)
rexin,zeal
recas,recess
reCin,rage
reCur,irrational (number)
reliq,rail
relif,relief
relij,religion
ramos,trample
radex,radish
radud,shallow (depth)
rabat,rabbit
rabor,rob
raped,pad
rapax,rap
rapal,repeal
ratit,tremble
ratik,fascinate
rataq,cart
raton,rat
rakib,perpetrate
raket,racket (tool)
rakan,bow
rakat,rocket
rakav,rot
rasit,rice
rasik,mash
rasis,spray
rasif,hover
rasat,furnish
rasak,moisture
rasul,messenger
rafad,rife
rafak,raisard
rafal,mist
rafol,ruffle
ravak,profut
ravaj,ravish
razin,resin
razaj,rouse
razom,rhizome
rajis,registry
raxam,crime
racon,wrath
raCik,velocity
raCaC,drizzle
raCor,rather
ralik,rally
ralan,interview
ralas,rile
raror,roar
romar,roam
roqik,apt
rodan,dictator
robas,robust
rotiv,sauce
rotet,rotate
roxam,impression
rumag,room
rumor,rumor
rubor,rubber
rupaq,outward appearance
rutin,routine
ruzas,ruse
ruzot,slim
rulin,ruin
yinan,murky
yinoq,application
yiqaq,nutritious
yitur,chord
yikal,depend
yisud,founding
yixik,faintly
yixiv,session
yixeq,doctor
yiliq,collar
yilal,treat (patient)
yenux,despair
yeduq,peruse
yetor,hypotenuse
yesud,praise
yexin,ambition
yelip,appointment
yeluk,amateur
yanuk,smog
yabiq,import
yapad,destination
yatir,obsolete
yakid,designate
yakir,darling
yasir,arrogant
yaxas,worthy
yaxav,sit
yacam,kneel
yalid,native
yarit,intercept
yariv,opponent
yarek,thigh
yoqol,retain
yosaf,increase
yovak,consequence
yoxam,priority
yoxav,inhabitant
yolul,hesitant
yolur,superior
yunit,unit
yunik,unique
yunif,unify
yunat,unite
yunoq,wield
yudiq,schedule
yudoq,sport
yudum,noxious
yubik,ubiquitous
yukan,yucca
yujal,usual
yuxaq,bruise
yuciq,youth
yucam,heap
yuCap,nag
yulaz,utilize
