english,tune
We are too far away to see the tree.,biba bami gam luf yanlimu tak paxyati dan dipa
It would be good to see my home again.,sita yanyiqi bami tovu tak paxyati suq poz durona rinu
Get off that tree or I will call your parents!,gosi yak huz dipa wul suqa karakihi siq poz dadaya
He thought she could see him.,mif sita txitimi fim sita keyimi paxyati mif sita
It is hard to have so much energy.,sita bami nanyimu tak havi son lat viryana
I planned to call you yesterday.,suqa djihukihi tak karaki siqa dif yoma
Don't dig over there because it's too far.,nan kari kanani txaqol futa zag sita bami gam lufu
What time did he say he would call?,suk kal bamihu sit mifa homari sit mifa wud karaki
Maybe they should go home now.,meb pema xud gomi homa xomu
They had not looked for a rock of that color.,
He used to be our calmest friend.,
They wanted us to find a purple leaf.,
When can you plan our next dig?,
Please move it to a better time.,
Is it too late to call your parents?,
I didn't plan on doing that ever again!,
I wish you could see this like I do.,
Will you only look for your family?,
We have seen the star high in the sky.,
We are aboard a boat.,
She talked about the sun.,
The sky is above the sea.,
They will be across the water.,
He wanted to rest after the long night.,
Are you with them or against them?,
We walked along the trail for an hour.,
There might be animals among us.,
We must go around the forest.,
He is as tall as a tree.,
Are you at the home right now?,
Let's eat before we talk.,
I think you should follow behind.,
The water below me is brown.,
Swimming in the evening is beneath her.,
The fruit is beside the river.,
Nothing is between me and the sky.,
Do you want to see beyond the forest?,
"She is not kind, but I still like her.",
Rest with me by the fire.,
She loves her despite her appearance.,
The tree has fallen down!,
Did she wake up at the night?,
Everyone left except him.,
The stars shine for them.,
Is this gift from him or her?,
Have they swum in the river before?,
Please go inside in a couple minutes.,
They will go into the forest without fear.,
She is like a wild animal.,
Don't let her get near the river.,
My friend is sitting next to her sibling.,
A lot of the fruit is gone.,
How should he jump off the tree?,
They were sitting on the dirt.,
They have climbed onto the tree.,
There will be five animals out in the forest.,
Jump over the yellow dirt.,
Be careful walking past the animal.,
There would be two fruits per person.,
Two plus two is four.,
Let's have a chat regarding the child.,
We walked 'round the tree.,
All of us left save for my parent.,
I won't come since I have no money.,
Is he older than her?,
She wants us to go through the forest.,
We slept till the sunrise.,
Are you going to the river?,
Look toward the stars for guidance.,
Why is he under the water?,
Underneath his appearance is a kind heart.,
"Unlike me, she is very fast.",
Wait until I am ready.,
The fish swim up to the surface.,
He sits upon a throne.,
Let's talk about swimming versus running.,
She told them via letter.,
Why aren't you with me?,
Fear is not within their heart.,
Don't go without us!,
Please have another piece of fruit.,
Do you have any water?,
Anyone can dance.,
We will do anything for her.,
Let's travel anywhere but here.,
They want both fruit and water.,
Are you certain of that?,
He loves each animal equally.,
You can have either this or that.,
They don't have enough leaves.,
Every child has a favorite color.,
Is everyone okay with the plan?,
The sun shone on everything.,
"Everywhere I go, I smile.",
A few children like swimming.,
Where were you last night?,
It the least intelligent animal.,
Give me less fruit.,
They are a little tired.,
Many people love the sea.,
She wanted more water.,
Most forests have lots of trees.,
"I don't have much, but it's enough.",
That animal can neither run nor walk.,
Do you want to sit next to her?,
"No, they can't eat rocks!",
None of them are coming.,
Nothing can stop me.,
I have nowhere I need to go.,
I once ate fruit.,
Several children can climb.,
Some parents don't know me.,
"Somebody help, please!",
Something is in the water.,
I am somewhere in the forest.,
What is your name?,
We can make whatever he wants.,
Which of you is a parent?,
Visit whichever forest is west of here.,
"If the fruit is big and low to the ground, you can eat it.",
Just move over here and then you can hear the children.,
"One hour ago, your sibling dug up that fruit.",
I always call my friend at the last hour of the day.,
When do you think you will get home this time?,
Who wants to wander around at night when it's so dark?,
Soon I will be the last child of my family who is at home.,
"It is the middle of the day, so you should stay behind.",
"I would give her it, but she might not think it is a good rock.",
She was so far away that we had to call for her three times.,
Why did you look behind you like that?,
She has such wild energy that it is hard to calm her down.,
"Does the color look blue to you, or is it actually white?",
"That would not be the first time, but I hope it is the last.",
She wanted him to find a rock as small as hers.,
"Maybe if you hadn't found them, they would have moved.",
You must have heard those children climbing!,
Don't tell me that you didn't look for a black leaf.,
Who else could have planned for such a day?,
The first child will be ahead of the second by only a little.,
They jumped here and there without ever finding it.,
"Digging was very hard, hence the low energy.",
She would otherwise be an only child.,
He would have seen the tree if he had been bigger.,
"Maybe the fruit on the ground is good, but probably not.",
"I was ahead of you years ago, but not anymore.",
I will find one sibling if they will find the other.,
I couldn't call you at such a time!,
Where did they jump while you were looking at the stars?,
Don't move the yellow leaves until the year is over.,
"We didn't plan to hear it, but we still did.",
"When I look at you, I see a good parent.",
"At this time of day, no one else is home.",
They have heard neither the white star nor the red star.,
How many of those leaves are yellow?,
"By this time tomorrow, she will have climbed three trees.",
"She is closer than him to the wild fruit, but he can't see that.",
What was she planning to tell you last night?,
I wouldn't climb that tree if I were you.,
He found it easy to jump over the leaves.,
At what time do they plan on moving those rocks?,
I've always wanted to stay in a beach house.,
The desert night was cold and dark.,
Mike must be working in the field today.,
How far is the forest from home?,
The lake was looking beautiful.,
The sea was rough.,
Which plants are not green?,
There are three small rooms in the house.,
It was a sunny morning and by eight o'clock it was already hot.,
The night was calm and fresh.,
Put on your white dress.,
"Why did you think I sent you the flower, and that chocolate?",
I can make grass grow!,
She was close to realizing a lifetime goal.,
Trees are truly life savers as they help reduce pollution.,
"The climate on the coast is hot, humid, and unhealthy.",
Leafs are turning yellow due to dry weather.,
The summer had been very dry and no berries grew.,
The rocks are not too high to climb.,
Fruits are beneficial for health as they provide energy to work.,
His shoes were covered with mud when he entered the house.,
Indoor plants makes the house look attractive and pleasing.,
How bright a star can be? Have you ever thought about this?,
I wonder how the tree got so tall.,
They have yet to see the big beautiful white rock.,
I keep wondering why birds evolved to fly.,
I don't know what to pick.,
I have just about finished picking the berries.,
The climate is hot and very humid.,
The scenery of the valley is just amazing.,
"The boy was no longer sleepy, but full of energy and excitement.",
She covered her head as dirt rained over her.,
It shouldn't be hard to dig in this sand.,
"There it was cool and quiet, with a scent of ripe fruit.",
Sunny in the morning but mostly cloudy by the evening.,
He went abroad to study higher.,
Children were playing in park with a ball.,
The bird won't let me nearby.,
I have eaten a piece of fruit.,
Everything was budding and blossoming.,
I will always be with you.,
"The sun had set, and dusk settled over the ocean.",
He is one of the best players.,
"Sitting, that is the main thing to consider.",
"The sight, sound, and scent of the ocean helped her relax.",
There are clouds over the hills.,
The sky is over my head.,
My house is across the bank.,
"You should expect any weather from scorching hot to cold, wet and windy.",
I have a pool behind my house.,
I have done this task for your benefit.,
We cannot live without water.,
It's my pleasure to help you.,
Playing is his only job.,
We need to walk as far as we can tonight.,
She throws rocks just about every day.,
If you have the money use it wisely.,
Someone is at the door.,
Let's look at how this happened.,
You better listen up.,
We are sure of success.,
He is quite punctual in following routines.,
I got your flowers but I forgot what they were for.,
He has been loving that one tree's fruit.,
This activity should not be attempted in windy conditions.,
The research I found on the topic was limited.,
Where does all the rain water go?,
"Nature was at her peak, blending the wild blooms with various shades of green.",
"Water was dripping from the trees, and the grass was wet.",
I hear that her mother is in another city.,
"If he is available, ask him to call me.",
"It is not a bad situation, don't worry.",
My teacher is very kind.,
I went shopping in order to buy a new jeans.,
She would take the animals out before he got home tonight.,
My dad never works on the weekends.,
She writes an e-mail to her best friend.,
The sun rises at the east.,
George brushes his teeth twice a day.,
When does the train usually leave?,
My cat runs very fast.,
He catches the train every morning.,
He loves to play basketball.,
Does he go to river too?,
You'd better go in and get out of those wet clothes.,
It usually rains every day here.,
It smells very delicious in the kitchen.,
They haven't been able to solve the problem yet.,
It's about time you spent some money on yourself.,
You've always taken care of us.,
There was always plenty of food.,
"Be always brave and truthful, said his father.",
Tell them to bring me a leaf.,
Why don't you sit down and rest and I'll bring you a piece of fruit.,
"We'll meet soon, brother.",
Berries are quite delicious.,
I have to find my lost key.,
He put down the book and looked at the rock beneath him.,
I'm glad you like it.,
We have some fruit waiting for us inside.,
She promised she would reserve a room for me.,
Even the tiny flower petals looked vibrant.,
Could you come by for dinner tonight?,
She shivered in the chilly ocean breeze.,
I must have the land checked out.,
They can be divided into three groups.,
We may have good reason to be proud of ourselves.,
It is necessary that he should be sent there at once.,
I won't believe it unless I see it with my own eyes.,
I wish I had met my uncle yesterday.,
I won't phone my friend until they have arrived.,
She enjoys cooking food on her own.,
It felt so good to be home.,
Everything was in good order except the boots.,
"If you go there, you will find him.",
A little girl said she heard about the cold breeze from around the way.,
"Today, I see some ripe fruit on that tree.",
They usually spent the morning hours in the forest.,
Who is your best friend?,
"She ate her fruit, took a walk, and then went back to sleep.",
"He loves to read, and he also loves to hike.",
What is the true meaning of the poem?,
You are showing both sides of an argument.,
You are describing a sequence of events.,
I do not know a way to get to the moon.,
The warm sun shined on the trees and drew out all their fragrance.,
I enjoyed the stone that you brought for me.,
The girl ran into the forest.,
He walked down the path.,
She laughed at the rabbit's activities.,
Uncover the hole carefully.,
I love the ocean because fish are so interesting to watch.,
I drink juice every morning.,
There's one piece left like yesterday.,
"We waited for the train, but the train was late.",
The weather was wonderful with its bright sunshine.,
Many trees lost their leaves last winter.,
The blue sky was cloudless.,
We walked through to the other side.,
Does it snow when it is sunny?,
Winter is over and spring has come.,
The sky is full of stars.,
Where do you want to go on a hike this weekend?,
The moon goes around the earth.,
It was raining yesterday.,
The clouds are getting darker.,
I saw a child standing near the waterfall.,
That one near the lake is chipping the rock.,
She buried her feet in the sand to keep them warm.,
We have lovely trees around here.,
"There was no tree for shade in the forest, they all let the light through.",
The land is covered with green grass.,
Do these bugs fly?,
He dropped the leaf into the fire.,
The birds drink from the still pool of water.,
They jump into the river.,
Birds are making their houses in the tree.,
Be careful of that broken branch.,
My friend works in the field.,
We are riding into the forest today.,
She ran harder up the hill.,
"This area has an abundant rainfall, dense forests, and fertile soil.",
The first tree was near the lake.,
There is beautiful land lying on both sides of the wonderful river.,
What is the highest mountain?,
The countryside is made with beautiful hills.,
They will go up to the snowy region.,
The rock was heavy and sharp.,
You threw the rock over the river?,
"Even in the dense underbrush, it had found another rock.",
The summer is the best time to prune raspberry bushes.,
"You are staying the whole evening, I hope?",
"I study about the earth, and the animals.",
"It isn't cold out there, is it?",
"She ran and ran and ran, until the night came to a close.",
"When she woke again, the sun was shining on her face.",
Will you give me a cup of tea?,
Will you try it and see if it makes a difference if wouldn't mind?,
Would you like to go on an outdoor adventure?,
He watched as the wolf disappeared into the tall grass.,
"I know you must be tired, so I will let you rest.",
The dry weather was perfect for building.,
Those few pieces of fat pine were a great treasure.,
The table and chairs were made of a dark rich wood.,
She breathed in the ocean air.,
We bought a lily and set it in a sunny window.,
"We can't keep falling forever, you know.",
After two years' growth the bushes should be quite tall.,
She glanced around the lush hills.,
All of the islands have beautiful beaches and lush scenery.,
"The place is absolutely crammed with plants, a lush green oasis.",
It is a very vibrant and proud community.,
The dawn brought cool air and dense fog.,
"The air was dry and hot, as if she were in a sauna.",
Cherry blossoms are in bloom for a short period.,
Scorpions are numerous in the arid regions.,
"The day was sunny and mild, a perfect day for riding.",
The majestic river dashes its way towards the valley.,
The blossom is fragrant.,
The apple trees are looking beautiful.,
The birds are chirping in the trees.,
The cool breeze is chilling my spine.,
The tides are rushing towards the land.,
A calm river is flowing from the mountains.,
The pond has many flowers.,
Birds are flying around fearlessly.,
The frogs are trilling in the pond.,
The tree has long branches.,
"Fresh fruit, please.",
The sky is so amazingly beautiful today.,
Deer are grazing in the fields.,
The wolf is chasing the deer.,
This river contains many species of fish.,
A pack of wolves is howling in the forest.,
The clouds caused a sudden blizzard.,
Let us fly a kite in the bright sunshine.,
The bugs are making weird noises.,
The mighty river is flowing along the slopes of the mountains.,
We are approaching a valley.,
The great wind hit the valley.,
Look at the colorful butterflies!,
The birds are cool looking.,
The rabbits are hopping joyously.,
The talkative bird is curious.,
The coyote is witty.,
The mice are squeaking happily.,
Snow is dripping from the leaves.,
Birds are drinking water from the unusually still river.,
Rabbits hop merrily.,
This particular rabbit was pretty quick at finding some food.,
The bird builds its nest quickly from twigs.,
The fluffy bear fishes in the stream.,
The bear snores peacefully.,
The unstable rock rolls down the mountains.,
The flowers blossom blissfully.,
The lush green forest has a lot of animals in it.,
Do you want to talk while we're playing?,
Fruit is currently being harvested as we eat.,
Fresh berries are scattered across the land.,
The moths flock to the light like crazy.,
Wavy branches make fill the day with joy.,
The ducks quack happily.,
The birds are at rest.,
Reptiles lay under the canopy of the forest.,
Butterflies sit on the shrubs.,
The rabbit is lying on his back playfully.,
I hope the birds would sing while we play in the grass.,
"No, I don't see why that should be.",
"First we wait, then we move.",
"I've never tried that, should be interesting!",
"If we could, we should, why wouldn't we?",
She speaks as if everyone was asleep.,
"No wonder the birds sing, they sound great!",
What is your favorite thing to do?,
"The moon shines too, just not as much.",
If only we could jump and reach the skies.,
Let's get there by running.,
We are going to explore the forest tomorrow.,
We are from the beach.,
"Here, let me get that for you.",
I want to be tall when I grow up.,
A gentle breeze is clearing away all the leaves.,
"Take these rocks, they are yours.",
Remind your brother to take you out when he wakes up.,
It is time to relax and enjoy.,
The snow is very welcoming.,
I need a light sleep in the afternoon.,
We are planning a trip to the forest.,
The fruit we are having today is from the forest.,
They are coming over to play.,
Think of any number from one to ten.,
It's time to go home.,
Imagine the purple leaves.,
Get some ice cubes for the juice.,
"Get me two stones: one brown, the other white.",
I will be swimming with the fish.,
Watch closely!,
Let's go find some fruit.,
Can we climb that tree?,
Yesterday was fun because we found that big rock.,
Let us finish this before the sun sets.,
I love having fruit in the afternoon.,
When can you come out to play?,
I am always at home at weekends.,
You can be the best at anything you can imagine.,
It gets dark when the lights turn off.,
Our dad gives us fruit every day.,
Animals sleep all the time.,
We all love playing games.,
We crossed the river with our bare feet.,
Place the fruit peel into the pile.,
My feet got wet from the rain.,
I found two branches had fallen from the tree.,
The wolf howled all night.,
Let's give them another chance.,
Keep sight of where you are going.,
"I don't take sugar in my tea, thanks.",
Feel free to visit me anytime.,
Her voice sounded so happy.,
We are going to clean everything up.,
Let's meet at our tree house when the sun rises.,
Can you make tea for us?,
I must follow my dream where ever it takes me.,
We thanked our teacher for all her hard work.,
Let's get started right away.,
Let everyone have what they want.,
The leaves are scattered all over the forest floor.,
The fruits are all small and green.,
Would you please pour me a glass of the juice you made.,
The rabbits are enjoying their meal.,
Keep the windows slightly open.,
Who let the animals out?,
Try to remember what happened.,
I came here for you.,
We both took a piece of fruit.,
We all sat watching the sun rise.,
She is a very polite young girl.,
Bring everything to me.,
The birds chirped as they were fed.,
I have a variety of different collections.,
Take care of your siblings.,
We counted twelve branches in total.,
Winter is coming.,
They love the snow so much.,
I brought some rocks with me.,
Every life is sacred.,
I can't run that fast.,
The sun is shining quite brightly today.,
These berries are very fresh.,
The sky is clear today.,
There are many species of plants in the forest.,
You can see dew on leaves early in the morning.,
The land is filled with flowers.,
"Look, there is a deer in the woods.",
What kind of bird is this?,
"The mountain is very steep, so be careful while climbing it.",
Let's drink fresh water from the lake.,
The pond is filled with fish of all kinds.,
Flowers are in full bloom at this time of the year.,
The weather gets beautiful in spring.,
"Full moon occurs roughly once a month, except on a blue moon.",
The sky is filled with stars tonight.,
I think I love all of the flowers around here.,
I like to eat.,
It's a beautiful view from the top of this mountain.,
"You should sing more often, you have such a beautiful voice.",
We should dance together to this song.,
The flower was usually found in the back of the forest.,
The wind blew the leaves lying on the ground.,
What are you bringing to eat on this adventure?,
The bird drank water from the lake.,
Is it possible to swim with fishes in the sea?,
Stars sparkle at night.,
She has deep blue eyes.,
Heavy mist covered the magical place from being seen.,
It will rain today.,
Wild animals live out here.,
Summer days are long and hot.,
The bee uses its beautiful wings to fly.,
Light from the star twinkles at night.,
The sky is covered with heavy clouds today.,
The bear living in the forest likes to eat everything.,
The rock is extremely heavy.,
Waves can be seen from the beach.,
Do you like reading the tree rings?,
The duck swims in the pond.,
He plays the flute very well.,
She lives in a big beautiful house.,
Red berries are the ripe ones.,
The green grass covered the lawn.,
The sky is clear and blue in summer.,
These berries are freshly picked from the tree.,
The forest floor hides many little animals.,
Birds have the ability to fly.,
This mountain will lead you to view number two.,
Wolves have a strong sense of smell.,
All the trees are covered in snow in winter.,
How many members are there in your family?,
Children like to build stuff when they are on the beach.,
He stayed in the cool and dark cave to avoid getting wet in the rain.,
"Let's play hide and seek, it will be fun.",
What are you making tonight?,
I love my family.,
The food from the forest was delicious.,
How often does a bird flap its wings?,
It is very important to stay warm in winter.,
My best friend gave me a piece of fresh fruit.,
Flowers blossom on the tree every spring.,
I often dream about magical creatures at night.,
The land was filled with short bushes.,
Sweet juice is a very refreshing treat on a hot day.,
The gold glimmered in the dark.,
Water bubbles when it boils.,
People of this town are very nice and helpful.,
Animals have a very special place in my heart.,
Fully ripened berries are sweet and delicious.,
The bird has a nest on the branch of this tree.,
This short path will get you to the hill in no time.,
Are you free this afternoon?,
Insects often live in humid climates.,
You should come the tall tree and meet me sometimes.,
This is a very special plant.,
The flowers dance in the shiny weather.,
Sky in is a seemingly never-ending vastness.,
The ever so bright sun is glimmering in the open blue sea.,
The sun is starting to set.,
As the day is at its brink and the night is about to break.,
The leaves of the tree.,
The bright sunshine warms the rabbit as it begins to sleep.,
The river clashes with the rocks fiercefully.,
The cool breeze makes the bird dance in the wind.,
The raindrops look like silver gems scattering across the land.,
The wolf wags his tail as he gets patted.,
The land is filled with cool looking flowers.,
The squirrels relax as the warm sunlight approaches.,
It is a field of aromatic flowers.,
The fish playfully travel the tides of the ocean.,
The deer grazes as the sun dawns.,
The dry autumn leaves crunch as I walk through.,
The wolf relaxes as the day dusks.,
The herd of elk sleeps as the day ends in the tranquil countryside.,
He is as calm as the fields of the countryside.,
The bees buzz in the scorching summer heat.,
The juicy berries grow in the bushes.,
The bird flaps her wings as the sudden breeze touches her.,
The birds take shed in the trees as the hot sunlight approaches them.,
The bird moves rhythmically as the drops of rain pats her.,
The school of fish swims around as the tides rise.,
The ducks dance in the sweet spring.,
The rainbow reveals itself as the rain stops.,
The owl stares at the moon in the lonely night sky.,
The rocks act as a pillow to the lazy grizzly bears.,
The wind takes away the seeds from the trees.,
The rabbit eats the food peacefully.,
Snow chills the animals as winter approaches.,
Reptiles crawl in the wet forest floor.,
The bird weaves its nest as the spring approaches.,
The wolves howl in the moonlight.,
The eagle rises above the clouds as it rains.,
Are you able to come aboard at this moment?,
We made plans about how to best see the stars.,
He didn't know I was watching from above.,
How can you get across this river so quickly?,
I couldn't see after the dirt got in my eyes.,
She pushed against the tree with all her strength.,
Would you have brought me along otherwise?,
Will you be among those in the forest?,
I don't want to be around when she arrives.,
He doesn't move as quickly as she does.,
We could have traveled at a slower pace.,
What you see before you is a huge animal.,
Why won't you get behind her?,
She wanted me to go down below.,
"Beneath the tree, an animal just woke up.",
She had been beside him for the entire journey.,
I'll decide between staying here and going home.,
He refuses to help anyone beyond his own family.,
"I would swim, but it is too early in the day.",
You might be able to find her by the river.,
"Despite the weather, I will get there on time.",
"If you keep jumping up and down, she will leave.",
It's difficult to swim at such a wild storm.,
Don't say anything except that you love him.,
She would have made food for you if you'd asked.,
They walked from the forest to the river.,
He's worried that we've been in the forest for too long.,
Can you believe that a rock is inside this fruit?,
"If she turns him into an animal, I will save him.",
It was like the entire forest had suddenly stopped.,
She had been near death several times,
He doesn't want us to be next to him again.,
Several friends have forgotten how to swim.,
I strayed off the path despite his orders.,
He found us on his way home from the river.,
I don't know how we got onto this topic.,
You should get out of the river before sunset.,
The animals would have flown over the forest.,
"If you can't swim, you shouldn't go past this river.",
"As per the king's orders, you must leave this village.",
"Plus, we can't stay here if you are also here.",
I will talk more regarding this matter.,
Have you seen a large rock 'round here?,
She would climb it save for the fact that she is too short.,
He has gotten weaker since I last saw him.,
I would rather eat fruit than meat.,
Maybe this time they will get through to her.,
I will keep jumping till they tell me to stop.,
Do we want them to give this to us?,
They can either move toward the sea or go home.,
The queen will find a rock under some leaves.,
He wished he could rest underneath the tree.,
It is unlike anything I have ever seen.,
She likes to swim until the sunset.,
What goes up must come down.,
She used to love gazing upon the water.,
We argued about the forest versus the river.,
"Tomorrow morning, I will have traveled via boat.",
"If I were with him, I would annoy him.",
There was a wild animal deep within the cave.,
I shouldn't have left without eating first.,
"If you had taken another step, I would have laughed. ",
Any of the animals could have done this.,
She used to love anyone who gave her food.,
Does he think I had anything to do with that?,
"If you could go anywhere, where would you go?",
Both of us should dance instead of one.,
Please be certain before you run there.,
Each child should give and receive one gift.,
I thought she was either one or two years old.,
This is more than enough for her birthday.,
She waited for us every day that we were gone.,
He will say everyone has water if you ask.,
Everything in the forest is green today.,
Has she been everywhere in the world?,
There are few people I do not know here.,
This is the last time I will ever climb this tree.,
She will expect at least five gifts tomorrow.,
Why do I have less water than she does?,
There is little that he cannot do.,
I have many doubts about your new plan.,
She climbs trees more than he does. ,
That is the most pleased I've ever seen you.,
Much of my life has been full of happiness.,
Neither person had seen the mountains before.,
We cannot find the tree that is next to the river.,
There are no leaves on the trees this year.,
None of my friends are at home right now.,
Nothing is wrong with eating fruit.,
The forest is nowhere near the sea!,
We had only seen the forest once before.,
Hopefully several people show up today.,
It takes some courage to climb such a tall tree.,
"If somebody wants food, we will go to the forest.",
Is there something he wanted to say to them?,
They will find a home somewhere around here.,
That is exactly what I am talking about!,
"Whatever your favorite color is, mine is as well.",
She wouldn't remember which tree we visited.,
I will eat bread or fruit: whichever you prefer.,
A river flows through the valley.,
The setting sun reflecting off the water lights up the area with golden light.,
I sat on the rock and watched the sunset through the window.,
He spent last time on a mountain.,
The moon was appearing behind the clouds at the dark of midnight. ,
A fresh layer of snow covered the path.,
The moon dangles low and large in the dark sky.,
"The sun rose bright and fair, and the morning was without a cloud.",
"At sunset, the sky shaded from pink into dark red.",
Birds are singing in the tree.,
The bird landed gracefully on the water.,
The grass was covered with frost in the early morning.,
"The gentle rain was over, but drops were still falling from the trees.",
The rainbow formed a beautiful arc in the sky.,
That wide-eyed innocent look reminded him of a newborn baby.,
The leaves were floating gently down the river.,
She brought a handful of fruit from the forest.,
The air around him was cold like it was being iced.,
The bee came to dance on the flower.,
Allow in a cool night breeze.,
I have many far-off friends whom I never seen.,
I was glad to go back to the village to see my home and friends once more.,
"He has two younger siblings, a brother and a sister.",
Mom placed a pot of brightly colored flowers on the table.,
She returned to the meadow and sat down on the grass.,
"There was a small interesting rock beside the tree, on which there was a frog.",
He used to go out with his friends every night.,
"Across the way, warm sun light showed through the dense forest.",
The way a butterfly flutters from flower to flower is graceful.,
The flowers this year which bloomed in the early spring have stayed abundant.,
He waded out of the water and laid his socks and shirt on a rock in the sun to dry.,
Our last halt was under a wild berry push a short distance from the lake.,
"She looked up at the glowing clouds, from which snow had begun to fall again.",
Fruits of great variety are grown in the valley and foothills.,
The country has a beautiful sandy beach.,
She tossed her head back to stare at the stars.,
He was living on the hilltop with a flock of two hundred elk.,
The little boy was halfway to the lake when mom spoke to him.,
A single gentle rain makes the grass many shades greener.,
"There was nothing dangerous about the forest, except snakes and insects.",
"Below the falls, a large beautiful rainbow gave color to the rising mist.",
Everything is ready for the forest walk.,
He smelled the fragrance of wildflowers while walking on a path that led to the pond.,
The desert was basking in an orange sunset when they finally stopped.,
The birds flew to their nests in the evening.,
"Water was dripping from the trees, and the land was wet.",
Snow crunched under her feet and quickly soaked her gear.,
It was at the beginning of winter.,
"Nature was at her peak, blending the wild blooms with various shades of green.",
It lies in a hilly well-wooded landscape above the valley of the small river.,
The birds saw the little girl who was walking among the trees and flew down to greet her.,
She glanced down at the bird's nest in her hand.,
She studied the berry-like seeds that grew in a cluster at the top of the bush.,
"The yard of the super old house was completely covered with plants, rocks, and animals.",
There was not a breath of wind to stir the young leaves on the trees.,
"The climate is extremely hot and dry in summer, while the winter temperature is mild and pleasant.",
"When traveling through the countryside you see many inspiring mountains, streams, valleys, and lakes.",
It was so close to the sea that those who lived in it could hear the waves forever beating against the shore.,
The island is very picturesque with rolling green hills surrounded by glorious coastal scenery.,
The ocean breeze brought that familiar scent back.,
The warm sun shined on the tall powerful trees and drew out all their fragrance.,
It was very pleasant out in the shady woods.,
They were sitting around the fire and trying to keep each other warm.,
She opened her eyes and blinked at the sunlight streaming through the forest.,
An old man decides it's time to get a new rock for his collection.,
"One day in spring, three men were riding together along a country road.",
She walked for half an hour until the rain began to trickle through the tree tops.,
The soothing sound of water running over stones greeted them as they neared the creek.,
The old creaking tree spread a blanket of shade in the grass beside the pond.,
I love the beautiful spring because the budding trees and the blossoming flowers are so abundant.,
"Whenever my aunt comes to visit, she brings some good gifts for my family.",
He took his children far away to a green valley.,
I am pleased because I love the warm sunshine and the fragrant flowers.,
"After a while, they were riding around the side of a steep hill through tall grass.",
Old meadows provide a home for many colorful plants.,
The warm sun had melted most of the snow from the path.,
She glanced back over her shoulder at the huge rock on the hill.,
The sun peeked over the desert horizon to the east.,
Ahead was nothing but a narrow dirt path lined with mature trees and bushes.,
We shall all live together in a small place near one of the lakes beyond the forest.,
I took a scenic ride through the ever infinite land.,
He imagined the way the ocean breeze zipped straight into their tent.,
"In the evening, we would walk in the yard and catch the grasshoppers and butterflies.",
The sun set too early on that autumn day.,
The valleys within the hill ranges are fragrant with aromatic shrubs.,
He skipped a stone across the pond.,
"She glanced up at her friend, who was sitting against a tree watching her.",
Have you ever seen a rainbow?,
"Yesterday, I had a chance to view a rainbow.",
The rainbow was far and high but neither thick nor full.,
I will be lucky to see a rainbow again.,
This evening we might see a beautiful double rainbow.,
I heard the animals chewing grass.,
I looked at the many birds along the path.,
"The birds made short, high pitched sounds.",
I was very tired after the long day deep in the forest.,
We did not have enough energy to play games.,
"Still, we were asked to see how far we could throw these rocks.",
"He loudly counted one, two, three to start the game.",
We could dig some soil and build a mountain.,
We even jumped out because it was not very high.,
I just felt that we must again go to this forest for another fun time.,
It was too late when we came back home.,
