tune word,english word
sid,seed
sik,seek
sim,be
sin,
dom,area
sip,suf,x stuff (pleasantry)fer
siq,wonder
sis,understanding
sit,align
siv,get
six,give
siz,size
sok,soak
sol,energy
som,liquid/juice
son,float (number)
sor,regular
sot,hold
kov,cycle
soz,
sud,abnormal
suk,unique
sum,sort
sun,soon
sup,assumption
sus,
tad,night
tak,source
tal,
tam,
tan,
tap,top
taq,false
tas,release
tat,child
tax,
taz,
tek,take
tem,steady
ten,ratio
tep,check
teq,
tes,y axis
tet,test
tev,relation
tez,chaos
tif,quality
tig,id
tik,word
tim,organization
tiq,true
tir,status
tit,parent
tix,authority
tiz,lack of power
tod,
tol,minimal
tom,boundlessness
ton,bit
tor,pain
tos,release
tot,allow
toz,
tub,
tuk,continue
tul,tool
tum,container
tun,chime
tut,sibling
vak,female
val,odd (number)
vam,hate
van,bliss
vep,immutable
vet,
vid,
vim,
vin,
vip,dynamic
vir,
vis,set
vol,similar/like
von,
vot,vote
vul,interval
vum,stay
vun,variable
wak,traverse
wal,barrier
wan,handle
wap,ten
wed,path
wek,wake
wem,discrete
wet,wait
wev,wave
wid,undo
wik,side
wim,
win,
wis,sum
wit,exist
wiv,mesh
wix,system
wiz,exceed
wol,
wop,random
wul,
wum,important
wun,
wux,
xak,craft
xam,client
xap,skip
xaq,object
xat,
xax,thing
xed,color
xer,share
xek,
xik,follower
xib,verify
xim,experience
xin,machine
xip,map (change one thing into another)
xiq,action
xis,receive
xit,surface/skin
xif,tween
xix,shift
xiz,choice
xok,change
xol,
xom,x oriented
xor,xor (logic)
xon,task/work to be done
xul,push
xum,live
xun,work
xoq,feature
xut,state
xuz,absent
yak,the state of being x
yan,reach
yap,
yet,
yid,yield
yin,every
yip,one who is x oriented
yul,
yun,continous
zak,effect
zaq,answer
zat,catch
zen,one
zet,order
zig,equal
zim,practice of focusing on x (-ism)
zin,environment
ziq,question
zir,
zit,power
zok,repeat
zol,quality of being
zon,position
zop,solution
zum,speed
zut,separate
zux,present
bam,create
xiv,destroy
vix,preserve
bud,enlightenment
puk,one who promotes
sur,respect
fur,thing to apply x action to
hix,x ish
nes,creative-ness
suf,x oriented stuff (pleasantry)
yod,yotta
zet,zetta
hex,exa
pet,peta
ter,tera
gig,giga
meg,mega
kil,kilo
hek,hecto
dek,deka
des,deci
sed,centi
mil,mili
mik,micro
num,nano
pim,pico
fem,femto
hat,atto
zup,zepto
yap,yocto
