tune,english
saz,emphasize
seC,etc.
sef,continue
sek,percept
sem,same (sym-)
sep,swipe
sev,save
sez,sir
siC,hush
sid,seed
sif,purple
sig,front
sik,seek
sil,more (-er)
sip,asleep
sit,medium
siv,perceive
six,all encompasing thing
siz,peace
sod,mystery
sof,each
sog,reason
sok,around/surround
sol,soul
som,drug
sop,so/transition
sor,file (computer)
soz,also
sub,I
suC,three
suf,self (auto-)
suk,top
sul,still (time)
sup,above (super)/hover
sur,assert
sur,out
sut,store
suv,observe
tab,stable
tac,set (get)
tad,tail
taf,good
taj,down (to be cool with something)
tak,talk
tal,tell
tam,meditate
taq,tongue
tar,tire (sleep)
tas,test
tat,sibling
tef,left
tek,take
ten,tan (color)
teq,like (as if)
tet,signal
tic,fourteen
tim,team
tin,between
tip,step
tiq,mental experience
tir,TRUE
tiv,conscious
tix,tingle
tiz,ellipse
tod,term
tok,structure
tom,atom
ton,agent (one who does x)
tor,before
tos,task
tox,text
toz,position (cardinal)
tub,tube
tuc,emotion
tul,tool
tup,impure
tuq,type
tur,turf
tuv,input (computing)
tux,intuition
tuz,because
vab,vibe
vak,multiply
val,value
van,having the nature of (-ivity)
var,variable
vas,aspect
vat,body
vav,repeat
vax,it
veb,byte
ved,study or science of (-ology)
vek,filter
ves,vessel
vex,reveal
vic,bit
vid,veer
vig,start
vil,manifest
vim,way/style
vin,fill (-full)
vip,six
viq,everything
vir,remote (far)
vis,see
vit,information
vix,preserve
vod,void
vog,black
von,sin
vot,vote
vov,axis
voz,voice
vuc,catch
vul,via
vun,on
vuq,data
vuq,foundation
vus,flex
waC,water
wak,walk
wal,while
wan,why
waq,um
war,wear
wat,white
wav,exist
wek,week
wem,warm
wet,wait
wev,wave
wez,fifteen
wig,kaleidoscope
wim,bounty
win,when (time location)
wiq,wing
wis,inverse
wiv,connection network (neighborhood)
wiz,solve
wol,wow
wom,well (good)
wor,forceful (like hard hit)
woz,problem
wug,emanate
wum,swim
wum,womb
wun,woo
wut,what
wux,system
xab,seven
xal,share
xam,chime
xam,heaven
xat,or
xax,eternal
xed,should
xen,result
xic,eye
xid,grey
xik,computation
xim,speech
xin,machine
xip,imagine
xiq,will
xit,provide
xiv,destroy
xok,copy
xol,show
xom,now
xud,quiet
xul,subtract
xum,sky
xun,change
xup,ship
xut,shout
xut,shelter
xuv,return
yad,away
yaj,measure
yal,turquoise
yam,day
yan,vehicle
yap,yep
yaq,permanent
yar,year
yat,way
yem,yum (food)
yev,sort
yiq,impermanent
yit,night
yix,something
yog,practice of focusing on x (-ism)
yol,yell
yov,of
yuc,with (con-)
yul,polynomial
yut,yet
yuv,view
yuz,use
zab,public
zaf,equal (iso-)
zak,effect
zan,one
zap,zap
zaq,presence
zar,vowel
zav,lie
zem,plasma (matter)
zet,olive (color)
zig,gain
zil,perspective
zim,pleasure
zin,decision
zip,graph
ziq,zing
zir,pertaining to x (pleasantry)
zok,try
zom,so/great
zon,zone
zox,sense
zub,absorb
zuk,where
zul,animal
zum,zoom
zur,fall
zus,experience
zut,identity
zuz,converse (talk)
baks,rectangle
bamp,bump
band,band (group)
barb,barb
barc,birth
bard,b sound
barl,bare
barv,duck (bird)
bask,otherwise
bast,prime
batx,bat (animal)
bend,bend
besk,basic
bild,build
birs,beer
bist,beast
blab,blob
bleq,eject
blet,bait
blim,beam
blin,belly
bliz,our
bloC,blood
blof,blow
blor,blur
bloz,boson
blum,bloom
blut,butt
bold,10^30
borl,boil
born,bury
borp,burp
borz,poison
brak,bacteria
bral,ball
brat,big
braz,box
bred,braid
brek,break (pieces)
bren,brain
brev,brave
brif,brief
brig,insecta
brip,beep
briq,bring
brit,orbit
briz,simple
brob,decimal
brod,bone
brol,brow
broq,membrane
bruk,beak
bruz,buzz
bund,boundary
bunz,boon
bust,burst
carn,ion
Carv,forever
cets,mole (measurement)
ciqk,think
corb,distance (tele-)
Cork,large C sound
corn,british o vowel sound
crak,10^33
cral,hill
crav,thrive
crit,threat
cron,south
crop,c sound
cros,art
crug,amphibian
crum,through/tunnel
crut,puzzle
cutx,tooth
dalg,magnitude
dalt,dependent
danz,dance
dapc,depth
darb,follow
darn,damn/dam
dart,east
dask,desk
dedj,appendage
diqk,deny
disk,discover
djak,fingernail
djam,jam
djas,justice
djat,deal
djaz,joy
djek,reject
djin,gene
djip,over
djir,deer
djiz,jeez
djok,joke
djud,jew
djul,jewel
djus,juice
dolt,doubt
dolv,deliver
domp,dump
dors,desert
dort,dirt
drad,put
drak,harm
dral,dry
dram,human
drap,drop
drav,candela (measurement)
dref,definite
dreg,drag
drex,hyphen
drib,10^6
drig,degree
drim,dream
driv,fate
drix,direction
dron,drone (sound)
drov,multicellular life
droz,enter
drul,drool
drum,drum
drup,d sound
drus,radius
drut,electricity
dusk,across (trans-)/cross
fand,fund
faqk,funk
farC,feather
farg,fog
farm,far
fart,fart
farv,10^24
fast,fast
fent,faint (dizzy)
film,film (material)
finz,finish
fiqk,even (though)
flap,hop
flat,flat
flax,flesh
fleC,appear
flek,mirror
flem,flame
flet,fight
flid,field (math)
flip,flip
flob,lob
flok,glow
flom,f sound
flor,flower
flot,float
flud,fluid
flum,fly (action)
flun,few
flux,flush
fluz,complex
fold,fold
folg,fungus
forc,there
fork,ant (animal)
form,form
forn,fine (good)
fort,fort
fras,sail
frax,fresh
fred,vowel large E sound
fren,danish e vowel sound
fret,frame
frez,phrase
frik,freak
frin,funny
fris,hiss
frix,fish
friz,freeze
froC,fear
funt,photon
galt,guilt
gant,-gon (polygon)
gard,g sound
garm,arm
garz,again (re-)
gatx,german i vowel sound
gemz,vowel e sound
gest,guest
gilp,gill
glan,glide
glav,glove
gled,lay
glen,gluon
glet,gate
glez,10^4
glip,lip
glob,planet
glok,your
glor,glare
glot,goat
gluk,lick
golx,only
gost,ghost
grac,jaw
grad,grid
gral,foot
gram,gram (measure)
grap,issue
gras,grass
grav,graviton
gred,grade (score)
grem,grim
grep,grape
gres,guess
gril,case (container)
grit,hello
griv,grieve
groq,lion
gror,growl
grum,row
grun,grow
grup,group (math)
grut,grit (strength)
gruv,rub
gump,new
habz,abstract
hadj,hedge
halc,ethnicity
hald,elm
halm,hue
hals,ice
halx,hair
halz,hell (emphasize surprise)
hamp,ampere (electric current)
hant,hunt
hanz,house
hard,hard (vs. soft)
hark,arc
harq,along
hask,explore
hatx,hole
hedj,age
heps,ape
heqk,angry
hidj,polyhedron
hilk,elk
hint,hint
hold,h sound
holv,elbow
hord,ahead
horn,horn (animal)
hors,horse
hort,heart (body)
horx,oh
host,thirst
hudj,vowel u sound
huqk,hunger
hutx,itch
jalf,j sound
kaln,kaon
kalt,cult
kalv,kelvin
kamp,camp
kand,command
kard,can
kark,quark
karp,keep
kart,crown
kast,cast
kedj,accept
kiqk,10^15
kirn,cure
klad,cloud
klak,clock
klan,claw
klap,danish a vowel sound
klat,cat
klek,click
klem,claim
klin,clean
kliq,k sound
klir,clear
klis,nucleus
kliv,cave
klok,quick
klor,color
kloz,close
klub,kill
klum,cue
klun,community
klut,cute
kold,cold
korb,cone
korg,encounter
kork,curl
korn,category
kort,court (justice)
korx,xor
kraf,comfort
krag,node
krak,crack
kraq,ring (sound)
kras,cross
krax,crash
kred,credit
krek,cake
krem,chemical
krep,crypto
kret,secret
krev,crave
krid,liquid
kriq,care
krok,croak
krol,cull
krom,ohm (measurement)
krot,right (vs. wrong)
kulx,answer
kund,kind (good)
kurv,curve
ladj,l sound
laft,laugh
laks,lack
laqk,wool
larg,element
larm,limb
larp,lepton
lart,let
larv,larva
larx,10^12
last,last
ledj,theory
legz,leg
limp,limp
lint,lint
lird,wet
lirk,ratio
list,list
lorg,log (diary)
lorn,line
lurv,leave
madj,image
magz,moss
maks,maximum
malt,metal
maqk,monkey
marC,quite
marg,old
marm,mammal
marn,muon
mars,mass
marx,mesh (inter-)
mask,mask
mast,member
matx,symmetry
ment,mate
miks,mix
minz,means
miqk,who
mirt,meter
mold,mold (shape)
molt,vowel large O sound
molz,mow (grass)
mord,manifold
morf,morph
morn,m sound
morp,10^36
morv,maybe
most,most (-est) (large-collection-partition-focus)
mutx,much (large-lot-focus)
nadj,knowledge
nalz,analyse
namp,magnet
nand,nand
nanz,noise
narb,neighbor
nark,any
nart,neutron
narv,river
natx,n sound
natz,glory
neks,10^27
norc,north
nord,order
nork,nor
norm,normal (math)
norn,knee
nors,having some aspects of (-ish)
norx,nourish
nuqk,bear (animal)
nurf,vowel large U sound
nurv,nerve
nust,embed
padj,edge
pand,upon
paqk,punk
pard,pod
park,park (car)
parn,purr
parp,perpendicular
part,part
parz,p sound
patx,patch
pent,paint
pest,paste
pirs,role/as
pitx,pitch (sound)
plak,pluck
plan,plan
plap,glottal stop
plar,play
plas,compassion
plax,accomplish
pleg,plague
plek,their
plen,plane (geometry)
plep,plop
plet,plate
plin,discipline
pliz,please
plod,implode
plon,pion
plud,pound (measure)
plup,poop
podj,purge
pogz,10^5
porf,puff
pork,per
port,important
post,post (content)
potx,pi
prab,probable
prag,pig
pram,primordial
pras,press (force)
prat,apart
prax,ash
praz,prize
pres,pressure
prex,precious
prik,opaque
prim,prime (primative)
prot,proton
proz,for/purpose
pruk,pick
pruv,prove
raft,raft
ramp,r sound
rant,rant
ranz,ram
rask,reminiscent of (-esque)
rast,rest (remainder)
ratx,vowel a sound
rend,french r sound
reqk,rank
retx,rate (change)
rilz,reel
riqk,rhyme
risk,risk
ritx,ring (math)
rond,gnaw
rost,past (distance)
rups,10^39
rusk,vowel english r sound
rutz,race (event)
sadj,beside
saft,soft
salk,circle
sals,celsius
samp,sentence (text)
sand,sand
saqk,sign
sard,side
sark,discern
sarl,swirl
sart,certain
sarz,feature
satx,such
sedj,sage (person)
sent,saint
senz,essence
sfir,sphere
sinc,synthetic
siqk,sink (down)
sitx,second (time)
skal,scale
skap,skip
skar,square
skax,squash
skep,scape (scenery)
skil,skill
skim,minimum
skin,skin
skit,sweet
skoq,cease
skor,score
skul,school
skum,scheme
skun,skew
skup,scoop
skur,scare
skut,difficult
skuz,excuse
slad,slide
slag,slug (animal)
slap,slop
slas,faint (light)
slat,10^9
slax,slash
slet,slight
sliC,therefore
slid,swing
slim,submit
slip,sleep
slix,wish
slog,slug
slok,weak
slom,slow
slop,slope
slun,soon
slup,swoop
slur,my
smal,small
smax,smash
smek,smack
smil,smell
smin,meson
smok,smoke
smul,smile
snap,snap
snar,snare (drum)
snif,sniff
snik,sneak
snom,snow
snor,s sound
sold,solid
solp,swap
sorf,surface
sorg,recent
sorm,some
spak,spike
span,spine
spas,spice
spek,respect
spik,speak
spin,spin
spit,spit
spok,spoke (wheel)
sriz,series
stab,stab
staf,stuff
stal,stall
star,star
stat,stat
stef,safe
stek,mistake
sten,stain
stet,status
stev,stay
stik,stick (plant)
stil,still (motion)
stim,steam
stoj,storage
stok,stomach
stom,install
ston,stone
stud,sad
stup,stupid
sutx,set (math)
svas,sigh
svik,knife
svur,very
tals,tall
tamp,temperature
taqk,toy
tard,towards
tarn,10^39
tarp,topology
tarz,reptile
tatx,touch
test,taste
tirn,tour
titx,teach
toks,easy
told,t sound
torn,turn
torp,interpolate
totx,attach
trab,tribe
trad,west
trag,10^42
trak,track (path)
trap,trap
traq,triangle
tras,torus
trat,tight
tred,trade
tres,trace
tret,trait
trid,vowel i sound
trij,treasure
trik,trick
trin,neutrino
tris,interest
trom,spectrum
txak,check
txal,shell
txap,chip
txaz,100
txeq,q sound
txes,chase
txet,shit
txin,teen
txir,cheer
txor,saturate
txot,loose
txul,actual
txum,tissue
txun,sneeze
txut,chew
txuz,choose
valv,evolve
vant,archaea
vaqk,cow
vark,syllable
varm,vomit
varz,forest
vast,vast
vedj,vegetable
vist,visit
vlam,its
volt,volt
volz,violent
vorb,ever
vord,avoid
vork,electron
vorx,vowel o sound
vraj,average
vram,insight
vret,settle
vriC,wood
vrug,10^18
vrun,ocean
vurf,verify
vust,v sound
vutx,entity
wald,wild
wand,wind (coil)
want,want
wark,work
warp,vowel large A sound
warx,worship
watx,watch
wetx,which
widc,width
widj,10^45
wird,weird
witx,w sound
wold,world
wolf,wolf
worc,worth
worv,weave
wups,whoops
wurm,worm
xant,ancient
xark,society
xarm,10^21
xarp,x sound
xarz,opposite (anti)
xask,ask
xift,shift
xild,shield
ximp,shrimp (fish)
ximz,happy
xlav,calculate
xlik,shriek
xlum,mushroom
xort,sure
yard,yard (measurement)
yarn,y sound
yild,yield
yiqk,vowel large I sound
york,10^2
yorm,uniform (consistent)
yorn,yearn
yust,used to
zalb,fermion
zalv,dissolve
zalx,toe
zark,open
zarn,alien
zart,lizard
zeqk,hand
zetx,1000
zist,resist
zolt,column
zord,exit
zorn,ear
zuqk,z sound
babol,bubble
babun,baboon
badan,bide
badax,bud (flower)
bafol,baffle
bagon,bag
bakak,hatch (egg)
bakal,bike
bakan,pecan
bakar,inspect
bakir,senior (rank)
bakol,buckle
bakop,balk
balat,tile
balaz,bawl
baliq,bully
balix,embellish
balon,bile
balut,bout
bamap,stage
banan,banana
banic,beneath
bapas,bypass
baraj,barrage
barak,bless
baral,barrel
baran,barren
bariq,berry
barun,baryon
basac,quest
basal,own
basir,well-seeing
bason,bustle
batik,watermelon
batol,bottle
bator,batter
batul,birch (tree)
batum,fellow
bavan,dwell
baxal,ripe
baxir,herald
beben,babe
bedoq,wiggle
bedul,battle
began,pessimistic
begin,begin
bejan,beige
bekan,beckon
bekin,bake
belan,bail
belit,belittle
beloq,bellow
betan,bat (hit with stick)
betor,bet
bezik,cup
bibun,bib
bicuv,behoove
bidal,beetle
bidat,stoke
bidaz,bedazzle
bidon,fiction
bihev,behave
bikam,become
bikar,bicker
bikic,bequeath
bilam,brake
bilaq,belong
bilar,beware
bilat,ability
bilon,bill (money)
biloq,billow
bimon,bemoan
binan,benign
binat,violate
binit,bean
biran,inevitable
biret,berate
biriv,bereave
birur,inquiry
bisal,match (competition)
biset,beset
bitan,beet
bitor,bitter
bituk,accent
bival,bevel
bizar,bizarre
bland,blend
blast,blast
bliqk,blink
blort,blurt
bodan,bode
bolaq,bow (arrow)
borig,screw (bolt)
bovin,bovinae
bovor,buffer
bradz,brass
bralt,brittle
brand,brand (business)
brest,breast
bridj,bridge
britx,breach
bugiq,bug (bother)
bukad,buck
bulin,buoy
cagaf,culture (society)
cagan,thug
cagur,naughty
cakal,heckle
Cakar,mention
Calil,dispicable
camil,drunk
Camim,obnoxious
caram,revolution (society)
caraq,plenty
caraz,arise
casal,assail
catik,apathy
catun,atone
caval,avow
cefur,stench
cetak,pathetic
cikam,rely
ciket,equate
cilet,elate
cinap,inept
ciram,theorem
cisal,thistle
citar,theater
codal,dye
corat,revolution
cotaq,rush
covit,overheat
craks,thorax
dabak,adhere
dabit,debit
dabiv,dub
dadan,bold
dadol,avenue
dafit,defeat
dafuz,diffuse
dagim,sample
dagix,emphasis
dakan,duck (below)
dalag,dialogue
dalak,grate
dalam,pity
dalap,weapon
dalat,suck
dalet,dilate
dalif,leak
dalik,approximate
dalin,dally
dalir,delirious
daluc,cuckold
dalun,road
dalut,dilute
damap,dam
danam,dawn
danin,donation
daniq,dine
dapok,shiver
darat,mote
dareC,dash
darut,dire
dasak,stress
dasik,dice
dasuk,skid
daxen,university
daxin,fertilize
dazal,dazzle
dazin,dizzy
daziz,disease
debol,dabble
debor,dab
dekal,palm
denim,responsible
devan,hobby
dezak,daze
deziq,daisy
diban,slander
didak,tick tock
didaq,site
diduk,deduct
didus,deduce
difak,defy
difen,deify
difes,deface
difor,defer
difur,differ
digor,dig
dijan,indecision
dijor,relative
dikam,predicament
diken,decay
dikod,decode
dikos,cram
dikur,remembrance
dilak,delectable
dilan,dill
dilem,dilemma
dilen,delay
dilud,delude
dilun,discuss
dilur,accommodate
dilut,illuminate
diman,demon
dimaz,devise
dimon,imagination
dimot,demote
dimut,figure
dinot,denote
dipak,kindle
dirad,deride
dirak,direct (focus)
dirat,direct
direk,directory
disab,disable
disaf,decipher
disak,dissect
disap,disciple
diseC,diss
disiv,deceive
ditak,detect
dital,detail
diten,detain
divak,glue
divan,echo
divar,devour
divot,devote
divus,diverse
dixaq,boy/girl friend
dizar,desire
djadj,judge
djamp,jump
djaqk,junk
djast,gesture
djist,gist
djont,joint
dojam,marijuana
dokan,portrait
doles,adolescent
donet,donate
dopan,dope
doqak,animate
doriq,during
dotan,dote
dotiq,doting
doven,dove (bird)
doxam,fertile
dozaf,doze
draft,draft (version)
drask,heavy
drast,dress (put on clothes)
dukan,suffer
duliv,dew
duliz,duly
dumun,doom
dupik,dupe
duxiq,inert
faCom,fathom
fakam,surge
falek,bland
faliq,folly
fanis,fun
fanit,fan (machine)
fanov,fawn (over)
farad,farad (measurement)
farig,ferry
fasad,corrupt
fasan,fasten
faset,faucet
fasit,facet
fatot,tempt
faxir,compromise
faxon,fashion (style)
faziz,fuzz
fecat,faith
fedan,fade
fediq,wun
feloq,tax
felur,failure
femas,famous
fenak,feign
feqat,fang
fevor,favor
fibal,feeble
fidal,fiddle
fidas,fetus
fidiq,feed
filan,felidae
filet,affilliate
final,final
finam,phenomenon
fisiz,feces
fitor,feat
fixet,officiate
fizab,feasible
fizal,fizzle
fizaz,fizz
flant,flaunt
folet,exfoliate
foran,prompt (speed)
forek,euphoric
forid,foe
forin,foreign
fretx,foot (measurement)
fulep,soothe
furet,infuriate
furoq,furrow
gabil,knead
gabol,gobble
gaboq,gob
gacar,affect
gaCim,magnificent
gadar,fence
gadas,lentil
gagor,gag
galap,gallop
galat,recite
galim,embody
galut,exile
gamal,camel
gamor,gum
ganan,reckon
ganav,steal
ganis,gneiss
ganol,gown
garam,cost
garaz,lubricate
garon,deficit
garos,gregarious
garot,provoke
garur,delusion
gasav,pride
gator,gutter
gavan,guava
gaxax,scout
gaxek,gash
gaxox,probe
gazol,guzzle
gazor,geyser
gepar,scold
getiq,gait
gevin,cheese
gexiq,personality
gezit,gaze
gibor,hero
gibux,consolidate
gigal,giggle
gilus,recruitment
girar,gear (wear)
gland,gland
gojam,parrot
gojan,gouge (indent)
gokam,factor
golar,abroad
goqep,industry
goqik,craft
goquk,apartment
goral,destiny
gorem,factor (math)
gorik,gore
govak,height
govun,govern
graft,graft
grand,grand
grasp,grasp
grund,ground
gudal,thumb
gudoq,agitate
gudut,solitude
gufap,goof
gugal,outlandish
gulon,bewitched
gunam,quality
guput,quaint
gusul,bath
gutik,pill
guvul,border
guxik,scam
habaC,applaud
habad,abide
habak,embrace
habal,rope
habav,cherish
habet,habituate
habil,sabotage
habol,hobble
habor,abhor
habus,abuse
haCan,announce
hacid,acid
haCik,proficient
haCir,cautious
hacor,author
hadal,idle
hadap,adapt
hadas,myrtle
hadax,lens
hadep,adept
hadic,news
hadij,ideology
hadit,audit
hadof,repel
hafaf,huff
hafak,production
hafan,often
hafas,fuss
hafat,curb
hafid,conserve
hafif,congruence (geometry)
hafik,derive
hafil,encourage
haget,await
hagix,serve
hagol,haggle
hajur,aperture
hakab,obstacle
hakaC,captivate
hakam,establish
hakan,icon
hakar,recognition
hakav,heel
hakif,enforcement
hakik,engraving
hakir,acquaint
hakit,acquit
hakom,accompany
hakun,meadow
halak,law
halal,permissible
halav,milk
haleg,dial
halen,highway
halez,always
halif,suit (clothing)
halig,mock
halin,cushy
halit,haul
halon,alone
halud,allude
haluf,option
halun,hyena
halur,allure
hamem,stun
hamez,amaze
hamik,pelt
hamis,melt
hamon,crowd/mob
hamos,ferret
hamot,hum
hamus,hummus
hamuz,amuse
hanak,giant
hanan,onion
hanit,initialize
hanod,annoy
hanol,annul
hanon,park (vehicle)
hanuk,dedicate
hapal,appall
hapan,happen
hapil,appeal
hapiq,hype
hapiz,appease
hapot,overlap
hapoz,oppose
harac,cultivate
harad,arid
haral,convert
haram,forbidden/taboo
haran,heron
harar,mull
haras,grip
harat,till
harax,dull
haris,iris
hariv,expand
harok,squeak
haron,arrow
haroz,arouse
hasad,aside
hasam,placement
hasap,convect
haseq,assay
hases,assess
hasid,piety
hasig,recall
hasin,essay
hasis,assist
hasof,expose
hasol,hustle
hasom,awe
hasum,assume
hatak,attack
hatar,attire
haten,attain
hatiC,festival
hatif,advocate
hatik,transfer
hatit,pry
hatiz,squirt
hatom,automatic
haton,hot
hatot,tilt
havak,havoc
havas,obvious
havid,avid
havik,walrus
havis,oblation
havit,hive
havot,constitute
haxak,launch of new product
haxin,lean
haxir,molt
haxiv,reply
haxor,usher
hazif,frown
hazot,rave
hedip,eddy
hegat,egg
hekir,characteristic
helat,hail (acclaim)
helet,determine
hemaq,hem
hemun,confidence
henas,anus
hepin,hippie
hesin,hasten
hetaq,hate
heviz,aves (birds)
hevor,behavior
hibax,bash
hibit,inhibit
hibuk,hug
hiCal,whip
hicar,aether
hiCor,either
hidan,hidden
hidot,idiot
hifuz,effusion
higar,eager
higot,ego
higoz,vanish
hikal,hall
hikan,squid
hikep,equip
hilak,elect
hilat,elite
hilud,elude
hiluf,replace
hiluk,partition
hilul,desecrate
himat,emit
himex,emission
himux,ammunition
hinak,enact
hinuf,enough
hipan,hip
hipul,impel
hiram,flounder (fish)
hirav,sword
hirod,erode
hirum,emergency
hirut,hire
hisul,eliminate
hitak,thrust
hituk,bisect
hivad,slave
hivik,heave
hivok,evoke
hivux,rustle
hizak,exact
hizet,impersonate
hizun,equilibrium
hizut,ease
hoben,obey
hodar,odor
hodik,ode
hogal,ogle
hogor,hoard
hokek,length
hokur,occur
holan,hull
holid,holy
holiq,howl
honas,onus
honiq,hoe
honot,swindle
hopal,opal
hopan,opine
hopok,perky
hoqat,owe
hores,heresy
hosil,tent
hotat,scallop
hovan,debt
hovis,oversee
hozir,hose
