category,term,meaning,source_meaning,status,language
abstract_relations,lam,real,real,held,
abstract_relations,rot,false,FALSE,held,
abstract_relations,vek,fact,fact,held,
abstract_relations,hap,event,event,held,
abstract_relations,kix,process,process,held,
abstract_relations,mab,source,source,held,
abstract_relations,xen,result,result,held,
space_geometry,rik,up,up,held,
space_geometry,kur,down,down,held,
space_geometry,tef,left,left,held,
space_geometry,fot,right,right (direction),held,
space_geometry,sig,front,front,held,
space_geometry,gus,back,back (front),held,
space_geometry,gis,inside,,held,
space_geometry,kus,outside,,held,
space_geometry,saj,above,,held,
space_geometry,six,below,,held,
space_geometry,sadj,beside,beside,held,
space_geometry,tin,between,between,held,
space_geometry,ton,around,,held,
space_geometry,vim,near,,held,
space_geometry,farm,far,far,held,
space_geometry,norc,north,north,held,
space_geometry,cron,south,south,held,
space_geometry,dart,east,east,held,
space_geometry,trad,west,west,held,
space_geometry,nol,toward,toward,held,
space_geometry,yad,away,away,held,
space_geometry,yut,across,,held,
space_geometry,tip,through,,held,
space_geometry,djip,over,over,held,
space_geometry,bet,under,under,held,
space_geometry,suk,top,top,held,
space_geometry,kis,bottom,bottom,held,
space_geometry,sorf,surface,surface,held,
space_geometry,dapc,depth,depth,held,
space_geometry,lorn,line,line,held,
space_geometry,pac,path,path,held,
space_geometry,nuq,area,area,held,
space_geometry,ron,region,region,held,
space_geometry,bund,boundary,boundary,held,
space_geometry,bud,opening,,held,
space_geometry,kul,corner,corner,held,
space_geometry,drix,direction,direction,held,
space_geometry,corb,distance,distance (tele-),held,
space_geometry,giz,position,position,held,
space_geometry,ric,straight,straight,held,
space_geometry,kurv,curve,curve,held,
space_geometry,salk,circle,circle,held,
space_geometry,zut,angle,angle,held,
space_geometry,cub,gap,gap,held,
space_geometry,pas,space,space,held,
space_geometry,wold,world,world,held,
space_geometry,zon,size,size,held,
space_geometry,hok,length,length,held,
space_geometry,widc,width,width,held,
space_geometry,gik,height,height,held,
time_change,kal,time,time,held,
time_change,xom,now,now,held,
time_change,rost,past,past (distance),held,
time_change,tup,future,future,held,
time_change,tor,before,before,held,
time_change,ret,after,after,held,
time_change,hak,early,early,held,
time_change,lor,late,late,held,
time_change,slun,soon,soon,held,
time_change,mut,moment,moment,held,
time_change,yam,day,day,held,
time_change,yit,night,night,held,
time_change,moq,morning,morning,held,
time_change,huq,evening,evening,held,
time_change,yar,year,year,held,
time_change,mes,month,month,held,
time_change,wek,week,week,held,
time_change,zin,season,season (period),held,
time_change,hedj,age,age,held,
time_change,ban,begin,begin,held,
time_change,sef,continue,continue,held,
time_change,finz,finish,finish,held,
time_change,wet,wait,wait,held,
time_change,hin,happen,happen,held,
time_change,bim,become,become,held,
time_change,run,remain,remain,held,
time_change,grun,grow,grow,held,
time_change,xik,shrink,shrink,held,
time_change,luf,increase,increase,held,
time_change,dal,decrease,decrease,held,
time_change,fleC,appear,appear,held,
time_change,haz,vanish,vanish,held,
time_change,vav,repeat,repeat,held,
time_change,rol,cycle,cycle,held,
time_change,sat,sudden,sudden,held,
time_change,rar,gradual,,held,
time_change,hoz,always,always,held,
time_change,lal,never,,held,
time_change,hun,often,often,held,
time_change,vid,sometimes,,held,
time_change,ved,once,,held,
time_change,ziq,still,still,held,
time_change,lod,already,already,held,
time_change,fid,next,next,held,
time_change,daf,previous,previous,held,
time_change,teq,during,during,held,
time_change,har,until,until,held,
time_change,gump,new,new,held,
time_change,marg,old,old,held,
time_change,van,young,young,held,
core_actions,mek,make,make,held,
core_actions,duz,do,do,held,
core_actions,wark,work,work,held,
core_actions,bild,build,build,held,
core_actions,brek,break,break (pieces),held,
core_actions,kaq,cut,cut,held,
core_actions,sit,pierce,pierce,held,
core_actions,sok,strike,strike,held,
core_actions,gruv,rub,rub,held,
core_actions,pras,press,press (force),held,
core_actions,bend,bend,bend,held,
core_actions,fold,fold,fold,held,
core_actions,hod,tie,tie,held,
core_actions,worv,weave,weave,held,
core_actions,zaq,sew,sew,held,
core_actions,tar,dig,dig,held,
core_actions,pat,plant,plant,held,
core_actions,fix,harvest,,held,
core_actions,kan,cook,cook,held,
core_actions,dum,burn,burn,held,
core_actions,sax,wash,wash,held,
core_actions,dral,dry,dry,held,
core_actions,pot,pour,pour,held,
core_actions,miks,mix,mix,held,
core_actions,xed,shake,shake,held,
core_actions,pit,grind,grind,held,
core_actions,kok,crush,crush,held,
core_actions,koz,carve,carve,held,
core_actions,dan,draw,draw,held,
core_actions,rat,write,write,held,
core_actions,rid,read,read,held,
core_actions,jaq,count,count,held,
core_actions,yev,sort,sort,held,
core_actions,txuz,choose,choose,held,
core_actions,lax,add,add,held,
core_actions,riv,remove,remove,held,
core_actions,dib,connect,connect,held,
core_actions,lot,lock,lock,held,
core_actions,hud,hide,hide,held,
core_actions,xol,show,show,held,
core_actions,fuj,search,search,held,
core_actions,tas,test,test,held,
core_actions,zok,try,try,held,
core_actions,plar,play,play,held,
core_actions,xit,rest,rest,held,
core_actions,slip,sleep,sleep,held,
core_actions,wim,wake,wake,held,
core_actions,wav,sit,sit,held,
core_actions,sod,stand,stand,held,
core_actions,drad,put,put,held,
core_actions,tek,take,take,held,
core_actions,gif,give,give,held,
core_actions,cit,get,get,held,
core_actions,karp,keep,keep,held,
core_actions,guz,lose,lose,held,
core_actions,fan,find,find,held,
core_actions,sik,seek,seek,held,
core_actions,mit,meet,meet,held,
core_actions,dun,join,join (to one),held,
core_actions,sut,split,split,held,
core_actions,sag,spread,spread,held,
core_actions,gaC,gather,gather,held,
core_actions,zark,open,open,held,
core_actions,kloz,close,close,held,
core_actions,kov,cover,cover,held,
core_actions,vin,fill,fill (-full),held,
core_actions,nuv,empty,empty,held,
motion,big,go,go,held,
motion,gum,come,come,held,
motion,muv,move,move,held,
motion,vot,stop,stop,held,
motion,torn,turn,turn,held,
motion,xuv,return,return,held,
motion,darb,follow,follow,held,
motion,lid,lead,lead,held,
motion,riz,rise,rise,held,
motion,zur,fall,fall,held,
motion,kim,climb,climb,held,
motion,did,descend,descend,held,
motion,kras,cross,cross,held,
motion,boz,pass,pass,held,
motion,rum,reach,reach,held,
motion,lurv,leave,leave,held,
motion,droz,enter,enter,held,
motion,zord,exit,exit,held,
motion,ken,carry,carry,held,
motion,briq,bring,bring,held,
motion,bak,send,send,held,
motion,pul,pull,pull,held,
motion,lep,push,push,held,
motion,lup,lift,lift,held,
motion,drap,drop,drop,held,
motion,jet,throw,throw,held,
motion,vuc,catch,catch,held,
motion,hoq,hold,hold,held,
motion,jul,flow,flow,held,
motion,spin,spin,spin,held,
motion,heq,hang,hang,held,
motion,wak,walk,walk,held,
motion,rin,run,run,held,
motion,dub,jump,jump,held,
motion,kik,crawl,crawl,held,
motion,wum,swim,swim,held,
motion,flum,fly,fly (action),held,
motion,rab,ride,ride,held,
motion,div,drive,drive,held,
motion,fras,sail,sail,held,
motion,dul,travel,travel,held,
life_actions,hant,hunt,hunt,held,
life_actions,flet,fight,fight,held,
life_actions,klub,kill,kill,held,
life_actions,sev,save,save,held,
life_actions,ham,help,help,held,
life_actions,xam,hurt,hurt,held,
life_actions,pak,protect,protect,held,
life_actions,hek,attack,attack,held,
life_actions,dad,defend,defend,held,
life_actions,war,win,win,held,
life_actions,tred,trade,trade,held,
life_actions,kid,buy,buy,held,
life_actions,jan,sell,sell,held,
life_actions,peq,pay,pay,held,
life_actions,baq,own,own,held,
life_actions,xal,share,share,held,
life_actions,gav,steal,steal,held,
life_actions,gab,eat,eat,held,
life_actions,dug,drink,drink,held,
life_actions,bed,bite,bite,held,
life_actions,txut,chew,chew,held,
life_actions,sek,swallow,swallow,held,
life_actions,sar,breathe,,held,
life_actions,sor,smell,smell,held,
life_actions,test,taste,taste,held,
life_actions,tatx,touch,touch,held,
life_actions,kip,kiss,kiss,held,
life_actions,ment,mate,mate,held,
life_actions,barc,birth,birth,held,
life_actions,mod,die,die,held,
life_actions,bes,live,,held,
life_actions,kum,heal,heal,held,
life_actions,beq,bleed,bleed,held,
life_actions,laft,laugh,laugh,held,
life_actions,wis,cry,cry,held,
life_actions,smul,smile,smile,held,
life_actions,xut,shout,shout,held,
life_actions,xud,sing,,held,
life_actions,danz,dance,dance,held,
mind_emotion,vis,see,see,held,
mind_emotion,luk,look,look,held,
mind_emotion,watx,watch,watch,held,
mind_emotion,hid,hear,hear,held,
mind_emotion,nix,listen,listen,held,
mind_emotion,ful,feel,feel,held,
mind_emotion,zox,sense,sense,held,
mind_emotion,num,know,know,held,
mind_emotion,lin,learn,learn,held,
mind_emotion,titx,teach,teach,held,
mind_emotion,ciqk,think,think,held,
mind_emotion,das,understand,understand,held,
mind_emotion,bor,remember,remember,held,
mind_emotion,nul,forget,forget,held,
mind_emotion,gres,guess,guess,held,
mind_emotion,dolt,doubt,doubt,held,
mind_emotion,det,believe,,held,
mind_emotion,tat,trust,trust,held,
mind_emotion,hik,expect,expect,held,
mind_emotion,plan,plan,plan,held,
mind_emotion,pam,decide,,held,
mind_emotion,want,want,want,held,
mind_emotion,slix,wish,wish,held,
mind_emotion,hop,hope,hope,held,
mind_emotion,froC,fear,fear,held,
mind_emotion,wor,wonder,wonder,held,
mind_emotion,xip,imagine,imagine,held,
mind_emotion,drim,dream,dream,held,
mind_emotion,nas,notice,notice,held,
mind_emotion,raz,recognize,recognize,held,
mind_emotion,par,compare,compare,held,
mind_emotion,taj,judge,judge,held,
mind_emotion,wiz,solve,solve,held,
mind_emotion,kat,focus,focus,held,
mind_emotion,got,ignore,,held,
mind_emotion,man,mind,mind,held,
mind_emotion,men,thought,,held,
mind_emotion,guj,memory,memory,held,
mind_emotion,tam,attention,attention,held,
mind_emotion,nadj,knowledge,knowledge,held,
mind_emotion,sur,skill,skill,held,
mind_emotion,stek,mistake,mistake,held,
mind_emotion,kret,secret,secret,held,
mind_emotion,kud,clear,clear,held,
mind_emotion,wal,confuse,confuse,held,
mind_emotion,zim,seem,seem,held,
mind_emotion,pruv,prove,prove,held,
mind_emotion,lav,love,love,held,
mind_emotion,hem,hate,hate,held,
mind_emotion,tur,desire,desire,held,
mind_emotion,djaz,joy,joy,held,
mind_emotion,dez,sadness,,held,
mind_emotion,toz,anger,,held,
mind_emotion,saz,surprise,surprise,held,
mind_emotion,kam,calm,calm,held,
mind_emotion,jak,shame,shame,held,
mind_emotion,kiv,pride,pride,held,
mind_emotion,koj,courage,courage,held,
communication_culture,spik,speak,speak,held,
communication_culture,zem,say,say,held,
communication_culture,tal,tell,tell,held,
communication_culture,xask,ask,ask,held,
communication_culture,kar,call,call,held,
communication_culture,dat,word,word,held,
communication_culture,xim,speech,speech,held,
communication_culture,voz,voice,voice,held,
communication_culture,gar,language,language,held,
communication_culture,saqk,sign,sign,held,
communication_culture,min,mark,mark,held,
communication_culture,tux,letter,,held,
communication_culture,tox,text,text,held,
communication_culture,zar,book,book,held,
communication_culture,cok,story,story,held,
communication_culture,saq,song,song,held,
communication_culture,mok,music,music,held,
communication_culture,bit,beat,beat,held,
communication_culture,kup,tone,tone,held,
communication_culture,madj,image,image,held,
communication_culture,bid,picture,picture,held,
communication_culture,cros,art,art,held,
communication_culture,djok,joke,joke,held,
communication_culture,bos,promise,promise,held,
communication_culture,vic,warn,warn,held,
communication_culture,kand,command,command,held,
communication_culture,piq,request,request,held,
communication_culture,vak,greet,greet,held,
communication_culture,cak,thank,thank,held,
communication_culture,yog,praise,praise,held,
communication_culture,bat,blame,blame,held,
communication_culture,kek,agree,agree,held,
communication_culture,him,argue,argue,held,
communication_culture,gin,explain,explain,held,
communication_culture,sab,describe,describe,held,
communication_culture,tet,translate,translate,held,
communication_culture,has,news,news,held,
communication_culture,muj,message,message,held,
communication_culture,rib,record,record,held,
communication_culture,moj,history,,held,
communication_culture,huk,law,law,held,
communication_culture,kab,custom,custom,held,
communication_culture,gim,ritual,,held,
communication_culture,gem,game,game,held,
communication_culture,skul,school,school,held,
communication_culture,sup,study,,held,
communication_culture,mar,symbol,symbol,held,
communication_culture,sez,silence,silence,held,
people_society,nar,person,person,held,
people_society,nal,man,,held,
people_society,gad,woman,,held,
people_society,gag,child,child,held,
people_society,beb,baby,baby,held,
people_society,sas,parent,parent,held,
people_society,mam,mother,mother,held,
people_society,bab,father,father,held,
people_society,bub,son,,held,
people_society,bip,daughter,,held,
people_society,bad,brother,brother,held,
people_society,fur,sister,sister,held,
people_society,fam,family,family,held,
people_society,dud,friend,friend,held,
people_society,tod,enemy,,held,
people_society,seC,stranger,stranger,held,
people_society,gest,guest,guest,held,
people_society,hum,host,host,held,
people_society,narb,neighbor,neighbor,held,
people_society,mor,partner,partner,held,
people_society,nub,lover,,held,
people_society,nep,leader,,held,
people_society,nak,follower,,held,
people_society,mug,king,king,held,
people_society,net,queen,,held,
people_society,not,chief,,held,
people_society,nik,worker,,held,
people_society,naq,farmer,,held,
people_society,yap,hunter,,held,
people_society,tab,fisher,,held,
people_society,tub,builder,,held,
people_society,tom,teacher,,held,
people_society,xup,student,student,held,
people_society,tak,healer,,held,
people_society,ruk,guard,guard,held,
people_society,sop,soldier,soldier,held,
people_society,mid,merchant,merchant,held,
people_society,kub,artist,,held,
people_society,tok,crowd,,held,
people_society,trab,tribe,tribe,held,
people_society,kep,clan,,held,
people_society,vix,village,village,held,
people_society,kop,town,,held,
people_society,siC,city,city,held,
people_society,huz,country,country,held,
people_society,niq,nation,nation,held,
people_society,tim,team,team,held,
people_society,mast,member,member,held,
people_society,pik,master,master,held,
people_society,hub,slave,slave,held,
body_life,vat,body,body,held,
body_life,had,head,head,held,
body_life,fes,face,face,held,
body_life,halx,hair,hair,held,
body_life,skin,skin,skin,held,
body_life,flax,flesh,flesh,held,
body_life,bloC,blood,blood,held,
body_life,brod,bone,bone,held,
body_life,hort,heart,heart (body),held,
body_life,bren,brain,brain,held,
body_life,xic,eye,eye,held,
body_life,zorn,ear,ear,held,
body_life,noz,nose,nose,held,
body_life,muc,mouth,mouth,held,
body_life,glip,lip,lip,held,
body_life,taq,tongue,tongue,held,
body_life,cutx,tooth,tooth,held,
body_life,nek,neck,neck,held,
body_life,dak,throat,,held,
body_life,kaf,shoulder,shoulder,held,
body_life,garm,arm,arm,held,
body_life,zeqk,hand,hand,held,
body_life,var,finger,finger,held,
body_life,biq,chest,,held,
body_life,blin,belly,belly,held,
body_life,legz,leg,leg,held,
body_life,norn,knee,knee,held,
body_life,gral,foot,foot,held,
body_life,bam,breath,breath,held,
body_life,tiz,tear,tear (cry),held,
body_life,pim,sweat,sweat,held,
body_life,wun,wound,wound,held,
body_life,muz,pain,pain,held,
body_life,fuq,health,health,held,
body_life,mud,sick,sick,held,
body_life,dus,disease,disease,held,
body_life,cad,life,life,held,
body_life,dac,death,death,held,
body_life,maf,male,male,held,
body_life,fim,female,female,held,
body_life,huqk,hunger,hunger,held,
body_life,host,thirst,thirst,held,
body_life,hov,strength,,held,
body_life,bup,energy,energy,held,
body_life,jin,fat,fat,held,
body_life,sid,seed,seed,held,
body_life,huv,egg,egg,held,
body_life,siv,milk,milk,held,
body_life,zig,sex,sex,held,
nature_land,lan,land,land,held,
nature_land,muk,earth,earth (dirt),held,
nature_land,git,ground,ground,held,
nature_land,rit,soil,soil,held,
nature_land,cat,mud,mud,held,
nature_land,sand,sand,sand,held,
nature_land,kiq,dust,dust,held,
nature_land,ston,stone,stone,held,
nature_land,rak,rock,rock,held,
nature_land,mot,mountain,mountain,held,
nature_land,cral,hill,hill,held,
nature_land,vab,valley,valley,held,
nature_land,kuv,cliff,,held,
nature_land,kliv,cave,cave,held,
nature_land,cuv,field,field (ether),held,
nature_land,suv,plain,,held,
nature_land,dors,desert,desert,held,
nature_land,varz,forest,forest,held,
nature_land,narv,river,river,held,
nature_land,jit,stream,stream,held,
nature_land,duk,lake,lake,held,
nature_land,biz,pond,pond,held,
nature_land,von,sea,,held,
nature_land,vrun,ocean,ocean,held,
nature_land,waq,shore,shore,held,
nature_land,rad,island,island,held,
nature_land,wev,wave,wave,held,
nature_land,waC,water,water,held,
nature_land,ren,rain,rain,held,
nature_land,snom,snow,snow,held,
nature_land,hals,ice,ice,held,
nature_land,klad,cloud,cloud,held,
nature_land,farg,fog,fog,held,
nature_land,zom,storm,storm,held,
nature_land,Can,thunder,thunder,held,
nature_land,laq,lightning,lightning,held,
nature_land,fun,wind,wind (air),held,
nature_land,les,air,air,held,
nature_land,xum,sky,sky,held,
nature_land,san,sun,sun,held,
nature_land,lun,moon,moon,held,
nature_land,star,star,star,held,
nature_land,lit,light,light,held,
nature_land,ram,dark,dark,held,
nature_land,xax,shadow,shadow,held,
nature_land,for,fire,fire,held,
nature_land,smok,smoke,smoke,held,
nature_land,prax,ash,ash,held,
nature_land,sap,salt,salt,held,
nature_land,vor,weather,weather,held,
plants_animals,dip,tree,tree,held,
plants_animals,gras,grass,grass,held,
plants_animals,lif,leaf,leaf,held,
plants_animals,flor,flower,flower,held,
plants_animals,raC,root,root,held,
plants_animals,lum,branch,branch,held,
plants_animals,mag,fruit,fruit,held,
plants_animals,maq,grain,,held,
plants_animals,zub,herb,,held,
plants_animals,zul,animal,animal,held,
plants_animals,bist,beast,beast,held,
plants_animals,dag,dog,dog,held,
plants_animals,klat,cat,cat,held,
plants_animals,hors,horse,horse,held,
plants_animals,vaqk,cow,cow,held,
plants_animals,fak,sheep,,held,
plants_animals,glot,goat,goat,held,
plants_animals,prag,pig,pig,held,
plants_animals,dif,deer,deer,held,
plants_animals,bar,bear,bear (carry),held,
plants_animals,wolf,wolf,wolf,held,
plants_animals,vus,fox,fox,held,
plants_animals,groq,lion,lion,held,
plants_animals,tix,tiger,tiger,held,
plants_animals,lek,elephant,elephant,held,
plants_animals,maqk,monkey,monkey,held,
plants_animals,rud,rabbit,rabbit,held,
plants_animals,reg,rat,rat,held,
plants_animals,batx,bat,bat (animal),held,
plants_animals,bax,bird,bird,held,
plants_animals,fon,eagle,eagle (bird),held,
plants_animals,raf,owl,owl,held,
plants_animals,bum,crow,crow (bird),held,
plants_animals,barv,duck,duck (bird),held,
plants_animals,tiq,chicken,chicken,held,
plants_animals,frix,fish,fish,held,
plants_animals,kax,shark,shark,held,
plants_animals,fek,whale,whale,held,
plants_animals,his,snake,snake,held,
plants_animals,zart,lizard,lizard,held,
plants_animals,ran,frog,frog,held,
plants_animals,bag,insect,insect,held,
plants_animals,fok,ant,ant,held,
plants_animals,fug,bee,bee,held,
plants_animals,ves,spider,spider,held,
plants_animals,wurm,worm,worm,held,
plants_animals,txal,shell,shell,held,
plants_animals,wiq,wing,wing,held,
plants_animals,tad,tail,tail,held,
materials_objects,vriC,wood,wood,held,
materials_objects,malt,metal,metal,held,
materials_objects,mis,iron,iron,held,
materials_objects,rov,copper,copper,held,
materials_objects,god,gold,gold,held,
materials_objects,sav,silver,silver,held,
materials_objects,kes,glass,glass,held,
materials_objects,mal,clay,clay,held,
materials_objects,zaf,cloth,,held,
materials_objects,lon,leather,leather,held,
materials_objects,sip,paper,,held,
materials_objects,gol,rope,rope,held,
materials_objects,stik,stick,stick (plant),held,
materials_objects,braz,box,box,held,
materials_objects,bod,bag,bag,held,
materials_objects,bug,cup,cup,held,
materials_objects,gul,bowl,bowl,held,
materials_objects,bux,pot,pot,held,
materials_objects,svik,knife,knife,held,
materials_objects,zum,blade,blade,held,
materials_objects,tul,tool,tool,held,
materials_objects,xin,machine,machine,held,
materials_objects,xiv,wheel,wheel,held,
materials_objects,but,pipe,pipe,held,
materials_objects,lip,chain,chain,held,
materials_objects,cux,key,key,held,
materials_objects,dor,door,door,held,
materials_objects,wom,wall,wall,held,
materials_objects,rub,roof,roof,held,
materials_objects,riC,floor,floor,held,
materials_objects,wol,window,window,held,
materials_objects,hanz,house,house,held,
materials_objects,vit,bed,bed,held,
materials_objects,Con,chair,chair,held,
materials_objects,pum,table,table,held,
materials_objects,bot,boat,boat,held,
materials_objects,gun,road,road,held,
materials_objects,mej,bridge,bridge,held,
materials_objects,mul,needle,needle,held,
materials_objects,mac,nail,nail (carpentry),held,
materials_objects,kox,hammer,hammer,held,
materials_objects,maz,saw,saw (tool),held,
materials_objects,yol,shovel,shovel,held,
materials_objects,kuq,axe,axe,held,
materials_objects,sep,spear,spear,held,
materials_objects,raj,bow,bow,held,
materials_objects,mun,arrow,arrow,held,
materials_objects,xild,shield,shield,held,
materials_objects,vod,armor,,held,
food_clothing_home,meq,food,food,held,
food_clothing_home,mak,meat,meat,held,
food_clothing_home,lom,bread,bread,held,
food_clothing_home,rap,rice,rice,held,
food_clothing_home,muq,sugar,,held,
food_clothing_home,viq,honey,honey,held,
food_clothing_home,jas,oil,oil,held,
food_clothing_home,bov,butter,butter,held,
food_clothing_home,gib,cheese,cheese,held,
food_clothing_home,vedj,vegetable,vegetable,held,
food_clothing_home,nes,nut,nut,held,
food_clothing_home,pip,bean,bean,held,
food_clothing_home,dig,tea,tea,held,
food_clothing_home,fuz,coffee,,held,
food_clothing_home,kof,clothes,clothing,held,
food_clothing_home,wux,shirt,,held,
food_clothing_home,veb,pants,,held,
food_clothing_home,dav,dress,dress (put on clothes),held,
food_clothing_home,dux,shoe,shoe,held,
food_clothing_home,lak,hat,hat,held,
food_clothing_home,yul,coat,coat,held,
food_clothing_home,yaq,belt,belt,held,
food_clothing_home,gop,pocket,pocket,held,
food_clothing_home,tiv,blanket,blanket,held,
food_clothing_home,soz,soap,soap,held,
qualities,brat,big,big,held,
qualities,smal,small,small,held,
qualities,lij,large,large,held,
qualities,lob,little,little,held,
qualities,nuc,long,long,held,
qualities,Cas,short,short,held,
qualities,tals,tall,tall,held,
qualities,lem,low,low,held,
qualities,mol,high,high,held,
qualities,mox,deep,,held,
qualities,rup,shallow,shallow (depth),held,
qualities,moz,wide,,held,
qualities,yiq,narrow,narrow,held,
qualities,tuc,thick,thick,held,
qualities,Cog,thin,thin,held,
qualities,lik,heavy,heavy,held,
qualities,yem,hot,hot,held,
qualities,kold,cold,cold,held,
qualities,wem,warm,warm,held,
qualities,kuf,cool,cool,held,
qualities,hard,hard,hard (vs. soft),held,
qualities,saft,soft,soft,held,
qualities,zab,strong,strong,held,
qualities,slok,weak,weak,held,
qualities,taf,good,good,held,
qualities,fut,bad,bad,held,
qualities,fast,fast,fast,held,
qualities,slom,slow,slow,held,
qualities,klok,quick,quick,held,
qualities,mix,bright,bright,held,
qualities,klin,clean,clean,held,
qualities,gaz,dirty,,held,
qualities,lird,wet,wet,held,
qualities,lig,full,,held,
qualities,rip,rich,rich,held,
qualities,por,poor,poor,held,
qualities,tuv,sharp,sharp,held,
qualities,lox,dull,dull,held,
qualities,zap,smooth,smooth,held,
qualities,reC,rough,rough,held,
qualities,mus,round,round,held,
qualities,flat,flat,flat,held,
qualities,red,red,red,held,
qualities,dej,orange,orange,held,
qualities,lad,yellow,yellow,held,
qualities,faz,green,green,held,
qualities,bul,blue,blue,held,
qualities,sif,purple,purple,held,
qualities,cov,brown,brown,held,
qualities,vog,black,black,held,
qualities,wat,white,white,held,
qualities,xid,gray,grey,held,
qualities,skit,sweet,sweet,held,
qualities,zus,sour,sour,held,
qualities,wig,bitter,bitter,held,
qualities,fos,salty,,held,
qualities,frax,fresh,fresh,held,
qualities,fus,rotten,,held,
social_moral,pod,free,free,held,
social_moral,gub,bound,,held,
social_moral,stef,safe,safe,held,
social_moral,nuj,danger,danger,held,
social_moral,siz,peace,peace,held,
social_moral,vuq,war,war,held,
social_moral,laz,power,power,held,
social_moral,liq,control,control,held,
social_moral,log,duty,duty,held,
social_moral,raq,wrong,wrong,held,
social_moral,wug,fair,fair (just),held,
social_moral,rav,unfair,,held,
social_moral,fup,honor,honor,held,
social_moral,spek,respect,respect,held,
social_moral,zip,gift,,held,
social_moral,los,debt,debt,held,
social_moral,vas,price,price,held,
social_moral,vov,wealth,wealth,held,
social_moral,nox,poverty,,held,
social_moral,ref,crime,crime,held,
social_moral,luj,punishment,,held,
social_moral,rex,reward,reward,held,
social_moral,goq,job,job,held,
social_moral,hom,home,home,held,
social_moral,pop,property,property (of object),held,
technology_general,ros,force,force,held,
