tune,english
teyipa,foresee
zogeda,forever
nunula,forge
zukora,forgery
direna,forget
sofula,forgive
dunala,forgiveness
barana,fork
wediva,form
lefoba,formal
yeroxa,formalize
haxeka,formation
zorega,former
ruxuka,formula
dahema,forsake
bobofa,forte
yazala,forth (from this time forward)
yabiza,fortune
hinisa,forwards
xoruxa,fossil
yiveba,foul
vuvufa,found
korega,foundation
zaxuda,fountain
fasura,fraction
yedaza,fragile
kugeba,fragment
feyoba,fragrant
sifoba,fragrantly
safina,frantic
batata,freak (scare)
loziva,free
nokoxa,freedom
sisufa,freelance
fasasa,freeze
nanula,freezing
risifa,frequency
weguna,frequent
hetupa,frequently
vogida,fresh
veduva,freshly
fovuza,friction
vomuza,friend
xufava,friendly
morona,friendship
vosaxa,frightened
samuna,fringe
xeroza,frolic
vunaka,from
bakuka,front
vihuxa,froth
piduta,frothy
semafa,fruitful
husofa,frustrate
lewema,frustrating
vehika,fry
memisa,fuel
dasafa,fume
surula,fun
geneka,function
kenaza,functionalism
nimoma,functionalistic
tutena,functionality
mayaka,functionally
biwafa,fundamental
yukafa,fundamentals
zekuda,funnel
laveza,funnily
fexaka,funny
ratipa,furious
lavava,furrow
sohula,further
kaxoma,fury
pasata,fuse
diyava,fusion
voxuna,fuss
waguma,fussily
sedoma,fussy
lonuba,futile
yihiza,future
ziyafa,fuzzily
naxoxa,fuzzy
bizaza,gain
fidusa,gain (object)
fugiga,gainful
murusa,gainfully
kuzesa,gamble
rubasa,game
pepoba,gamely
lumifa,gap
tafopa,gape
begoxa,gaping
zabova,gas
damuna,gate
sabina,gather
heboba,gaudy
xuxeda,gauge
zefixa,gaunt
hiweda,gawky
lanuda,gaze
tumuta,gear
boteta,gem
muvuxa,gender
zenoxa,general
nugexa,generality
xiyuga,generalization
rayosa,generalized
tudota,generate
dovuga,generosity
dipepa,generous
refosa,generously
fifafa,genius
yuguna,gentle
viyuga,genuine
dixova,germ
dezuka,gesture
risaba,ghastly
yohuga,giant
wesaga,giddy
kozara,gift
gaxula,giftedly
limula,gigantic
rumida,gigantically
xuvifa,girdle
muheda,gist
hufama,give
zezuna,glad
dasiba,gladness
hababa,glamorous
papama,glance
moziga,glare
yideza,glaring
bomeba,glaringly
simola,gleam
sunala,gleaming
meyoba,gleefully
ritapa,glide
xefika,glimpse
mudara,glisten
vonava,gloom
givena,gloomily
liguva,gloomy
sagova,glorious
zamika,gloriousness
golova,glory
vuheka,glossy
rebafa,glow
xazada,glowing
biyexa,glue
minusa,gnaw (continuously chew)
gafoka,go
namema,goad
gasuka,godliness
zuzuma,godly
xinuka,gold
veyova,golden
fahoda,good
vakuda,goofy
kuvara,gorgeous
fusida,gorgeously
larofa,gossip
gebega,govern
kukona,government
nidima,grab
zafexa,grab (object)
tasapa,grace
monosa,grace (object)
mimora,gracious
fayoxa,grade
mulifa,gradual
vozona,graduate
dipopa,graft
weyega,grand
salina,grandly
kinixa,grant
ridafa,grasp
desuna,grass
samola,grate
lifora,grateful
yeheza,gravitate
rehufa,gravitational
zonoxa,gravity
kubova,graze
dunifa,greasy
legega,great
dakixa,greater
dumura,greatest
befana,greed
gebaza,greedily
dosina,greedy
beyola,greet
soluba,grievance
lotupa,grieve
gamuva,grieving
xexoba,grill (ask a lot of questions)
sifola,grim
huviva,grime
tabopa,grimly
nireda,grimy
papeda,grin
nirafa,grin (action)
bosima,grind
sivika,grip
bumiba,gritty
basema,groan
gogola,groom
bibeda,groove (in space)
fubafa,grope
nemula,gropingly
fikuza,grossly
lalona,ground
mutepa,group
nolima,grovel
zomaxa,grow
hefida,growth
vagiba,grubby
sadala,grudge
yakima,gruel
zulaka,grumble
dayoza,grumpy
havava,grunt
zoyeba,guarantee
sufana,guarantee (action)
gevuda,guard
mofasa,guest
navuka,guide
litita,guile
lowaka,guilt
vizina,guilt (action)
hobofa,guiltily
mofoma,guilty
xodeza,gullible
yivoba,gulp
barasa,gush
haboda,gut
laduda,guzzle
zazuma,gyrate
vexura,habit
ligoka,habitat
noyiza,hack
zefaga,haggle
nixuka,half
bedora,hall
zuxana,hallucinate
yigeba,halogen
lakuza,halting
daloba,hand
dobona,handily
xiboka,handle
fozeka,handy
gofega,hang
zigida,happen
fevuka,happy
domoda,harass
bigaxa,hard
hobuna,hardly
putema,harm
zukula,harmony
xoriva,harsh
xoniga,harvest
kihuza,haste
doxaga,hate
tetoma,haunt
xufeza,have
vasova,head
riguza,heal
devuxa,health
fodora,hear
daxoxa,heart
boveva,heat
dokexa,heaven
xibaxa,heavy
wesoza,heckle
hupota,hedge
bemofa,heed
yuhaka,height
moyoxa,heir
sarena,help
zokara,hence
viraza,herd
soyiza,here
dalola,hereby
fufeda,hermitage
lababa,hero
kofuxa,heroically
dufana,hesitant
sorida,hesitantly
konuka,hesitate
roboda,hesitatingly
xayisa,heuristic
lonosa,hibernate (sit and wait)
minina,hidden
wegara,hide
fupota,hideous
zuvuna,hideously
fefuda,high
nixuza,highlight
sadesa,hike
hoviza,hilarious
nahola,hill
fezixa,hinder
xuviba,hinge
gefega,hint
yibeva,hip
vehexa,hire
duwaka,hiss
nebuma,hisser
kimexa,hissing
yerexa,historical
hidoma,history
xenoka,hit
zigoba,hoard
rayifa,hoarse
yiyeta,hoax
lobida,hog
dukiva,hold
yibika,hole
zozida,hollow
rawaba,holy
lufora,homologous
yogora,hone
rekeva,honest
ziweva,honor
ligixa,honorably
bidoba,hook
kukesa,hooked
kuxoba,hop
vozuba,hope (action)
xoyuda,hopeful
vaxula,hopefully
yigida,hopelessly
lemuna,hopingly
ribusa,horizon
zemaga,horizontal
ninaba,horn
mizaka,horocycle
berena,horrendous
lexoga,horrible
voxema,horribly
sakiva,horrify
kaxasa,host
sexoza,hostile
nafida,hostilely
doxeza,hostility
fuzexa,hot
supita,hotness
hihora,hound
yaraga,hour
bibuba,hourly
bevaka,house
vizema,hover
zineza,however
wegema,hub
niviza,hug
lafona,huge
yabika,hugeously
ganuza,hulking
xanega,hum
pidopa,humane
zosaza,humanely
gufoka,humble
sufina,humblingly
hufula,humiliate
yikuma,humor
nalofa,hunch
hirefa,hunger
sudesa,hungrily
reboda,hunt
tihuta,hurricane
kufaka,hurried
xakeba,hurriedly
dumola,hurry
tefota,hurryingly
kireza,hurt
xuwafa,hurtfully
vekama,hurtlessly
salasa,husband
kakona,hush
bizeva,hushed
xuduka,huskiness
gevoma,husky
mekoka,hybrid
mayaza,hyper
kogama,hyperbola
midada,hypercycle
hesama,hypnotize
poripa,hypocrisy
pobepa,hypocrite
lifaba,hypothesis
vevuna,hysteria
sesuda,icy
tuseta,idea
feyaga,ideal
buhaba,identifiably
mazaka,identify
lidofa,idiot
nasufa,idiotic
hapupa,idle
refima,ignite
moyaxa,ignorance
fumiba,ignorant
zukesa,ignorantly
rudufa,ignore
leyina,ill
xoyifa,illuminate
haduda,illusion
rukeka,illustrate
mozeza,image
mubena,imaginable
gobaza,imaginably
xizina,imaginary
lunusa,imagination
wazura,imaginative
kivuda,imagine
gaxona,imitate
bituta,imitating
fozaxa,immaturely
hasasa,immediate
lekava,immediately
zaweba,immerse
kudixa,immoderately
nimefa,immortally
rufofa,impair
zuroka,impale
furuda,impeccable
xosiga,impede
xameza,imperfect
ripopa,implant
gomika,implementation
hurasa,imply
mibuma,impolite
hudofa,importantly
fubosa,importune
robosa,impose
kefeka,impossible
zawada,impossibly
rakuga,imprecisely
midema,impress
didiba,impressively
ravuka,impromptu
moxeva,improve
zifaka,improvise
rimana,appropriate
nugiza,inappropriately
memana,inattention
hineba,audible
rebosa,inaudibly
fofada,inception
luhena,incest
rozega,incline
dagoga,include
nawexa,incompletely
mekuxa,inconsiderably
luguxa,incorporate
nufada,incorruptibly
nufofa,increase
yehuga,increasingly
yagusa,credible
nobima,incredible
beduma,incriminate
zakula,incubate
husana,incur
tuteda,incurably
zaluza,indeed
yoyuba,definite
motipa,indefinitely
nokiza,indent
yugina,independent
yeraza,indicate
xuxufa,indication
vayuda,individual
bozuva,individualistic
saziva,individually
wagora,induce
sebiba,inductance
mibima,induction
kevaba,indulge
geyora,industrial
murasa,inefficient
novaga,inefficiently
sodofa,inert
sisena,inexpensive
buxoka,infect
peyita,infer
lozeka,inferior
horuma,infest
hekaga,infidel
gasexa,infinitesimal
yubeva,infinity
lupipa,inflect
roduda,inflict
gohega,influence
xidova,inform
henufa,infringe
kuduxa,ingredient
vagona,inhabit
dahola,inhibit
loyoga,initial
zikiba,initiate
hesoda,initiation
denasa,inject
fimufa,injuries
xobeva,injury
banisa,ink
gevina,inland
higoka,inner
lagoka,innocence
lasisa,innocent
hubama,innovate
fulena,innovation
soviva,input
zizuma,insane
mukiza,insecure
liyoda,insensitive
kugina,insert
nidoda,inside
xoyeda,insight
hibifa,insist
mirusa,inspect
gekuma,inspecting
dugega,inspector
sidiba,inspiration
topiba,inspire
haruna,install
folasa,instance
dewaba,instant
kaboxa,instantaneous
gezena,instead
beveva,instigate
xuluxa,institute
vahoza,instruct
havoka,instrument
larada,instrumentation (implementing instruments)
biruda,insulate
naziva,insult
guvima,intact
ponipa,integrable
livaga,integral
yeyasa,integrals
vavaba,integrand
dadafa,integrate
yuvoba,integrated
letupa,integration
guvala,integrity
vewara,intellect
redara,intellectual
tobupa,intelligence
gikada,intend
fifama,intense
bedula,intention
xizefa,intentional
sinoda,intentionality
sozika,inter
yozuna,interact
voyola,intercept
zoyola,interest
risora,interested
xaloza,interesting
yasuxa,interestingly
koyena,interfere
zemeka,interference
rinuma,interim
yurena,interior
fugeka,interject
xugona,intermediate
nupopa,internal
yiwaxa,internet
yoreba,interpret
vusuza,interpretation
nibura,interrogate
kevoda,interrupt
kayoda,intersect
guvesa,intertwine
yunuga,intertwined
matepa,interval
vufuva,intervene
xagima,interview
denema,interview (object)
mafoda,intestine
dalina,intimate
lidida,intimidate
fububa,intransitive
subisa,intricate
yufaza,introduce
renara,introduction
yizena,introspect
zuhika,invade
zevosa,invalid
fulula,invariant
dubida,invasion
mefoma,invent
vuvosa,inventory
hegaka,invert
gisoxa,invest
sudoda,investigate
hidida,investing
suleba,investor
hukiza,invincible
gofoxa,invisible
kugoma,invite
dasala,invoke
buguxa,involve
godiga,iridescent
sikiva,iris
hosuma,iron
rumola,irrationality
yusuga,irrelevant
yobiga,irrelevantly
bagiga,irreversible
sehima,irrigate
laxuva,irritable
gusaza,irritate
zeduza,irritating
subema,island
simina,itch
folana,itchy
nimofa,item
xagiba,iterate
goxisa,jaded
kiroka,jagged
vanova,jail
nafusa,jam
ruhuda,jealous
yoniza,jealousy
tanapa,jeering
huroma,jeopardy
manisa,jerk
xohika,jest
mayika,jiggle
vizefa,jingle
hogega,jitter
sexuva,job
fiyona,join
hasoba,joint
saruba,joke
hesafa,jollily
gehuza,jolly
xisaka,jolt
nuvuka,jostle
vaxeda,joy
nalasa,joyful
guzusa,joyless
boyuka,judge
fisana,juggle
dasifa,juice
vihuga,juicy
daziga,jumble
sefafa,jump
yogufa,jumpy
yakoda,junior
mirada,just (justice)
xubeka,justice
sokuka,justify
mihifa,justly
zigada,jut
zeneva,juvenile
butepa,keen
vuneva,keenly
yeyoka,keep
dudima,kempt
zoveda,key
goniga,kick
negeza,kid
kobiva,kill
favava,kilogram
lazuza,kind
mogova,kind-hearted
kimiza,kindheartedly
kodoga,kinematical
zihuza,king
kivasa,kingdom
dulisa,kingly
zaliza,kiss
tutula,knead
davaka,knee
maweka,kneel
loveva,knit
vubuga,knock
dipita,knot
deyexa,knotty
weyiba,know
xusexa,knowing
bulama,known
subola,label
vebaka,label (action apply label)
vozesa,labor
voyoda,lace
gagesa,lack
numura,lacking
mafosa,lacy
boreda,lag
kebuxa,lame
nigova,lamely
limosa,lameness
waruba,lament
nodara,land
nabusa,lane
foputa,language
perupa,languish
banura,lap
yurama,laptop
doyuxa,large
befura,latch
yegufa,late
vuruka,lately
dolesa,lateral
goduga,lather
rebima,latitude
zugara,laugh
gagora,laughable
suzuga,laughably
sabusa,launch
fosuba,law
likexa,lawful
zegena,lawyer
vebova,lay
xeneza,lazy
guwaba,lead
hexoxa,leader
hibeda,league
fiyosa,lean
petifa,leanly
limuma,leap
yukaba,learn
noleda,learned
hodosa,least
navika,leather
yefaga,leave
vakoba,lecture
kogena,leek
hayeva,leeward
mayura,left
bixixa,leg
nifuna,legitimate
zixada,lemon
nihina,monk
xomoga,lend
kivara,length
faloda,lengthily
yevena,lengthy
dinafa,lenient
guwala,lens
kihiza,let
hudana,lethal
yebiga,letter
labeda,level
xavima,liable
sobama,liar
kisuva,liberation
savika,license
lidoba,lick
bimona,lie
xoyada,lie (object)
lodufa,life
vexoba,lift
dofoda,lifted
popofa,light
mosafa,lighten
boyoxa,lightning
firasa,like
gikofa,limber
xefega,limit
saxiza,limitation
xegina,limitedly
guzuda,limitless
zahaza,limp
dorefa,line
vaxifa,linear
zayoda,linger
rinesa,link
fosima,lip
yozeba,liquid
tatesa,liquidate
levova,list
rabema,listen
bikuka,literary
lageza,literate
zayala,little
goxema,live
zisoza,lived
guvuba,lively
keguba,liver
soyoxa,living
zanuga,load
gazeba,loath
xadova,lob
siputa,local
guzura,locality
disoda,locate
beyofa,location
wefoga,logarithm
zanoka,logic
kufeva,loiter
naweva,lone
sogiga,lonely
yagoma,long
kukufa,longing
duzuva,longingly
linoma,longitudinally
vavoda,look
dosana,loose
bihuba,loosen
valeza,lord
nakoka,lore
bakexa,lose
yemixa,loss
runuma,lost
luhima,lots
dupita,loud
meyida,loudly
moyeka,lounge
bolema,lousy
wabuxa,love (sacrificing for others)
nemafa,low
himora,lowly
rosoma,loyal
dimofa,lubricate
sisuma,luck
beziva,luckily
difeba,lucky
yavana,lull
fovuka,lumber
vuvuma,lump
hifafa,lumpish
nenuna,lumpishly
rumoma,lumpy
hahiba,lunatic
lodiba,lunge
hutita,lurch
labima,lure
boxeva,lurk
vofiza,lust
kaxola,machine
dekika,mad
rodeba,magic
xefiza,magical
sesana,magnet
fusura,magnetization
fuxava,magnificent
mafaba,magnitude
figeza,mail
suvoxa,maintain
dovaga,maintainance
mikaka,major
muhosa,make holy
biduna,malicious
vuluga,manage
reyixa,manager
fafala,manifest
digova,manifold
rolima,manipulate
fawava,manner
mefeba,manual
munada,manually
buvoka,manufacture
xosuxa,many
lohuda,map
fupapa,map (action)
rihasa,march
tutesa,marginal
xehuka,marital
gesuxa,mark
vohoxa,marked
xizada,market
leraba,marriage
xokuma,marrow
fakoxa,marry
nobena,marsh
nozuka,martyr
xoheva,marvel
wakema,marvelous
xexara,marvelously
yofaxa,masculine
wadiza,mash
xugifa,mask
hubafa,mass
finema,massive
mufima,match
titama,mate
nedola,material
donada,materialistic
hoyuka,materiality
xohega,matrix
nayeka,matter
goyuna,mature
zunoza,maturely
bixiga,maximum
mebara,mean
retita,meander
hamala,meaning
nomula,meaningful
wadeva,meaningfully
moweva,meantime
xegema,measure
nulasa,meat
garika,meaty
xuxoda,meddle
guzuna,median (statistics)
malifa,mediate
fiveza,meditate
loyuva,meditatively
fobema,medium
vuweda,meek
masura,meekly
webeva,meet
bomana,mellow
xuhaxa,melodious
soweza,melody
pewepa,melt
herena,melted
haloda,member
wegusa,membrane
redada,memorable
govofa,memorize
burasa,memory
xevofa,menace
kibiza,menacing
gamuga,mend
hufona,menorah
nafofa,mental
maxaxa,mention
mahaba,mentor
lokava,mentor (person)
runima,meow
lixiva,merciful
momoma,mercifully
kalova,merciless
mufiba,mercilessly
zeyiva,mercy
rufisa,merely
befefa,merit
yiruba,merrily
diyaga,merry
numofa,message
famaba,messenger
libena,messy
vamaxa,metabolize
kukaba,metal
volega,metallic
neduda,metallurgy
ruleba,method
befema,metric
henaba,mid
zezefa,middle
zixina,midnight
zaveba,midway
sayiva,mighty
solufa,migrate
xemuza,mild
pipiba,mile
sizuga,milk
pateba,milkily
mupupa,milky
lohoma,mill
zuneza,mimic
viraka,mince
nohafa,mind
loxova,mindless
saxuza,mine
warafa,mingle
refuba,minimality
sobaba,minister
moyoza,minor
goxina,mint
zodoxa,minute
hadana,miracle
suruma,mirror
fapupa,mischief
pedeta,miserable
mevexa,misery
kuwasa,misinform
rafoma,missile
xezora,mist
yagara,mist (action)
manoba,mistake
riseda,mistaken
royuna,mistakenly
sinona,mistily
kigoba,mistook
zokoma,misty
budoba,mite
lodora,mix
zezina,mixed
guhiva,moan
munema,moanfully
kiboga,mob
bufaba,mobile
dokoga,mock
dabasa,mockingly
goheva,mode (statistics)
yiweza,model
faroma,model (action)
rubola,moderate
zofuxa,moderately
safoba,modern
dihusa,modernly
foyaka,modest
pepema,modestly
harola,modesty
kiveba,modify
furisa,modulo
zumova,moisten
nimina,mold
dahofa,molecule
howega,molest
kivefa,molt
mimula,momentously
boxuza,momentum
nasona,monitor
gayofa,monotonous
mifona,monstrous
yisoza,month
yisava,monthly
xemeva,moo
zumika,moody
xikefa,moon
ninala,mope
dakuga,morbid
xeriga,moreover
nekeva,morning
riyeza,morph
razoza,mortal
vuhava,mortify
luveka,mosey
wazola,most
funola,motion
xiyefa,motionless
fumoda,motionlessly
mesona,motive
xadoxa,motor
dulofa,mound
wesava,mount
tolupa,mountain
nafisa,mourn
hekuva,mouth
nefaba,movably
nusufa,move
simofa,movement
xasova,movie
lizeva,mow
derema,much
binola,muddle
keyema,muffle
sirosa,muffled
xonoza,muggy
lahifa,mull
falafa,multiple
sihuna,mumble
yoxama,murky
yorina,murmur
dateta,muse
yavasa,mush
muruda,mushily
yudiga,music
ruhina,mutant
dinoda,mutate
nixoga,mute
xugosa,mutilate
kikeda,mysterious
vamiga,mysteriously
dinula,mystery
nivaka,mystify
sobima,nag
rozuza,nail
gekesa,naive
bofola,naked
funefa,nap
royura,narrate
vorixa,nasty
sevixa,native
xasega,natural
vixuma,naturalistic
tuhopa,nature
yikufa,naughty
hebuda,nauseate
layiza,nauseous
yavara,navel
xaxesa,navigate
malala,near
wahuxa,neat
somora,neaten
gaxuma,neatly
fabora,necessarily
sifura,necessary
moyega,necessitate
huruna,need
dukava,needy
dirula,negation
gugona,negative
xikola,neglect
zefeka,negotiate
veweva,neigh
hezoza,neighbor
padopa,nerve
nemuma,nervous
gezora,nest
fenona,nestle
yifexa,net
xoyola,net (object)
medufa,network
wefuza,news
hisusa,nibble
xosuga,nice
masola,night
koweda,nightly
zuniva,nimble
hekiga,nip
bipeta,noble
vedixa,nobly
nifisa,nocturnal
gabiga,nod
wavaba,noise
mixuxa,noisy
yeruza,nominate
hinasa,noncreative
saleba,nonetheless
ridona,normal
guvula,normalize
xekoda,notch
hunuda,note (musical)
hiyexa,notice
refafa,notice (action)
zagana,nourish
foyexa,nourishment
vunega,nowadays
bebema,nude
rufuna,nudge
xukina,numb
xukuda,number
kiraga,numerous
yemuxa,nurse
fuguxa,nutritious
mezeka,nuzzle
yuwasa,obedience
zovama,obedient
vivima,obese
yuxura,obey
xaxufa,object
nadima,object of senses
zahova,objectionable
mabeda,objectionableness
kudava,obligation
mobura,oblige
zosuka,oblique
sesola,obnoxiousness
kehava,obscure
zukoda,observables
rexixa,observably
favaxa,observance
rafada,observant
hefuda,observationally
bugeza,observe
veboga,obsess
yoloka,obtain
zikaba,obtainable
gihiga,obtuse (angle)
keheza,obvious
ziyala,occasionally
zihoxa,occupation
nolifa,occupied
ruwafa,occupied with
defuma,occupy
mayuka,occur
webaza,ocean
nideda,odd
kikena,oddly
bidola,odor
xuvoda,odorless
buhufa,off
hadoba,off-key
biboda,offbeat
pitoma,offend
huweza,offensive
nezoxa,offensively
nikixa,offer
zobixa,offering
rofosa,offhand
kobava,office
homura,officially
lanura,officiate
fusema,ogle
koxufa,okay
lubaba,old
govada,omissible
musasa,omission
valeka,omit
dafoma,only
wemexa,ooze
degaxa,opaquely
sanena,open
yiwava,open (action)
loheba,open space
xifiga,openable
kazora,opened
kizona,opener
donuna,opening
kikufa,openings
mokava,openly
vufeza,operate
seyuba,operation
meviza,opine
putida,opinion
behoba,opinionatedness
rexeka,oppose
kenika,opposed
zekura,opposition
keduka,oppress
wehaza,opt
xubeza,optic
keveda,optical
retuta,optically
suguza,optics
fihona,optimal
yulika,optional
luloda,optionality
hubifa,orange
kekasa,orate
yokeba,orbit
rabusa,ordain
lifiba,orderly
wazada,ordinary
rinama,organization
baxoka,organize
kazaba,orient
kabova,oriented
rakiga,origin
hamama,original
xagesa,originally
huxoza,ornament
dozova,orphan
daluna,oscillate
rateta,oscillation
bogega,oscillatory
labufa,ostrich
regeka,otherwise
bafima,ought
halesa,ounce
gehoga,out
ronana,outdo
hedona,outline
fadasa,outstanding
likuza,over
nedasa,overview
fofuna,overwhelming situation
nenusa,owe
giyoza,own
mesula,ownership
rinena,pace
zuzifa,pack
sonoma,packet
noyiga,pact
vukefa,pad
ziseza,paddle
xayuna,paddle (action)
roliba,page
bimala,pain
dagega,painful
gefaka,painfully
dasaba,paint
doseba,paint (action)
hiduna,painter
dafada,pair
hemeba,palatalise
rugoga,palate
fuwava,pale
gebova,palm
kazima,pamper
xoluka,pan
vinuka,panic
sedura,panicky
lusura,parabola
linada,parade
femusa,paradise
vesixa,paradox
lalifa,parallax
gahuxa,parallel
husina,parallelly
xafixa,paraphrase
zinaxa,parasitism
voyoma,pardon
lududa,park
bazika,parse
nomaba,partake
bafoda,partial
mapota,partially
tusupa,participate
zediza,particle
nudima,particular
bobisa,partier
fabona,partition
hukexa,partner
nohora,partner (join forces)
gavama,party
yexona,pass
manusa,passably
gayada,passage
voniva,passenger
zomiva,passion
radula,past
lumoda,paste
dihoma,pat
resoba,patch
zuraga,path
fegika,pathetic
mimaba,pathetically
dukuxa,patient
lugaxa,patiently
mumuba,patrol
liyuma,patronize
hixoka,pattern
hemefa,paunch
feziva,pause
monima,paw
gukasa,pay
xehoxa,peace
nenoba,peaceful
xiyoka,peacefully
zeyoka,peak
fihufa,peck
xoniva,peculiarity
hisola,pedal
fedima,peek
lekuva,peel
mehusa,peep
mayiza,peer
dinuma,peevish
bofeba,penalize
kunixa,penalty
meresa,penetrable
sayeza,penetrate
kovima,penetrating
yaboga,perceive
yuseza,percent
petima,perception
weseza,perceptional
yoneva,perch
vahuxa,perfect
nameba,perform
kiduga,perhaps
gozeda,period
zedika,periodic
vimuva,peripheral
figoza,peripheral (object)
tesata,perk
vurega,permanent
zamoga,permeate (go through everything)
hohema,permissible
dezexa,permission
xofuka,permit
dutapa,permutation
vexasa,perpendicular
fuloda,perseverance
liroma,persist
sisoda,person
xubiga,perspire
bupeta,persuade
fanuda,pertain
ravuza,perturbation
funoma,peruse
yezura,pester
rahefa,pet
hufora,phantom
yukama,phase
nosina,phenomenal
fugixa,phenomenon
moyiza,philosophy
xovana,phone
husida,photo
misefa,physical
himeda,physical body
banema,physique
vefika,pi
vezora,pick
tohipa,picture
yazifa,piece
yaneka,pierce
nerusa,piggyback
hexika,pile
kerova,pillar (key thing)
nadifa,pilot
koxula,pin
zayesa,pinch
voyada,pink
bafesa,pioneer
gevara,pipe
hoduba,pit (big empty hole)
vomaka,pitch
xewaka,pity
mofina,pivot
yazima,pixellate
budada,place
sedola,plain (without frill)
kuboxa,plan
yasuga,plan (action)
sokika,plane
fisusa,plant
yedoxa,plasma
luxaga,plastic
sekeva,plasticity
visiza,platform
xuxuma,platonic
bububa,plausible
dihana,play (action)
nefula,play (object)
moyuza,player
vuzola,plead
behuna,pleasant
tolapa,pleasantly
besesa,pleasantness
