word,shape,distinct,meaning
bern,CVCC,no,
berb,CVCC,no,
berd,CVCC,no,
berg,CVCC,no,
berp,CVCC,no,
bert,CVCC,no,
berk,CVCC,no,
berf,CVCC,no,
berv,CVCC,no,
berx,CVCC,no,
bamp,CVCC,yes,bump
band,CVCC,no,band (group)
bant,CVCC,no,
bank,CVCC,no,
baqk,CVCC,no,
badj,CVCC,no,
batx,CVCC,yes,bat (animal)
bakx,CVCC,yes,
basp,CVCC,no,
bast,CVCC,yes,prime
bask,CVCC,no,otherwise
baft,CVCC,yes,
baxt,CVCC,yes,
balb,CVCC,no,
bald,CVCC,no,
balp,CVCC,no,
balt,CVCC,no,
balk,CVCC,no,
balf,CVCC,no,
balv,CVCC,no,
balx,CVCC,yes,
barm,CVCC,no,
barn,CVCC,no,
barb,CVCC,yes,barb
bard,CVCC,no,b sound
barg,CVCC,no,
barp,CVCC,no,
bart,CVCC,no,
bark,CVCC,no,
barf,CVCC,no,
barv,CVCC,yes,duck (bird)
barx,CVCC,no,
bomp,CVCC,no,
bond,CVCC,no,
bont,CVCC,no,
bonk,CVCC,no,
boqk,CVCC,no,
bodj,CVCC,no,
botx,CVCC,no,
bokx,CVCC,no,
bosp,CVCC,no,
bost,CVCC,no,
bosk,CVCC,no,
boft,CVCC,no,
boxt,CVCC,no,
bolb,CVCC,no,
bold,CVCC,no,10^30
bolp,CVCC,no,
bolt,CVCC,no,
bolk,CVCC,no,
bolf,CVCC,no,
bolv,CVCC,no,
bolx,CVCC,no,
borm,CVCC,no,
born,CVCC,yes,bury
borb,CVCC,no,
bord,CVCC,no,
borg,CVCC,no,
borp,CVCC,no,burp
bort,CVCC,no,
bork,CVCC,no,
borf,CVCC,no,
borv,CVCC,no,
borx,CVCC,no,
bump,CVCC,yes,
bund,CVCC,yes,boundary
bunt,CVCC,no,
bunk,CVCC,yes,
buqk,CVCC,no,
budj,CVCC,yes,
butx,CVCC,no,
bukx,CVCC,yes,
busp,CVCC,no,
bust,CVCC,yes,burst
busk,CVCC,no,
buft,CVCC,yes,
buxt,CVCC,yes,
bulb,CVCC,yes,
buld,CVCC,no,
bulp,CVCC,no,
bult,CVCC,yes,
bulk,CVCC,yes,
bulf,CVCC,yes,
bulv,CVCC,no,
bulx,CVCC,yes,
burm,CVCC,no,
burn,CVCC,no,
burb,CVCC,no,
burd,CVCC,no,
burg,CVCC,no,
burp,CVCC,no,
burt,CVCC,no,
burk,CVCC,no,
burf,CVCC,no,
burv,CVCC,no,
burx,CVCC,no,
dimp,CVCC,no,
dind,CVCC,no,
dint,CVCC,no,
dink,CVCC,no,
diqk,CVCC,yes,deny
didj,CVCC,yes,
ditx,CVCC,no,
dikx,CVCC,no,
disp,CVCC,no,
dist,CVCC,no,
disk,CVCC,no,discover
dift,CVCC,no,
dixt,CVCC,no,
dilb,CVCC,no,
dild,CVCC,no,
dilp,CVCC,no,
dilt,CVCC,no,
dilk,CVCC,no,
dilf,CVCC,no,
dilv,CVCC,no,
dilx,CVCC,no,
dirm,CVCC,no,
dirn,CVCC,no,
dirb,CVCC,no,
dird,CVCC,no,
dirg,CVCC,no,
dirp,CVCC,no,
dirt,CVCC,no,
dirk,CVCC,no,
dirf,CVCC,no,
dirv,CVCC,no,
dirx,CVCC,no,
demp,CVCC,no,
dend,CVCC,no,
dent,CVCC,no,
denk,CVCC,no,
deqk,CVCC,no,
dedj,CVCC,no,appendage
detx,CVCC,no,
dekx,CVCC,no,
desp,CVCC,no,
dest,CVCC,no,
desk,CVCC,no,
deft,CVCC,no,
dext,CVCC,no,
delb,CVCC,no,
deld,CVCC,no,
delp,CVCC,no,
delt,CVCC,no,
delk,CVCC,no,
delf,CVCC,no,
delv,CVCC,no,
delx,CVCC,no,
derm,CVCC,no,
dern,CVCC,no,
derb,CVCC,no,
derd,CVCC,no,
derg,CVCC,no,
derp,CVCC,no,
dert,CVCC,no,
derk,CVCC,no,
derf,CVCC,no,
derv,CVCC,no,
derx,CVCC,no,
damp,CVCC,no,
dand,CVCC,no,
dant,CVCC,no,
dank,CVCC,yes,
daqk,CVCC,no,
dadj,CVCC,no,
datx,CVCC,no,
dakx,CVCC,no,
dasp,CVCC,no,
dast,CVCC,no,
dask,CVCC,no,desk
daft,CVCC,no,
daxt,CVCC,no,
dalb,CVCC,no,
dald,CVCC,no,
dalp,CVCC,no,
dalt,CVCC,yes,dependent
dalk,CVCC,yes,
dalf,CVCC,no,
dalv,CVCC,no,
dalx,CVCC,no,
darm,CVCC,no,
darn,CVCC,no,damn/dam
darb,CVCC,no,follow
dard,CVCC,no,
darg,CVCC,no,
darp,CVCC,no,
dart,CVCC,no,east
dark,CVCC,no,
darf,CVCC,no,
darv,CVCC,no,
darx,CVCC,no,
domp,CVCC,no,dump
dond,CVCC,no,
dont,CVCC,no,
donk,CVCC,no,
doqk,CVCC,no,
dodj,CVCC,no,
dotx,CVCC,no,
dokx,CVCC,no,
dosp,CVCC,no,
dost,CVCC,no,
dosk,CVCC,no,
doft,CVCC,no,
doxt,CVCC,no,
dolb,CVCC,no,
dold,CVCC,no,
dolp,CVCC,no,
dolt,CVCC,no,doubt
dolk,CVCC,no,
dolf,CVCC,no,
dolv,CVCC,no,deliver
dolx,CVCC,no,
dorm,CVCC,no,
dorn,CVCC,no,
dorb,CVCC,no,
dord,CVCC,no,
dorg,CVCC,no,
dorp,CVCC,no,
dort,CVCC,no,dirt
dork,CVCC,no,
dorf,CVCC,no,
dorv,CVCC,no,
dorx,CVCC,no,
dump,CVCC,no,
dund,CVCC,no,
dunt,CVCC,no,
dunk,CVCC,no,
duqk,CVCC,no,
dudj,CVCC,no,
dutx,CVCC,no,
dukx,CVCC,no,
dusp,CVCC,no,
dust,CVCC,no,
dusk,CVCC,yes,across (trans-)/cross
duft,CVCC,no,
duxt,CVCC,no,
dulb,CVCC,no,
duld,CVCC,no,
dulp,CVCC,no,
dult,CVCC,no,
dulk,CVCC,no,
dulf,CVCC,no,
dulv,CVCC,no,
dulx,CVCC,no,
durm,CVCC,no,
durn,CVCC,no,
durb,CVCC,no,
durd,CVCC,no,
durg,CVCC,no,
durp,CVCC,no,
durt,CVCC,no,
durk,CVCC,no,
durf,CVCC,no,
durv,CVCC,no,
durx,CVCC,no,
gimp,CVCC,yes,
gind,CVCC,yes,
gint,CVCC,no,
gink,CVCC,no,
giqk,CVCC,no,
gidj,CVCC,yes,
gitx,CVCC,no,
gikx,CVCC,yes,
gisp,CVCC,no,
gist,CVCC,no,
gisk,CVCC,yes,
gift,CVCC,yes,
gixt,CVCC,yes,
gilb,CVCC,no,
gild,CVCC,yes,
gilp,CVCC,yes,gill
gilt,CVCC,no,
gilk,CVCC,yes,
gilf,CVCC,yes,
gilv,CVCC,no,
gilx,CVCC,yes,
girm,CVCC,no,
girn,CVCC,no,
girb,CVCC,no,
gird,CVCC,no,
girg,CVCC,no,
girp,CVCC,no,
girt,CVCC,no,
girk,CVCC,no,
girf,CVCC,no,
girv,CVCC,no,
girx,CVCC,no,
gemp,CVCC,no,
gend,CVCC,no,
gent,CVCC,no,
genk,CVCC,no,
geqk,CVCC,no,
gedj,CVCC,no,
getx,CVCC,no,
gekx,CVCC,no,
gesp,CVCC,no,
gest,CVCC,yes,guest
gesk,CVCC,no,
geft,CVCC,no,
gext,CVCC,no,
gelb,CVCC,no,
geld,CVCC,no,
gelp,CVCC,no,
gelt,CVCC,no,
gelk,CVCC,no,
gelf,CVCC,no,
gelv,CVCC,no,
gelx,CVCC,no,
germ,CVCC,no,
gern,CVCC,no,
gerb,CVCC,no,
gerd,CVCC,no,
gerg,CVCC,no,
gerp,CVCC,no,
gert,CVCC,no,
gerk,CVCC,no,
gerf,CVCC,no,
gerv,CVCC,no,
gerx,CVCC,no,
gamp,CVCC,no,
gand,CVCC,no,
gant,CVCC,yes,-gon (polygon)
gank,CVCC,yes,
gaqk,CVCC,no,
gadj,CVCC,no,
gatx,CVCC,yes,german i vowel sound
gakx,CVCC,yes,
gasp,CVCC,no,
gast,CVCC,no,
gask,CVCC,yes,
gaft,CVCC,yes,
gaxt,CVCC,yes,
galb,CVCC,no,
gald,CVCC,no,
galp,CVCC,no,
galt,CVCC,yes,guilt
galk,CVCC,no,
galf,CVCC,no,
galv,CVCC,no,
galx,CVCC,no,
garm,CVCC,yes,arm
garn,CVCC,no,
garb,CVCC,no,
gard,CVCC,no,g sound
garg,CVCC,no,
garp,CVCC,no,
gart,CVCC,no,
gark,CVCC,no,
garf,CVCC,no,
garv,CVCC,no,
garx,CVCC,no,
gomp,CVCC,no,
gond,CVCC,no,
gont,CVCC,no,
gonk,CVCC,no,
goqk,CVCC,no,
godj,CVCC,no,
gotx,CVCC,no,
gokx,CVCC,no,
gosp,CVCC,no,
gost,CVCC,yes,ghost
gosk,CVCC,no,
goft,CVCC,no,
goxt,CVCC,no,
golb,CVCC,no,
gold,CVCC,no,
golp,CVCC,no,
golt,CVCC,no,
golk,CVCC,no,
golf,CVCC,no,
golv,CVCC,no,
golx,CVCC,yes,only
gorm,CVCC,no,
gorn,CVCC,no,
gorb,CVCC,no,
gord,CVCC,no,
gorg,CVCC,no,
gorp,CVCC,no,
gort,CVCC,no,
gork,CVCC,no,
gorf,CVCC,no,
gorv,CVCC,no,
gorx,CVCC,no,
gump,CVCC,yes,new
gund,CVCC,no,
gunt,CVCC,no,
gunk,CVCC,yes,
guqk,CVCC,no,
gudj,CVCC,yes,
gutx,CVCC,no,
gukx,CVCC,yes,
gusp,CVCC,no,
gust,CVCC,no,
gusk,CVCC,yes,
guft,CVCC,yes,
guxt,CVCC,yes,
gulb,CVCC,no,
guld,CVCC,no,
gulp,CVCC,no,
gult,CVCC,yes,
gulk,CVCC,yes,
gulf,CVCC,no,
gulv,CVCC,no,
gulx,CVCC,no,
gurm,CVCC,yes,
gurn,CVCC,no,
gurb,CVCC,no,
gurd,CVCC,no,
gurg,CVCC,no,
gurp,CVCC,no,
gurt,CVCC,no,
gurk,CVCC,no,
gurf,CVCC,no,
gurv,CVCC,no,
gurx,CVCC,no,
pimp,CVCC,no,
pind,CVCC,no,
pint,CVCC,no,
pink,CVCC,yes,
piqk,CVCC,no,
pidj,CVCC,no,
pitx,CVCC,yes,pitch (sound)
pikx,CVCC,no,
pisp,CVCC,no,
pist,CVCC,no,
pisk,CVCC,no,
pift,CVCC,no,
pixt,CVCC,no,
pilb,CVCC,no,
pild,CVCC,no,
pilp,CVCC,no,
pilt,CVCC,no,
pilk,CVCC,no,
pilf,CVCC,no,
pilv,CVCC,no,
pilx,CVCC,no,
pirm,CVCC,no,
pirn,CVCC,no,
pirb,CVCC,no,
pird,CVCC,no,
pirg,CVCC,no,
pirp,CVCC,no,
pirt,CVCC,no,
pirk,CVCC,no,
pirf,CVCC,no,
pirv,CVCC,no,
pirx,CVCC,no,
pemp,CVCC,no,
pend,CVCC,no,
pent,CVCC,no,paint
penk,CVCC,no,
peqk,CVCC,no,
pedj,CVCC,no,
petx,CVCC,no,
pekx,CVCC,no,
pesp,CVCC,no,
pest,CVCC,no,paste
pesk,CVCC,no,
peft,CVCC,no,
pext,CVCC,no,
pelb,CVCC,no,
peld,CVCC,no,
pelp,CVCC,no,
pelt,CVCC,no,
pelk,CVCC,no,
pelf,CVCC,no,
pelv,CVCC,no,
pelx,CVCC,no,
perm,CVCC,no,
pern,CVCC,no,
perb,CVCC,no,
perd,CVCC,no,
perg,CVCC,no,
perp,CVCC,no,
pert,CVCC,no,
perk,CVCC,no,
perf,CVCC,no,
perv,CVCC,no,
perx,CVCC,no,
pamp,CVCC,no,
pand,CVCC,no,upon
pant,CVCC,no,
pank,CVCC,no,
paqk,CVCC,yes,punk
padj,CVCC,no,edge
patx,CVCC,no,patch
pakx,CVCC,no,
pasp,CVCC,no,
past,CVCC,no,
pask,CVCC,no,
paft,CVCC,no,
paxt,CVCC,no,
palb,CVCC,no,
pald,CVCC,no,
palp,CVCC,no,
palt,CVCC,no,
palk,CVCC,no,
palf,CVCC,no,
palv,CVCC,no,
palx,CVCC,no,
parm,CVCC,no,
parn,CVCC,no,purr
parb,CVCC,no,
pard,CVCC,no,pod
parg,CVCC,no,
parp,CVCC,no,perpendicular
part,CVCC,yes,part
park,CVCC,yes,park (car)
parf,CVCC,no,
parv,CVCC,no,
parx,CVCC,no,
pomp,CVCC,no,
pond,CVCC,no,
pont,CVCC,no,
ponk,CVCC,no,
poqk,CVCC,no,
podj,CVCC,no,purge
potx,CVCC,no,pi
pokx,CVCC,no,
posp,CVCC,no,
post,CVCC,no,post (content)
posk,CVCC,yes,
poft,CVCC,no,
poxt,CVCC,no,
polb,CVCC,no,
pold,CVCC,no,
polp,CVCC,no,
polt,CVCC,no,
polk,CVCC,no,
polf,CVCC,no,
polv,CVCC,no,
polx,CVCC,no,
porm,CVCC,no,
porn,CVCC,no,
porb,CVCC,no,
pord,CVCC,no,
porg,CVCC,no,
porp,CVCC,no,
port,CVCC,no,important
pork,CVCC,no,per
porf,CVCC,no,puff
porv,CVCC,no,
porx,CVCC,no,
pump,CVCC,no,
pund,CVCC,no,
punt,CVCC,no,
punk,CVCC,no,
puqk,CVCC,no,
pudj,CVCC,no,
putx,CVCC,no,
pukx,CVCC,no,
pusp,CVCC,no,
pust,CVCC,no,
pusk,CVCC,no,
puft,CVCC,no,
puxt,CVCC,no,
pulb,CVCC,no,
puld,CVCC,no,
pulp,CVCC,no,
pult,CVCC,no,
pulk,CVCC,no,
pulf,CVCC,no,
pulv,CVCC,no,
pulx,CVCC,no,
purm,CVCC,no,
purn,CVCC,no,
purb,CVCC,no,
purd,CVCC,no,
purg,CVCC,no,
purp,CVCC,no,
purt,CVCC,no,
purk,CVCC,no,
purf,CVCC,no,
purv,CVCC,no,
purx,CVCC,no,
timp,CVCC,yes,
tind,CVCC,yes,
tint,CVCC,no,
tink,CVCC,no,
tiqk,CVCC,no,
tidj,CVCC,no,
titx,CVCC,no,teach
tikx,CVCC,yes,
tisp,CVCC,no,
tist,CVCC,no,
tisk,CVCC,yes,
tift,CVCC,yes,
tixt,CVCC,yes,
tilb,CVCC,yes,
tild,CVCC,no,
tilp,CVCC,no,
tilt,CVCC,yes,
tilk,CVCC,yes,
tilf,CVCC,yes,
tilv,CVCC,no,
tilx,CVCC,yes,
tirm,CVCC,no,
tirn,CVCC,yes,tour
tirb,CVCC,no,
tird,CVCC,no,
tirg,CVCC,no,
tirp,CVCC,no,
tirt,CVCC,no,
tirk,CVCC,no,
tirf,CVCC,no,
tirv,CVCC,no,
tirx,CVCC,no,
temp,CVCC,no,
tend,CVCC,no,
tent,CVCC,no,
tenk,CVCC,no,
teqk,CVCC,no,
tedj,CVCC,no,
tetx,CVCC,no,
tekx,CVCC,no,
tesp,CVCC,no,
test,CVCC,yes,taste
tesk,CVCC,no,
teft,CVCC,no,
text,CVCC,no,
telb,CVCC,no,
teld,CVCC,no,
telp,CVCC,no,
telt,CVCC,no,
telk,CVCC,no,
telf,CVCC,no,
telv,CVCC,no,
telx,CVCC,no,
term,CVCC,no,
tern,CVCC,no,
terb,CVCC,no,
terd,CVCC,no,
terg,CVCC,no,
terp,CVCC,no,
tert,CVCC,no,
terk,CVCC,no,
terf,CVCC,no,
terv,CVCC,no,
terx,CVCC,no,
tamp,CVCC,yes,temperature
tand,CVCC,yes,
tant,CVCC,no,
tank,CVCC,no,
taqk,CVCC,no,toy
tadj,CVCC,no,
tatx,CVCC,yes,touch
takx,CVCC,yes,
tasp,CVCC,no,
tast,CVCC,no,
task,CVCC,no,
taft,CVCC,yes,
taxt,CVCC,yes,
talb,CVCC,yes,
tald,CVCC,no,
talp,CVCC,no,
talt,CVCC,no,
talk,CVCC,no,
talf,CVCC,yes,
talv,CVCC,no,
talx,CVCC,yes,
tarm,CVCC,no,
tarn,CVCC,yes,10^39
tarb,CVCC,no,
tard,CVCC,no,towards
targ,CVCC,no,
tarp,CVCC,no,topology
tart,CVCC,no,
tark,CVCC,no,
tarf,CVCC,no,
tarv,CVCC,no,
tarx,CVCC,no,
tomp,CVCC,no,
tond,CVCC,no,
tont,CVCC,no,
tonk,CVCC,no,
toqk,CVCC,no,
todj,CVCC,no,
totx,CVCC,no,attach
tokx,CVCC,no,
tosp,CVCC,yes,
tost,CVCC,no,
tosk,CVCC,no,
toft,CVCC,no,
toxt,CVCC,no,
tolb,CVCC,no,
told,CVCC,no,t sound
tolp,CVCC,no,
tolt,CVCC,no,
tolk,CVCC,no,
tolf,CVCC,no,
tolv,CVCC,no,
tolx,CVCC,no,
torm,CVCC,no,
torn,CVCC,no,turn
torb,CVCC,no,
tord,CVCC,no,
torg,CVCC,no,
torp,CVCC,no,interpolate
tort,CVCC,no,
tork,CVCC,no,
torf,CVCC,no,
torv,CVCC,no,
torx,CVCC,no,
tump,CVCC,yes,
tund,CVCC,yes,
tunt,CVCC,no,
tunk,CVCC,yes,
tuqk,CVCC,no,
tudj,CVCC,yes,
tutx,CVCC,no,
tukx,CVCC,yes,
tusp,CVCC,no,
tust,CVCC,no,
tusk,CVCC,no,
tuft,CVCC,yes,
tuxt,CVCC,yes,
tulb,CVCC,yes,
tuld,CVCC,no,
tulp,CVCC,no,
tult,CVCC,yes,
tulk,CVCC,yes,
tulf,CVCC,yes,
tulv,CVCC,no,
tulx,CVCC,yes,
turm,CVCC,yes,
turn,CVCC,no,
turb,CVCC,no,
turd,CVCC,no,
turg,CVCC,no,
turp,CVCC,no,
turt,CVCC,no,
turk,CVCC,no,
turf,CVCC,no,
turv,CVCC,no,
turx,CVCC,no,
kimp,CVCC,no,
kind,CVCC,no,
kint,CVCC,no,
kink,CVCC,no,
kiqk,CVCC,yes,10^15
kidj,CVCC,no,
kitx,CVCC,no,
kikx,CVCC,no,
kisp,CVCC,no,
kist,CVCC,no,
kisk,CVCC,no,
kift,CVCC,no,
kixt,CVCC,no,
kilb,CVCC,no,
kild,CVCC,no,
kilp,CVCC,no,
kilt,CVCC,no,
kilk,CVCC,no,
kilf,CVCC,no,
kilv,CVCC,no,
kilx,CVCC,no,
kirm,CVCC,no,
kirn,CVCC,yes,cure
kirb,CVCC,no,
kird,CVCC,no,
kirg,CVCC,no,
kirp,CVCC,no,
kirt,CVCC,no,
kirk,CVCC,no,
kirf,CVCC,no,
kirv,CVCC,no,
kirx,CVCC,no,
kemp,CVCC,no,
kend,CVCC,no,
kent,CVCC,no,
kenk,CVCC,no,
keqk,CVCC,no,
kedj,CVCC,no,accept
ketx,CVCC,no,
kekx,CVCC,no,
kesp,CVCC,no,
kest,CVCC,no,
kesk,CVCC,no,
keft,CVCC,no,
kext,CVCC,no,
kelb,CVCC,no,
keld,CVCC,no,
kelp,CVCC,no,
kelt,CVCC,no,
kelk,CVCC,no,
kelf,CVCC,no,
kelv,CVCC,no,
kelx,CVCC,no,
kerm,CVCC,no,
kern,CVCC,no,
kerb,CVCC,no,
kerd,CVCC,no,
