english,ipa
aluminum,əˈluːmɪnəm
platinum,ˈplætɪnəm
mercury,ˈmɜːɹkjəɹi
salt,sɔːlt
sulfur,ˈsʌlfəɹ
phosphor,ˈfɑːsfɔːɹ
carbon,ˈkɑːɹbən
charcoal,ˈtʃɑːɹkoʊl
coal,koʊl
coke,koʊk
tar,tɑːɹ
pitch,pɪtʃ
bitumen,bɪˈtuːmən
oil,ɔɪl
diesel,ˈdiːzəl
gasoline,ˈɡæsəliːn
kerosene,ˈkɛɹəˌsiːn
wax,wæks
resin,ˈɹɛzɪn
sap,sæp
latex,ˈleɪtɛks
rubber,ˈɹʌbəɹ
plastic,ˈplæstɪk
vinyl,ˈvaɪnəl
nylon,ˈnaɪlɑːn
polymer,ˈpɑːlɪməɹ
foam,foʊm
fiber,ˈfaɪbəɹ
thread,θɹɛd
yarn,jɑːɹn
cord,kɔːɹd
string,stɹɪŋ
wire,waɪəɹ
cable,ˈkeɪbəl
cloth,klɔːθ
fabric,ˈfæbɹɪk
textile,ˈtɛkstaɪl
canvas,ˈkænvəs
linen,ˈlɪnən
cotton,ˈkɑːtən
wool,wʊl
silk,sɪlk
felt,fɛlt
leather,ˈlɛðəɹ
cardboard,ˈkɑːɹdbɔːɹd
parchment,ˈpɑːɹtʃmənt
ink,ɪŋk
paint,peɪnt
dye,daɪ
pigment,ˈpɪɡmənt
glue,ɡluː
paste,peɪst
cement,səˈmɛnt
mortar,ˈmɔːɹtəɹ
plaster,ˈplæstəɹ
concrete,ˈkɑːnkɹiːt
brick,bɹɪk
tile,taɪl
ceramic,səˈɹæmɪk
porcelain,ˈpɔːɹsəlɪn
pottery,ˈpɑːtəɹi
enamel,ɪˈnæməl
alloy,ˈælɔɪ
acid,ˈæsɪd
base,beɪs
solvent,ˈsɑːlvənt
alcohol,ˈælkəhɔːl
sugar,ˈʃʊɡəɹ
starch,stɑːɹtʃ
protein,ˈpɹoʊtiːn
fat,fæt
grease,ɡɹiːs
butter,ˈbʌtəɹ
cheese,tʃiːz
milk,mɪlk
cream,kɹiːm
honey,ˈhʌni
land,lænd
ground,ɡɹaʊnd
terrain,təˈɹeɪn
field,fiːld
plain,pleɪn
prairie,ˈpɹɛɹi
steppe,stɛp
meadow,ˈmɛdoʊ
pasture,ˈpæstʃəɹ
range,ɹeɪndʒ
moor,mʊɹ
heath,hiːθ
tundra,ˈtʌndɹə
dune,duːn
badland,ˈbædlænd
wasteland,ˈweɪstlænd
jungle,ˈdʒʌŋɡəl
woodland,ˈwʊdlænd
savanna,səˈvænə
marsh,mɑːɹʃ
swamp,swɑːmp
bog,bɔːɡ
fen,fɛn
wetland,ˈwɛtlænd
mangrove,ˈmæŋɡɹoʊv
coast,koʊst
shore,ʃɔːɹ
beach,biːtʃ
strand,stɹænd
bank,bæŋk
coastline,ˈkoʊstlaɪn
cliff,klɪf
bluff,blʌf
slope,sloʊp
knoll,noʊl
mound,maʊnd
ridge,ɹɪdʒ
crest,kɹɛst
peak,piːk
summit,ˈsʌmɪt
mount,maʊnt
volcano,vɑːlˈkeɪnoʊ
caldera,kælˈdɛɹə
crater,ˈkɹeɪtəɹ
canyon,ˈkænjən
gorge,ɡɔːɹdʒ
ravine,ɹəˈviːn
basin,ˈbeɪsən
plateau,plæˈtoʊ
mesa,ˈmeɪsə
butte,bjuːt
terrace,ˈtɛɹəs
ledge,lɛdʒ
cave,keɪv
cavern,ˈkævəɹn
grotto,ˈɡɹɑːtoʊ
sinkhole,ˈsɪŋkhoʊl
arch,ɑːɹtʃ
pillar,ˈpɪləɹ
spire,ˈspaɪəɹ
outcrop,ˈaʊtkɹɑːp
delta,ˈdɛltə
estuary,ˈɛstʃuˌɛɹi
lagoon,ləˈɡuːn
bay,beɪ
gulf,ɡʌlf
cove,koʊv
fjord,fjɔːɹd
inlet,ˈɪnlɛt
strait,stɹeɪt
channel,ˈtʃænəl
islet,ˈaɪlɪt
atoll,ˈætɔːl
reef,ɹiːf
shoal,ʃoʊl
sandbar,ˈsændbɑːɹ
harbor,ˈhɑːɹbəɹ
port,pɔːɹt
peninsula,pəˈnɪnsjələ
cape,keɪp
headland,ˈhɛdlænd
isthmus,ˈɪsməs
riverbank,ˈɹɪvəɹbæŋk
spring,spɹɪŋ
well,wɛl
oasis,oʊˈeɪsɪs
glacier,ˈɡleɪʃəɹ
iceberg,ˈaɪsbɜːɹɡ
drizzle,ˈdɹɪzəl
shower,ˈʃaʊəɹ
tempest,ˈtɛmpɪst
thunder,ˈθʌndəɹ
lightning,ˈlaɪtnɪŋ
hail,heɪl
sleet,sliːt
blizzard,ˈblɪzəɹd
frost,fɹɔːst
rime,ɹaɪm
dew,djuː
breeze,bɹiːz
gale,ɡeɪl
gust,ɡʌst
squall,skwɔːl
tornado,tɔːɹˈneɪdoʊ
cyclone,ˈsaɪkloʊn
hurricane,ˈhɜːɹɪˌkeɪn
whirlwind,ˈwɜːɹlwɪnd
current,ˈkɜːɹənt
tide,taɪd
wave,weɪv
surf,sɜːɹf
swell,swɛl
ripple,ˈɹɪpəl
eddy,ˈɛdi
spray,spɹeɪ
stream,stɹiːm
brook,bɹʊk
creek,kɹiːk
tributary,ˈtɹɪbjəˌtɛɹi
waterway,ˈwɔːtəɹweɪ
geyser,ˈɡaɪzəɹ
waterfall,ˈwɔːtəɹfɔːl
cascade,kæˈskeɪd
pool,puːl
pond,pɑːnd
reservoir,ˈɹɛzəɹˌvwɑːɹ
depth,dɛpθ
shallows,ˈʃæloʊz
flood,flʌd
drought,dɹaʊt
heat,hiːt
flame,fleɪm
ember,ˈɛmbəɹ
spark,spɑːɹk
glow,ɡloʊ
shadow,ˈʃædoʊ
darkness,ˈdɑːɹknəs
space,speɪs
heaven,ˈhɛvən
firmament,ˈfɜːɹməmənt
planet,ˈplænɪt
world,wɜːɹld
earthglobe,ˈɜːɹθɡloʊb
orbit,ˈɔːɹbɪt
comet,ˈkɑːmət
meteor,ˈmiːtiəɹ
asteroid,ˈæstəɹɔɪd
galaxy,ˈɡæləksi
nebula,ˈnɛbjələ
cluster,ˈklʌstəɹ
eclipse,ɪˈklɪps
sunrise,ˈsʌnɹaɪz
sunset,ˈsʌnsɛt
dawn,dɔːn
dusk,dʌsk
noon,nuːn
midnight,ˈmɪdnaɪt
season,ˈsiːzən
winter,ˈwɪntəɹ
summer,ˈsʌməɹ
autumn,ˈɔːtəm
hut,hʌt
cabin,ˈkæbɪn
shed,ʃɛd
barn,bɑːɹn
stable,ˈsteɪbəl
coop,kuːp
corral,kəˈɹæl
tower,ˈtaʊəɹ
chamber,ˈtʃeɪmbəɹ
hall,hɔːl
cellar,ˈsɛləɹ
attic,ˈætɪk
stair,stɛɹ
ladder,ˈlædəɹ
porch,pɔːɹtʃ
balcony,ˈbælkəni
courtyard,ˈkɔːɹtjɑːɹd
orchard,ˈɔːɹtʃəɹd
greenhouse,ˈɡɹiːnhaʊs
shrine,ʃɹaɪn
church,tʃɜːɹtʃ
mosque,mɑːsk
synagogue,ˈsɪnəɡɑːɡ
monastery,ˈmɑːnəˌstɛɹi
school,skuːl
college,ˈkɑːlɪdʒ
library,ˈlaɪbɹɛɹi
archive,ˈɑːɹkaɪv
workshop,ˈwɜːɹkʃɑːp
forge,fɔːɹdʒ
mill,mɪl
bakery,ˈbeɪkəɹi
brewery,ˈbɹuːəɹi
factory,ˈfæktəɹi
warehouse,ˈwɛɹhaʊs
storehouse,ˈstɔːɹhaʊs
market,ˈmɑːɹkɪt
shop,ʃɑːp
inn,ɪn
tavern,ˈtævəɹn
kitchen,ˈkɪtʃən
bathhouse,ˈbæθhaʊs
clinic,ˈklɪnɪk
hospital,ˈhɑːspɪtəl
prison,ˈpɹɪzən
fort,fɔːɹt
fortress,ˈfɔːɹtɹəs
castle,ˈkæsəl
palace,ˈpælɪs
manor,ˈmænəɹ
village,ˈvɪlɪdʒ
town,taʊn
city,ˈsɪti
capital,ˈkæpɪtəl
station,ˈsteɪʃən
camp,kæmp
basecamp,ˈbeɪskæmp
outpost,ˈaʊtpoʊst
street,stɹiːt
avenue,ˈævəˌnuː
lane,leɪn
trail,tɹeɪl
track,tɹæk
tunnel,ˈtʌnəl
canal,kəˈnæl
aqueduct,ˈækwɪˌdʌkt
dam,dæm
monument,ˈmɑːnjəmənt
device,dɪˈvaɪs
machine,məˈʃiːn
engine,ˈɛndʒɪn
motor,ˈmoʊtəɹ
pump,pʌmp
valve,vælv
pipe,paɪp
tube,tuːb
hose,hoʊz
axle,ˈæksəl
gear,ɡɪɹ
lever,ˈlɛvəɹ
pulley,ˈpʊli
hinge,hɪndʒ
chain,tʃeɪn
hook,hʊk
peg,pɛɡ
pin,pɪn
bolt,boʊlt
screw,skɹuː
clamp,klæmp
vise,vaɪs
anvil,ˈænvɪl
mallet,ˈmælɪt
axe,æks
hatchet,ˈhætʃɪt
adze,ædz
saw,sɔː
blade,bleɪd
sword,sɔːɹd
spear,spɪɹ
pike,paɪk
arrow,ˈæɹoʊ
bow,boʊ
shield,ʃiːld
drill,dɹɪl
awl,ɔːl
chisel,ˈtʃɪzəl
file,faɪl
rasp,ɹæsp
plane,pleɪn
wedge,wɛdʒ
shovel,ˈʃʌvəl
spade,speɪd
hoe,hoʊ
rake,ɹeɪk
scythe,saɪð
sickle,ˈsɪkəl
plow,plaʊ
mattock,ˈmætək
pickaxe,ˈpɪkæks
trowel,ˈtɹaʊəl
barrel,ˈbæɹəl
crate,kɹeɪt
case,keɪs
jar,dʒɑːɹ
ladle,ˈleɪdəl
needle,ˈniːdəl
loom,luːm
spindle,ˈspɪndəl
distaff,ˈdɪstæf
net,nɛt
trap,tɹæp
snare,snɛɹ
cage,keɪdʒ
lantern,ˈlæntəɹn
torch,tɔːɹtʃ
candle,ˈkændəl
mirror,ˈmɪɹəɹ
lens,lɛnz
compass,ˈkʌmpəs
scale,skeɪl
balancebeam,ˈbælənsbiːm
meter,ˈmiːtəɹ
gauge,ɡeɪdʒ
sensor,ˈsɛnsəɹ
camera,ˈkæmɹə
screen,skɹiːn
speaker,ˈspiːkəɹ
microphone,ˈmaɪkɹəˌfoʊn
antenna,ænˈtɛnə
battery,ˈbætəɹi
switch,swɪtʃ
button,ˈbʌtən
relay,ˈɹiːleɪ
circuit,ˈsɜːɹkɪt
router,ˈɹaʊtəɹ
server,ˈsɜːɹvəɹ
drone,dɹoʊn
robot,ˈɹoʊbɑːt
garment,ˈɡɑːɹmənt
tunic,ˈtuːnɪk
robe,roʊb
cloak,kloʊk
jacket,ˈdʒækɪt
vest,vɛst
trousers,ˈtɹaʊzəɹz
shorts,ʃɔːɹts
skirt,skɜːɹt
dress,dɹɛs
sock,sɑːk
boot,buːt
sandal,ˈsændəl
slipper,ˈslɪpəɹ
mitten,ˈmɪtən
strap,stɹæp
scarf,skɑːɹf
shawl,ʃɔːl
veil,veɪl
hood,hʊd
cap,kæp
helmet,ˈhɛlmɪt
mask,mæsk
visor,ˈvaɪzəɹ
goggles,ˈɡɑːɡəlz
bracelet,ˈbɹeɪslət
necklace,ˈnɛkləs
pendant,ˈpɛndənt
crown,kɹaʊn
diadem,ˈdaɪədɛm
armor,ˈɑːɹməɹ
breastplate,ˈbɹɛstpleɪt
greave,ɡɹiːv
food,fuːd
meal,miːl
dish,dɪʃ
bread,bɹɛd
loaf,loʊf
cake,keɪk
pastry,ˈpeɪstɹi
pie,paɪ
biscuit,ˈbɪskɪt
porridge,ˈpɔːɹɪdʒ
noodle,ˈnuːdəl
pasta,ˈpɑːstə
soup,suːp
stew,stuː
broth,bɹɔːθ
sauce,sɔːs
salad,ˈsæləd
vegetable,ˈvɛdʒtəbəl
syrup,ˈsɪɹəp
yogurt,ˈjoʊɡəɹt
egg,ɛɡ
meat,miːt
beef,biːf
pork,pɔːɹk
lamb,læm
mutton,ˈmʌtən
venison,ˈvɛnɪsən
shellfish,ˈʃɛlfɪʃ
drink,dɹɪŋk
juice,dʒuːs
tea,tiː
coffee,ˈkɔːfi
cocoa,ˈkoʊkoʊ
wine,waɪn
beer,bɪɹ
ale,eɪl
cider,ˈsaɪdəɹ
vinegar,ˈvɪnɪɡəɹ
term,tɜːɹm
title,ˈtaɪtəl
speech,spiːtʃ
noise,nɔɪz
tone,toʊn
chant,tʃænt
cry,kɹaɪ
call,kɔːl
shout,ʃaʊt
whisper,ˈwɪspəɹ
echo,ˈɛkoʊ
language,ˈlæŋɡwɪdʒ
dialect,ˈdaɪəlɛkt
script,skɹɪpt
letter,ˈlɛtəɹ
glyph,ɡlɪf
symbol,ˈsɪmbəl
sign,saɪn
mark,mɑːɹk
text,tɛkst
page,peɪdʒ
scroll,skɹoʊl
record,ˈɹɛkɔːɹd
story,ˈstɔːɹi
myth,mɪθ
legend,ˈlɛdʒənd
law,lɔː
doctrine,ˈdɑːktɹɪn
theory,ˈθɪɹi
formula,ˈfɔːɹmjələ
proof,pɹuːf
poem,ˈpoʊəm
riddle,ˈɹɪdəl
message,ˈmɛsɪdʒ
signal,ˈsɪɡnəl
image,ˈɪmɪdʒ
picture,ˈpɪktʃəɹ
drawing,ˈdɹɔːɪŋ
painting,ˈpeɪntɪŋ
map,mæp
diagram,ˈdaɪəɡɹæm
measure,ˈmɛʒəɹ
memory,ˈmɛmɚi
history,ˈhɪstəɹi
custom,ˈkʌstəm
