bacos,bathhouse,ˈbæθhaʊs
boruc,breath,bɹɛθ
boruk,brick,bɹɪk
boruz,bruise,bɹuːz
botar,butter,ˈbʌtəɹ
bozol,basil,ˈbæzəl
bugab,bog,bɔːɡ
buget,brewery,ˈbɹuːəɹi
bujet,butte,bjuːt
bulik,broccoli,ˈbɹɑːkəli
bunal,badland,ˈbædlænd
busik,basket,ˈbæskɪt
busol,basalt,bəˈsɔːlt
buson,bison,ˈbaɪsən
butan,boot,buːt
butet,boat,boʊt
canor,thunder,ˈθʌndəɹ
caren,thigh,θaɪ
casit,thursday,ˈθɜːɹzdeɪ
cemit,thumb,θʌm
ciraq,theory,ˈθɪɹi
cirot,thread,θɹɛd
curit,throat,θɹoʊt
dacet,death,dɛθ
dafin,dolphin,ˈdɑːlfɪn
dajol,jungle,ˈdʒʌŋɡəl
dakik,duck,dʌk
dakin,doctrine,ˈdɑːktɹɪn
dakus,darkness,ˈdɑːɹknəs
damit,dam,dæm
danen,dune,duːn
danot,joint,dʒɔɪnt
dapic,depth,dɛpθ
daraq,drawer,drɔːɹ
darat,drought,dɹaʊt
dayaq,dew,djuː
dazor,jar,dʒɑːɹ
dazut,desert,ˈdɛzəɹt
degem,diagram,ˈdaɪəɡɹæm
dejam,gemini,ˈdʒɛmɪnaɪ
dejat,jacket,ˈdʒækɪt
dejim,gem,dʒɛm
dejon,genome,ˈdʒiːnoʊm
delik,donkey,ˈdɑːŋki
delud,dye,daɪ
deraq,deer,dɪɹ
derit,door,dɔːɹ
derok,drink,dɹɪŋk
derol,drill,dɹɪl
desig,desk,dɛsk
dexaq,dish,dɪʃ
dibem,december,dɪˈsɛmbəɹ
difas,device,dɪˈvaɪs
direm,dream,dɹiːm
direz,drizzle,ˈdɹɪzəl
diris,dress,dɹɛs
ditaf,distaff,ˈdɪstæf
dodim,diadem,ˈdaɪədɛm
dogag,dog,dɔːɡ
dolut,delta,ˈdɛltə
dorin,drone,dɹoʊn
doset,dust,dʌst
dosuk,dusk,dʌsk
doxaf,giraffe,dʒəˈɹæf
doyar,january,ˈdʒænjuˌɛɹi
dujan,june,dʒuːn
dujaq,jaw,dʒɔː
dujol,july,dʒʊˈlaɪ
dukas,juice,dʒuːs
dukit,dialect,ˈdaɪəlɛkt
dunaq,dawn,dɔːn
duraq,drawing,ˈdɹɔːɪŋ
dusol,diesel,ˈdiːzəl
dutep,jupiter,ˈdʒuːpɪtəɹ
fahun,forehead,ˈfɔːɹhɛd
fakan,falcon,ˈfɔːlkən
faket,factory,ˈfæktəɹi
fakis,fox,fɑːks
famut,foam,foʊm
fanor,father,ˈfɑːðəɹ
farek,fork,fɔːɹk
fayat,field,fiːld
fegit,face,feɪs
felar,floor,flɔːɹ
felat,flint,flɪnt
felim,flame,fleɪm
felor,feldspar,ˈfɛldspɑːɹ
feraz,freezer,ˈfriːzəɹ
ferik,fabric,ˈfæbɹɪk
fetas,fetus,ˈfiːtəs
feten,fat,fæt
fewit,felt,fɛlt
fidar,fever,ˈfiːvəɹ
fidat,fort,fɔːɹt
fidej,fridge,fɹɪdʒ
finis,fence,fɛns
finut,fen,fɛn
firan,fern,fɜːɹn
firaq,fur,fɜːɹ
firet,friday,ˈfɹaɪdeɪ
fixaq,fish,fɪʃ
fobot,firmament,ˈfɜːɹməmənt
fodaj,forge,fɔːɹdʒ
fogaq,fog,fɔːɡ
foget,forest,ˈfɔːɹəst
fogor,finger,ˈfɪŋɡəɹ
folaq,fly,flaɪ
folif,file,faɪl
folin,flood,flʌd
folom,formula,ˈfɔːɹmjələ
folur,flower,ˈflaʊəɹ
forag,frog,fɹɔːɡ
fores,frost,fɹɔːst
forit,fire,faɪəɹ
fosat,faucet,ˈfɔːsɪt
fosor,phosphor,ˈfɑːsfɔːɹ
fupor,fiber,ˈfaɪbəɹ
furas,fortress,ˈfɔːɹtɹəs
furet,fruit,fɹuːt
futan,photon,ˈfoʊtɒn
futaq,food,fuːd
futet,foot,fʊt
fuwid,whirlwind,ˈwɜːɹlwɪnd
fuyar,february,ˈfɛbjuˌɛɹi
fuyat,fjord,fjɔːɹd
galat,gold,ɡoʊld
gales,galaxy,ˈɡæləksi
galof,gulf,ɡʌlf
galor,glacier,ˈɡleɪʃəɹ
gamom,gum,ɡʌm
ganit,granite,ˈɡɹænɪt
gejur,geyser,ˈɡaɪzəɹ
gelit,gale,ɡeɪl
geloz,goggles,ˈɡɑːɡəlz
geral,gorilla,ɡəˈɹɪlə
gerap,grape,ɡɹeɪp
gerav,greave,ɡɹiːv
gerin,grain,ɡɹeɪn
gerud,ground,ɡɹaʊnd
gerus,grass,ɡɹæs
getig,gate,ɡeɪt
gidej,gauge,ɡeɪdʒ
gihuz,greenhouse,ˈɡɹiːnhaʊs
gilef,glyph,ɡlɪf
gisit,gust,ɡʌst
godaj,gorge,ɡɔːɹdʒ
godon,garden,ˈɡɑːɹdən
golak,garlic,ˈɡɑːɹlɪk
goles,glass,ɡlæs
golev,glove,ɡlʌv
golin,gasoline,ˈɡæsəliːn
golog,glow,ɡloʊ
goraq,gear,ɡɪɹ
goros,grease,ɡɹiːs
gorut,grotto,ˈɡɹɑːtoʊ
gosag,goose,ɡuːs
gosig,gas,ɡæs
gulan,gluon,ˈɡluːɒn
gulaq,glue,ɡluː
gumit,garment,ˈɡɑːɹmənt
guten,goat,ɡoʊt
guvol,gravel,ˈɡɹævəl
habur,harbor,ˈhɑːɹbəɹ
hacog,iceberg,ˈaɪsbɜːɹɡ
hacut,ice,aɪs
hajan,ocean,ˈoʊʃən
hajaq,itch,ɪtʃ
hajet,ash,æʃ
hakaq,hawk,hɔːk
hakas,axe,æks
hakit,oak,oʊk
hakok,hook,hʊk
hakol,ankle,ˈæŋkəl
hakon,echo,ˈɛkoʊ
hakul,axle,ˈæksəl
hanal,inn,ɪn
hanij,range,ɹeɪndʒ
hapat,ant,ænt
hapin,ape,eɪp
hares,horse,hɔːɹs
harin,iron,ˈaɪəɹn
harus,iris,ˈaɪɹɪs
hatap,outcrop,ˈaʊtkɹɑːp
hatik,attic,ˈætɪk
hatin,oat,oʊt
hatom,autumn,ˈɔːtəm
haton,hat,hæt
haven,anvil,ˈænvɪl
havun,oven,ˈʌvən
hedaq,head,hɛd
hedat,hide,haɪd
hedez,adze,ædz
hedij,engine,ˈɛndʒɪn
hedin,eddy,ˈɛdi
hedoj,hedgehog,ˈhɛdʒhɔːɡ
hedol,headland,ˈhɛdlænd
hedon,hut,hʌt
hefax,estuary,ˈɛstʃuˌɛɹi
hefix,ostrich,ˈɑːstɹɪtʃ
hegal,eagle,ˈiːɡəl
hegas,august,ˈɔːɡəst
hegin,egg,ɛɡ
helab,elbow,ˈɛlboʊ
helan,awl,ɔːl
helaq,hill,hɪl
helej,algae,ˈældʒiː
helet,heel,hiːl
heluk,elk,ɛlk
helun,owl,aʊl
hemaj,image,ˈɪmɪdʒ
hemor,ember,ˈɛmbəɹ
hemur,armor,ˈɑːɹməɹ
heraz,aries,ˈɛəɹiːz
hewit,islet,ˈaɪlɪt
heyan,ale,eɪl
heyaq,hail,heɪl
hicaq,heath,hiːθ
hicot,house,haʊs
hifet,history,ˈhɪstəɹi
hifun,avenue,ˈævəˌnuː
hikes,eclipse,ɪˈklɪps
hikor,october,ɒkˈtoʊbəɹ
himat,inlet,ˈɪnlɛt
hinik,ink,ɪŋk
hipaq,hip,hɪp
hiraq,hair,hɛɹ
hirol,april,ˈeɪpɹəl
hirut,heart,hɑːɹt
hitaj,hinge,hɪndʒ
hital,hospital,ˈhɑːspɪtəl
hitol,atoll,ˈætɔːl
hiwit,hatchet,ˈhætʃɪt
hizem,isthmus,ˈɪsməs
hizov,reservoir,ˈɹɛzəɹˌvwɑːɹ
hocol,earthglobe,ˈɜːɹθɡloʊb
hofar,river,ˈɹɪvəɹ
hofes,offspring,ˈɔːfsprɪŋ
holaq,oil,ɔɪl
holat,island,ˈaɪlənd
holes,horsefly,ˈhɔːɹsflaɪ
holim,aluminum,əˈluːmɪnəm
holin,eye,aɪ
holon,alloy,ˈælɔɪ
holur,hanger,ˈhæŋəɹ
homaq,honey,ˈhʌni
homit,home,hoʊm
homur,hammer,ˈhæməɹ
honen,hand,hænd
honot,onion,ˈʌnjən
hopaq,hippo,ˈhɪpoʊ
hopol,apple,ˈæpəl
horin,hoe,hoʊ
hotar,router,ˈɹaʊtəɹ
hotas,outpost,ˈaʊtpoʊst
hotor,otter,ˈɑːtəɹ
hoyaq,hall,hɔːl
hoyat,helmet,ˈhɛlmɪt
hozaq,haze,heɪz
hozaz,hose,hoʊz
hozet,oasis,oʊˈeɪsɪs
hubar,rubber,ˈɹʌbəɹ
hudan,heat,hiːt
hudij,orange,ˈɔːɹɪndʒ
hudis,acid,ˈæsɪd
hugen,hurricane,ˈhɜːɹɪˌkeɪn
hugot,hood,hʊd
huvan,heaven,ˈhɛvən
huyan,hue,hjuː
kabij,cabbage,ˈkæbɪdʒ
kadas,cactus,ˈkæktəs
kadij,cartilage,ˈkɑːɹtəlɪdʒ
kadoj,cage,keɪdʒ
kadol,kettle,ˈkɛtəl
kadul,candle,ˈkændəl
kagit,cart,kɑːɹt
kaled,cord,kɔːɹd
kalij,college,ˈkɑːlɪdʒ
kalik,cloak,kloʊk
kalug,kangaroo,ˌkæŋɡəˈɹuː
kanur,cancer,ˈkænsəɹ
kapen,cabin,ˈkæbɪn
kapip,cape,keɪp
kapot,carpet,ˈkɑːɹpɪt
kapun,capricorn,ˈkæprɪˌkɔːɹn
kasor,cluster,ˈklʌstəɹ
kasut,crest,kɹɛst
katen,cat,kæt
katum,custom,ˈkʌstəm
katun,coat,koʊt
kavak,cave,keɪv
kavan,cavern,ˈkævəɹn
kavaq,cove,koʊv
kavoz,canvas,ˈkænvəs
kawit,aqueduct,ˈækwɪˌdʌkt
kayan,canyon,ˈkænjən
kebet,cap,kæp
kebun,carbon,ˈkɑːɹbən
kedan,kidney,ˈkɪdni
kefak,cough,kɔːf
kefaq,coffee,ˈkɔːfi
kelip,clamp,klæmp
kelot,clay,kleɪ
kemol,camel,ˈkæməl
kenek,key,kiː
kenig,cow,kaʊ
kerag,creek,kɹiːk
keraq,car,kɑːɹ
keren,crown,kɹaʊn
kerit,concrete,ˈkɑːnkɹiːt
kerok,cry,kɹaɪ
kerom,chromium,ˈkɹoʊmiəm
kerul,corral,kəˈɹæl
ketor,crater,ˈkɹeɪtəɹ
ketos,octopus,ˈɑːktəpəs
kexon,kitchen,ˈkɪtʃən
kikes,aquarius,əˈkwɛəɹiəs
kikut,cake,keɪk
kilad,caldera,kælˈdɛɹə
kilaf,cliff,klɪf
kilaq,koala,koʊˈɑːlə
kilek,clock,klɑːk
kilig,clinic,ˈklɪnɪk
kimam,cream,kɹiːm
kimup,camp,kæmp
kinal,canal,kəˈnæl
kipor,copper,ˈkɑːpəɹ
kipus,compass,ˈkʌmpəs
kitun,cotton,ˈkɑːtən
kocek,cascade,kæˈskeɪd
kofut,calf,kæf
kokin,coke,koʊk
kokol,capital,ˈkæpɪtəl
kokon,cocoa,ˈkoʊkoʊ
kolaq,coal,koʊl
kolat,carrot,ˈkæɹət
kolic,cloth,klɔːθ
kolon,coastline,ˈkoʊstlaɪn
komit,comet,ˈkɑːmət
konot,current,ˈkɜːɹənt
kopaq,cup,kʌp
kopas,corpse,kɔːɹps
kopol,cobble,ˈkɑːbəl
kopul,cable,ˈkeɪbəl
korak,crow,kɹoʊ
korib,crab,kɹæb
korin,corn,kɔːɹn
korod,crate,kɹeɪt
kotas,crystal,ˈkɹɪstəl
kowik,quark,kwɔːɹk
koyad,courtyard,ˈkɔːɹtjɑːɹd
kozan,cousin,ˈkʌzən
kozet,coast,koʊst
kozol,castle,ˈkæsəl
kubip,coop,kuːp
kubot,cabinet,ˈkæbɪnət
kudan,curtain,ˈkɜːɹtən
kudib,cardboard,ˈkɑːɹdbɔːɹd
kulak,call,kɔːl
kulin,colon,ˈkoʊlən
kulod,cloud,klaʊd
kumor,camera,ˈkæmɹə
kusen,kerosene,ˈkɛɹəˌsiːn
kusot,case,keɪs
kuwiz,quartz,kwɔːɹts
ladaj,language,ˈlæŋɡwɪdʒ
ladal,ladle,ˈleɪdəl
laduj,ledge,lɛdʒ
ladut,lead,lɛd
lagan,lagoon,ləˈɡuːn
lagog,leg,lɛɡ
lagol,alcohol,ˈælkəhɔːl
lapar,libra,ˈliːbɹə
lapor,lobster,ˈlɑːbstəɹ
lasit,land,lænd
lason,limestone,ˈlaɪmstoʊn
lavot,elephant,ˈɛləfənt
leCor,leather,ˈlɛðəɹ
lemat,ligament,ˈlɪɡəmənt
lemef,lymph,lɪmf
lemim,lime,laɪm
lemon,lemon,ˈlɛmən
lenaq,linen,ˈlɪnən
lenin,lane,leɪn
lenoj,legend,ˈlɛdʒənd
lenon,lion,ˈlaɪən
lenor,lavender,ˈlævəndəɹ
lenoz,lens,lɛnz
lerib,library,ˈlaɪbɹɛɹi
lerul,leo,ˈliːoʊ
lifar,liver,ˈlɪvəɹ
lifor,lever,ˈlɛvəɹ
likek,lake,leɪk
liken,electron,ɪˈlɛktɹɒn
likis,latex,ˈleɪtɛks
lipal,lip,lɪp
litaq,light,laɪt
litis,lettuce,ˈlɛtɪs
litol,lentil,ˈlɛntəl
liwit,liquid,ˈlɪkwɪd
lizat,lizard,ˈlɪzəɹd
lofaq,leaf,liːf
lofit,loaf,loʊf
lomam,loom,luːm
lomep,lamp,læmp
lomum,lamb,læm
lomut,llama,ˈlɑːmə
lotar,letter,ˈlɛtəɹ
loten,lightning,ˈlaɪtnɪŋ
lotor,ladder,ˈlædəɹ
lotun,lantern,ˈlæntəɹn
lunal,law,lɔː
lunan,lung,lʌŋ
mabut,mount,maʊnt
macaq,mouth,maʊθ
macor,mother,ˈmʌðəɹ
mafon,microphone,ˈmaɪkɹəˌfoʊn
malot,monument,ˈmɑːnjəmənt
manan,moon,muːn
manet,mountain,ˈmaʊntən
manog,mango,ˈmæŋɡoʊ
manum,mound,maʊnd
manun,mind,maɪnd
mapaq,mop,mɑːp
mapur,embryo,ˈɛmbɹioʊ
matal,metal,ˈmɛtəl
matol,material,məˈtɪɹiəl
matos,mosquito,məˈskiːtoʊ
mazat,mist,mɪst
mejor,measure,ˈmɛʒəɹ
mekaq,mica,ˈmaɪkə
mekat,market,ˈmɑːɹkɪt
mekor,meteor,ˈmiːtiəɹ
melan,melon,ˈmɛlən
meluk,milk,mɪlk
melum,may,meɪ
menar,manor,ˈmænəɹ
meraq,mirror,ˈmɪɹəɹ
merax,marsh,mɑːɹʃ
merem,memory,ˈmɛmɚi
merix,march,mɑːɹtʃ
merov,mangrove,ˈmæŋɡɹoʊv
mesol,muscle,ˈmʌsəl
metak,mattock,ˈmætək
metan,meat,miːt
miCaq,myth,mɪθ
midam,medium,ˈmiːdiəm
midat,midnight,ˈmɪdnaɪt
midij,message,ˈmɛsɪdʒ
midon,mitten,ˈmɪtən
milam,meal,miːl
milaq,mill,mɪl
mimar,meter,ˈmiːtəɹ
miset,mint,mɪnt
misuk,mosque,mɑːsk
misum,mouse,maʊs
mobol,marble,ˈmɑːɹbəl
modaq,mud,mʌd
moden,monday,ˈmʌndeɪ
modor,matter,ˈmætəɹ
modot,meadow,ˈmɛdoʊ
modur,mortar,ˈmɔːɹtəɹ
molit,mallet,ˈmælɪt
mopet,map,mæp
morik,mark,mɑːɹk
morim,moor,mʊɹ
moriz,mars,mɑːɹz
mosak,mask,mæsk
mosam,moose,muːs
mosaq,mesa,ˈmeɪsə
moses,moss,mɔːs
mosin,monastery,ˈmɑːnəˌstɛɹi
mosur,motor,ˈmoʊtəɹ
moxan,machine,məˈʃiːn
mukik,muck,mʌk
mukin,mercury,ˈmɜːɹkjəɹi
mulik,monkey,ˈmʌŋki
munal,mineral,ˈmɪnəɹəl
mupal,maple,ˈmeɪpəl
mutan,mutton,ˈmʌtən
nadol,needle,ˈniːdəl
nadul,noodle,ˈnuːdəl
nalab,nebula,ˈnɛbjələ
nanaq,noon,nuːn
nasor,nostril,ˈnɑːstɹəl
natin,nut,nʌt
naton,antenna,ænˈtɛnə
nelan,knee,niː
neles,necklace,ˈnɛkləs
nelin,nail,neɪl
nemal,enamel,ɪˈnæməl
netaq,net,nɛt
netes,intestine,ɪnˈtɛstɪn
nikit,neck,nɛk
nikol,nickel,ˈnɪkəl
nilon,nylon,ˈnaɪlɑːn
nimot,name,neɪm
nival,navel,ˈneɪvəl
nofit,knife,naɪf
nokal,knuckle,ˈnʌkəl
nolaq,knoll,noʊl
noriv,nerve,nɜːɹv
notar,neutron,ˈnuːtɹɒn
notor,neutrino,nuːˈtɹiːnoʊ
nozaq,nose,noʊz
nozin,noise,nɔɪz
numev,november,noʊˈvɛmbəɹ
pacaq,path,pæθ
pakar,picture,ˈpɪktʃəɹ
pakas,pickaxe,ˈpɪkæks
paken,pumpkin,ˈpʌmpkɪn
pakip,pike,paɪk
palap,pillow,ˈpɪloʊ
paled,plateau,plæˈtoʊ
palik,plastic,ˈplæstɪk
palim,polymer,ˈpɑːlɪməɹ
palom,platinum,ˈplætɪnəm
palon,peninsula,pəˈnɪnsjələ
paloz,plasma,ˈplæzmə
pamop,pump,pʌmp
pamum,palm,pɑːm
panaq,pine,paɪn
panas,pants,pænts
papor,paper,ˈpeɪpəɹ
papur,pepper,ˈpɛpəɹ
paten,potato,pəˈteɪtoʊ
patit,pot,pɑːt
pawit,plant,plænt
payal,pupil,ˈpjuːpəl
pebul,pebble,ˈpɛbəl
peduj,page,peɪdʒ
pegan,penguin,ˈpɛŋɡwɪn
pegaq,peak,piːk
peget,pig,pɪɡ
pegig,peg,pɛɡ
pelar,pillar,ˈpɪləɹ
pelen,plane,pleɪn
pelip,plow,plaʊ
pelis,palace,ˈpælɪs
pelot,palate,ˈpælət
pelun,plain,pleɪn
peput,paint,peɪnt
peraq,pear,pɛɹ
perax,porch,pɔːɹtʃ
perit,port,pɔːɹt
pesal,pencil,ˈpɛnsəl
pesat,paste,peɪst
pexaq,peach,piːtʃ
pexup,pitch,pɪtʃ
pexur,pasture,ˈpæstʃəɹ
pilad,plate,pleɪt
pilaq,pulley,ˈpʊli
pilop,pea,piː
pimet,pain,peɪn
pinep,pan,pæn
pinid,pond,pɑːnd
pinut,parent,ˈpɛɹənt
pitaq,painting,ˈpeɪntɪŋ
pites,pastry,ˈpeɪstɹi
piyat,planet,ˈplænɪt
pizin,prison,ˈpɹɪzən
podot,pendant,ˈpɛndənt
polat,parrot,ˈpæɹət
poles,pulse,pʌls
polim,plum,plʌm
polin,porcelain,ˈpɔːɹsəlɪn
polur,plaster,ˈplæstəɹ
pomaq,poem,ˈpoʊəm
pomas,pumice,ˈpʌmɪs
ponap,pin,pɪn
poned,panda,ˈpændə
ponon,pen,pɛn
porak,pork,pɔːɹk
porib,pie,paɪ
porif,proof,pɹuːf
porin,protein,ˈpɹoʊtiːn
porod,bird,bɜːɹd
porup,prairie,ˈpɹɛɹi
poxut,parchment,ˈpɑːɹtʃmənt
pozez,pisces,ˈpaɪsiːz
pudar,powder,ˈpaʊdəɹ
pudij,porridge,ˈpɔːɹɪdʒ
pugot,pigment,ˈpɪɡmənt
pulep,pool,puːl
pupin,pipe,paɪp
pusot,pasta,ˈpɑːstə
puten,proton,ˈpɹoʊtɒn
putip,pottery,ˈpɑːtəɹi
rageg,rug,rʌɡ
rajet,rash,ɹæʃ
rapaq,rope,ɹoʊp
rapur,robe,roʊb
raten,root,ruːt
ratit,rat,ræt
ratol,riddle,ˈɹɪdəl
rebaq,herb,ɜːɹb
rebol,ripple,ˈɹɪpəl
rebot,rabbit,ˈɹæbɪt
rebub,rib,ɹɪb
redej,ridge,ɹɪdʒ
relaq,relay,ˈɹiːleɪ
relor,ore,ɔːɹ
relur,rye,raɪ
renen,rain,ɹeɪn
renit,rhino,ˈɹaɪnoʊ
resaq,rice,raɪs
resat,wrist,ɹɪst
ricat,earth,ɜːɹθ
rifaq,roof,ɹuːf
rifen,ravine,ɹəˈviːn
rifit,reef,ɹiːf
rifon,raven,ˈɹeɪvən
rikaq,rock,ɹɑːk
riket,rake,ɹeɪk
rimam,room,ɹuːm
rimum,rime,ɹaɪm
rimut,orbit,ˈɔːɹbɪt
ritar,artery,ˈɑːɹtəɹi
riten,retina,ˈɹɛtɪnə
rizap,rasp,ɹæsp
rizon,resin,ˈɹɛzɪn
rokut,record,ˈɹɛkɔːɹd
rokuv,archive,ˈɑːɹkaɪv
rolur,arrow,ˈæɹoʊ
romaq,arm,ɑːɹm
ronar,ear,ɪɹ
ronat,ring,ɹɪŋ
roxar,arch,ɑːɹtʃ
rozim,rosemary,ˈroʊzˌmɛɹi
rubod,robot,ˈɹoʊbɑːt
rudor,road,ɹoʊd
ruxat,orchard,ˈɔːɹtʃəɹd
sagan,synagogue,ˈsɪnəɡɑːɡ
sagar,speaker,ˈspiːkəɹ
saget,sunset,ˈsʌnsɛt
sagor,spider,ˈspaɪdəɹ
salaj,sludge,slʌdʒ
salek,silk,sɪlk
salem,slime,slaɪm
salen,salad,ˈsæləd
salun,cyclone,ˈsaɪkloʊn
saluv,solvent,ˈsɑːlvənt
sapan,spoon,spuːn
sapaq,spring,spɹɪŋ
sapas,spice,spaɪs
sapax,speech,spiːtʃ
sapep,sap,sæp
sapig,spark,spɑːɹk
sapoj,sponge,spʌndʒ
sapor,star,stɑːɹ
sapur,spire,ˈspaɪəɹ
saput,soap,soʊp
satak,stomach,ˈstʌmək
satal,school,skuːl
satam,steam,stiːm
satan,skeleton,ˈskɛlətən
satas,storehouse,ˈstɔːɹhaʊs
satax,starch,stɑːɹtʃ
satef,stuff,stʌf
satin,soot,sʊt
satis,substance,ˈsʌbstəns
sativ,stove,stoʊv
satol,sandal,ˈsændəl
satup,strap,stɹæp
sebaq,scythe,saɪð
sebat,september,sɛpˈtɛmbəɹ
sebin,sandbar,ˈsændbɑːɹ
sebis,space,speɪs
sebol,stable,ˈsteɪbəl
sebul,symbol,ˈsɪmbəl
sedar,cider,ˈsaɪdəɹ
sedim,stem,stɛm
sedin,stone,stoʊn
sedon,saturn,ˈsætəɹn
sedor,cedar,ˈsiːdəɹ
sedos,sagittarius,ˌsædʒɪˈtɛəɹiəs
seduj,sage,seɪdʒ
selaq,seal,siːl
selor,cellar,ˈsɛləɹ
selur,slipper,ˈslɪpəɹ
selut,sole,soʊl
senak,snake,sneɪk
senal,smell,smɛl
senan,sign,saɪn
senas,sea,siː
senax,spinach,ˈspɪnɪtʃ
senin,sand,sænd
senis,snow,snoʊ
senol,swell,swɛl
seran,sword,sɔːɹd
seref,surf,sɜːɹf
seret,strait,stɹeɪt
sesen,season,ˈsiːzən
sewit,spade,speɪd
sifar,spear,spɪɹ
sifet,saturate,ˈsætʃəˌɹeɪt
sifor,silver,ˈsɪlvəɹ
sikaq,sky,skaɪ
sikat,script,skɹɪpt
sikin,skin,skɪn
sikol,sickle,ˈsɪkəl
sikon,screen,skɹiːn
sikuf,scarf,skɑːɹf
sikul,scale,skeɪl
silep,sleep,sliːp
silut,silt,sɪlt
simar,story,ˈstɔːɹi
simik,smoke,smoʊk
simor,sensor,ˈsɛnsəɹ
sitak,sink,sɪŋk
sital,steel,stiːl
sitam,stream,stɹiːm
sitan,string,stɹɪŋ
sitas,seed,siːd
sitax,station,ˈsteɪʃən
sitin,city,ˈsɪti
sitol,sinkhole,ˈsɪŋkhoʊl
situp,steppe,stɛp
siwit,sleet,sliːt
siwix,switch,swɪtʃ
sofaq,sofa,ˈsoʊfə
sofen,savanna,səˈvænə
sofit,cement,səˈmɛnt
sofor,sulfur,ˈsʌlfəɹ
sofur,server,ˈsɜːɹvəɹ
sokab,scorpio,ˈskɔːɹpiˌoʊ
sokar,scar,skɑːɹ
soket,skirt,skɜːɹt
sokor,stair,stɛɹ
sokuk,sock,sɑːk
solad,saturday,ˈsætəɹdeɪ
solaq,soil,sɔɪl
solop,slope,sloʊp
soman,sun,sʌn
somaq,summer,ˈsʌməɹ
somep,swamp,swɑːmp
somig,ceramic,səˈɹæmɪk
somor,snare,snɛɹ
somur,strand,stɹænd
somut,sound,saʊnd
sonak,skunk,skʌŋk
sonal,skull,skʌl
sonan,song,sɔːŋ
sonas,saw,sɔː
sonin,sunday,ˈsʌndeɪ
sonis,soy,sɔɪ
sonol,signal,ˈsɪɡnəl
soral,squall,skwɔːl
soraz,sunrise,ˈsʌnɹaɪz
sorip,syrup,ˈsɪɹəp
sorol,scroll,skɹoʊl
sorot,street,stɹiːt
subaq,soup,suːp
suben,spine,spaɪn
subit,summit,ˈsʌmɪt
subor,spray,spɹeɪ
sudam,storm,stɔːɹm
sudan,sandstone,ˈsændstoʊn
sudaq,stew,stuː
sudor,sister,ˈsɪstəɹ
sugit,circuit,ˈsɜːɹkɪt
sugor,screw,skɹuː
sulaq,ceiling,ˈsiːlɪŋ
susaq,sauce,sɔːs
susit,asteroid,ˈæstəɹɔɪd
tabaq,tube,tuːb
tabol,tunnel,ˈtʌnəl
tabul,table,ˈteɪbəl
takur,tiger,ˈtaɪɡəɹ
taral,trowel,ˈtɹaʊəl
taras,taurus,ˈtɔːɹəs
tared,tuesday,ˈtuːzdeɪ
tarik,truck,tɹʌk
tarin,tower,ˈtaʊəɹ
tarol,trail,tɹeɪl
tarom,term,tɜːɹm
tasol,textile,ˈtɛkstaɪl
tavan,tavern,ˈtævəɹn
tedan,tendon,ˈtɛndən
tedun,tide,taɪd
telaq,towel,ˈtaʊəl
telit,tile,taɪl
terax,torch,tɔːɹtʃ
