cluster,difficulty,simplified,simplified_difficulty,changed,source,candidate_count
px,3,px,3,false,end,0
ks,0,ks,0,false,end,0
kx,2,kx,2,false,end,0
bz,1,bz,1,false,end,0
gz,0,gz,0,false,end,0
ts,0,ts,0,false,end,0
dj,0,dj,0,false,end,0
dz,0,dz,0,false,end,0
sk,0,sk,0,false,end,0
sp,0,sp,0,false,end,0
st,0,st,0,false,end,0
xt,2,xt,2,false,end,0
bzbl,11,bl,0,true,end+start,7
bzbr,11,br,0,true,end+start,7
bzdr,10,zd,0,true,end+start,10
bzfl,13,bv,0,true,end+start,10
bzfr,13,br,0,true,end+start,10
bzgl,10,zg,0,true,end+start,10
bzgr,10,br,0,true,end+start,10
bzkl,10,bl,0,true,end+start,10
bzkr,10,br,0,true,end+start,10
bzkw,99,zg,0,true,end+start,4
bzpl,11,zb,0,true,end+start,9
bzpr,11,br,0,true,end+start,9
bzsk,14,sk,0,true,end+start,8
bzskl,12,bl,0,true,end+start,17
bzskr,12,br,0,true,end+start,17
bzskw,99,sk,0,true,end+start,8
bzsl,13,bl,0,true,end+start,8
bzsm,12,bm,0,true,end+start,8
bzsn,14,bn,0,true,end+start,8
bzsp,14,sp,0,true,end+start,8
bzspl,12,bl,0,true,end+start,16
bzspr,12,br,0,true,end+start,16
bzst,14,st,0,true,end+start,8
bzstr,12,br,0,true,end+start,17
bzsw,99,bz,1,true,end+start,3
bztr,10,br,0,true,end+start,10
bztw,99,zd,0,true,end+start,4
bztx,12,tx,0,true,end+start,10
bzvr,13,bv,0,true,end+start,10
djbl,11,dl,0,true,end+start,10
djbr,11,br,0,true,end+start,10
djdr,12,dr,0,true,end+start,7
djfl,12,dl,0,true,end+start,10
djfr,12,fr,0,true,end+start,10
djgl,10,gl,0,true,end+start,10
djgr,10,gr,0,true,end+start,10
djkl,10,dl,0,true,end+start,10
djkr,10,dr,0,true,end+start,10
djkw,99,dj,0,true,end+start,4
djpl,11,dl,0,true,end+start,10
djpr,11,dr,0,true,end+start,10
djsk,16,sk,0,true,end+start,10
djskl,14,dl,0,true,end+start,20
djskr,14,dr,0,true,end+start,20
djskw,99,dj,0,true,end+start,10
djsl,15,sl,1,true,end+start,10
djsm,14,dm,0,true,end+start,10
djsn,16,dn,0,true,end+start,10
djsp,16,dj,0,true,end+start,10
djspl,14,sp,0,true,end+start,20
djspr,14,dr,0,true,end+start,20
djst,16,st,0,true,end+start,10
djstr,14,dr,0,true,end+start,19
djsw,99,dz,0,true,end+start,4
djtr,12,tr,0,true,end+start,9
djtw,99,dj,0,true,end+start,4
djtx,14,tx,0,true,end+start,8
djvr,12,vr,0,true,end+start,10
dzbl,7,dl,0,true,end+start,10
dzbr,7,zb,0,true,end+start,10
dzdr,7,dr,0,true,end+start,7
dzfl,9,dz,0,true,end+start,10
dzfr,9,fr,0,true,end+start,10
dzgl,7,zg,0,true,end+start,10
dzgr,7,dr,0,true,end+start,10
dzkl,7,dl,0,true,end+start,10
dzkr,7,dr,0,true,end+start,10
dzkw,99,dz,0,true,end+start,4
dzpl,7,dz,0,true,end+start,10
dzpr,7,dr,0,true,end+start,10
dzsk,11,sk,0,true,end+start,8
dzskl,9,dl,0,true,end+start,17
dzskr,9,dr,0,true,end+start,17
dzskw,99,dz,0,true,end+start,8
dzsl,10,dl,0,true,end+start,8
dzsm,9,dzm,2,true,end+start,8
dzsn,14,dn,0,true,end+start,8
dzsp,11,sp,0,true,end+start,8
dzspl,9,dl,0,true,end+start,17
dzspr,9,dr,0,true,end+start,17
dzst,14,st,0,true,end+start,8
dzstr,9,dr,0,true,end+start,16
dzsw,99,dz,0,true,end+start,3
dztr,7,dr,0,true,end+start,9
dztw,99,dz,0,true,end+start,4
dztx,9,tx,0,true,end+start,9
dzvr,9,dv,2,true,end+start,10
ftbl,11,fp,0,true,end+start,10
ftbr,11,fr,0,true,end+start,10
ftdr,10,fr,0,true,end+start,8
ftfl,9,fl,0,true,end+start,7
ftfr,9,ftr,2,true,end+start,7
ftgl,10,ft,0,true,end+start,10
ftgr,10,fr,0,true,end+start,10
ftkl,8,fl,0,true,end+start,10
ftkr,8,fr,0,true,end+start,10
ftkw,99,fk,1,true,end+start,4
ftpl,9,fp,0,true,end+start,10
ftpr,9,fr,0,true,end+start,10
ftr,2,ftr,2,false,end+start,3
ftsk,8,sk,0,true,end+start,10
ftskl,6,fl,0,true,end+start,20
ftskr,6,fr,0,true,end+start,20
ftskw,99,ft,0,true,end+start,10
ftsl,7,fl,0,true,end+start,10
ftsm,6,sm,0,true,end+start,9
ftsn,8,fn,0,true,end+start,9
ftsp,8,fp,0,true,end+start,10
ftspl,6,fl,0,true,end+start,20
ftspr,6,fr,0,true,end+start,20
ftst,8,ft,0,true,end+start,7
ftstr,6,fr,0,true,end+start,14
ftsw,99,ts,0,true,end+start,4
ftvr,11,tr,0,true,end+start,9
ftw,99,ft,0,true,end+start,1
ftx,4,fx,2,true,end+start,3
gzbl,9,gl,0,true,end+start,10
gzbr,9,zb,0,true,end+start,10
gzdr,9,zd,0,true,end+start,10
gzfl,11,gl,0,true,end+start,10
gzfr,11,gz,0,true,end+start,10
gzgl,9,gl,0,true,end+start,7
gzgr,9,gr,0,true,end+start,7
gzkl,9,gl,0,true,end+start,9
gzkr,9,gr,0,true,end+start,9
gzkw,99,gz,0,true,end+start,4
gzpl,9,gl,0,true,end+start,10
gzpr,9,gz,0,true,end+start,10
gzsk,13,sk,0,true,end+start,8
gzskl,11,gl,0,true,end+start,16
gzskr,11,gr,0,true,end+start,16
gzskw,99,gz,0,true,end+start,8
gzsl,12,gl,0,true,end+start,8
gzsm,11,gm,0,true,end+start,8
gzsn,13,gn,1,true,end+start,8
gzsp,13,sp,0,true,end+start,8
gzspl,11,gl,0,true,end+start,17
gzspr,11,gr,0,true,end+start,17
gzst,13,st,0,true,end+start,8
gzstr,11,gr,0,true,end+start,17
gzsw,99,gz,0,true,end+start,3
gztr,9,gr,0,true,end+start,10
gztw,99,gz,0,true,end+start,4
gztx,11,tx,0,true,end+start,10
gzvr,11,gz,0,true,end+start,10
ksbl,7,ks,0,true,end+start,10
ksbr,7,kr,0,true,end+start,10
ksdr,7,ks,0,true,end+start,10
ksfl,7,ks,0,true,end+start,10
ksfr,7,kr,0,true,end+start,10
ksgl,7,ks,0,true,end+start,9
ksgr,7,gr,0,true,end+start,9
ksk,6,sk,0,true,end+start,2
kskl,5,skl,2,true,end+start,7
kskr,5,skr,2,true,end+start,7
kskw,99,sk,0,true,end+start,3
ksl,3,kl,0,true,end+start,3
ksm,2,ksm,2,false,end+start,3
ksn,4,kn,1,true,end+start,3
ksp,4,kp,2,true,end+start,3
kspl,5,kl,0,true,end+start,10
kspr,5,kr,0,true,end+start,10
kst,4,st,0,true,end+start,3
kstr,5,kr,0,true,end+start,10
kstw,99,st,0,true,end+start,4
kstx,7,kx,2,true,end+start,10
ksvr,9,vr,0,true,end+start,10
ksw,99,ks,0,true,end+start,1
kxbl,12,xp,1,true,end+start,10
kxbr,12,kr,0,true,end+start,10
kxdr,13,kt,2,true,end+start,10
kxfl,11,xf,2,true,end+start,10
kxfr,11,kr,0,true,end+start,10
kxgl,11,gl,0,true,end+start,9
kxgr,11,gr,0,true,end+start,9
kxkl,9,kl,0,true,end+start,7
kxkr,9,kr,0,true,end+start,7
kxkw,99,xk,0,true,end+start,3
kxpl,10,kl,0,true,end+start,10
kxpr,10,kr,0,true,end+start,10
kxsk,17,xk,0,true,end+start,9
kxskl,13,kl,0,true,end+start,17
kxskr,13,kr,0,true,end+start,17
kxskw,99,ks,0,true,end+start,9
kxsl,14,kl,0,true,end+start,10
kxsm,13,km,0,true,end+start,10
kxsn,15,kn,1,true,end+start,10
kxsp,15,xp,1,true,end+start,10
kxspl,13,kl,0,true,end+start,20
kxspr,13,kr,0,true,end+start,20
kxst,15,st,0,true,end+start,10
kxstr,13,kr,0,true,end+start,20
kxsw,99,ks,0,true,end+start,4
kxtr,11,kr,0,true,end+start,10
kxtw,99,kt,2,true,end+start,4
kxtx,13,tx,0,true,end+start,7
kxvr,13,kr,0,true,end+start,10
lbdr,10,ld,0,true,end+start,10
lbfl,10,bl,0,true,end+start,9
lbfr,8,lf,0,true,end+start,10
lbgl,12,bl,0,true,end+start,9
lbgr,10,lg,1,true,end+start,10
lbkl,12,bl,0,true,end+start,9
lbkr,10,br,0,true,end+start,10
lbkw,99,lk,1,true,end+start,4
lbl,5,bl,0,true,end+start,2
lbpl,12,bl,0,true,end+start,7
lbpr,10,br,0,true,end+start,8
lbr,3,br,0,true,end+start,3
lbsk,9,sk,0,true,end+start,10
lbskl,11,bl,0,true,end+start,19
lbskr,9,br,0,true,end+start,20
lbskw,99,sk,0,true,end+start,10
lbsl,12,bl,0,true,end+start,9
lbsm,10,bm,0,true,end+start,9
lbsn,11,bn,0,true,end+start,9
lbsp,10,sp,0,true,end+start,9
lbspl,12,bl,0,true,end+start,17
lbspr,10,br,0,true,end+start,18
lbst,9,lt,0,true,end+start,10
lbstr,9,br,0,true,end+start,20
lbsw,99,ls,1,true,end+start,4
lbtr,10,br,0,true,end+start,10
lbtw,99,lt,0,true,end+start,4
lbtx,10,lx,0,true,end+start,10
lbvr,8,lv,0,true,end+start,10
lcbl,99,bl,0,true,end+start,3
lcbr,99,br,0,true,end+start,4
lcdr,99,ldr,2,true,end+start,4
lcfl,99,fl,0,true,end+start,3
lcfr,99,lfr,2,true,end+start,4
lcgl,99,gl,0,true,end+start,3
lcgr,99,gr,0,true,end+start,4
lckl,99,kl,0,true,end+start,3
lckr,99,kr,0,true,end+start,4
lckw,99,lk,1,true,end+start,1
lcpl,99,pl,0,true,end+start,3
lcpr,99,pr,0,true,end+start,4
lcsk,99,sk,0,true,end+start,4
lcskl,99,kl,0,true,end+start,9
lcskr,99,kr,0,true,end+start,10
lcskw,99,sk,0,true,end+start,4
lcsl,99,sl,1,true,end+start,3
lcsm,99,lm,0,true,end+start,4
lcsn,99,ln,2,true,end+start,4
lcsp,99,sp,0,true,end+start,4
lcspl,99,pl,0,true,end+start,9
lcspr,99,pr,0,true,end+start,10
lcst,99,lt,0,true,end+start,4
lcstr,99,tr,0,true,end+start,10
lcsw,99,ls,1,true,end+start,1
lctr,99,ltr,2,true,end+start,4
lctw,99,lt,0,true,end+start,1
lctx,99,ltx,2,true,end+start,4
lcvr,99,lvr,2,true,end+start,4
ldbl,11,dl,0,true,end+start,9
ldbr,9,lb,1,true,end+start,10
ldfl,11,dl,0,true,end+start,9
ldfr,9,lf,0,true,end+start,10
ldgl,11,dl,0,true,end+start,9
ldgr,9,lg,1,true,end+start,10
ldkl,11,dl,0,true,end+start,9
ldkr,9,dr,0,true,end+start,10
ldkw,99,lk,1,true,end+start,4
ldpl,11,dl,0,true,end+start,9
ldpr,9,dr,0,true,end+start,10
ldr,2,ldr,2,false,end+start,3
ldsk,7,sk,0,true,end+start,10
ldskl,9,dl,0,true,end+start,19
ldskr,7,dr,0,true,end+start,20
ldskw,99,ld,0,true,end+start,10
ldsl,10,dl,0,true,end+start,9
ldsm,7,dm,0,true,end+start,9
ldsn,9,dn,0,true,end+start,9
ldsp,7,lp,1,true,end+start,10
ldspl,9,dl,0,true,end+start,19
ldspr,7,dr,0,true,end+start,20
ldst,7,lt,0,true,end+start,9
ldstr,7,dr,0,true,end+start,18
ldsw,99,ls,1,true,end+start,4
ldtr,9,dr,0,true,end+start,8
ldtw,99,lt,0,true,end+start,3
ldtx,9,lx,0,true,end+start,8
ldvr,9,lv,0,true,end+start,10
lfbl,9,fl,0,true,end+start,9
lfbr,7,lb,1,true,end+start,10
lfdr,7,ld,0,true,end+start,10
lfgl,10,fl,0,true,end+start,9
lfgr,8,lg,1,true,end+start,10
lfkl,8,fl,0,true,end+start,9
lfkr,6,fr,0,true,end+start,10
lfkw,99,lk,1,true,end+start,4
lfl,4,fl,0,true,end+start,2
lfpl,7,fpl,2,true,end+start,9
lfpr,5,fr,0,true,end+start,10
lfr,2,lfr,2,false,end+start,3
lfsk,7,sk,0,true,end+start,10
lfskl,9,fl,0,true,end+start,19
lfskr,7,fr,0,true,end+start,20
lfskw,99,lf,0,true,end+start,10
lfsl,10,fl,0,true,end+start,9
lfsm,8,lm,0,true,end+start,10
lfsn,9,lfn,2,true,end+start,10
lfsp,8,lfp,2,true,end+start,10
lfspl,10,fl,0,true,end+start,19
lfspr,8,fr,0,true,end+start,20
lfst,7,lt,0,true,end+start,10
lfstr,7,fr,0,true,end+start,20
lfsw,99,ls,1,true,end+start,4
lftr,5,fr,0,true,end+start,10
lftw,99,lft,2,true,end+start,4
lftx,5,tx,0,true,end+start,10
lfvr,9,vr,0,true,end+start,8
lkbl,12,kl,0,true,end+start,9
lkbr,10,lb,1,true,end+start,10
lkdr,10,ld,0,true,end+start,10
lkfl,11,kl,0,true,end+start,9
lkfr,9,lf,0,true,end+start,10
lkgl,12,gl,0,true,end+start,7
lkgr,10,gr,0,true,end+start,8
lkl,5,kl,0,true,end+start,2
lkpl,10,kl,0,true,end+start,9
lkpr,8,kr,0,true,end+start,10
lkr,3,kr,0,true,end+start,3
lksk,6,sk,0,true,end+start,7
lkskl,8,kl,0,true,end+start,13
lkskr,6,kr,0,true,end+start,14
lkskw,99,ks,0,true,end+start,7
lksl,9,kl,0,true,end+start,9
lksm,6,lm,0,true,end+start,9
lksn,8,kn,1,true,end+start,9
lksp,6,lp,1,true,end+start,10
lkspl,8,kl,0,true,end+start,19
lkspr,6,kr,0,true,end+start,20
lkst,6,lt,0,true,end+start,10
lkstr,6,kr,0,true,end+start,20
lksw,99,ks,0,true,end+start,4
lktr,8,kr,0,true,end+start,10
lktw,99,lt,0,true,end+start,4
lktx,8,lx,0,true,end+start,10
lkvr,11,lv,0,true,end+start,10
lkw,99,lk,1,true,end+start,1
lpbl,12,bl,0,true,end+start,7
lpbr,10,br,0,true,end+start,8
lpdr,10,ld,0,true,end+start,10
lpfl,8,pfl,2,true,end+start,9
lpfr,6,lf,0,true,end+start,10
lpgl,12,pl,0,true,end+start,9
lpgr,10,lg,1,true,end+start,10
lpkl,10,pl,0,true,end+start,9
lpkr,8,pr,0,true,end+start,10
lpkw,99,lk,1,true,end+start,4
lpl,5,pl,0,true,end+start,2
lpr,3,pr,0,true,end+start,3
lpsk,7,sk,0,true,end+start,10
lpskl,9,pl,0,true,end+start,19
lpskr,7,pr,0,true,end+start,20
lpskw,99,sk,0,true,end+start,10
lpsl,10,pl,0,true,end+start,9
lpsm,8,lm,0,true,end+start,9
lpsn,9,pn,0,true,end+start,9
lpsp,8,sp,0,true,end+start,7
lpspl,10,pl,0,true,end+start,13
lpspr,8,pr,0,true,end+start,14
lpst,7,lt,0,true,end+start,10
lpstr,7,pr,0,true,end+start,20
lpsw,99,ls,1,true,end+start,4
lptr,8,pr,0,true,end+start,10
lptw,99,lt,0,true,end+start,4
lptx,8,lx,0,true,end+start,10
lpvr,8,lv,0,true,end+start,10
lsbl,10,lb,1,true,end+start,9
lsbr,8,sr,1,true,end+start,10
lsdr,8,ld,0,true,end+start,10
lsfl,10,fl,0,true,end+start,9
lsfr,8,lf,0,true,end+start,10
lsgl,10,lg,1,true,end+start,9
lsgr,8,gr,0,true,end+start,10
lsk,3,sk,0,true,end+start,3
lskl,8,kl,0,true,end+start,9
lskr,6,kr,0,true,end+start,10
lskw,99,sk,0,true,end+start,4
lsl,6,sl,1,true,end+start,2
lsm,3,lm,0,true,end+start,3
lsn,5,ln,2,true,end+start,3
lsp,3,sp,0,true,end+start,3
lspl,8,pl,0,true,end+start,9
lspr,6,pr,0,true,end+start,10
lst,3,lt,0,true,end+start,3
lstr,6,tr,0,true,end+start,10
lstw,99,lt,0,true,end+start,4
lstx,6,lx,0,true,end+start,10
lsvr,10,lv,0,true,end+start,10
lsw,99,ls,1,true,end+start,1
ltbl,11,tl,0,true,end+start,9
ltbr,9,lb,1,true,end+start,10
ltdr,9,dr,0,true,end+start,8
ltfl,9,tl,0,true,end+start,9
ltfr,7,lf,0,true,end+start,10
ltgl,11,tl,0,true,end+start,9
ltgr,9,lg,1,true,end+start,10
ltkl,9,tl,0,true,end+start,9
ltkr,7,tr,0,true,end+start,10
ltkw,99,lk,1,true,end+start,4
ltpl,9,tl,0,true,end+start,9
ltpr,7,tr,0,true,end+start,10
ltr,2,ltr,2,false,end+start,3
ltsk,5,sk,0,true,end+start,10
ltskl,7,tl,0,true,end+start,19
ltskr,5,tr,0,true,end+start,20
ltskw,99,lt,0,true,end+start,10
ltsl,8,tl,0,true,end+start,9
ltsm,5,lm,0,true,end+start,9
ltsn,7,tn,0,true,end+start,9
ltsp,5,lp,1,true,end+start,10
ltspl,7,tl,0,true,end+start,19
ltspr,5,tr,0,true,end+start,20
ltst,5,lt,0,true,end+start,7
ltstr,5,tr,0,true,end+start,14
ltsw,99,lts,2,true,end+start,4
ltvr,9,lv,0,true,end+start,10
ltw,99,lt,0,true,end+start,1
ltx,2,ltx,2,false,end+start,3
lvbl,9,vl,0,true,end+start,9
lvbr,7,vb,0,true,end+start,10
lvdr,7,ld,0,true,end+start,10
lvfl,11,vl,0,true,end+start,7
lvfr,9,vr,0,true,end+start,8
lvgl,10,vl,0,true,end+start,9
lvgr,8,lg,1,true,end+start,10
lvkl,10,vl,0,true,end+start,9
lvkr,8,vr,0,true,end+start,10
lvkw,99,lk,1,true,end+start,4
lvpl,9,vl,0,true,end+start,9
lvpr,7,vr,0,true,end+start,10
lvr,2,lvr,2,false,end+start,3
lvsk,9,sk,0,true,end+start,10
lvskl,11,vl,0,true,end+start,19
lvskr,9,vr,0,true,end+start,20
lvskw,99,lv,0,true,end+start,10
lvsl,12,vl,0,true,end+start,9
lvsm,10,lm,0,true,end+start,10
lvsn,11,lvn,2,true,end+start,10
lvsp,10,lp,1,true,end+start,10
lvspl,12,vl,0,true,end+start,19
lvspr,10,vr,0,true,end+start,20
lvst,9,st,0,true,end+start,10
lvstr,9,vr,0,true,end+start,20
lvsw,99,ls,1,true,end+start,4
lvtr,7,vr,0,true,end+start,10
lvtw,99,lt,0,true,end+start,4
lvtx,7,tx,0,true,end+start,10
lxbl,12,bl,0,true,end+start,9
lxbr,10,lr,2,true,end+start,10
lxdr,11,dr,0,true,end+start,10
lxfl,11,fl,0,true,end+start,9
lxfr,9,lf,0,true,end+start,10
lxgl,11,lg,1,true,end+start,9
lxgr,9,gr,0,true,end+start,10
lxkl,9,kl,0,true,end+start,9
lxkr,7,kr,0,true,end+start,10
lxkw,99,xk,0,true,end+start,4
lxpl,10,lp,1,true,end+start,9
lxpr,8,pr,0,true,end+start,10
lxsk,11,xk,0,true,end+start,10
lxskl,13,kl,0,true,end+start,19
lxskr,11,kr,0,true,end+start,20
lxskw,99,lx,0,true,end+start,10
lxsl,14,lx,0,true,end+start,9
lxsm,11,lm,0,true,end+start,10
lxsn,13,ln,2,true,end+start,10
lxsp,11,sp,0,true,end+start,10
lxspl,13,pl,0,true,end+start,19
lxspr,11,pr,0,true,end+start,20
lxst,11,lt,0,true,end+start,10
lxstr,11,tr,0,true,end+start,20
lxsw,99,ls,1,true,end+start,4
lxtr,9,tr,0,true,end+start,10
lxtw,99,lt,0,true,end+start,4
lxtx,9,tx,0,true,end+start,7
lxvr,11,lv,0,true,end+start,10
lzbl,10,zb,0,true,end+start,9
lzbr,8,zr,1,true,end+start,10
lzdr,8,ld,0,true,end+start,10
lzfl,12,fl,0,true,end+start,9
lzfr,10,lf,0,true,end+start,10
lzgl,10,zg,0,true,end+start,9
lzgr,8,gr,0,true,end+start,10
lzkl,10,kl,0,true,end+start,9
lzkr,8,kr,0,true,end+start,10
lzkw,99,lk,1,true,end+start,4
lzpl,10,pl,0,true,end+start,9
lzpr,8,pr,0,true,end+start,10
lzsk,10,sk,0,true,end+start,8
lzskl,12,kl,0,true,end+start,16
lzskr,10,kr,0,true,end+start,17
lzskw,99,sk,0,true,end+start,8
lzsl,13,zl,1,true,end+start,7
lzsm,10,lm,0,true,end+start,8
lzsn,12,ln,2,true,end+start,8
lzsp,10,lp,1,true,end+start,8
lzspl,12,pl,0,true,end+start,16
lzspr,10,pr,0,true,end+start,17
lzst,10,lt,0,true,end+start,8
lzstr,10,tr,0,true,end+start,17
lzsw,99,ls,1,true,end+start,3
lztr,8,tr,0,true,end+start,10
lztw,99,lt,0,true,end+start,4
lztx,8,lx,0,true,end+start,10
lzvr,10,lv,0,true,end+start,10
mpbl,9,mbl,2,true,end+start,8
mpbr,9,mbr,2,true,end+start,8
mpdr,9,mpr,2,true,end+start,10
mpfbl,7,pf,0,true,end+start,18
mpfbr,7,mr,0,true,end+start,18
mpfdr,7,mr,0,true,end+start,20
mpfgl,8,mg,2,true,end+start,20
mpfgr,8,pf,0,true,end+start,20
mpfkl,6,ml,0,true,end+start,20
mpfkr,6,mr,0,true,end+start,20
mpfkw,99,fk,1,true,end+start,10
mpfl,5,mpl,2,true,end+start,10
mpfpl,5,fp,0,true,end+start,14
mpfpr,5,mr,0,true,end+start,14
mpfr,5,mr,0,true,end+start,10
mpfsk,7,sk,0,true,end+start,20
mpfskl,7,ml,0,true,end+start,35
mpfskr,7,mr,0,true,end+start,35
mpfskw,99,mp,0,true,end+start,20
mpfsl,8,ml,0,true,end+start,20
mpfsm,10,fm,2,true,end+start,18
mpfsn,9,fn,0,true,end+start,19
mpfsp,8,mp,0,true,end+start,17
mpfspl,8,ml,0,true,end+start,29
mpfspr,8,mr,0,true,end+start,29
mpfst,7,ft,0,true,end+start,20
mpfstr,7,mr,0,true,end+start,35
mpfsw,99,ps,1,true,end+start,10
mpftr,5,mr,0,true,end+start,20
mpftw,99,ft,0,true,end+start,10
mpftx,5,mx,0,true,end+start,20
mpfvr,9,mr,0,true,end+start,17
mpgl,9,ml,0,true,end+start,10
mpgr,9,mr,0,true,end+start,10
mpkl,7,ml,0,true,end+start,10
mpkr,7,mr,0,true,end+start,10
mpkw,99,mk,2,true,end+start,4
mpl,2,mpl,2,false,end+start,3
mpr,2,mpr,2,false,end+start,3
mpsbl,9,ml,0,true,end+start,18
mpsbr,9,mr,0,true,end+start,18
mpsdr,8,mr,0,true,end+start,20
mpsfl,9,ml,0,true,end+start,20
mpsfr,9,mr,0,true,end+start,20
mpsgl,8,ml,0,true,end+start,20
mpsgr,8,mr,0,true,end+start,20
mpsk,6,sk,0,true,end+start,10
mpskl,6,ml,0,true,end+start,20
mpskr,6,mr,0,true,end+start,20
mpskw,99,mp,0,true,end+start,10
mpsl,7,ml,0,true,end+start,10
mpsm,9,sm,0,true,end+start,8
mpsn,8,mn,2,true,end+start,9
mpsp,7,mp,0,true,end+start,7
mpspl,7,ml,0,true,end+start,14
mpspr,7,mr,0,true,end+start,14
mpst,6,mst,2,true,end+start,10
mpstr,6,mr,0,true,end+start,20
mpstw,99,mp,0,true,end+start,10
mpstx,6,mx,0,true,end+start,20
mpsvr,11,mr,0,true,end+start,20
mpsw,99,ms,0,true,end+start,4
mptr,7,mr,0,true,end+start,10
mptw,99,mt,2,true,end+start,4
mptx,7,mx,0,true,end+start,10
mpvr,7,mr,0,true,end+start,10
ndbl,9,ndl,2,true,end+start,10
ndbr,9,br,0,true,end+start,10
ndfl,9,nfl,2,true,end+start,10
ndfr,9,nfr,2,true,end+start,10
ndgl,9,gl,0,true,end+start,10
ndgr,9,gr,0,true,end+start,10
ndkl,9,dl,0,true,end+start,10
ndkr,9,dr,0,true,end+start,10
ndkw,99,nk,2,true,end+start,4
ndpl,9,dl,0,true,end+start,10
ndpr,9,dr,0,true,end+start,10
ndr,2,ndr,2,false,end+start,3
ndsk,7,sk,0,true,end+start,10
ndskl,7,dl,0,true,end+start,20
ndskr,7,dr,0,true,end+start,20
ndskw,99,nd,0,true,end+start,10
ndsl,8,sl,1,true,end+start,10
ndsm,7,sm,0,true,end+start,9
ndsn,14,dn,0,true,end+start,8
ndsp,7,sp,0,true,end+start,10
ndspl,7,dl,0,true,end+start,20
ndspr,7,dr,0,true,end+start,20
ndst,10,nt,0,true,end+start,9
ndstr,7,dr,0,true,end+start,18
ndsw,99,ns,2,true,end+start,4
ndtr,9,ndr,2,true,end+start,8
ndtw,99,nt,0,true,end+start,3
ndtx,9,nx,0,true,end+start,8
ndvr,9,nvr,2,true,end+start,10
ndzbl,7,zb,0,true,end+start,20
ndzbr,7,dr,0,true,end+start,20
ndzdr,7,zd,0,true,end+start,14
ndzfl,9,nf,0,true,end+start,20
ndzfr,9,dr,0,true,end+start,20
ndzgl,7,zg,0,true,end+start,20
ndzgr,7,dr,0,true,end+start,20
ndzkl,7,dl,0,true,end+start,20
ndzkr,7,dr,0,true,end+start,20
ndzkw,99,nd,0,true,end+start,10
ndzpl,7,dl,0,true,end+start,20
ndzpr,7,dr,0,true,end+start,20
ndzsk,9,sk,0,true,end+start,17
ndzskl,9,dl,0,true,end+start,31
ndzskr,9,dr,0,true,end+start,31
ndzskw,99,nd,0,true,end+start,17
ndzsl,10,dl,0,true,end+start,17
ndzsm,9,zm,0,true,end+start,16
ndzsn,16,dn,0,true,end+start,15
ndzsp,9,np,2,true,end+start,17
ndzspl,9,dl,0,true,end+start,31
ndzspr,9,dr,0,true,end+start,31
ndzst,12,nt,0,true,end+start,16
ndzstr,9,dr,0,true,end+start,29
ndzsw,99,nd,0,true,end+start,8
ndztr,7,dr,0,true,end+start,18
ndztw,99,nt,0,true,end+start,9
ndztx,7,dz,0,true,end+start,18
ndzvr,9,nv,0,true,end+start,20
ntbl,9,bl,0,true,end+start,10
ntbr,9,tr,0,true,end+start,10
ntcbl,99,tl,0,true,end+start,10
ntcbr,99,tr,0,true,end+start,10
ntcdr,99,dr,0,true,end+start,8
