word,meaning,tier,shape,echo,own,pair,crowd,loss
mud,mood,1,CVC,1.0000,-60.0000,3.8377,0.0112,-56.1623
mut,mutate,1,CVC,0.6000,-60.0000,3.3103,0.0110,-56.6897
muk,earth (dirt),1,CVC,0.1544,-58.3934,2.3472,0.0112,-56.0462
mus,mercy,1,CVC,0.4450,-59.3525,3.2190,0.0109,-56.1335
muz,pain,1,CVC,0.5267,-115.4244,7.3948,0.0225,-108.0297
muv,move,1,CVC,0.9250,-59.8283,3.0340,0.0101,-56.7943
muj,message,1,CVC,0.3347,-60.0000,3.1782,0.0113,-56.8218
muc,mouth,1,CVC,0.7500,-60.0000,2.8114,0.0102,-57.1886
mul,unreal,1,CVC,0.4633,-60.0000,2.6131,0.0129,-57.3869
niq,omniscient,1,CVC,0.3111,-60.0000,2.2299,0.0094,-57.7701
nid,need,1,CVC,1.0000,-60.0000,3.8435,0.0091,-56.1565
niz,nest (structure),0,CVC,0.6563,-60.0000,3.6260,0.0094,-56.3740
nif,a (isolated-element-focus),1,CVC,0.1083,-58.6328,2.8137,0.0090,-55.8191
nix,listen,1,CVC,0.4364,-60.0000,2.7586,0.0092,-57.2414
ned,static,0,CVC,0.3492,-57.6895,3.7858,0.0081,-53.9038
nep,nature,1,CVC,0.4833,-60.0000,2.8567,0.0078,-57.1433
net,knit,1,CVC,0.9250,-60.0000,3.4621,0.0083,-56.5379
nes,nice,1,CVC,0.7683,-59.5167,3.3405,0.0087,-56.1761
nev,off,1,CVC,0.2833,-60.0000,3.1068,0.0083,-56.8932
nam,name,1,CVC,1.0000,-60.0000,3.3582,0.0119,-56.6418
nan,negate,1,CVC,0.5340,-60.0000,4.0013,0.0117,-55.9987
nak,knock,1,CVC,0.8167,-60.0000,2.3525,0.0100,-57.6475
nas,nest,1,CVC,0.6375,-60.0000,3.5899,0.0106,-56.4101
naz,as,1,CVC,0.6167,-60.0000,4.1861,0.0114,-55.8139
nav,center,1,CVC,0.3578,-57.1314,3.3470,0.0101,-53.7844
nar,person,1,CVC,0.3478,-120.0000,5.3476,0.0240,-114.6524
nal,neutral,1,CVC,0.4286,-60.0000,2.7508,0.0123,-57.2492
non,not (un- or -im),1,CVC,0.8900,-60.0000,3.9368,0.0105,-56.0632
nop,no,1,CVC,0.6667,-60.0000,2.8346,0.0086,-57.1654
not,note,1,CVC,1.0000,-60.0000,3.6311,0.0098,-56.3689
noz,nose,1,CVC,0.9500,-60.0000,4.2805,0.0104,-55.7195
nox,notion,1,CVC,0.4439,-58.8414,2.9986,0.0098,-55.8428
nol,toward,1,CVC,0.4075,-60.0000,3.0163,0.0121,-56.9837
num,know,1,CVC,0.4083,-116.4500,6.2526,0.0224,-110.1974
nuq,bond,1,CVC,0.5654,-116.9145,4.7191,0.0193,-112.1954
nub,separate,1,CVC,0.2324,-58.8230,3.4231,0.0104,-55.3998
nuz,distribute,1,CVC,0.2667,-58.4844,4.2418,0.0115,-54.2427
nuv,empty,1,CVC,0.2660,-58.8745,3.4772,0.0103,-55.3974
nuj,hell,1,CVC,0.2892,-60.0000,3.5519,0.0113,-56.4481
nuc,long,1,CVC,0.5761,-120.0000,6.2601,0.0203,-113.7399
nul,forget,1,CVC,0.3628,-60.0000,2.8286,0.0132,-57.1714
gim,magic,1,CVC,0.4673,-60.0000,2.2984,0.0094,-57.7016
gin,sync,1,CVC,0.3450,-60.0000,2.5936,0.0094,-57.4064
gib,guide,1,CVC,0.7167,-60.0000,2.5766,0.0094,-57.4234
git,infinite,0,CVC,0.3743,-60.0000,2.6937,0.0097,-57.3063
gik,user,0,CVC,0.3387,-60.0000,1.6620,0.0083,-58.3380
gis,will (future),1,CVC,0.4492,-60.0000,2.4223,0.0095,-57.5777
giz,position,0,CVC,0.2919,-60.0000,2.6159,0.0091,-57.3841
gif,give,1,CVC,0.9500,-58.4500,2.0810,0.0093,-56.3690
gic,red,1,CVC,0.5461,-60.0000,2.1985,0.0087,-57.8015
gem,game,1,CVC,0.8500,-60.0000,2.2240,0.0084,-57.7760
gan,garden,1,CVC,0.5000,-60.0000,2.8614,0.0104,-57.1386
gag,child,1,CVC,0.3550,-58.5380,1.7794,0.0086,-56.7586
gad,god,0,CVC,0.8167,-60.0000,2.9251,0.0099,-57.0749
gab,eat,1,CVC,0.3472,-58.4007,2.4779,0.0097,-55.9228
gaz,possess,1,CVC,0.2738,-60.0000,2.9535,0.0107,-57.0465
gav,how (missing-action-focus),1,CVC,0.5044,-59.6944,2.4002,0.0101,-57.2942
gaC,gather,1,CVC,0.5700,-59.4983,2.6008,0.0100,-56.8975
gar,language,1,CVC,0.3617,-60.0000,2.0627,0.0117,-57.9373
gal,too,1,CVC,0.2917,-60.0000,2.0807,0.0118,-57.9193
goq,job,1,CVC,0.5717,-60.0000,1.6349,0.0078,-58.3651
god,gold,1,CVC,0.7500,-60.0000,3.0304,0.0094,-56.9696
got,antenna,1,CVC,0.2529,-57.8258,2.5923,0.0091,-55.2335
gok,back,1,CVC,0.7056,-59.7311,1.6918,0.0081,-58.0393
gol,goal,1,CVC,1.0000,-60.0000,2.2781,0.0113,-57.7219
gum,come,1,CVC,0.8750,-59.8283,2.5629,0.0116,-57.2654
gun,representation,1,CVC,0.1732,-60.0000,2.9043,0.0106,-57.0957
gub,like (filler),1,CVC,0.4389,-60.0000,2.7166,0.0106,-57.2834
gut,gut,1,CVC,1.0000,-59.9933,2.7091,0.0105,-57.2843
gus,back (front),1,CVC,0.4739,-60.0000,2.6751,0.0114,-57.3249
guz,lose,1,CVC,0.6583,-58.9750,3.2121,0.0120,-55.7629
guv,end,1,CVC,0.1989,-31.9374,2.7633,0.0113,-29.1740
guj,memory,1,CVC,0.3208,-116.4231,5.1950,0.0214,-111.2280
gul,exponent,0,CVC,0.2567,-60.0000,2.2012,0.0128,-57.7988
dim,you,1,CVC,0.2472,-60.0000,3.5166,0.0101,-56.4834
dig,sine,0,CVC,0.7333,-60.0000,2.9304,0.0094,-57.0696
did,deed,1,CVC,1.0000,-59.8100,4.4858,0.0099,-55.3242
dib,connect,1,CVC,0.3302,-115.9814,7.8446,0.0192,-108.1368
dip,tree,0,CVC,0.2833,-56.5361,3.5443,0.0096,-52.9918
dis,number,0,CVC,0.3703,-60.0000,3.8287,0.0099,-56.1713
div,drive,1,CVC,0.7500,-119.7667,6.9579,0.0180,-112.8088
dif,define,1,CVC,0.5550,-58.8282,3.2593,0.0093,-55.5688
det,datetime stamp/instance in time,0,CVC,0.7206,-59.5827,4.1230,0.0089,-55.4597
dez,dynamic,0,CVC,0.3079,-57.5429,4.1694,0.0088,-53.3735
dej,orange,1,CVC,0.4129,-60.0000,3.3381,0.0081,-56.6619
dam,morality,1,CVC,0.2798,-60.0000,3.9421,0.0119,-56.0579
dan,the,1,CVC,0.1711,-120.0000,9.0049,0.0231,-110.9951
dag,dog,1,CVC,0.8167,-59.7000,3.0202,0.0101,-56.6798
dad,content,1,CVC,0.3214,-60.0000,4.7074,0.0106,-55.2926
dat,word,1,CVC,0.4292,-120.0000,8.1784,0.0212,-111.8216
dak,physical,1,CVC,0.2721,-58.3502,2.6951,0.0101,-55.6551
das,understand,1,CVC,0.2580,-58.0461,4.0053,0.0109,-54.0408
dav,divine,1,CVC,0.4650,-58.3950,3.8288,0.0103,-54.5662
daf,orange,1,CVC,0.4379,-60.0000,3.1720,0.0098,-56.8280
dac,death,1,CVC,0.7750,-59.6725,3.5330,0.0106,-56.1395
dal,matter (physics),1,CVC,0.4478,-58.1409,3.0921,0.0123,-55.0488
dom,state,1,CVC,0.4592,-60.0000,3.6821,0.0099,-56.3179
dob,two,1,CVC,0.2833,-60.0000,4.0021,0.0096,-55.9979
dot,down,1,CVC,0.6112,-59.0618,4.2048,0.0098,-54.8571
doz,here,1,CVC,0.4978,-120.0000,9.4980,0.0203,-110.5020
dor,door,1,CVC,0.9250,-59.7273,3.2719,0.0115,-56.4555
dum,negative,1,CVC,0.2836,-60.0000,3.7523,0.0113,-56.2477
dun,join (to one),1,CVC,0.5550,-58.0123,4.4173,0.0114,-53.5950
dug,drink,1,CVC,0.4600,-59.6175,3.0677,0.0104,-56.5498
dud,friend,1,CVC,0.4000,-58.2000,4.8508,0.0110,-53.3492
dub,aware,1,CVC,0.2646,-116.1268,7.9573,0.0210,-108.1695
duk,minute,1,CVC,0.5240,-60.0000,2.7665,0.0105,-57.2335
dus,reduce,0,CVC,0.5060,-60.0000,4.0358,0.0109,-55.9642
duz,do,1,CVC,0.5917,-58.5504,4.7352,0.0119,-53.8152
dux,condition (general state),1,CVC,0.2493,-60.0000,3.3445,0.0110,-56.6555
dul,delete,1,CVC,0.4450,-58.9547,3.1785,0.0128,-55.7762
bim,target,1,CVC,0.3381,-60.0000,3.0442,0.0099,-56.9558
biq,being,1,CVC,1.0000,-60.0000,2.3732,0.0096,-57.6268
big,go,1,CVC,0.2972,-59.3089,2.7042,0.0096,-56.6048
bid,ignorant,1,CVC,0.2327,-60.0000,3.9652,0.0097,-56.0348
bib,we,1,CVC,0.4417,-60.0000,3.4147,0.0094,-56.5853
bip,output,0,CVC,0.3611,-120.0000,5.9451,0.0176,-114.0549
bit,beat,1,CVC,1.0000,-59.8283,3.7106,0.0101,-56.1178
biz,intense,1,CVC,0.3903,-60.0000,3.5725,0.0092,-56.4275
beq,bang,1,CVC,0.8500,-59.8483,2.3401,0.0087,-57.5083
bed,bite,1,CVC,0.8750,-56.0050,4.0057,0.0088,-51.9993
beb,baby,1,CVC,0.6375,-59.1844,3.3708,0.0082,-55.8136
bep,left,1,CVC,0.5708,-60.0000,3.0528,0.0083,-56.9472
bet,under,1,CVC,0.4533,-57.7186,3.7133,0.0088,-54.0052
bes,base,0,CVC,0.8500,-59.5827,3.2827,0.0086,-56.3000
bam,create,1,CVC,0.3446,-118.4161,6.6839,0.0221,-111.7322
ban,together/bind,1,CVC,0.5813,-35.6296,4.0884,0.0119,-31.5412
baq,be,1,CVC,0.5167,-120.0000,5.1635,0.0208,-114.8365
bag,insect,1,CVC,0.3478,-60.0000,2.7678,0.0102,-57.2322
bad,tangent (math),0,CVC,0.4278,-60.0000,4.2573,0.0108,-55.7427
bab,father,1,CVC,0.4187,-60.0000,3.5582,0.0101,-56.4418
bat,beauty,1,CVC,0.4650,-58.3950,3.7724,0.0108,-54.6226
bak,send,1,CVC,0.4117,-76.1272,4.9347,0.0208,-71.1926
bax,bird,1,CVC,0.4596,-58.1311,3.0033,0.0109,-55.1278
baC,by,1,CVC,0.5100,-60.0000,3.5898,0.0109,-56.4102
bar,bear (carry),1,CVC,0.7750,-59.9017,2.7677,0.0121,-57.1339
bot,boat,1,CVC,1.0000,-59.5900,3.7467,0.0099,-55.8433
bos,possessive plural,1,CVC,0.3675,-60.0000,3.6023,0.0100,-56.3977
boz,private,0,CVC,0.3236,-57.8716,4.1874,0.0104,-53.6842
bov,debug,0,CVC,0.4343,-60.0000,3.3267,0.0089,-56.6733
bor,condition (case),1,CVC,0.2835,-60.0000,2.8524,0.0109,-57.1476
bum,boom,1,CVC,1.0000,-60.0000,3.2706,0.0109,-56.7294
bug,cosine,0,CVC,0.3823,-60.0000,2.7851,0.0105,-57.2149
bud,awake,1,CVC,0.3562,-59.1417,4.2779,0.0111,-54.8638
bub,boob,1,CVC,1.0000,-60.0000,3.5563,0.0102,-56.4437
bup,energy,1,CVC,0.2381,-57.5173,2.9588,0.0099,-54.5585
but,unstable,1,CVC,0.2410,-60.0000,3.6405,0.0105,-56.3595
buz,bosom,1,CVC,0.5250,-60.0000,4.0258,0.0109,-55.9742
bux,yellow,1,CVC,0.1703,-60.0000,2.9385,0.0106,-57.0615
bul,blue,1,CVC,0.5000,-59.2833,2.7043,0.0121,-56.5791
pim,permeate,1,CVC,0.4625,-60.0000,2.6008,0.0089,-57.3992
piq,request,1,CVC,0.2731,-60.0000,1.9484,0.0088,-58.0516
pip,individual,1,CVC,0.2433,-60.0000,2.6844,0.0088,-57.3156
pit,pure,1,CVC,0.6167,-58.8500,3.1336,0.0092,-55.7164
pik,master,1,CVC,0.3069,-60.0000,2.1699,0.0089,-57.8301
pem,they (communicating-agent-external-reference-focus),1,CVC,0.6939,-59.4408,2.6108,0.0083,-56.8301
peq,pay,1,CVC,0.6667,-60.0000,1.9212,0.0077,-58.0788
pes,green,1,CVC,0.4567,-60.0000,2.7964,0.0081,-57.2036
pam,pray,1,CVC,0.3333,-60.0000,2.9106,0.0108,-57.0894
pan,yes,1,CVC,0.4061,-57.1295,3.4406,0.0109,-53.6890
paq,response,1,CVC,0.3214,-60.0000,2.2818,0.0101,-57.7182
pat,dimension,1,CVC,0.2219,-59.1700,3.2065,0.0100,-55.9634
pak,package,1,CVC,0.6000,-60.0000,2.1547,0.0099,-57.8453
pas,space,1,CVC,0.6325,-120.0000,5.7085,0.0187,-114.2915
pac,path,1,CVC,1.0000,-60.0000,2.5444,0.0094,-57.4556
par,depart/from,1,CVC,0.5000,-60.0000,2.3953,0.0114,-57.6047
pom,different,1,CVC,0.2274,-55.6426,2.7594,0.0093,-52.8832
pod,free,1,CVC,0.2433,-60.0000,3.5822,0.0090,-56.4178
pob,right,1,CVC,0.4028,-58.2083,2.8978,0.0084,-55.3106
pop,property (of object),0,CVC,0.3750,-56.2917,2.5871,0.0084,-53.7045
pot,honorific (address),1,CVC,0.2596,-60.0000,3.1862,0.0093,-56.8138
por,poor,1,CVC,0.9250,-59.7000,2.4535,0.0103,-57.2465
pum,time (count),1,CVC,0.7722,-60.0000,2.7817,0.0100,-57.2183
pul,pull,1,CVC,0.7500,-59.7733,2.3053,0.0109,-57.4681
tim,team,1,CVC,1.0000,-59.8467,3.2476,0.0099,-56.5990
tin,between,1,CVC,0.5000,-57.7667,3.5884,0.0095,-54.1783
tiq,mental experience,1,CVC,0.3519,-60.0000,2.2814,0.0091,-57.7186
tip,step,1,CVC,0.6937,-59.1935,3.2697,0.0094,-55.9238
tiz,ellipse,0,CVC,0.3750,-60.0000,3.6246,0.0091,-56.3754
tiv,conscious,1,CVC,0.2796,-58.6313,3.1263,0.0088,-55.5050
tix,tingle,1,CVC,0.6283,-60.0000,2.9184,0.0100,-57.0816
tic,fourteen,1,CVC,0.3526,-60.0000,3.1952,0.0100,-56.8048
ten,tan (color),1,CVC,0.8500,-60.0000,3.6374,0.0088,-56.3626
teq,like (as if),1,CVC,0.6150,-60.0000,2.2031,0.0081,-57.7969
ted,up,1,CVC,0.3139,-58.7467,3.9656,0.0087,-54.7811
tet,signal,1,CVC,0.3625,-60.0000,3.6951,0.0087,-56.3049
tek,take,1,CVC,0.8500,-60.0000,2.4922,0.0084,-57.5078
tef,left,1,CVC,0.6000,-60.0000,2.8944,0.0085,-57.1056
tam,meditate,1,CVC,0.3624,-60.0000,3.4757,0.0118,-56.5243
taq,tongue,1,CVC,0.4900,-60.0000,2.6091,0.0103,-57.3909
tad,tail,1,CVC,0.7000,-60.0000,4.1685,0.0106,-55.8315
tab,stable,1,CVC,0.6000,-58.2867,3.5982,0.0103,-54.6884
tat,sibling,1,CVC,0.2953,-60.0000,3.7653,0.0105,-56.2347
tak,talk,1,CVC,0.7500,-60.0000,2.4992,0.0108,-57.5008
tas,test,1,CVC,0.6375,-60.0000,3.5106,0.0108,-56.4894
taf,good,1,CVC,0.4406,-116.6433,5.6869,0.0188,-110.9564
taj,down (to be cool with something),1,CVC,0.6171,-58.8513,3.4107,0.0109,-55.4405
taC,blue,1,CVC,0.2354,-58.8531,3.7306,0.0112,-55.1226
tac,set (get),1,CVC,0.6478,-60.0000,3.1863,0.0105,-56.8137
tar,tire (sleep),1,CVC,0.7750,-34.5533,2.9241,0.0126,-31.6292
tal,tell,1,CVC,0.6375,-60.0000,2.9350,0.0127,-57.0650
tom,atom,1,CVC,0.7500,-59.5900,3.4027,0.0103,-56.1873
ton,agent (one who does x),1,CVC,0.4200,-60.0000,3.9735,0.0098,-56.0265
tod,term,1,CVC,0.5342,-60.0000,4.2309,0.0094,-55.7691
tok,structure,0,CVC,0.3469,-60.0000,2.4954,0.0095,-57.5046
tos,task,1,CVC,0.6125,-60.0000,3.7406,0.0099,-56.2594
toz,position (cardinal),0,CVC,0.3396,-60.0000,4.3781,0.0106,-55.6219
tox,text,1,CVC,0.4767,-60.0000,3.1009,0.0100,-56.8991
tor,before,1,CVC,0.5433,-59.9848,2.9272,0.0110,-57.0576
tuq,type,0,CVC,0.4456,-120.0000,4.5559,0.0180,-115.4441
tub,tube,1,CVC,1.0000,-60.0000,3.6193,0.0104,-56.3807
tup,impure,1,CVC,0.4267,-60.0000,3.2141,0.0103,-56.7859
tuz,because,1,CVC,0.4417,-60.0000,4.3000,0.0115,-55.7000
tuv,input (computing),0,CVC,0.4627,-60.0000,3.7022,0.0111,-56.2978
tux,intuition,1,CVC,0.2959,-60.0000,3.0569,0.0107,-56.9431
tuc,emotion,1,CVC,0.3205,-59.1506,3.3707,0.0108,-55.7799
tur,turf,1,CVC,0.7500,-60.0000,2.8279,0.0123,-57.1721
tul,tool,1,CVC,1.0000,-59.5900,2.8388,0.0125,-56.7512
kim,climb,1,CVC,0.6000,-59.5700,2.3509,0.0100,-57.2191
kiq,action,0,CVC,0.4667,-59.1822,1.6566,0.0089,-57.5256
kid,could,1,CVC,0.4900,-60.0000,2.8740,0.0098,-57.1260
kip,tune,1,CVC,0.5956,-120.0000,4.8023,0.0200,-115.1977
kik,kick,1,CVC,1.0000,-60.0000,1.7609,0.0090,-58.2391
kis,bottom,1,CVC,0.2453,-55.5220,2.4882,0.0103,-53.0338
kiz,if,0,CVC,0.5722,-60.0000,2.6350,0.0097,-57.3650
kiv,intent,1,CVC,0.3544,-60.0000,2.3794,0.0098,-57.6206
kix,process,0,CVC,0.3393,-60.0000,2.0757,0.0097,-57.9243
ken,communicate,1,CVC,0.2450,-56.6277,2.5207,0.0087,-54.1070
keg,front,1,CVC,0.2993,-60.0000,1.6908,0.0075,-58.3092
kep,clone,1,CVC,0.4967,-60.0000,2.3018,0.0090,-57.6982
ket,but,1,CVC,0.5806,-60.0000,2.6554,0.0092,-57.3446
kek,agree,1,CVC,0.2125,-58.2281,1.6823,0.0079,-56.5459
kes,case (situation),1,CVC,0.8500,-60.0000,2.4298,0.0093,-57.5702
kam,calm,1,CVC,0.7500,-59.7458,2.5674,0.0119,-57.1785
kan,aggregate,1,CVC,0.3150,-56.9403,2.9576,0.0115,-53.9827
kaq,object,0,CVC,0.2671,-58.6076,1.8588,0.0103,-56.7488
kab,receive,1,CVC,0.3170,-120.0000,4.8868,0.0207,-115.1132
kat,focus,1,CVC,0.3910,-60.0000,2.6549,0.0110,-57.3451
kaz,cause,1,CVC,0.7125,-59.0848,2.9332,0.0117,-56.1516
kaf,cough,1,CVC,0.6667,-60.0000,2.0604,0.0107,-57.9396
kax,perfect,1,CVC,0.2881,-120.0000,4.1831,0.0204,-115.8169
kar,call,0,CVC,0.7500,-60.0000,2.0660,0.0126,-57.9340
kal,time,1,CVC,0.5589,-120.0000,4.0103,0.0243,-115.9897
kom,five,1,CVC,0.4356,-60.0000,2.6462,0.0110,-57.3538
kon,and,1,CVC,0.2733,-57.6068,2.9536,0.0106,-54.6532
kod,code,0,CVC,1.0000,-59.6267,3.0757,0.0101,-56.5509
kop,scope,0,CVC,0.7500,-60.0000,2.3618,0.0100,-57.6382
kok,disagree,1,CVC,0.2786,-56.9892,1.8236,0.0095,-55.1656
koz,z-axis,0,CVC,0.3458,-60.0000,3.0945,0.0109,-56.9055
kov,cover,1,CVC,0.6000,-58.5653,2.6055,0.0101,-55.9599
kof,default,0,CVC,0.3000,-60.0000,2.1666,0.0101,-57.8334
kox,cell (biology),1,CVC,0.3733,-60.0000,2.2071,0.0099,-57.7929
koj,violet,1,CVC,0.3183,-60.0000,2.5622,0.0100,-57.4378
kol,all,1,CVC,0.3333,-118.2978,4.4775,0.0243,-113.8203
kum,back area,1,CVC,0.3594,-60.0000,2.6722,0.0125,-57.3278
kuq,manner,1,CVC,0.2269,-60.0000,1.7187,0.0093,-58.2813
kud,miss (didn't touch),1,CVC,0.3417,-58.0250,3.1189,0.0112,-54.9061
kub,cube,0,CVC,1.0000,-59.9600,2.8131,0.0117,-57.1469
kup,tone,1,CVC,0.7039,-120.0000,4.7635,0.0215,-115.2365
kus,constant,0,CVC,0.3469,-58.3998,2.6604,0.0115,-55.7394
kuv,divide,0,CVC,0.4200,-58.2600,2.7124,0.0115,-55.5476
kuf,clue,1,CVC,0.5000,-60.0000,2.2459,0.0110,-57.7541
kur,down,1,CVC,0.5837,-59.9723,2.2334,0.0131,-57.7389
kul,cool (interjection),1,CVC,1.0000,-59.9933,2.2744,0.0133,-57.7189
him,nothing,1,CVC,0.4667,-60.0000,2.0342,0.0105,-57.9658
hin,hi,1,CVC,0.6667,-60.0000,2.2137,0.0099,-57.7863
hid,not hidden,1,CVC,0.5000,-57.0000,2.4282,0.0098,-54.5718
hip,group,1,CVC,0.3927,-58.1780,2.0056,0.0095,-56.1724
hit,heat,1,CVC,1.0000,-59.9933,2.2960,0.0103,-57.6973
hik,hike,1,CVC,1.0000,-60.0000,1.5652,0.0093,-58.4348
his,snake,1,CVC,0.3971,-60.0000,1.9213,0.0091,-58.0787
hix,peach (color),1,CVC,0.5825,-60.0000,1.5694,0.0095,-58.4306
hem,hey,1,CVC,0.8061,-60.0000,1.9449,0.0092,-58.0551
heq,hang,1,CVC,0.8500,-60.0000,1.2881,0.0076,-58.7119
hek,hour,1,CVC,0.4375,-60.0000,1.5078,0.0088,-58.4922
hez,every,1,CVC,0.4360,-58.3080,1.8977,0.0078,-56.4103
ham,hmm,1,CVC,0.6667,-60.0000,2.1084,0.0127,-57.8916
han,zero,1,CVC,0.4546,-60.0000,2.4178,0.0118,-57.5822
had,head,1,CVC,0.7750,-59.7000,2.3402,0.0106,-57.3598
hap,event,1,CVC,0.3733,-58.3498,1.7295,0.0099,-56.6203
hat,at,1,CVC,0.6667,-60.0000,2.0904,0.0105,-57.9096
hak,hack (work),1,CVC,1.0000,-59.8283,1.4737,0.0108,-58.3547
has,hyper,1,CVC,0.4260,-60.0000,1.7923,0.0097,-58.2077
haz,have,1,CVC,0.9556,-60.0000,2.1913,0.0104,-57.8087
har,era,1,CVC,0.1833,-57.5772,1.6139,0.0117,-55.9634
hal,how,1,CVC,0.6667,-60.0000,1.6347,0.0117,-58.3653
hom,home,1,CVC,1.0000,-60.0000,2.1162,0.0110,-57.8838
hoq,hold,1,CVC,0.6550,-38.6487,1.4524,0.0093,-37.1963
hod,period of x (-hood),1,CVC,0.3883,-60.0000,2.4749,0.0098,-57.5251
hop,hope,1,CVC,1.0000,-59.7000,1.9513,0.0098,-57.7487
hok,okay,1,CVC,0.3333,-60.0000,1.5820,0.0103,-58.4180
hoz,cardinal number,0,CVC,0.2956,-60.0000,2.4092,0.0105,-57.5908
hov,floating point,0,CVC,0.3763,-60.0000,1.9488,0.0094,-58.0512
hol,whole,1,CVC,0.7267,-59.7862,1.8113,0.0118,-57.9748
hum,urge,1,CVC,0.1839,-120.0000,4.1513,0.0240,-115.8487
hun,illusion,1,CVC,0.3135,-60.0000,2.3996,0.0111,-57.6004
huq,uh,1,CVC,0.4894,-60.0000,1.4134,0.0099,-58.5866
hud,hide,1,CVC,0.8167,-60.0000,2.4864,0.0111,-57.5136
hub,x-axis,0,CVC,0.2329,-60.0000,2.1996,0.0112,-57.8004
hut,heed,1,CVC,0.7667,-60.0000,2.2884,0.0116,-57.7116
huk,hook,1,CVC,1.0000,-60.0000,1.5850,0.0118,-58.4150
huz,duration,1,CVC,0.2554,-59.4292,2.5515,0.0121,-56.8776
huv,handle,1,CVC,0.3643,-60.0000,2.1491,0.0115,-57.8509
sig,front,1,CVC,0.3483,-60.0000,2.9316,0.0100,-57.0684
sid,seed,1,CVC,1.0000,-60.0000,4.3873,0.0102,-55.6127
sip,asleep,1,CVC,0.6000,-59.3867,3.7163,0.0102,-55.6704
sit,medium,1,CVC,0.3528,-60.0000,4.1761,0.0107,-55.8239
sik,seek,1,CVC,1.0000,-60.0000,2.8923,0.0105,-57.1077
siz,peace,1,CVC,0.6589,-117.9533,7.8191,0.0193,-110.1342
siv,perceive,1,CVC,0.5000,-117.0000,6.8267,0.0185,-110.1733
sif,purple,1,CVC,0.3553,-60.0000,3.2327,0.0097,-56.7673
six,all encompasing thing,1,CVC,0.7783,-59.6083,3.1365,0.0106,-56.4719
