meaning,polarity,height,depth,heat,motion,mind,bond
create,0.5,,,,1,,
cross,,,,,1,,1
crown,,1,,,,,
cube,,,,,,-0.5,
curl,,,,,1,,
curve,,,,,0.5,,
cycle,,,,,1,,
dark,,,,-1,,,
data,,,,,,1,
day,,,,1,,,
death,-1,,,,-1,,
decision,,,,,,1,
deed,,,,,1,,
define,,,,,,1,
degree,,,,,,0.5,
delete,,,,,0.5,,-1
deliver,,,,,1,,1
deny,-0.5,,,,,,-1
describe,,,,,,1,
desert,,,,1,,-1,
destroy,-1,,,,1,,-1
device,,,,,,-1,
different,,,,,,,-1
difficult,-0.5,,,,,,
digit,,,,,,0.5,
dimension,,,,,,0.5,
direction,,,,,0.5,,
dirt,,-1,,,,-1,
disagree,,,,,,,-1
discover,,,,,,1,
dissolve,,,,,0.5,,-1
distribute,,,,,1,,-0.5
divide,,,,,,,-1
divine,1,1,,,,,
do,,,,,1,,
dog,,,,,,-1,
door,,,0.5,,,-1,
doubt,-0.5,,,,,1,
down,,-1,,,,,
drag,,,,,1,,
dream,,,,,,1,
drink,,,-1,,1,,
drive,,,,,1,,
drop,,-1,,,1,,
drum,,,,,1,-1,
dry,,,,0.5,,,
duration,,,,,-0.5,,
dynamic,,,,,1,,
each,,,,,,,-1
easy,1,,,,,,
eat,,,-1,,1,-1,
edge,,,1,,,,
eject,,,1,,1,,
electricity,,,,0.5,1,,
element,,,,,,-0.5,
else,,,,,,,-1
emanate,,,1,,1,,
embed,,,-1,,,,1
emerge,,,1,,1,,
emotion,,,,,,0.5,
empty,,,,,,,-1
end,,,,,-1,,
energy,,,,0.5,1,,
enter,,,-1,,1,,
entity,,,,,,-0.5,
environment,,,,,,,1
era,,,,,-0.5,,
error,-1,,,,,,
eternal,,,,,-1,,
event,,,,,1,,
every,,,,,,,1
everything,,,,,,,1
evolve,,,,,1,,
except,,,,,,,-1
exit,,,1,,1,,
experience,,,,,,1,
explore,,,,,1,1,
express,,,1,,,,
eye,,,,,,-1,
face,,,1,,,-1,
fail,-1,,,,,,
fake,-0.5,,,,,,
fall,,-1,,,1,,
false,-1,,,,,,
family,,,,,,,1
