word,meaning
caraq,plenty
caraz,arise
carkat,bargain
carkav,archive
carn,ion
casal,assail
castxul,eschew
catgraf,autograph
catik,apathy
catmaz,itemize
catmet,automate
catredj,outrage
catun,atone
catxar,chair
caval,avow
cavindj,avenge
cefur,stench
ceksaz,excise
centor,short
cespaz,espouse
cetak,pathetic
cikam,rely
ciket,equate
cilet,elate
cimpand,impound
cimrak,theme
cinap,inept
cindaks,index
cintan,thin
cintarn,internal
cinvant,inventory
ciq,thing (hatchling)
ciqkdjip,think over
ciram,theorem
cisal,thistle
cislas,unless
cistut,institute
cit,get
citar,theater
citarq,get along
citdjip,get over
codal,dye
corat,revolution
corb,distance (tele-)
cordjet,originate
corkstet,orchestrate
corn,british o vowel sound
cornam,thorn
cortin,authority
cotaq,rush
covit,overheat
covkam,overcome
covluk,overlook
cradiq,thread
crak,10^33
craks,thorax
cral,hill
cratol,throttle
crav,thrive
craxak,thrash
craxol,threshold
crelak,toil
cretan,threaten
crilag,thrill
crit,threat
cron,south
cronam,throne
crop,c sound
cropod,arthropod
cros,art
crug,amphibian
crugal,nonsense (rubbish)
crum,through/tunnel
crumag,thrum
crut,puzzle
cugram,gap
cuk,eleven
cukbat,hollow
cutx,tooth
cuvorz,reverse
dabak,adhere
dabit,debit
dabiv,dub
dadan,bold
dadlak,deadlock
dadol,avenue
daf,previous
dafit,defeat
dafuz,diffuse
dagim,sample
dagix,emphasis
dagram,diagram
dagras,digress
dakan,duck (below)
dakbil,bill (bird)
daktip,duct
daktrin,doctrine
dalag,dialogue
dalak,grate
dalam,pity
dalap,weapon
dalat,suck
dalet,dilate
dalfin,dolphin
dalg,magnitude
dalget,delegate
dalif,leak
dalik,approximate
dalin,dally
dalir,delirious
dalkes,delicacy
dalket,delicate
daluc,cuckold
dalun,road
dalut,dilute
dam,morality
damand,diamond
damap,dam
dampat,damp
damtor,diameter
dan,the
danam,dawn
dandal,drab
dandeq,pawn
dandjan,dignity
danin,donation
daniq,dine
danlod,download
dansor,dinosaur
danz,dance
dapc,depth
dapdet,dilapidate
daplit,deplete
dapok,shiver
daqkit,donkey
daqkot,dunk
darat,mote
dareC,dash
darfan,dwarf
darn,damn/dam
darsok,douse
dart,east
dartik,dart
darut,dire
darxam,philosophical system
dasak,stress
dasik,dice
dask,desk
daskloz,disclose
dasmis,dismiss
daspet,dissipate
dastin,disparity
dastiqk,distinct
dastut,destitute
dasuk,skid
dat,word
datnet,detonate
dav,divine
davort,divert
daxen,university
daxin,fertilize
dazal,dazzle
dazin,dizzy
daziz,disease
debol,dabble
debor,dab
degrad,degrade
dekal,palm
demkrat,democrat
dempal,extend
demsit,democracy
dendj,danger
denim,responsible
dentok,dent
dents,dense
depket,deprecate
deqgal,dangle
deqgret,denigrate
deqzit,stool
det,datetime stamp/instance in time
devan,hobby
devstet,devastate
dezak,daze
deziq,daisy
diban,slander
dibaqk,debunk
didak,tick tock
didaq,site
diduk,deduct
didus,deduce
difak,defy
difand,defend
difants,defense
difen,deify
difes,deface
diflak,deflect
diflet,deflate
difor,defer
difrad,defraud
difram,diaphragm
difras,difference (subtraction)
difur,differ
dig,sine
dignaf,dignify
digor,dig
dijan,indecision
dijont,disjoint
dijor,relative
dijtal,digital
dikam,predicament
diken,decay
diklar,declare
diklen,decline
dikod,decode
dikos,cram
diktet,dictate
dikur,remembrance
dilak,delectable
dilan,dill
dilem,dilemma
dilen,delay
dilmit,delimit
diltan,delta (water)
dilud,delude
dilun,discuss
dilur,accommodate
dilut,illuminate
dimalx,demolish
diman,demon
dimaz,devise
dimnux,diminution
dimon,imagination
dimot,demote
dimpoz,decompose
dimut,figure
dinants,denounce
dinot,denote
dipak,kindle
dipart,department
diplav,deplore
diplok,deploy
diport,deport
dipras,depress
diprav,deprive
dipskin,bark (tree)
diqk,deny
dirad,deride
dirak,direct (focus)
dirat,direct
dirdar,elm (tree)
direk,directory
disab,disable
disaf,decipher
disak,dissect
disand,descend
disant,dissent
disap,disciple
disard,dissuade
disband,disband
disdant,dissident
disden,disdain
diseC,diss
disfig,disfigure
disiv,deceive
diskard,discard
diskors,discourse
diskres,disgrace
disladj,dislodge
dislok,dislocate
disnet,disseminate
dispal,dispel
dispants,dispense
dispar,disability
dispat,despite
dispatx,dispatch
dispaz,despise
dispir,disappear
displek,display
dispors,disburse
disput,dispute
disrap,disrupt
disrig,disregard
distal,distill
distrak,distract
distrik,district
distrug,destruct
ditak,detect
dital,detail
ditast,detest
ditatx,detach
diten,detain
ditrant,deterrent
ditxat,ditch
divak,glue
divaldj,divulge
divan,echo
divar,devour
divast,divest
divors,divorce
divot,devote
divus,diverse
dixaq,boy/girl friend
dixdak,dish
dixval,dishevel
dizar,desire
dizast,disaster
dizgast,disgust
dizmant,dismantle
dizurv,deserve
djabrit,jab
djadj,judge
djadjum,aggravate
djaged,jagged
djagnak,jog
djagol,juggle
djakin,jockey
djakiz,jack (take)
djaklet,ejaculate
djakur,jack (tire)
djalem,gel
djaluk,educate
djalun,exchange
djambol,jumble
djamp,jump
djandan,ordinary
djandar,gender
djandiq,steadfast
djanfen,starch
djanret,generate
djanrin,tough
djantik,elevator
djanxal,decrease
djanxiq,quintessential
djapdaz,jeopardize
djaqgut,sturdy
djaqiq,stiff
djaqk,junk
djaras,run into
djaret,gyrate
djargun,jargon
djarsur,run out of
djarul,jowl
djasol,jostle
djasor,thick
djast,gesture
djasum,burn
djat,deal
djatat,jut
djavat,jive
djaz,joy
djedjan,frugal
djedun,jade
djek,reject
djelas,jail
djestor,jest
djetrik,jet
djetxuk,eminent
djetxuq,relieve
djibrex,gibberish
djidjal,fabricate
djidjip,aggress
djikad,strive
djimal,lash
djimkat,unravel
djimnaz,gym
djin,gene
djinfap,blond
djinks,jinx
djinxil,fast (eating)
djinxiq,conduct
djinzik,restrain
djinzit,pyramid
djipzus,overdo
djiqbal,alert
djiqfek,expense
djiqgan,spite
djiqgol,jingle
djiqkaq,circumstance
djiqren,stupendous
djiqtik,vigilant
djiqzim,sophisticated
djir,deer
djirig,jeer
djisant,adjacent
djist,gist
djitxup,basis
djixik,diet
djiz,jeez
djok,joke
djoltaz,jolt
djonik,journey
djont,joint
djorit,jury
djorkar,jerk
djornal,journal
djotoq,traffic
djubat,bar
djudap,enormous
djudket,adjudicate
djufen,entangle
djukrat,juke
djukzaq,rectify
djul,jewel
djulan,joule
djulok,dimple
djundip,army
djunxik,military
djurmip,germ
djurnet,germinate
djutxal,picket
djuvas,swift
djuvnet,rejuvenate
dob,two
dojam,marijuana
dokan,portrait
dokran,mediocre
doles,adolescent
dolpeq,cloak
doltrak,dole
dom,state
donet,donate
dopan,dope
doqak,animate
doriq,during
dorkast,dork
dornic,underneath
dotan,dote
dotiq,doting
doven,dove (bird)
doxam,fertile
doz,here
dozaf,doze
drabon,draw
dradjan,dredge
dradnev,put off
draduc,put up with
dradvun,put on
draft,draft (version)
dragan,dragon
draman,drama
drapnev,drop off
drapras,drop in
drapsur,drop out
drask,heavy
drast,dress (put on clothes)
drastik,dress up
drenak,tuber (vegetable)
drenor,drain
drentxark,drench
drepor,drape
dretik,diuretic
drib,10^6
dribol,dribble
drilag,drill
drivav,derivative
drixum,proud
dronam,crow (bird)
dronaq,drown
drul,drool
drupat,droop
drut,electricity
dub,aware
dud,friend
dukan,suffer
dul,delete
duliv,dew
duliz,duly
dumun,doom
dunpat,dune
dupik,dupe
dupket,duplicate
durdjan,malicious
dus,reduce
dusk,across (trans-)/cross
duxiq,inert
duz,do
faCom,fathom
fabrik,fabric
fadjal,radish (vegetable)
fadjat,fudge
fak,fuck
fakam,surge
faksoC,fax
falek,bland
falfil,fulfil
faliq,folly
falkan,falcon
falprat,fall apart
falsan,file (sand)
falsit,fallacy
faltor,falter
fambol,fumble
fand,fund
fandal,magnify
fandex,foundation
fandic,found
fandorg,fondle
fanfev,fan (favorite)
fanis,fun
fanit,fan (machine)
fanov,fawn (over)
fansik,fantasy
fansur,find out
fantan,rebound
fanteq,writhe
fantom,phantom
fantxul,font
faqban,handy
faqdud,demeanor
faqguk,foul
faqmul,graze
faqxaq,aroma
faqzik,deter
farC,feather
farad,farad (measurement)
farbix,refurbish
farig,ferry
farkis,squirm
farm,far
farmiq,farm (activity)
farpir,twitch
farsim,publish
fasad,corrupt
fasan,fasten
faset,faucet
fasit,facet
faslam,bean (vegetable)
fast,fast
fastet,facilitate
fatorn,factory
fatot,tempt
fatzot,compensate
faxir,compromise
faxon,fashion (style)
faxpix,rummage
faziz,fuzz
fecat,faith
fedan,fade
fediq,wun
fedjul,fad
fedret,federate
feloq,tax
feltran,felt (material)
felur,failure
femas,famous
fenak,feign
fendac,fend
fendul,struggle
fenlaq,heft
fensan,diffract
fentik,faint
fentxad,finch
fenxip,analysis
feqat,fang
feqget,signature
feqmin,honey
fes,face
fet,eight
fetxaq,extraordinary
fevor,favor
fevrat,favorite
fezant,pheasant
fiClat,violin
fibal,feeble
fidal,fiddle
fidas,fetus
fidiq,feed
fidjik,fidget
fil,feel
filan,felidae
filet,affilliate
filfil,pepper (vegetable)
film,film (material)
filmat,film (residue)
filtret,filtrate
fim,female
final,final
finam,phenomenon
finants,finance
finsup,incinerate
fintav,definitive
finz,finish
fiqdug,poise
fiqgor,finger
firmant,ferment
fisiz,feces
fistan,feast
fitor,feat
fitxir,fantastic
fixet,officiate
fizab,feasible
fizal,fizzle
fizaz,fizz
flaboz,flab
fladur,flatter
flagrit,flag
flanaq,flaw
flant,flaunt
flapan,flap
flapzon,flop
flartak,flout
flastor,fluster
flastur,fluster
flat,flat
flaxik,flashy
flebar,ebb
flek,mirror
flekiC,flake
fleqkat,flank
flesiq,flay
flibur,flea
flidan,flee
flikot,flick
flitiq,fleeting
flogat,flog
flogem,phloem
flok,glow
flom,f sound
flopad,pod (flower)
florix,flourish
flortaj,flirt
fluman,butterfly
flutan,flute
fluz,complex
fok,halt
foledj,foliage
folet,exfoliate
folfil,fulfill
folg,fungus
folnam,foil
folras,fill in
folsur,fill out
fomant,foment
fonten,fountain
forCor,further
forCun,makeup
foran,prompt (speed)
forc,there
fordal,ford
fordjiz,forge
forek,euphoric
forgiv,forgive
forgok,forgo
forid,foe
forin,foreign
forkast,forecast
forkov,fork
form,form
formag,former
formal,formal
format,format
formik,ant
formlak,formula
formlet,formulate
formost,foremost
forn,fine (good)
forsiC,foresee
fortxun,fortune
fostat,foist
fot,right (direction)
foxdol,foreshadow
fradjal,fragile
fraktal,fractal
frandzin,frenzy
fras,sail
frax,fresh
freCin,frost
fregrants,fragrance
freliq,fray
fret,frame
fretak,fret
fretip,fret (get upset)
fretx,foot (measurement)
frez,phrase
fridjet,refrigerate
frik,freak
frikant,frequency
frikxam,friction
ful,fuel
fulep,soothe
fumget,fumigate
fun,within (endo-)
fup,borrow
fuq,function
fur,fail
furet,infuriate
furnaq,fern
furnis,furnace
furoq,furrow
fut,bad
gaCim,magnificent
gabil,knead
gabol,gobble
gaboq,gob
gabrod,gabbro
gacar,affect
gadar,fence
gadas,lentil
gagor,gag
gakorst,gawk
gal,too
galap,gallop
galat,recite
galfron,gulf
galim,embody
galric,gallery
galt,guilt
galtxal,superb
galut,exile
galvnaz,galvanize
galxiq,loud
gamal,camel
gambir,serious
gamor,gum
gan,garden
ganan,reckon
ganav,steal
gandjun,champion
ganis,gneiss
ganol,gown
gaqdem,disk
gaqgal,ad
gaqklan,gunk
gaqtxi,piano
gar,language
garam,cost
garaz,lubricate
garbal,garble
gardjar,carrot
garland,garland
garm,arm
garnix,garnish
garnur,garner
garon,deficit
garos,gregarious
garot,provoke
garur,delusion
garzin,axe
gasav,pride
gaslin,gasoline
gaston,gust
gastreC,gas
gator,gutter
gatx,german i vowel sound
gavan,guava
gaxax,scout
gaxek,gash
gaxox,probe
gazol,guzzle
gazor,geyser
gedjiz,gauge
gemz,vowel e sound
gepar,scold
geprot,gape
geqzal,worse
getiq,gait
gevin,cheese
gexiq,personality
gezit,gaze
gibor,hero
gibux,consolidate
gigal,giggle
gik,user
gilp,gill
gilus,recruitment
gimlan,benefut
gir,that
girar,gear (wear)
gis,will (future)
givadj,give away
glabun,glob
gladrag,glad
glamros,glamorous
gland,gland
glants,glance
glasorc,glass
gled,lay
gledan,glitter
glednev,lay off
glemps,glimpse
glexar,glacier
gleziC,glaze
gligal,glee
gliniq,glean
glisan,glisten
glok,your
glosig,gloss
glotor,gloat
glumag,gloom
gojam,parrot
gojan,gouge (indent)
gokam,factor
golar,abroad
golpan,gulp
golx,only
gondjuk,instrument
gonpiq,fair (just)
goqep,industry
goqik,craft
goqsip,firm
goqtxeq,engineering
goquk,apartment
goral,destiny
gorem,factor (math)
gorgol,gurgle
gorik,gore
got,antenna
govak,height
govun,govern
grabic,grab
grad,grid
gradjet,graduate
graft,graft
gral,foot
gralpon,gripe
gram,gram (measure)
gramar,grammar
granat,granite
grand,grand
grantal,grunt
grantol,disgruntle
grap,issue
grapol,grapple
graqbol,broadcast
grasap,grasshopper
grasp,grasp
grasuc,grass roots
gratud,gratitude
grav,graviton
gravol,grovel
gravtin,gravity
grazlin,grizzly
grepxam,repetition
gribas,grebe
gridig,greed
gril,case (container)
grimag,grimace
grinaq,grin
grisap,grease
gritzal,grit
grolig,roll
groniq,groan
gropor,grope
gror,growl
grozik,eat up
grubnat,seize
gruman,groom
grumbal,grumble
grunal,well (water)
grund,ground
grunrik,grow up
grup,group (math)
gruqit,rung
gruvib,groove
gub,like (filler)
gudal,thumb
gudoq,agitate
gudut,solitude
gufap,goof
gugal,outlandish
gul,exponent
gulon,bewitched
gultxup,preach
gum,come
gunam,quality
guput,quaint
gusul,bath
gutik,pill
guv,end
guvul,border
guxik,scam
guz,lose
haCan,announce
haCik,proficient
haCir,cautious
habaC,applaud
habad,abide
habak,embrace
habal,rope
habav,cherish
habdak,abduct
habdjak,object (argument)
habet,habituate
habil,sabotage
habjur,abjure
hablix,abolish
habnet,hibernate
habol,hobble
habor,abhor
habort,abort
habrid,hybrid
habridj,abridge
habrop,abrupt
habsent,absence
habses,obsess
habsruk,obstruct
habsten,abstain
habtus,obtuse
habus,abuse
habzorb,adsorb
hacid,acid
hacket,authenticate
haclit,athlete
hacor,author
hadal,idle
hadap,adapt
hadas,myrtle
hadax,lens
hadep,adept
hadgim,demonstrate
hadic,news
hadij,ideology
hadit,audit
hadjak,hijack
hadjal,agile
hadjan,convince
hadjast,adjust
hadjat,propel
hadjin,adjoin
hadjorn,adjourn
hadket,adequate
hadkik,repress
hadmant,adamant
hadmar,admire
hadmix,admission
hadof,repel
hadorn,adorn
hadorz,adore
hadres,address
hadret,hydrate
hadron,hadron
hadsak,displacement of water by submerged body
hadsuk,hat
hadvants,advance
hadvas,advice
hadvat,non-dual
hadxen,audition
hadzon,odds
hafaf,huff
hafak,production
hafan,often
hafas,fuss
hafat,curb
hafbet,alphabet
hafend,offend
hafenz,offence
hafid,conserve
hafif,congruence (geometry)
hafik,derive
hafiks,affix
hafil,encourage
hafkes,efficacy
hafkid,deposit
hafkir,forfeit
haflet,affiliate
haflik,afflict
haflot,discriminate
hafnot,refer
haform,affirm
hafort,effort
hafrid,afford
hafsat,offset
hafspriq,offspring
haftir,exempt
hafxir,thaw
hafzitz,bomb
hagalx,agriculture
hagbir,boost
haget,await
hagix,serve
haglid,scar
hagnid,agony
hagol,haggle
hagrat,fee
hagrot,hag
hagzam,exaggeration
hagzim,exaggerate
hagzort,exert
hajur,aperture
hak,hack (work)
hakaC,captivate
hakab,obstacle
hakam,establish
hakan,icon
hakant,account
hakar,recognition
hakav,heel
hakbar,mouse
hakbid,burden
hakbod,hexapoda
hakif,enforcement
hakik,engraving
hakir,acquaint
hakit,acquit
haklat,resolution
haklem,acclaim
haklips,eclipse
hakliv,staple (action)
haklud,occlude
haknedj,acknowledge
haknik,choke
hakniq,subdue
hakom,accompany
hakord,accord
hakpan,occupy
hakrad,awkward
hakrav,scorpion
hakret,accurate
hakrun,accrue
haksal,accelerate
haksan,axon
haksent,eccentric
hakses,access
haksid,exceed
haksim,enchant
haksol,axel
haksom,axiom
hakspal,expel
hakspand,expound
hakspet,expect
hakstiqk,extinct
hakstol,extol
haktad,tie
haktiv,activity
haktor,act
hakun,meadow
hakveC,determinant (math)
hakvet,activate
hakxar,imperishable
hakxaz,actualize
hakxiv,esteem
hakxun,auction
hal,how
haladj,allege
halak,law
halal,permissible
haland,island
halark,luxury
halask,ayahuasca
halav,milk
halbon,protein
halciq,health
haldjen,algae
haleg,dial
halen,highway
halez,always
halgex,allegation
halgor,allegory
halif,suit (clothing)
halig,mock
halin,cushy
halit,haul
halkal,alcohol
halket,allocate
halm,hue
halmor,helm
halmost,almost
halnet,alternate
halon,alone
halord,award
halorg,allow
halpan,span
halpen,help
haltor,alter
haltur,moonlighting
halud,allude
haluf,option
halun,hyena
halur,allure
halvon,hallow
halx,hair
hamant,amount
hambalz,embezzle
hambants,ambiance
hambark,embark
hambas,emboss
hambax,ambush
hamblants,ambulance
hambold,embolden
hambrod,embroider
hamem,stun
hament,amend
hamez,amaze
hamik,pelt
hamis,melt
hamlitz,recommend
hamnants,eminence
hamon,crowd/mob
hamos,ferret
hamot,hum
hampan,hump
hampfan,amplify
hampid,impede
hampindj,impinge
hamplot,employ
hampor,hamper
hampran,empower
hamprint,imprint
hamptud,amplitude
hamrid,instigate
hamtet,amputate
hamus,hummus
hamuz,amuse
han,zero
hanak,giant
hanaks,annex
hanan,onion
hanand,bliss
hanart,inherit
hanbal,enable
hancrasat,anthracite
handag,hound
handan,bleak
handav,endeavor
handendj,endanger
handgol,undergo
handid,indeed
handj,angel
handjan,engineer
handjol,enjoy
handkof,handcuff
handur,endure
hanflak,inflect
hanforl,unfurl
hanfors,enforce
hanfrij,infringe
hanfuz,infuse
hanit,initialize
hanket,antiquate
hankit,impose
hanklud,include
hankod,encode
hankom,honeycomb
hanlag,analog
hanlat,enlighten
hanlist,enlist
hanmik,diminish
hanod,annoy
hanol,annul
hanon,park (vehicle)
hanorx,xnor
hanpas,encompass
hanredj,enrage
hanrol,enroll
hanst,honest
hanstil,instill
hanstrak,instruct
hansul,ensue
hantaks,antioxidant
hantal,entail
hantan,intertwine
hantik,antique
hantil,until
hantlor,antler
hantoj,haunt
hantpriz,enterprise
hantrantx,entrench
hantrast,entrust
hantson,hence
hantxat,incline
hantxiq,hunch
hanuk,dedicate
hanvit,envy
hanvop,envelope
hanvors,anniversary
hanvort,invert
hanxaq,serene
hanxet,initiate
hanxim,resuscitate
hanxran,enshrine
hanxur,insure
hanz,house
hanzaq,mount
hap,event
hapal,appall
hapan,happen
hapdat,expedite
hapend,append
hapil,appeal
hapiq,hype
hapiz,appease
haplan,apply
haplas,helpless
hapont,appoint
hapot,overlap
hapoz,oppose
hapraz,oppose/against
hapret,operate
haprez,appraise
haprind,apprehend
haprotx,approach
haprut,uproot
hapsat,upset
hapsod,episode
haptat,appetite
haptiks,optics
haptor,opt
haptud,aptitude
haqgej,engage
haqglet,ungulate
haqgrev,engrave
haqkid,honk
haqkloz,enclose
haqkrab,hunk
haqkrotx,encroach
haqlek,queue
har,era
harCur,rigorous
harac,cultivate
harad,arid
haral,convert
haram,forbidden/taboo
haran,heron
harand,errand
harar,mull
haras,grip
harat,till
harats,country
haratx,auroch
harax,dull
harbor,harbor
harbtradj,arbitrage
harcas,planet earth
harendj,arrange
harest,arrest
harfat,artifact (museum object)
hargal,habit
hargiz,irritate
hargmant,argument (conversation)
haris,iris
haritz,tyrant
hariv,expand
hark,arc
harked,arcade
harkiq,hierarchy
harklet,articulate
harkun,argue
harlig,early
harnak,purse
harnz,harness
harok,squeak
haron,arrow
haroz,arouse
harq,along
hartaj,heritage
hartak,architect
hartiq,discourage
hartkol,article
hartx,arch
hartxam,honor
hartzil,hertz
hartzin,sober
hartzot,lecture
harutz,ravine
harvik,whale
harxak,conviction
harxam,registration
harxim,impress
hasad,aside
hasalt,assault
hasam,placement
hasamp,assemble
hasap,convect
hasborg,iceberg
hasdir,resolve
hasend,ascend
haseq,assay
hases,assess
hasgar,closure
hasid,piety
hasig,recall
hasin,essay
hasis,assist
haskim,consent
haskit,husk
hasklim,exclaim
hasklud,exclude
haskrab,ascribe
haskret,execrate
haslim,escalate
hasof,expose
hasol,hustle
hasom,awe
haspex,especially
haspot,expert
haspret,aspirate
haspur,aspire
hasram,ridiculous
hasrat,film (video)
hastand,astound
hastek,oust
hastrod,asteroid
hasum,assume
hat,at
hatak,attack
hatand,attend
hatar,attire
hatbil,dip
hatborst,outburst
hatbus,bus
haten,attain
hatest,attest
hatgar,challenge
hatiC,festival
hatif,advocate
hatik,transfer
hatit,pry
hatiz,squirt
hatkaf,seizure (taking)
hatlod,outlaw
hatmost,utmost
hatom,automatic
haton,hot
hatot,tilt
hatrak,attract
hatrib,attribute
hatrid,disturb
hatsap,offer
hatsfir,atmosphere
hatslan,sloth
hatvot,outline
hatx,hole
hatxik,hatch
hatxiv,achieve
hatxol,cooperate
hatxuq,estuary
hatzal,shade
hatzan,cool (action)
hatzar,declaration
hatzat,ignite
hatzdik,justify
hatzdiq,salute
hatzid,parade
hatzir,hay
hatzitz,peek
hatzum,petition
havak,havoc
havas,obvious
havdants,evidence
havents,offense
havid,avid
havik,walrus
havis,oblation
havit,hive
havkin,distinguish
havlantx,avalanche
havlit,highlight
havort,avert
havot,constitute
havrix,brush
havriz,shirk
havtak,ensure
haxak,launch of new product
haxaps,inspiration
haxin,lean
haxir,molt
haxitz,reproduce
haxiv,reply
haxlak,implication
haxlend,lend
haxlim,reconcile
haxmad,extermination
haxmit,omit
haxmitz,libel
haxor,usher
haxpak,influence
haxpal,humiliation
haxrix,implant
haxtil,transplant
hazif,frown
hazkir,remind
hazlif,sprinkle
hazman,invitation
hazmin,invite
hazot,rave
hazrik,inject
hecral,ethereal
hedip,eddy
hedjant,agency
hedriq,aid
hegat,egg
hegzal,exhale
hegzalt,exut
hegzort,exhort
hegzud,exude
hegzum,exhume
hek,hour
hekir,characteristic
hekorn,acorn
hekrat,acre
heksarp,excerpt
heksas,excess
heksat,excite
heksort,extort
hekspants,expanse
hekspar,expire
heksrit,excrete
heksul,excel
helat,hail (acclaim)
helbon,insult
helet,determine
hemaq,hem
hembam,embalm
hempac,empathy
hempost,hemp
hemrald,emerald
hemun,confidence
henants,enhance
henas,anus
hencral,enthral
hendaldj,indulge
hendir,endear
hendol,endow
hendus,induce
henform,inform
henrik,henry (measurement)
hentas,entice
hentot,entitle
hepin,hippie
heps,ape
heq,hang
heqgalf,engulf
heqgros,engross
heqk,angry
heqkor,anchor
heqkxas,anxious
heqsur,hang out
heqvun,hang on
hesin,hasten
heskort,escort
hesnop,hail (snow)
hetaq,hate
hetxam,yawn
hetxram,etch
heviz,aves (birds)
hevor,behavior
hiCal,whip
hiCor,either
hibax,bash
hibit,inhibit
hibuk,hug
hicar,aether
